status	word_ref	qac_word_refs	qac_match_mode	masaq_segment_refs	alignment_group_id	surface_ar	masaq_joined_arabic	frozen_root_norm	frozen_root_raw	frozen_tsv_root_raw	root_correction_status	root_correction_rule_id	qac_root_norm	qac_root_ar	qac_ref	qac_surface_ar	qac_stem_ar	qac_lemma_ar	qac_pos	furuq_root_id	furuq_root_norm	furuq_source_root_norm	furuq_resolution
no_qac_root_at_word	102:7:3		no_surface_or_stem_match_in_ayah	102:7:3	102:7:3	تَرَوُنَّهَا	لَتَرَوُنَّهَا	ر ء ي	ر أ ي	ر أ ي	unchanged									root_000531	ر ء ي	ر أ ي	root_norm_unique
no_qac_root_at_word	102:8:4		no_surface_or_stem_match_in_ayah	102:8:4	102:8:4	يَوْمَئِذٍ	يَوْمَئِذٍ	ي و م	ي و م	ي و م	unchanged									root_001700	ي و م	ي و م	source_root_norm
no_qac_root_at_word	103:2:2		no_surface_or_stem_match_in_ayah	103:2:2	103:2:2	ٱلْإِنسَٰنَ	الْإِنْسَانَ	ء ن س	أ ن س	أ ن س	disputed									root_000059	ء ن س	أ ن س	root_norm_unique
no_qac_root_at_word	103:3:3		no_surface_or_stem_match_in_ayah	103:3:3	103:3:3	ءَامَنُوا۟	آمَنُوا	ء م ن	أ م ن	أ م ن	unchanged									root_000054	ء م ن	أ م ن	root_norm_unique
no_qac_root_at_word	103:3:6		no_surface_or_stem_match_in_ayah	103:3:6	103:3:6	ٱلصَّٰلِحَٰتِ	الصَّالِحَاتِ	ص ل ح	ص ل ح	ص ل ح	unchanged									root_000876	ص ل ح	ص ل ح	source_root_norm
no_qac_root_at_word	104:1:1		no_surface_or_stem_match_in_ayah	104:1:1	104:1:1	وَيْلٌ	وَيْلٌ	و ي ل	و ي ل	و ي ل	unchanged									root_001689	و ي ل	و ي ل	source_root_norm
no_qac_root_at_word	104:4:5		no_surface_or_stem_match_in_ayah	104:4:5	104:4:5	ٱلْحُطَمَةِ	الْحُطَمَةِ	ح ط م	ح ط م	ح ط م	unchanged									root_000337	ح ط م	ح ط م	source_root_norm
no_qac_root_at_word	104:5:3		no_surface_or_stem_match_in_ayah	104:5:3	104:5:3	أَدْرَىٰكَ	أَدْرَاكَ	د ر ي	د ر ي	د ر ي	unchanged									root_000473	د ر ي	د ر ي	source_root_norm
no_qac_root_at_word	104:5:5		no_surface_or_stem_match_in_ayah	104:5:5	104:5:5	ٱلْحُطَمَةُ	الْحُطَمَةُ	ح ط م	ح ط م	ح ط م	unchanged									root_000337	ح ط م	ح ط م	source_root_norm
no_qac_root_at_word	104:6:3		no_surface_or_stem_match_in_ayah	104:6:3	104:6:3	ٱلْمُوقَدَةُ	الْمُوقَدَةُ	و ق د	و ق د	و ق د	unchanged									root_001672	و ق د	و ق د	source_root_norm
no_qac_root_at_word	104:7:4		no_surface_or_stem_match_in_ayah	104:7:4	104:7:4	ٱلْأَفْـِٔدَةِ	الْأَفْئِدَةِ	ف ء د	ف أ د	ف أ د	unchanged									root_001122	ف ء د	ف أ د	root_norm_unique
no_qac_root_at_word	105:4:2		no_surface_or_stem_match_in_ayah	105:4:2	105:4:2	بِحِجَارَةٍ	بِحِجَارَةٍ	ح ج ر	ح ج ر	ح ج ر	unchanged									root_000296	ح ج ر	ح ج ر	source_root_norm
no_qac_root_at_word	106:1:1		no_surface_or_stem_match_in_ayah	106:1:1	106:1:1	لِإِيلَٰفِ	لِإِيلَافِ	ء ل ف	أ ل ف	أ ل ف	unchanged									root_000045	ء ل ف	أ ل ف	root_norm_unique
no_qac_root_at_word	106:1:2		no_surface_or_stem_match_in_ayah	106:1:2	106:1:2	قُرَيْشٍ	قُرَيْشٍ	ق ر ش	ق ر ش	ق ر ش	unchanged									root_001216	ق ر ش	ق ر ش	source_root_norm
no_qac_root_at_word	106:2:1		no_surface_or_stem_match_in_ayah	106:2:1	106:2:1	إِۦلَٰفِهِمْ	إِيلَافِهِمْ	ء ل ف	أ ل ف	أ ل ف	unchanged									root_000045	ء ل ف	أ ل ف	root_norm_unique
no_qac_root_at_word	106:4:6		no_surface_or_stem_match_in_ayah	106:4:6	106:4:6	ءَامَنَهُم	وَآمَنَهُمْ	ء م ن	أ م ن	أ م ن	unchanged									root_000054	ء م ن	أ م ن	root_norm_unique
no_qac_root_at_word	107:1:1		no_surface_or_stem_match_in_ayah	107:1:1	107:1:1	أَرَءَيْتَ	أَرَأَيْتَ	ر ء ي	ر أ ي	ر أ ي	unchanged									root_000531	ر ء ي	ر أ ي	root_norm_unique
no_qac_root_at_word	107:4:2		no_surface_or_stem_match_in_ayah	107:4:2	107:4:2	وَيْلٌۭ	فَوَيْلٌ	و ي ل	و ي ل	و ي ل	unchanged									root_001689	و ي ل	و ي ل	source_root_norm
no_qac_root_at_word	107:4:3		no_surface_or_stem_match_in_ayah	107:4:3	107:4:3	لِلْمُصَلِّينَ	لِلْمُصَلِّينَ	ص ل ي	ص ل ي	ص ل ي	disputed									root_000880	ص ل ي	ص ل ي	source_root_norm
no_qac_root_at_word	107:5:4		no_surface_or_stem_match_in_ayah	107:5:4	107:5:4	صَلَاتِهِمْ	صَلَاتِهِمْ	ص ل و	ص ل و	ص ل و	disputed									root_000879	ص ل و	ص ل و	source_root_norm
no_qac_root_at_word	107:6:3		no_surface_or_stem_match_in_ayah	107:6:3	107:6:3	يُرَآءُونَ	يُرَاءُونَ	ر ء ي	ر أ ي	ر أ ي	unchanged									root_000531	ر ء ي	ر أ ي	root_norm_unique
no_qac_root_at_word	109:1:4		no_surface_or_stem_match_in_ayah	109:1:4	109:1:4	ٱلْكَٰفِرُونَ	الْكَافِرُونَ	ك ف ر	ك ف ر	ك ف ر	unchanged									root_001307	ك ف ر	ك ف ر	source_root_norm
no_qac_root_at_word	10:100:14		no_surface_or_stem_match_in_ayah	10:100:14	10:100:14	ٱلرِّجْسَ	الرِّجْسَ	ر ج س	ر ج س	ر ج س	unchanged									root_000543	ر ج س	ر ج س	source_root_norm
no_qac_root_at_word	10:101:11		no_surface_or_stem_match_in_ayah	10:101:11	10:101:11	ٱلْءَايَٰتُ	الْآيَاتُ	ء ي ي	أ ي ي	أ ي ي	disputed									root_000074	ء ي ي	أ ي ي	root_norm_unique
no_qac_root_at_word	10:101:17		no_surface_or_stem_match_in_ayah	10:101:17	10:101:17	يُؤْمِنُونَ	يُؤْمِنُونَ	ء م ن	أ م ن	أ م ن	unchanged									root_000054	ء م ن	أ م ن	root_norm_unique
no_qac_root_at_word	10:101:5		no_surface_or_stem_match_in_ayah	10:101:5	10:101:5	ٱلسَّمَٰوَٰتِ	السَّمَاوَاتِ	س م و	س م و	س م و	disputed									root_000745	س م و	س م و	source_root_norm
no_qac_root_at_word	10:102:13		no_surface_or_stem_match_in_ayah	10:102:13	10:102:13	ٱنتَظِرُوا۟	فَانْتَظِرُوا	ن ظ ر	ن ظ ر	ن ظ ر	unchanged									root_001520	ن ظ ر	ن ظ ر	source_root_norm
no_qac_root_at_word	10:102:15		no_surface_or_stem_match_in_ayah	10:102:15	10:102:15	مَعَكُمْ	مَعَكُمْ	م ع ع	م ع ع	م ع ع	unchanged									root_001434	م ع ع	م ع ع	source_root_norm
no_qac_root_at_word	10:102:17		no_surface_or_stem_match_in_ayah	10:102:17	10:102:17	ٱلْمُنتَظِرِينَ	الْمُنْتَظِرِينَ	ن ظ ر	ن ظ ر	ن ظ ر	unchanged									root_001520	ن ظ ر	ن ظ ر	source_root_norm
no_qac_root_at_word	10:102:3		no_surface_or_stem_match_in_ayah	10:102:3	10:102:3	يَنتَظِرُونَ	يَنْتَظِرُونَ	ن ظ ر	ن ظ ر	ن ظ ر	unchanged									root_001520	ن ظ ر	ن ظ ر	source_root_norm
no_qac_root_at_word	10:103:6		no_surface_or_stem_match_in_ayah	10:103:6	10:103:6	آمَنُوا	آمَنُوا	ء م ن	أ م ن	أ م ن	unchanged									root_000054	ء م ن	أ م ن	root_norm_unique
no_qac_root_at_word	10:104:20		no_surface_or_stem_match_in_ayah	10:104:20	10:104:20	لَٰكِنْ	وَلَكِنْ	ل ك ن	ل ك ن	ل ك ن	unchanged									root_001373	ل ك ن	ل ك ن	source_root_norm
no_qac_root_at_word	10:104:24		no_surface_or_stem_match_in_ayah	10:104:24	10:104:24	يَتَوَفَّىٰكُمْ	يَتَوَفَّاكُمْ	و ف ي	و ف ي	و ف ي	unchanged									root_001669	و ف ي	و ف ي	source_root_norm
no_qac_root_at_word	10:105:10		no_surface_or_stem_match_in_ayah	10:105:10	10:105:10	تَكُونَنَّ	تَكُونَنَّ	ك و ن	ك و ن	ك و ن	unchanged									root_001332	ك و ن	ك و ن	source_root_norm
no_qac_root_at_word	10:106:12		no_surface_or_stem_match_in_ayah	10:106:12	10:106:12	يَضُرُّكَ	يَضُرُّكَ	ض ر ر	ض ر ر	ض ر ر	unchanged									root_000907	ض ر ر	ض ر ر	source_root_norm
no_qac_root_at_word	10:107:15		no_surface_or_stem_match_in_ayah	10:107:15	10:107:15	يُرِدْكَ	يُرِدْكَ	ر و د	ر و د	ر و د	unchanged									root_000610	ر و د	ر و د	source_root_norm
no_qac_root_at_word	10:107:3		no_surface_or_stem_match_in_ayah	10:107:3	10:107:3	يَمْسَسْكَ	يَمْسَسْكَ	م س س	م س س	م س س	unchanged									root_001423	م س س	م س س	source_root_norm
no_qac_root_at_word	10:109:14		no_surface_or_stem_match_in_ayah	10:109:14	10:109:14	ٱلْحَٰكِمِينَ	الْحَاكِمِينَ	ح ك م	ح ك م	ح ك م	unchanged									root_000348	ح ك م	ح ك م	source_root_norm
no_qac_root_at_word	10:10:1		no_surface_or_stem_match_in_ayah	10:10:1	10:10:1	دَعْوَىٰهُمْ	دَعْوَاهُمْ	د ع و	د ع و	د ع و	unchanged									root_000478	د ع و	د ع و	source_root_norm
no_qac_root_at_word	10:10:11		no_surface_or_stem_match_in_ayah	10:10:11	10:10:11	دَعْوَىٰهُمْ	دَعْوَاهُمْ	د ع و	د ع و	د ع و	unchanged									root_000478	د ع و	د ع و	source_root_norm
no_qac_root_at_word	10:10:17		no_surface_or_stem_match_in_ayah	10:10:17	10:10:17	ٱلْعَٰلَمِينَ	الْعَالَمِينَ	ع ل م	ع ل م	ع ل م	unchanged									root_001040	ع ل م	ع ل م	source_root_norm
no_qac_root_at_word	10:10:3		no_surface_or_stem_match_in_ayah	10:10:3	10:10:3	سُبْحَانَكَ	سُبْحَانَكَ	س ب ح	س ب ح	س ب ح	unchanged									root_000666	س ب ح	س ب ح	source_root_norm
no_qac_root_at_word	10:10:6		no_surface_or_stem_match_in_ayah	10:10:6	10:10:6	تَحِيَّتُهُمْ	وَتَحِيَّتُهُمْ	ح ي ي	ح ي ي	ح ي ي	disputed									root_000383	ح ي ي	ح ي ي	source_root_norm
no_qac_root_at_word	10:10:8		no_surface_or_stem_match_in_ayah	10:10:8	10:10:8	سَلَامٌ	سَلَامٌ	س ل م	س ل م	س ل م	unchanged									root_000737	س ل م	س ل م	source_root_norm
no_qac_root_at_word	10:11:19		no_surface_or_stem_match_in_ayah	10:11:19	10:11:19	يَرْجُونَ	يَرْجُونَ	ر ج و	ر ج و	ر ج و	unchanged									root_000548	ر ج و	ر ج و	source_root_norm
no_qac_root_at_word	10:11:22		no_surface_or_stem_match_in_ayah	10:11:22	10:11:22	طُغْيَٰنِهِمْ	طُغْيَانِهِمْ	ط غ ي	ط غ ي	ط غ ي	unchanged									root_000937	ط غ ي	ط غ ي	source_root_norm
no_qac_root_at_word	10:11:23		no_surface_or_stem_match_in_ayah	10:11:23	10:11:23	يَعْمَهُونَ	يَعْمَهُونَ	ع م ه	ع م ه	ع م ه	unchanged									root_001048	ع م ه	ع م ه	source_root_norm
no_qac_root_at_word	10:12:21		no_surface_or_stem_match_in_ayah	10:12:21	10:12:21	يَدْعُنَآ	يَدْعُنَا	د ع و	د ع و	د ع و	unchanged									root_000478	د ع و	د ع و	source_root_norm
no_qac_root_at_word	10:12:4		no_surface_or_stem_match_in_ayah	10:12:4	10:12:4	ٱلْإِنسَٰنَ	الْإِنْسَانَ	ء ن س	أ ن س	أ ن س	disputed									root_000059	ء ن س	أ ن س	root_norm_unique
no_qac_root_at_word	10:13:14		no_surface_or_stem_match_in_ayah	10:13:14	10:13:14	ٱلْبَيِّنَٰتِ	بِالْبَيِّنَاتِ	ب ي ن	ب ي ن	ب ي ن	unchanged									root_000170	ب ي ن	ب ي ن	source_root_norm
no_qac_root_at_word	10:13:19		no_surface_or_stem_match_in_ayah	10:13:19	10:13:19	يُؤْمِنُوا	لِيُؤْمِنُوا	ء م ن	أ م ن	أ م ن	unchanged									root_000054	ء م ن	أ م ن	root_norm_unique
no_qac_root_at_word	10:14:3		no_surface_or_stem_match_in_ayah	10:14:3	10:14:3	خَلَائِفَ	خَلَائِفَ	خ ل ف	خ ل ف	خ ل ف	unchanged									root_000433	خ ل ف	خ ل ف	source_root_norm
no_qac_root_at_word	10:15:10		no_surface_or_stem_match_in_ayah	10:15:10	10:15:10	يَرْجُونَ	يَرْجُونَ	ر ج و	ر ج و	ر ج و	unchanged									root_000548	ر ج و	ر ج و	source_root_norm
no_qac_root_at_word	10:15:14		no_surface_or_stem_match_in_ayah	10:15:14	10:15:14	قُرْآنٍ	بِقُرْآنٍ	ق ر ء	ق ر ء	ق ر ء	unchanged									root_001210	ق ر ء	ق ر ء	source_root_norm
no_qac_root_at_word	10:15:5		no_surface_or_stem_match_in_ayah	10:15:5	10:15:5	آيَاتُنَا	آيَاتُنَا	ء ي ي	أ ي ي	أ ي ي	disputed									root_000074	ء ي ي	أ ي ي	root_norm_unique
no_qac_root_at_word	10:15:6		no_surface_or_stem_match_in_ayah	10:15:6	10:15:6	بَيِّنَاتٍ	بَيِّنَاتٍ	ب ي ن	ب ي ن	ب ي ن	unchanged									root_000170	ب ي ن	ب ي ن	source_root_norm
no_qac_root_at_word	10:16:10		no_surface_or_stem_match_in_ayah	10:16:10	10:16:10	أَدْرَاكُمْ	أَدْرَاكُمْ	د ر ي	د ر ي	د ر ي	unchanged									root_000473	د ر ي	د ر ي	source_root_norm
no_qac_root_at_word	10:17:12		no_surface_or_stem_match_in_ayah	10:17:12	10:17:12	آيَاتِهِ	بِآيَاتِهِ	ء ي ي	أ ي ي	أ ي ي	disputed									root_000074	ء ي ي	أ ي ي	root_norm_unique
no_qac_root_at_word	10:18:13		no_surface_or_stem_match_in_ayah	10:18:13	10:18:13	يَقُولُونَ	وَيَقُولُونَ	ق و ل	ق و ل	ق و ل	unchanged									root_001272	ق و ل	ق و ل	source_root_norm
no_qac_root_at_word	10:18:15		no_surface_or_stem_match_in_ayah	10:18:15	10:18:15	شُفَعَٰٓؤُنَا	شُفَعَاؤُنَا	ش ف ع	ش ف ع	ش ف ع	disputed									root_000802	ش ف ع	ش ف ع	source_root_norm
no_qac_root_at_word	10:18:19		no_surface_or_stem_match_in_ayah	10:18:19	10:18:19	أَتُنَبِّـُٔونَ	أَتُنَبِّئُونَ	ن ب ء	ن ب أ	ن ب أ	disputed									root_001464	ن ب ء	ن ب أ	root_norm_unique
no_qac_root_at_word	10:18:26		no_surface_or_stem_match_in_ayah	10:18:26	10:18:26	ٱلسَّمَٰوَٰتِ	السَّمَاوَاتِ	س م و	س م و	س م و	disputed									root_000745	س م و	س م و	source_root_norm
no_qac_root_at_word	10:18:31		no_surface_or_stem_match_in_ayah	10:18:31	10:18:31	سُبْحَٰنَهُۥ	سُبْحَانَهُ	س ب ح	س ب ح	س ب ح	unchanged									root_000666	س ب ح	س ب ح	source_root_norm
no_qac_root_at_word	10:18:35		no_surface_or_stem_match_in_ayah	10:18:35	10:18:35	يُشْرِكُونَ	يُشْرِكُونَ	ش ر ك	ش ر ك	ش ر ك	unchanged									root_000791	ش ر ك	ش ر ك	source_root_norm
no_qac_root_at_word	10:18:8		no_surface_or_stem_match_in_ayah	10:18:8	10:18:8	يَضُرُّهُمْ	يَضُرُّهُمْ	ض ر ر	ض ر ر	ض ر ر	unchanged									root_000907	ض ر ر	ض ر ر	source_root_norm
no_qac_root_at_word	10:19:21		no_surface_or_stem_match_in_ayah	10:19:21	10:19:21	يَخْتَلِفُونَ	يَخْتَلِفُونَ	خ ل ف	خ ل ف	خ ل ف	unchanged									root_000433	خ ل ف	خ ل ف	source_root_norm
no_qac_root_at_word	10:1:4		no_surface_or_stem_match_in_ayah	10:1:4	10:1:4	ٱلْكِتَٰبِ	الْكِتَابِ	ك ت ب	ك ت ب	ك ت ب	disputed									root_001283	ك ت ب	ك ت ب	source_root_norm
no_qac_root_at_word	10:20:16		no_surface_or_stem_match_in_ayah	10:20:16	10:20:16	ٱنتَظِرُوٓا۟	فَانْتَظِرُوا	ن ظ ر	ن ظ ر	ن ظ ر	unchanged									root_001520	ن ظ ر	ن ظ ر	source_root_norm
no_qac_root_at_word	10:20:18		no_surface_or_stem_match_in_ayah	10:20:18	10:20:18	مَعَكُم	مَعَكُمْ	م ع ع	م ع ع	م ع ع	unchanged									root_001434	م ع ع	م ع ع	source_root_norm
no_qac_root_at_word	10:20:2		no_surface_or_stem_match_in_ayah	10:20:2	10:20:2	يَقُولُونَ	وَيَقُولُونَ	ق و ل	ق و ل	ق و ل	unchanged									root_001272	ق و ل	ق و ل	source_root_norm
no_qac_root_at_word	10:20:20		no_surface_or_stem_match_in_ayah	10:20:20	10:20:20	ٱلْمُنتَظِرِينَ	الْمُنْتَظِرِينَ	ن ظ ر	ن ظ ر	ن ظ ر	unchanged									root_001520	ن ظ ر	ن ظ ر	source_root_norm
no_qac_root_at_word	10:21:15		no_surface_or_stem_match_in_ayah	10:21:15	10:21:15	آيَاتِنَا	آيَاتِنَا	ء ي ي	أ ي ي	أ ي ي	disputed									root_000074	ء ي ي	أ ي ي	root_norm_unique
no_qac_root_at_word	10:22:3		no_surface_or_stem_match_in_ayah	10:22:3	10:22:3	يُسَيِّرُكُمْ	يُسَيِّرُكُمْ	س ي ر	س ي ر	س ي ر	unchanged									root_000769	س ي ر	س ي ر	source_root_norm
no_qac_root_at_word	10:22:49		no_surface_or_stem_match_in_ayah	10:22:49	10:22:49	نَكُونَنَّ	لَنَكُونَنَّ	ك و ن	ك و ن	ك و ن	unchanged									root_001332	ك و ن	ك و ن	source_root_norm
no_qac_root_at_word	10:23:20		no_surface_or_stem_match_in_ayah	10:23:20	10:23:20	ٱلْحَيَوٰةِ	الْحَيَاةِ	ح ي ي	ح ي ي	ح ي ي	disputed									root_000383	ح ي ي	ح ي ي	source_root_norm
no_qac_root_at_word	10:23:26		no_surface_or_stem_match_in_ayah	10:23:26	10:23:26	نُنَبِّئُكُمْ	فَنُنَبِّئُكُمْ	ن ب ء	ن ب أ	ن ب أ	disputed									root_001464	ن ب ء	ن ب أ	root_norm_unique
no_qac_root_at_word	10:23:3		no_surface_or_stem_match_in_ayah	10:23:3	10:23:3	أَنجَىٰهُمْ	أَنْجَاهُمْ	ن ج و	ن ج و	ن ج و	unchanged									root_001476	ن ج و	ن ج و	source_root_norm
no_qac_root_at_word	10:23:6		no_surface_or_stem_match_in_ayah	10:23:6	10:23:6	يَبْغُونَ	يَبْغُونَ	ب غ ي	ب غ ي	ب غ ي	unchanged									root_000138	ب غ ي	ب غ ي	source_root_norm
no_qac_root_at_word	10:24:19		no_surface_or_stem_match_in_ayah	10:24:19	10:24:19	ٱلْأَنْعَٰمُ	وَالْأَنْعَامُ	ن ع م	ن ع م	ن ع م	unchanged									root_001525	ن ع م	ن ع م	source_root_norm
no_qac_root_at_word	10:24:3		no_surface_or_stem_match_in_ayah	10:24:3	10:24:3	ٱلْحَيَوٰةِ	الْحَيَاةِ	ح ي ي	ح ي ي	ح ي ي	disputed									root_000383	ح ي ي	ح ي ي	source_root_norm
no_qac_root_at_word	10:24:33		no_surface_or_stem_match_in_ayah	10:24:33	10:24:33	أَتَىٰهَآ	أَتَاهَا	ء ت ي	أ ت ي	أ ت ي	unchanged									root_000009	ء ت ي	أ ت ي	root_norm_unique
no_qac_root_at_word	10:24:49		no_surface_or_stem_match_in_ayah	10:24:49	10:24:49	ٱلْءَايَٰتِ	الْآيَاتِ	ء ي ي	أ ي ي	أ ي ي	disputed									root_000074	ء ي ي	أ ي ي	root_norm_unique
no_qac_root_at_word	10:24:52		no_surface_or_stem_match_in_ayah	10:24:52	10:24:52	يَتَفَكَّرُونَ	يَتَفَكَّرُونَ	ف ك ر	ف ك ر	ف ك ر	unchanged									root_001172	ف ك ر	ف ك ر	source_root_norm
no_qac_root_at_word	10:25:6		no_surface_or_stem_match_in_ayah	10:25:6	10:25:6	ٱلسَّلَٰمِ	السَّلَامِ	س ل م	س ل م	س ل م	unchanged									root_000737	س ل م	س ل م	source_root_norm
no_qac_root_at_word	10:26:16		no_surface_or_stem_match_in_ayah	10:26:16	10:26:16	أَصْحَابُ	أَصْحَابُ	ص ح ب	ص ح ب	ص ح ب	unchanged									root_000844	ص ح ب	ص ح ب	source_root_norm
no_qac_root_at_word	10:26:17		no_surface_or_stem_match_in_ayah	10:26:17	10:26:17	الْجَنَّةِ	الْجَنَّةِ	ج ن ن	ج ن ن	ج ن ن	unchanged									root_000266	ج ن ن	ج ن ن	source_root_norm
no_qac_root_at_word	10:26:20		no_surface_or_stem_match_in_ayah	10:26:20	10:26:20	خَالِدُونَ	خَالِدُونَ	خ ل د	خ ل د	خ ل د	unchanged									root_000429	خ ل د	خ ل د	source_root_norm
no_qac_root_at_word	10:27:10		no_surface_or_stem_match_in_ayah	10:27:10	10:27:10	تَرْهَقُهُمْ	وَتَرْهَقُهُمْ	ر ه ق	ر ه ق	ر ه ق	unchanged									root_000606	ر ه ق	ر ه ق	source_root_norm
no_qac_root_at_word	10:27:4		no_surface_or_stem_match_in_ayah	10:27:4	10:27:4	ٱلسَّيِّـَٔاتِ	السَّيِّئَاتِ	س و ء	س و أ	س و أ	unchanged									root_000755	س و ء	س و أ	root_norm_unique
no_qac_root_at_word	10:29:10		no_surface_or_stem_match_in_ayah	10:29:10	10:29:10	كُنَّا	كُنَّا	ك و ن	ك و ن	ك و ن	unchanged									root_001332	ك و ن	ك و ن	source_root_norm
no_qac_root_at_word	10:29:12		no_surface_or_stem_match_in_ayah	10:29:12	10:29:12	عِبَادَتِكُمْ	عِبَادَتِكُمْ	ع ب د	ع ب د	ع ب د	unchanged									root_000973	ع ب د	ع ب د	source_root_norm
no_qac_root_at_word	10:2:16		no_surface_or_stem_match_in_ayah	10:2:16	10:2:16	آمَنُوا	آمَنُوا	ء م ن	أ م ن	أ م ن	unchanged									root_000054	ء م ن	أ م ن	root_norm_unique
no_qac_root_at_word	10:2:25		no_surface_or_stem_match_in_ayah	10:2:25	10:2:25	الْكَافِرُونَ	الْكَافِرُونَ	ك ف ر	ك ف ر	ك ف ر	unchanged									root_001307	ك ف ر	ك ف ر	source_root_norm
no_qac_root_at_word	10:2:29		no_surface_or_stem_match_in_ayah	10:2:29	10:2:29	سَاحِرٌ	لَسَاحِرٌ	س ح ر	س ح ر	س ح ر	unchanged									root_000682	س ح ر	س ح ر	source_root_norm
no_qac_root_at_word	10:30:11		no_surface_or_stem_match_in_ayah	10:30:11	10:30:11	مَوْلَاهُمُ	مَوْلَاهُمُ	و ل ي	و ل ي	و ل ي	unchanged									root_001684	و ل ي	و ل ي	source_root_norm
no_qac_root_at_word	10:30:18		no_surface_or_stem_match_in_ayah	10:30:18	10:30:18	يَفْتَرُونَ	يَفْتَرُونَ	ف ت ر	ف ت ر	ف ت ر	unchanged									root_001125	ف ت ر	ف ت ر	source_root_norm
no_qac_root_at_word	10:31:12		no_surface_or_stem_match_in_ayah	10:31:12	10:31:12	الْأَبْصَارَ	وَالْأَبْصَارَ	ب ص ر	ب ص ر	ب ص ر	unchanged									root_000121	ب ص ر	ب ص ر	source_root_norm
