qac_root_join_key	qac_root_ar	qac_root_norm	qac_root_canonical	occurrences	surah_count	surahs	example_refs	example_surfaces	example_lemmas	status	audit_class	chosen_method	chosen_root_ids	source_exact_root_ids	normalized_exact_root_ids	canonical_root_ids	legacy_root_norm_extra_root_ids	legacy_root_norm_extra_branch_count	chosen_branch_count	notes
شيء	ش ي ء	ش ي ء	شيا	519	73	2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;56;57;58;59;60;62;64;65;66;67;72;73;74;76;78;80;81;82;85;87	2:20:15;2:20:24;2:29:18;2:35:11;2:48:8;2:58:9;2:70:15;2:90:18	شَآءَ;شَىْءٍ;شِئْ;شَيْـًٔا;يَشَآءُ	شَآءَ;شَىْء	error_legacy_root_norm_overinclude	error	source_exact	root_000831	root_000831	root_000831;root_000832	root_000831;root_000832	root_000832	7	9	root_norm lookup returns different root_id set than source_exact;canonical fallback would return different root_id set
رسل	ر س ل	ر س ل	رسل	513	69	2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;33;34;35;36;37;38;39;40;41;42;43;44;46;47;48;49;50;51;54;55;57;58;59;60;61;62;63;64;65;67;69;71;72;73;77;81;83;91;98;105	2:87:8;2:87:19;2:98:6;2:101:3;2:108:5;2:119:2;2:129:4;2:143:10	رُّسُلِ;رَسُولٌۢ;رُسُلِ;رَسُولٌ;رَسُولَ;أَرْسَلْ;رَسُولًا;رَّسُولُ	رَسُول;أَرْسَلَ	ok_source_exact	ok	source_exact	root_000563	root_000563	root_000563	root_000563		0	11	
ءرض	ء ر ض	ء ر ض	ارض	461	80	2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;61;62;63;64;65;67;69;70;71;72;73;77;78;79;80;84;85;86;88;89;91;99	2:11:7;2:22:4;2:27:17;2:29:7;2:30:8;2:33:16;2:36:15;2:60:27	أَرْضِ;أَرْضَ	أَرْض	ok_normalized_unique	ok	normalized_exact	root_000025		root_000025	root_000025		0	12	no source_root_norm exact match
يوم	ي و م	ي و م	يوم	405	75	1;2;3;4;5;6;7;8;9;10;11;12;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;50;51;52;54;55;56;57;58;60;62;64;65;66;68;69;70;73;74;75;76;77;78;79;80;82;83;85;86;90;101	1:4:2;2:8:7;2:48:2;2:62:11;2:80:6;2:85:39;2:113:26;2:123:2	يَوْمِ;يَوْمًا;أَيَّامًا;يَوْمَ	يَوْم	ok_source_exact	ok	source_exact	root_001700	root_001700	root_001700	root_001700		0	3	
ءيي	ء ي ي	ء ي ي	ايي	382	59	2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;36;37;38;39;40;41;42;43;44;45;46;48;51;53;54;57;58;62;64;65;68;74;78;79;83;90	2:39:4;2:41:14;2:61:49;2:73:9;2:99:4;2:106:4;2:118:10;2:118:22	ـَٔايَٰتِ;ءَايَٰتِ;ءَايَٰتٍۭ;ءَايَةٍ;ءَايَةٌ	ءَايَة	ok_normalized_unique	ok	normalized_exact	root_000074		root_000074	root_000074		0	10	no source_root_norm exact match
سمو	س م و	س م و	سمو	381	81	1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;48;49;50;51;52;53;54;55;56;57;58;59;61;62;63;64;65;67;69;70;71;72;73;76;77;78;79;81;82;84;85;86;87;88;91;96	1:1:1;2:19:4;2:22:6;2:22:10;2:29:12;2:29:15;2:31:3;2:31:11	سْمِ;سَّمَآءِ;سَّمَآءَ;سَمَٰوَٰتٍ;أَسْمَآءَ;أَسْمَآءِ	ٱسْم;سَمَآء	ok_source_exact	ok	source_exact	root_000745	root_000745	root_000745	root_000745		0	8	
كلل	ك ل ل	ك ل ل	كلل	377	74	2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;54;55;57;58;59;61;63;64;65;66;67;68;70;71;72;74;78;80;83;85;86;97;104	2:20:5;2:20:23;2:25:13;2:29:17;2:31:4;2:60:16;2:87:17;2:100:1	كُلَّمَآ;كُلِّ;كُلَّمَا;كُلَّ;كُلُّ	كُلَّمَا;كُلّ	ok_source_exact	ok	source_exact	root_001315	root_001315	root_001315	root_001315		0	10	
عذب	ع ذ ب	ع ذ ب	عذب	373	68	2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;48;50;51;52;54;57;58;59;61;64;65;67;68;70;71;72;73;76;78;84;85;88;89	2:7:11;2:10:8;2:49:8;2:85:44;2:86:10;2:90:26;2:96:19;2:104:11	عَذَابٌ;عَذَابِ;عَذَابُ	عَذَاب	ok_source_exact	ok	source_exact	root_000994	root_000994	root_000994	root_000994		0	8	
عمل	ع م ل	ع م ل	عمل	360	68	2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;45;46;47;48;49;52;53;56;57;58;59;60;62;63;64;65;66;67;77;84;85;88;95;98;99;103	2:25:4;2:62:13;2:74:37;2:82:3;2:85:49;2:96:25;2:110:16;2:134:15	عَمِلُ;عَمِلَ;تَعْمَلُ;يَعْمَلُ	عَمِلَ	ok_source_exact	ok	source_exact	root_001046	root_001046	root_001046	root_001046		0	12	
جعل	ج ع ل	ج ع ل	جعل	346	66	2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;32;33;34;35;36;37;38;39;40;41;42;43;45;46;48;49;50;51;56;57;59;60;65;67;68;69;71;72;73;74;75;76;77;78;87;90;105	2:19:9;2:22:2;2:22:19;2:30:6;2:30:11;2:66:1;2:124:9;2:125:2	يَجْعَلُ;جَعَلَ;تَجْعَلُ;جَاعِلٌ;جَعَلْ;جَاعِلُ	جَعَلَ;جَاعِل	ok_source_exact	ok	source_exact	root_000248	root_000248	root_000248	root_000248		0	11	
رحم	ر ح م	ر ح م	رحم	339	62	1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;38;39;40;41;42;43;44;45;46;47;48;49;50;52;55;57;58;59;60;64;66;67;73;76;78;90	1:1:3;1:1:4;1:3:1;1:3:2;2:37:11;2:54:26;2:64:10;2:105:19	رَّحْمَٰنِ;رَّحِيمِ;رَّحِيمُ;رَحْمَتُ;رَحْمَتِ	رَّحْمَٰن;رَّحِيم;رَحْمَة	ok_source_exact	ok	source_exact	root_000552	root_000552	root_000552	root_000552		0	4	
رءي	ر ء ي	ر ء ي	راي	328	72	2;3;4;5;6;7;8;9;10;11;12;13;14;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;45;46;47;48;52;53;54;56;57;58;59;62;63;67;68;69;70;71;72;76;79;81;83;89;90;96;99;102;105;107;110	2:55:8;2:73:8;2:128:10;2:144:2;2:165:18;2:165:22;2:166:8;2:167:14	نَرَى;يُرِي;أَرِ;نَرَىٰ;يَرَى;يَرَ;رَأَ	رَءَا;أَرَيْ	ok_normalized_unique	ok	normalized_exact	root_000531		root_000531	root_000531		0	13	no source_root_norm exact match
كتب	ك ت ب	ك ت ب	كتب	319	61	2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;50;52;56;57;58;59;62;66;68;69;74;78;82;83;84;98	2:2:2;2:44:8;2:53:4;2:78:5;2:79:3;2:79:4;2:79:19;2:85:25	كِتَٰبُ;كِتَٰبَ;يَكْتُبُ;كَتَبَتْ;كِتَٰبِ	كِتَٰب;كَتَبَ	ok_source_exact	ok	source_exact	root_001283	root_001283	root_001283	root_001283		0	5	
هدي	ه د ي	ه د ي	هدي	316	62	1;2;3;4;5;6;7;9;10;12;13;14;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;45;46;47;48;49;53;57;61;62;63;64;67;68;72;74;76;79;87;90;92;93;96	1:6:1;2:2:6;2:5:3;2:16:5;2:16:11;2:26:32;2:38:8;2:38:11	ٱهْدِ;هُدًى;هُدَىٰ;مُهْتَدِينَ;يَهْدِى;هُدَا	هَدَى;هُدًى;مُّهْتَدُون	ok_source_exact	ok	source_exact	root_001583	root_001583	root_001583	root_001583		0	11	
ظلم	ظ ل م	ظ ل م	ظلم	315	59	2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;45;46;49;50;51;52;53;57;59;60;61;62;65;66;68;71;76	2:17:15;2:19:6;2:20:11;2:35:18;2:51:12;2:54:7;2:57:14;2:57:18	ظُلُمَٰتٍ;ظُلُمَٰتٌ;أَظْلَمَ;ظَّٰلِمِينَ;ظَٰلِمُونَ;ظَلَمْ;ظَلَمُ;يَظْلِمُ	ظُلُمَٰت;أَظْلَمَ;ظَالِم;ظَلَمَ	ok_source_exact	ok	source_exact	root_000967	root_000967	root_000967	root_000967		0	6	
نفس	ن ف س	ن ف س	نفس	298	63	2;3;4;5;6;7;8;9;10;11;12;13;14;16;17;18;20;21;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;39;40;41;42;43;45;47;48;49;50;51;53;57;58;59;61;63;64;65;66;73;74;75;79;81;82;83;86;89;91	2:9:8;2:44:5;2:48:5;2:48:7;2:54:8;2:54:15;2:57:17;2:72:3	أَنفُسَ;نَفْسٌ;نَّفْسٍ;نَفْسًا	نَفْس	ok_source_exact	ok	source_exact	root_001533	root_001533	root_001533	root_001533		0	16	
قبل	ق ب ل	ق ب ل	قبل	294	64	2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;32;33;34;35;36;37;38;39;40;41;42;43;44;46;47;48;49;50;51;52;53;54;55;56;57;58;59;62;63;64;67;68;69;70;71	2:4:9;2:21:9;2:25:24;2:48:10;2:89:12;2:91:27;2:108:10;2:118:15	قَبْلِ;قَبْلُ;يُقْبَلُ	قَبْل;يَقْبَلُ	ok_source_exact	ok	source_exact	root_001198	root_001198	root_001198	root_001198		0	16	
نزل	ن ز ل	ن ز ل	نزل	293	60	2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;50;53;56;57;58;59;64;65;67;69;76;78;97	2:4:4;2:4:7;2:22:8;2:23:6;2:41:3;2:57:4;2:59:9;2:90:8	أُنزِلَ;أَنزَلَ;نَزَّلْ;أَنزَلْ	أَنزَلَ;نَزَّلَ	ok_source_exact	ok	source_exact	root_001492	root_001492	root_001492	root_001492		0	9	
ذكر	ذ ك ر	ذ ك ر	ذكر	292	71	2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;32;33;35;36;37;38;39;40;41;42;43;44;45;46;47;49;50;51;52;53;54;56;57;58;62;63;65;68;69;72;73;74;75;76;77;79;80;81;87;88;89;92;94	2:40:3;2:47:3;2:63:11;2:114:8;2:122:3;2:152:1;2:152:2;2:198:13	ٱذْكُرُ;يُذْكَرَ;أَذْكُرْ	ذَكَرَ	ok_source_exact	ok	source_exact	root_000516	root_000516	root_000516	root_000516		0	7	
حقق	ح ق ق	ح ق ق	حقق	287	59	2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;50;51;53;56;57;60;61;64;69;70;78;84;103	2:26:17;2:42:3;2:42:6;2:61:54;2:71:20;2:91:17;2:109:21;2:119:3	حَقُّ;حَقَّ;حَقِّ	حَقّ	ok_source_exact	ok	source_exact	root_000347	root_000347	root_000347	root_000347		0	13	
كذب	ك ذ ب	ك ذ ب	كذب	282	68	2;3;4;5;6;7;8;9;10;11;12;15;16;17;18;20;21;22;23;24;25;26;27;28;29;30;32;34;35;36;37;38;39;40;42;43;50;52;53;54;55;56;57;58;59;61;62;63;64;67;68;69;72;73;74;75;77;78;79;82;83;84;85;91;92;95;96;107	2:10:12;2:39:3;2:87:26;3:11:7;3:61:25;3:75:34;3:78:27;3:94:5	يَكْذِبُ;كَذَّبُ;كَذَّبْ;كَٰذِبِينَ;كَذِبَ	كَذَبَ;كَذَّبَ;كَٰذِب;كَذِب	ok_source_exact	ok	source_exact	root_001290	root_001290	root_001290	root_001290		0	9	
جيء	ج ي ء	ج ي ء	جيا	278	62	2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;23;24;25;26;27;28;29;30;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;49;50;51;53;54;57;58;59;60;61;63;67;69;71;79;80;89;98;110	2:71:19;2:87:18;2:89:2;2:89:18;2:92:2;2:101:2;2:120:21;2:145:26	جِئْ;جَآءَ	جَآءَ	error_legacy_root_norm_overinclude	error	source_exact	root_000281	root_000281	root_000281;root_000282	root_000281;root_000282	root_000282	3	6	root_norm lookup returns different root_id set than source_exact;canonical fallback would return different root_id set
عبد	ع ب د	ع ب د	عبد	275	57	1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;34;35;36;37;38;39;40;41;42;43;44;46;50;51;53;54;57;60;66;71;72;76;89;96;98;106;109	1:5:2;2:21:3;2:23:8;2:83:7;2:90:20;2:133:12;2:133:16;2:138:10	نَعْبُدُ;ٱعْبُدُ;عَبْدِ;تَعْبُدُ;عِبَادِ;عَٰبِدُونَ	عَبَدَ;عَبْد;عَابِد	ok_source_exact	ok	source_exact	root_000973	root_000973	root_000973	root_000973		0	11	
ءخذ	ء خ ذ	ء خ ذ	اخذ	273	55	2;3;4;5;6;7;8;9;10;11;12;13;15;16;17;18;19;20;21;22;23;24;25;26;28;29;31;33;34;35;36;38;39;40;41;42;43;44;45;46;48;51;54;55;57;58;59;60;63;69;72;73;76;78;79	2:48:14;2:51:7;2:54:9;2:55:11;2:63:2;2:63:7;2:67:12;2:80:9	يُؤْخَذُ;ٱتَّخَذْ;ٱتِّخَاذِ;أَخَذَتْ;أَخَذْ;خُذُ;تَتَّخِذُ;تَّخَذْ	أَخَذَ;ٱتَّخَذَ;ٱتِّخَاذ	ok_normalized_unique	ok	normalized_exact	root_000018		root_000018	root_000018		0	12	no source_root_norm exact match
خلق	خ ل ق	خ ل ق	خلق	261	75	2;3;4;5;6;7;9;10;11;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;34;35;36;37;38;39;40;41;42;43;44;45;46;49;50;51;52;53;54;55;56;57;59;64;65;67;68;70;71;74;75;76;77;78;79;80;82;86;87;88;89;90;92;95;96;113	2:21:6;2:29:3;2:102:66;2:164:3;2:200:24;2:228:12;3:47:13;3:49:12	خَلَقَ;خَلَٰقٍ;خَلْقِ;يَخْلُقُ;أَخْلُقُ	خَلَقَ;خَلَٰق;خَلْق	ok_source_exact	ok	source_exact	root_000434	root_000434	root_000434	root_000434		0	11	
وقي	و ق ي	و ق ي	وقي	258	63	2;3;4;5;6;7;8;9;10;11;12;13;15;16;19;20;21;22;23;24;25;26;27;28;29;30;31;33;36;37;38;39;40;41;43;44;45;47;48;49;50;51;52;53;54;57;58;59;60;64;65;66;68;69;71;73;74;76;77;78;91;92;96	2:2:7;2:21:11;2:24:6;2:41:18;2:48:1;2:63:15;2:66:9;2:103:4	مُتَّقِينَ;تَتَّقُ;ٱتَّقُ;ٱتَّقَ	مُتَّقِين;ٱتَّقَىٰ	ok_source_exact	ok	source_exact	root_001677	root_001677	root_001677	root_001677		0	5	
ءخر	ء خ ر	ء خ ر	اخر	250	64	2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;20;21;22;23;24;25;26;27;28;29;30;31;33;34;35;37;38;39;40;41;42;43;44;48;49;50;51;53;56;57;58;59;60;61;62;63;65;68;71;73;74;75;77;79;82;87;92;93	2:4:10;2:8:8;2:62:12;2:86:6;2:94:6;2:102:64;2:114:28;2:126:18	ءَاخِرَةِ;ءَاخِرِ;ءَاخِرَةُ	آخِر	ok_normalized_unique	ok	normalized_exact	root_000019		root_000019	root_000019		0	3	no source_root_norm exact match
ءمر	ء م ر	ء م ر	امر	248	61	2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;49;50;51;52;54;57;59;64;65;66;79;80;82;96;97;98	2:27:10;2:44:1;2:67:7;2:68:23;2:93:22;2:109:27;2:117:6;2:169:2	أَمَرَ;تَأْمُرُ;يَأْمُرُ;تُؤْمَرُ;أَمْرِ;أَمْرًا	أَمَرَ;أَمْر	ok_normalized_unique	ok	normalized_exact	root_000051		root_000051	root_000051		0	10	no source_root_norm exact match
نوس	ن و س	ن و س	نوس	241	53	2;3;4;5;6;7;8;9;10;11;12;13;14;16;17;18;19;20;21;22;24;25;26;27;28;29;30;31;32;33;34;35;38;39;40;42;43;44;45;46;47;48;49;54;57;59;62;66;83;99;101;110;114	2:8:2;2:13:7;2:21:2;2:24:10;2:44:2;2:83:17;2:94:12;2:96:3	نَّاسِ;نَّاسُ;نَّاسَ	نَّاس	ok_source_exact	ok	source_exact	root_004965	root_004965	root_004965	root_004965		0	2	
بعد	ب ع د	ب ع د	بعد	235	57	2;3;4;5;6;7;8;9;10;11;12;13;14;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;33;34;35;36;38;39;40;41;42;43;45;46;47;48;49;50;53;57;59;61;65;66;68;70;77;79;95;98	2:27:6;2:51:10;2:52:5;2:56:4;2:64:4;2:74:5;2:75:15;2:87:7	بَعْدِ	بَعْد	ok_source_exact	ok	source_exact	root_000131	root_000131	root_000131	root_000131		0	10	
غفر	غ ف ر	غ ف ر	غفر	234	56	2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;22;23;24;25;26;27;28;33;34;35;36;38;39;40;41;42;45;46;47;48;49;51;53;57;58;59;60;61;63;64;66;67;71;73;74;85;110	2:58:16;2:173:24;2:175:7;2:182:15;2:192:5;2:199:7;2:199:11;2:218:15	نَّغْفِرْ;غَفُورٌ;مَغْفِرَةِ;ٱسْتَغْفِرُ	غَفَرَ;غَفُور;مَّغْفِرَة;ٱسْتَغْفَرَ	ok_source_exact	ok	source_exact	root_001096	root_001096	root_001096	root_001096		0	8	
ولي	و ل ي	و ل ي	ولي	232	55	2;3;4;5;6;7;8;9;10;11;12;13;16;17;18;19;20;21;22;24;25;27;28;29;30;31;32;33;34;37;39;40;41;42;44;45;46;47;48;51;53;54;57;58;59;60;62;64;66;70;75;80;88;92;96	2:64:2;2:83:24;2:107:15;2:115:5;2:120:29;2:137:10;2:142:6;2:144:7	تَوَلَّيْ;وَلِىٍّ;تُوَلُّ;تَوَلَّ;وَلَّىٰ;نُوَلِّيَ	تَوَلَّىٰ;وَلِىّ;وَلَّىٰ	ok_source_exact	ok	source_exact	root_001684	root_001684	root_001684	root_001684		0	15	
دعو	د ع و	د ع و	دعو	212	55	2;3;4;6;7;8;10;11;12;13;14;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;52;54;57;61;67;68;70;71;72;84;96	2:23:13;2:61:9;2:68:2;2:69:2;2:70:2;2:171:11;2:186:8;2:186:9	ٱدْعُ;دُعَآءً;دَعْوَةَ;دَّاعِ	دَعَا;دُعَآء;دَعْوَة;دَّاع	ok_source_exact	ok	source_exact	root_000478	root_000478	root_000478	root_000478		0	8	
