qac_root_norm	frozen_root_norm	furuq_root_id	furuq_root_norm	furuq_source_root_norm	furuq_resolution	occurrences	statuses	root_correction_statuses	qac_match_modes	sample_refs	sample_surfaces	sample_qac_lemmas
(none)	ء ذ ي	root_000023	ء ذ ي	أ ذ ي	root_norm_unique	12	no_qac_root_at_word:12	unchanged:12	no_surface_or_stem_match_in_ayah:12	6:152:27|9:61:4|9:61:29|14:12:17|33:48:9|33:53:68|33:57:3|33:58:3	إِذَا|يُؤْذُونَ|ءَاذَيْتُمُونَا|أَذَىٰهُمْ|تُؤْذُوا۟|يُؤْذَيْنَ|ءَاذَوْا۟|إِذْ	
(none)	ء ر ب	root_000024	ء ر ب	أ ر ب	root_norm_unique	1	no_qac_root_at_word:1	unchanged:1	no_surface_or_stem_match_in_ayah:1	24:31:60	الْإِرْبَةِ	
(none)	ء ر م	root_000075	ء ر م	إ ر م	root_norm_unique	1	no_qac_root_at_word:1	unchanged:1	no_surface_or_stem_match_in_ayah:1	89:7:1	إِرَمَ	
(none)	ء ز ز	root_000028	ء ز ز	أ ز ز	root_norm_unique	1	no_qac_root_at_word:1	unchanged:1	no_surface_or_stem_match_in_ayah:1	19:83:8	تَؤُزُّهُمْ	
(none)	ء ز ف	root_000029	ء ز ف	أ ز ف	root_norm_unique	1	no_qac_root_at_word:1	unchanged:1	no_surface_or_stem_match_in_ayah:1	53:57:2	ٱلْءَازِفَةُ	
(none)	ء س ر	root_000030	ء س ر	أ س ر	root_norm_unique	1	no_qac_root_at_word:1	unchanged:1	no_surface_or_stem_match_in_ayah:1	33:26:18	تَأْسِرُونَ	
(none)	ء س ف	root_000032	ء س ف	أ س ف	root_norm_unique	1	no_qac_root_at_word:1	unchanged:1	no_surface_or_stem_match_in_ayah:1	43:55:3	ءَاسَفُونَا	
(none)	ء س ن	root_000033	ء س ن	أ س ن	root_norm_unique	1	no_qac_root_at_word:1	unchanged:1	no_surface_or_stem_match_in_ayah:1	47:15:11	آسِنٍ	
(none)	ء س و	root_000034	ء س و	أ س و	root_norm_unique	1	no_qac_root_at_word:1	unchanged:1	no_surface_or_stem_match_in_ayah:1	57:23:3	تَأْسَوْا	
(none)	ء ش ر	root_000035	ء ش ر	أ ش ر	root_norm_unique	1	no_qac_root_at_word:1	unchanged:1	no_surface_or_stem_match_in_ayah:1	72:10:5	أَشَرٌّ	
(none)	ء ص ل	root_000038	ء ص ل	أ ص ل	root_norm_unique	3	no_qac_root_at_word:3	unchanged:3	no_surface_or_stem_match_in_ayah:3	7:205:17|13:15:18|24:36:17	ٱلْءَاصَالِ	
(none)	ء ف ق	root_000040	ء ف ق	أ ف ق	root_norm_unique	1	no_qac_root_at_word:1	unchanged:1	no_surface_or_stem_match_in_ayah:1	41:53:4	ٱلْءَافَاقِ	
(none)	ء ف ك	root_000041	ء ف ك	أ ف ك	root_norm_unique	14	no_qac_root_at_word:14	unchanged:14	no_surface_or_stem_match_in_ayah:14	5:75:27|6:95:20|9:30:26|9:70:20|10:34:18|29:61:20|30:55:14|35:3:24	يُؤْفَكُونَ|تُؤْفَكُونَ|الْمُؤْتَفِكَاتِ|أَئِفْكًا|ٱلْمُؤْتَفِكَةَ|ٱلْمُؤْتَفِكَٰتُ	
(none)	ء ك ل	root_000043	ء ك ل	أ ك ل	root_norm_unique	2	no_qac_root_at_word:2	unchanged:2	no_surface_or_stem_match_in_ayah:2	23:20:13|56:52:2	ٱلْءَاكِلِينَ|آكِلُونَ	
(none)	ء ل ف	root_000045	ء ل ف	أ ل ف	root_norm_unique	3	no_qac_root_at_word:3	unchanged:3	no_surface_or_stem_match_in_ayah:3	9:60:11|106:1:1|106:2:1	ٱلْمُؤَلَّفَةِ|لِإِيلَٰفِ|إِۦلَٰفِهِمْ	
(none)	ء ل م	root_000046	ء ل م	أ ل م	root_norm_unique	3	no_qac_root_at_word:3	unchanged:3	no_surface_or_stem_match_in_ayah:3	4:104:9|4:104:12|4:104:15	تَأْلَمُونَ|يَأْلَمُونَ	
(none)	ء ل ه	root_000047	ء ل ه	أ ل ه	root_norm_unique	2	no_qac_root_at_word:2	disputed:2	no_surface_or_stem_match_in_ayah:2	5:81:5|63:9:6	بِٱللَّهِ|تُلْهِكُمْ	
(none)	ء ل ي	root_000076	ء ل ي	إ ل ى	root_norm_unique	4	no_qac_root_at_word:4	unchanged:4	no_surface_or_stem_match_in_ayah:4	5:49:22|5:64:27|5:67:7|19:25:3	إِلَيْكَ|إِلَيْكِ	
(none)	ء م ر	root_000051	ء م ر	أ م ر	root_norm_unique	6	no_qac_root_at_word:6	unchanged:6	no_surface_or_stem_match_in_ayah:6	2:68:25|9:112:7|15:65:20|16:50:8|28:20:13|66:6:26	تُؤْمَرُونَ|ٱلْءَامِرُونَ|يُؤْمَرُونَ|يَأْتَمِرُونَ	
(none)	ء م م	root_000053	ء م م	أ م م	root_norm_unique	7	no_qac_root_at_word:7	unchanged:7	no_surface_or_stem_match_in_ayah:7	3:20:20|3:75:34|7:157:5|7:158:30|21:92:3|23:52:4|62:2:5	ٱلْأُمِّيِّۦنَ|ٱلْأُمِّىَّ|ٱلْأُمِّىِّ|أُمَّتُكُمْ|الْأُمِّيِّينَ	
(none)	ء م ن	root_000054	ء م ن	أ م ن	root_norm_unique	514	no_qac_root_at_word:514	unchanged:514	no_surface_or_stem_match_in_ayah:514	2:3:2|2:4:3|2:6:11|2:8:6|2:9:5|2:13:6|2:13:12|2:14:5	يُؤْمِنُونَ|ءَامَنَّا|ءَامَنُوا۟|ءَامِنُوا۟|أَنُؤْمِنُ|ءَامَنُوا|يُؤْمِنُوا۟|تُؤْمِنُونَ	
(none)	ء م ه	root_000055	ء م ه	أ م ه	root_norm_unique	9	no_qac_root_at_word:9	unchanged:9	no_surface_or_stem_match_in_ayah:9	4:23:3|16:78:6|24:61:28|33:4:17|33:6:9|39:6:19|53:32:27|58:2:8	أُمَّهَاتُكُمْ|أُمَّهَٰتِكُمْ|أُمَّهَاتِكُمْ|أُمَّهَٰتِكُمْ|أُمَّهَٰتُهُمْ|أُمَّهَٰتِهِمْ|أُمَّهَٰتُهُمْ	
(none)	ء ن ت	root_000057	ء ن ت	أ ن ت	root_norm_unique	2	no_qac_root_at_word:2	unchanged:2	no_surface_or_stem_match_in_ayah:2	5:116:9|5:116:47	ءَأَنتَ|أَنتَ	
(none)	ء ن ث	root_000058	ء ن ث	أ ن ث	root_norm_unique	7	no_qac_root_at_word:7	unchanged:7	no_surface_or_stem_match_in_ayah:7	4:11:9|4:117:6|4:176:51|6:143:14|6:143:19|6:144:13|6:144:18	ٱلْأُنثَيَيْنِ|إِنَاثًا	
(none)	ء ن س	root_000059	ء ن س	أ ن س	root_norm_unique	69	no_qac_root_at_word:69	disputed:69	no_surface_or_stem_match_in_ayah:69	4:6:10|4:28:8|10:12:4|11:9:5|12:5:16|14:34:15|15:26:5|16:4:2	ءَانَسْتُم|ٱلْإِنسَٰنُ|ٱلْإِنسَٰنَ|الْإِنْسَانَ|لْإِنسَٰنِ|ٱلْإِنسَٰنِ|الْإِنْسَانُ|ءَانَسْتُ	
(none)	ء ن م ا	root_000062|root_000077	ء ن م ا	أ ن م ا|إ ن م ا	root_norm_ambiguous	13	no_qac_root_at_word:13	unchanged:13	no_surface_or_stem_match_in_ayah:13	2:117:10|5:27:22|5:33:1|5:49:28|5:55:1|5:90:5|5:91:1|5:92:14	إِنَّمَا|أَنَّمَا|إِنَّمَآ	
(none)	ء ن ي	root_000063	ء ن ي	أ ن ي	root_norm_unique	1	no_qac_root_at_word:1	unchanged:1	no_surface_or_stem_match_in_ayah:1	3:113:11	آنَاءَ	
(none)	ء ه ل	root_000064	ء ه ل	أ ه ل	root_norm_unique	1	no_qac_root_at_word:1	unchanged:1	no_surface_or_stem_match_in_ayah:1	2:189:3	ٱلْأَهِلَّةِ	
(none)	ء و ل	root_000067	ء و ل	أ و ل	root_norm_unique	19	no_qac_root_at_word:19	unchanged:19	no_surface_or_stem_match_in_ayah:19	5:10:8|5:43:16|5:44:52|5:45:44|5:47:20|5:60:25|5:86:8|7:38:28	أُو۟لَٰٓئِكَ|أُولَىٰهُمْ|أُولُو|أُولَىٰهُمَا|آلِ|إِلْ|أُو۟لَاتِ	
(none)	ء و ن	root_000068	ء و ن	أ و ن	root_norm_unique	7	no_qac_root_at_word:7	unchanged:7	no_surface_or_stem_match_in_ayah:7	2:71:19|2:187:29|4:18:16|8:66:1|10:51:7|10:91:1|72:9:12	ٱلْـَٰٔنَ|ٱلْـَٔنَ|ءَآلْـَٰٔنَ|ٱلْءَانَ	
(none)	ء و ه	root_000069	ء و ه	أ و ه	root_norm_unique	2	no_qac_root_at_word:2	unchanged:2	no_surface_or_stem_match_in_ayah:2	9:114:26|11:75:5	أَوَّاهٌ	
(none)	ء و ي	root_000070	ء و ي	أ و ي	root_norm_unique	25	no_qac_root_at_word:25	disputed:25	no_surface_or_stem_match_in_ayah:25	3:151:18|3:162:14|3:197:4|4:97:26|4:121:2|5:72:35|8:16:22|8:26:14	مَأْوَىٰهُمُ|مَأْوَىٰهُ|مَأْوَىٰهُمْ|مَأْوَاهُمْ|ـَٔاوَىٰكُمْ|ءَاوَوا۟|آوَى|مَّأْوَىٰهُمْ	
(none)	ء ي د	root_000071	ء ي د	أ ي د	root_norm_unique	10	no_qac_root_at_word:10	unchanged:10	no_surface_or_stem_match_in_ayah:10	3:182:5|4:77:9|5:94:13|7:124:3|8:51:5|8:70:8|20:71:17|26:49:20	أَيْدِيكُمْ|أَيْدِيَكُمْ	
(none)	ء ي ك	root_000072	ء ي ك	أ ي ك	root_norm_unique	4	no_qac_root_at_word:4	unchanged:4	no_surface_or_stem_match_in_ayah:4	15:78:5|26:176:3|38:13:8|50:14:3	ٱلْأَيْكَةِ|لْـَٔيْكَةِ|لْـَٔيْكَةِ	
(none)	ء ي م	root_000073	ء ي م	أ ي م	root_norm_unique	1	no_qac_root_at_word:1	unchanged:1	no_surface_or_stem_match_in_ayah:1	24:32:3	ٱلْأَيَٰمَىٰ	
(none)	ء ي ي	root_000074	ء ي ي	أ ي ي	root_norm_unique	223	no_qac_root_at_word:223	disputed:223	no_surface_or_stem_match_in_ayah:223	2:39:7|2:41:19|2:61:64|2:73:13|2:118:24|2:129:9|2:145:10|2:151:9	ـَٔايَٰتِنَآ|ءَايَٰتِى|آيَاتِ|ءَايَٰتِهِۦ|ٱلْءَايَٰتِ|ءَايَٰتِكَ|آيَةٍ|ءَايَٰتِنَا	
(none)	ب ت ك	root_000081	ب ت ك	ب ت ك	source_root_norm	1	no_qac_root_at_word:1	unchanged:1	no_surface_or_stem_match_in_ayah:1	4:119:12	يُبَتِّكُنَّ	
(none)	ب خ س	root_000087	ب خ س	ب خ س	source_root_norm	4	no_qac_root_at_word:4	unchanged:4	no_surface_or_stem_match_in_ayah:4	7:85:28|11:15:16|11:85:12|26:183:3	تَبْخَسُوا۟|يُبْخَسُونَ|تَبْخَسُوا	
(none)	ب د د	root_000092	ب د د	ب د د	source_root_norm	8	no_qac_root_at_word:8	unchanged:8	no_surface_or_stem_match_in_ayah:8	2:284:12|3:29:8|3:154:42|4:149:2|5:99:10|6:91:31|12:77:18|24:29:16	تُبْدُوا۟|تُبْدُوهُ|يُبْدُونَ|تُبْدُوا|تُبْدُونَ|تُبْدُونَهَا|يُبْدِهَا	
(none)	ب د ر	root_000093	ب د ر	ب د ر	source_root_norm	1	no_qac_root_at_word:1	unchanged:1	no_surface_or_stem_match_in_ayah:1	3:123:7	بَدْرٍۢ	
(none)	ب د ل	root_000095	ب د ل	ب د ل	source_root_norm	5	no_qac_root_at_word:5	unchanged:5	no_surface_or_stem_match_in_ayah:5	2:61:31|4:2:7|18:81:4|66:5:6|68:32:4	أَتَسْتَبْدِلُونَ|تَتَبَدَّلُوا۟|يُبْدِلَهُمَا|يُبْدِلَهُۥٓ|يُبْدِلَنَا	
(none)	ب د و	root_000097	ب د و	ب د و	source_root_norm	5	no_qac_root_at_word:5	unchanged:5	no_surface_or_stem_match_in_ayah:5	2:33:25|2:271:2|24:31:13|24:31:27|33:54:2	تُبْدُونَ|تُبْدُوا|يُبْدِينَ|تُبْدُوا۟	
(none)	ب ذ ر	root_000098	ب ذ ر	ب ذ ر	source_root_norm	1	no_qac_root_at_word:1	unchanged:1	no_surface_or_stem_match_in_ayah:1	17:27:2	ٱلْمُبَذِّرِينَ	
(none)	ب ر ء	root_000099	ب ر ء	ب ر ء	source_root_norm	3	no_qac_root_at_word:3	unchanged:3	no_surface_or_stem_match_in_ayah:3	10:41:12|57:22:17|60:4:16	بَرِيئُونَ|نَبْرَأَهَا|بُرَآءُ	
(none)	ب ر ج	root_000101	ب ر ج	ب ر ج	source_root_norm	1	no_qac_root_at_word:1	unchanged:1	no_surface_or_stem_match_in_ayah:1	33:33:7	تَبَرَّجْنَ	
(none)	ب ر ر	root_000104	ب ر ر	ب ر ر	source_root_norm	4	no_qac_root_at_word:4	unchanged:4	no_surface_or_stem_match_in_ayah:4	2:224:9|60:8:16|98:6:17|98:7:10	تَبَرُّوا۟|تَبَرُّوهُمْ|ٱلْبَرِيَّةِ	
(none)	ب ر ز خ	root_000106	ب ر ز خ	ب ر ز خ	source_root_norm	3	no_qac_root_at_word:3	unchanged:3	no_surface_or_stem_match_in_ayah:3	23:100:14|25:53:16|55:20:2	بَرْزَخٌ|بَرْزَخًا	
(none)	ب ر ق	root_000108	ب ر ق	ب ر ق	source_root_norm	1	no_qac_root_at_word:1	unchanged:1	no_surface_or_stem_match_in_ayah:1	56:18:4	أَبَارِيقَ	
(none)	ب ر ك	root_000109	ب ر ك	ب ر ك	source_root_norm	9	no_qac_root_at_word:9	unchanged:9	no_surface_or_stem_match_in_ayah:9	7:137:12|11:73:9|17:1:14|21:71:8|21:81:12|24:61:73|28:30:11|34:18:8	بَٰرَكْنَا|بَرَكَاتُهُ|مُبَارَكَةً|ٱلْمُبَٰرَكَةِ	
(none)	ب ر ه م	root_000111	ب ر ه م	ب ر ه م	source_root_norm	62	no_qac_root_at_word:62	corrected:1|unchanged:61	no_surface_or_stem_match_in_ayah:62	2:124:4|2:125:14|2:125:19|2:126:4|2:127:4|2:130:6|2:132:4|2:133:22	إِبْرَٰهِۦمَ|إِبْرَٰهِۦمُ|إِبْرَاهِيمَ|إِبْرَٰهِيمَ|إِبْرَٰهِيمُ|إِبْرَاهِيمُ	
(none)	ب ر ه ن	root_000112	ب ر ه ن	ب ر ه ن	source_root_norm	5	no_qac_root_at_word:5	unchanged:5	no_surface_or_stem_match_in_ayah:5	2:111:16|4:174:6|21:24:8|27:64:18|28:75:10	بُرْهَٰنَكُمْ|بُرْهَانٌ|بُرْهَانَكُمْ	
(none)	ب س ط	root_000116	ب س ط	ب س ط	source_root_norm	1	no_qac_root_at_word:1	unchanged:1	no_surface_or_stem_match_in_ayah:1	18:18:16	بَاسِطٌ	
(none)	ب ش ر	root_000120	ب ش ر	ب ش ر	source_root_norm	8	no_qac_root_at_word:8	unchanged:8	no_surface_or_stem_match_in_ayah:8	2:187:30|2:187:58|3:170:9|3:171:1|9:124:23|15:67:5|30:48:33|39:45:21	بَٰشِرُوهُنَّ|تُبَٰشِرُوهُنَّ|يَسْتَبْشِرُونَ	
(none)	ب ص ر	root_000121	ب ص ر	ب ص ر	source_root_norm	59	no_qac_root_at_word:59	unchanged:59	no_surface_or_stem_match_in_ayah:59	2:7:10|2:17:21|2:20:4|2:20:25|3:13:34|6:46:8|6:103:3|6:103:7	أَبْصَٰرِهِمْ|يُبْصِرُونَ|أَبْصَٰرَهُمْ|ٱلْأَبْصَٰرِ|أَبْصَٰرَكُمْ|ٱلْأَبْصَٰرُ|ٱلْأَبْصَٰرَ|أَبْصَٰرُهُمْ	
(none)	ب ض ع	root_000123	ب ض ع	ب ض ع	source_root_norm	5	no_qac_root_at_word:5	unchanged:5	no_surface_or_stem_match_in_ayah:5	12:19:17|12:62:6|12:65:6|12:65:15|12:88:16	بِضَاعَةً|بِضَاعَتَهُمْ|بِضَاعَتُنَا|بِضَاعَةٍ	
(none)	ب ط ء	root_000124	ب ط ء	ب ط ء	source_root_norm	1	no_qac_root_at_word:1	unchanged:1	no_surface_or_stem_match_in_ayah:1	4:72:7	يُبَطِّئَنَّ	
(none)	ب ط ل	root_000127	ب ط ل	ب ط ل	source_root_norm	29	no_qac_root_at_word:29	unchanged:29	no_surface_or_stem_match_in_ayah:29	2:42:6|2:188:7|2:264:6|3:71:8|4:29:10|4:161:13|7:173:18|8:8:6	ٱلْبَٰطِلِ|تُبْطِلُوا۟|ٱلْمُبْطِلُونَ|ٱلْبَٰطِلَ|ٱلْبَاطِلِ|سَيُبْطِلُهُۥٓ|ٱلْبَٰطِلُ	
(none)	ب ع ل	root_000134	ب ع ل	ب ع ل	source_root_norm	4	no_qac_root_at_word:4	unchanged:4	no_surface_or_stem_match_in_ayah:4	2:228:29|24:31:31|24:31:36|24:31:41	بُعُولَتُهُنَّ|بُعُولَتِهِنَّ	
(none)	ب غ ي	root_000138	ب غ ي	ب غ ي	source_root_norm	30	no_qac_root_at_word:30	unchanged:30	no_surface_or_stem_match_in_ayah:30	2:198:5|3:83:5|3:99:12|4:24:19|4:34:45|4:94:22|4:139:8|5:2:24	تَبْتَغُوا|يَبْغُونَ|تَبْغُونَهَا|تَبْتَغُوا۟|تَبْغُوا۟|تَبْتَغُونَ|أَيَبْتَغُونَ|يَبْتَغُونَ	
(none)	ب ق ر	root_000139	ب ق ر	ب ق ر	source_root_norm	1	no_qac_root_at_word:1	unchanged:1	no_surface_or_stem_match_in_ayah:1	12:43:7	بَقَرَاتٍ	
(none)	ب ق ع	root_000140	ب ق ع	ب ق ع	source_root_norm	2	no_qac_root_at_word:2	unchanged:2	no_surface_or_stem_match_in_ayah:2	24:39:7|28:30:10	بِقِيعَةٍ|ٱلْبُقْعَةِ	
(none)	ب ق ي	root_000142	ب ق ي	ب ق ي	source_root_norm	4	no_qac_root_at_word:4	unchanged:4	no_surface_or_stem_match_in_ayah:4	18:46:8|19:76:8|26:120:4|37:77:5	الْبَاقِيَاتُ|ٱلْبَاقِينَ	
(none)	ب ك ر	root_000143	ب ك ر	ب ك ر	source_root_norm	2	no_qac_root_at_word:2	unchanged:2	no_surface_or_stem_match_in_ayah:2	3:41:24|40:55:19	ٱلْإِبْكَٰرِ	
(none)	ب ك ك	root_000144	ب ك ك	ب ك ك	source_root_norm	4	no_qac_root_at_word:4	unchanged:4	no_surface_or_stem_match_in_ayah:4	3:96:10|9:82:6|12:16:5|53:60:5	بَكَّةَ|يَبْكُوا۟|يَبْكُونَ|تَبْكُونَ	
(none)	ب ك ي	root_000147	ب ك ي	ب ك ي	source_root_norm	1	no_qac_root_at_word:1	unchanged:1	no_surface_or_stem_match_in_ayah:1	17:109:5	يَبْكُونَ	
(none)	ب ل د	root_000148	ب ل د	ب ل د	source_root_norm	6	no_qac_root_at_word:6	unchanged:6	no_surface_or_stem_match_in_ayah:6	3:196:7|27:91:7|40:4:14|50:36:14|89:8:6|89:11:4	ٱلْبِلَٰدِ|ٱلْبَلْدَةِ	
(none)	ب ل غ	root_000151	ب ل غ	ب ل غ	source_root_norm	16	no_qac_root_at_word:16	unchanged:16	no_surface_or_stem_match_in_ayah:16	3:20:34|5:92:17|5:99:5|6:149:6|7:135:9|13:14:28|13:40:13|16:7:8	ٱلْبَلَٰغُ|ٱلْبَٰلِغَةُ|بَٰلِغُوهُ|بَٰلِغِهِ|بَٰلِغِيهِ|الْبَلَاغُ	
(none)	ب ل ل	root_000152	ب ل ل	ب ل ل	source_root_norm	1	no_qac_root_at_word:1	unchanged:1	no_surface_or_stem_match_in_ayah:1	5:94:6	يَبْلُوَنَّكُمُ	
(none)	ب ل و	root_000153	ب ل و	ب ل و	source_root_norm	6	no_qac_root_at_word:6	unchanged:6	no_surface_or_stem_match_in_ayah:6	3:152:39|3:186:2|7:163:27|76:2:7|89:15:6|89:16:5	يَبْتَلِيَكُمْ|تُبْلَوُنَّ|نَبْلُوهُم|نَبْتَلِيهِ|ٱبْتَلَىٰهُ	
(none)	ب ن ي	root_000156	ب ن ي	ب ن ي	source_root_norm	30	no_qac_root_at_word:30	disputed:30	no_surface_or_stem_match_in_ayah:30	2:132:5|2:133:11|3:14:9|5:18:7|9:109:4|9:109:15|9:110:3|10:90:27	بَنِيهِ|ٱلْبَنِينَ|أَبْنَاءُ|بُنْيَٰنَهُۥ|بُنْيَٰنُهُمُ|بَنُو|بَنَاتِى|بَنَاتِكَ	
(none)	ب ه ت	root_000157	ب ه ت	ب ه ت	source_root_norm	1	no_qac_root_at_word:1	unchanged:1	no_surface_or_stem_match_in_ayah:1	4:20:18	بُهْتَانًا	
(none)	ب و ء	root_000161	ب و ء	ب و ء	source_root_norm	3	no_qac_root_at_word:3	unchanged:3	no_surface_or_stem_match_in_ayah:3	16:41:11|29:58:8|59:9:3	نُبَوِّئَنَّهُمْ|تَبَوَّءُو	
(none)	ب و ب	root_000163	ب و ب	ب و ب	source_root_norm	7	no_qac_root_at_word:7	unchanged:7	no_surface_or_stem_match_in_ayah:7	2:189:28|12:23:11|12:67:13|15:44:4|38:50:6|39:71:12|39:73:14	أَبْوَٰبِهَا|ٱلْأَبْوَابَ|أَبْوَابٍ|ٱلْأَبْوَٰبُ|أَبْوَٰبُهَا	
(none)	ب ي ت	root_000166	ب ي ت	ب ي ت	source_root_norm	2	no_qac_root_at_word:2	unchanged:2	no_surface_or_stem_match_in_ayah:2	10:50:6|25:64:3	بَيَاتَاً|يَبِيتُونَ	
(none)	ب ي ن	root_000170	ب ي ن	ب ي ن	source_root_norm	37	no_qac_root_at_word:37	unchanged:37	no_surface_or_stem_match_in_ayah:37	2:87:18|2:92:7|2:185:11|2:209:8|2:253:20|2:253:39|3:86:15|3:105:13	ٱلْبَيِّنَٰتِ|الْبَيِّنَاتِ|بَيِّنَاتٍ|ٱلْبَيِّنَاتُ|ٱلْبَيِّنَٰتُ|مُبَيِّنَاتٍ|ٱلْبَيِّنَاتِ|ٱلْبَيِّنَةُ	
(none)	ت ب ت	root_000173	ت ب ت	ت ب ت	source_root_norm	2	no_qac_root_at_word:2	unchanged:2	no_surface_or_stem_match_in_ayah:2	2:248:11|20:39:4	التَّابُوتُ|ٱلتَّابُوتِ	
(none)	ت ب ع	root_000175	ت ب ع	ت ب ع	source_root_norm	37	no_qac_root_at_word:37	unchanged:37	no_surface_or_stem_match_in_ayah:37	2:168:12|2:208:11|2:262:9|3:7:22|4:27:10|4:135:32|5:77:13|6:116:13	تَتَّبِعُوا۟|يُتْبِعُونَ|يَتَّبِعُونَ|تَتَّبِعُوٓا۟|تَتَّبِعُوا|تَتَّبِعُونَ|ٱتَّبِعُوهُ|يَتَّبِعُوكُمْ	
(none)	ت ج ر	root_000176	ت ج ر	ت ج ر	source_root_norm	6	no_qac_root_at_word:6	unchanged:6	no_surface_or_stem_match_in_ayah:6	2:16:10|9:24:17|24:37:4|61:10:8|62:11:4|62:11:21	تِّجَٰرَتُهُمْ|تِجَارَةٌ|تِجَارَةٍ|تِجَارَةً|التِّجَارَةِ	
(none)	ت ر ف	root_000179	ت ر ف	ت ر ف	source_root_norm	4	no_qac_root_at_word:4	unchanged:4	no_surface_or_stem_match_in_ayah:4	17:16:8|23:64:4|34:34:10|43:23:14	مُتْرَفِيهَا|مُتْرَفِيهِمْ|مُتْرَفُوهَآ	
