rank	path_family_id	family_score	label_hint	members	ayahs	roots	core_branches	optional_branches	representative_path_id	construction_paths
11	PF0011	0.5932	fire / uselessness / echo / spark	4	1,2,3,4,8,9,10	ب ع ث ر ح ب ب ح ص ل ص ب ح ض ب ح ن ق ع و ر ي	ب ع ث ر:B003@9:هدم الحوض وقلب أسفله أعلاه | ح ب ب:B011@8:نار الحباحب شرر لا ينتفع به | ح ص ل:B004@10:موضع يجتمع فيه الطعام في جوف الطائر | ص ب ح:B004@3:يوم الصباح | ض ب ح:B001@1:صوت الضباح | ن ق ع:B005@4:نقع الصوت المرتفع	ص ب ح:B002@3:الإتيان صباحا | ص ب ح:B005@3:المصباح والسراج | و ر ي:B001@2:داء يأكل الجوف أو يصيب الرئة	P1481	P1481[ض ب ح:B001→ص ب ح:B004 ; ض ب ح:B001→ح ب ب:B011 ; ح ب ب:B011→ح ص ل:B004 ; ض ب ح:B001→ن ق ع:B005 ; ض ب ح:B001→ب ع ث ر:B003] | P1966[و ر ي:B001→ح ص ل:B004 ; ح ب ب:B011→ح ص ل:B004 ; ض ب ح:B001→ح ب ب:B011 ; ض ب ح:B001→ص ب ح:B004] | P2088[ص ب ح:B005→ح ب ب:B011 ; ح ب ب:B011→ح ص ل:B004 ; ض ب ح:B001→ح ب ب:B011 ; ض ب ح:B001→ب ع ث ر:B003] | P2179[ض ب ح:B001→ن ق ع:B005 ; ض ب ح:B001→ح ب ب:B011 ; ح ب ب:B011→ح ص ل:B004 ; ض ب ح:B001→ص ب ح:B002]
12	PF0012	0.5793	sweetness / waterway / treaty / pact	3	1,2,5,6,7,8,10,11	ج م ع ح ص ل ر ب ب ش د د ش ه د ض ب ح ع د و ق د ح	ر ب ب:B011@6,11:ربابة عهد وميثاق | ش د د:B001@8:شد العقد والوثاق | ش ه د:B007@7:الشَّهْد في الشمع | ض ب ح:B002@1:عدو ممدود الضبعين | ع د و:B009@1:العَداء والعُدوة في الجانب والطوار	ج م ع:B011@5:نخل دقل اجتمع من النوى لا يعرف اسمه | ح ص ل:B005@10:بلح حصل من النخلة قبل اشتداده | ق د ح:B002@2:نقر الشيء وعيبه	P1113	P1113[ع د و:B009→ر ب ب:B011 ; ر ب ب:B011→ش د د:B001 ; ش ه د:B007→ش د د:B001 ; ش ه د:B007→ح ص ل:B005 ; ج م ع:B011→ح ص ل:B005 ; ع د و:B009→ض ب ح:B002] | P2360[ع د و:B009→ر ب ب:B011 ; ر ب ب:B011→ش د د:B001 ; ع د و:B009→ض ب ح:B002 ; ق د ح:B002→ش د د:B001]
13	PF0013	0.5732	extraction / plant / tooth / ecology	7	1,2,4,5,6,7,8,9,10,11	ء ن س ب ع ث ر ث و ر ج م ع ح ب ب ح ص ل خ ب ر ر ب ب ش ه د ع د و ع ل م ق ب ر ق د ح ك ن د ن ق ع و ر ي	ب ع ث ر:B001@9:قلب التراب وكشف المدفون | ث و ر:B002@4:إثارة الشيء وتحريكه من موضعه | ح ب ب:B009@8:حبب الأسنان انتظام كالدرر | ح ص ل:B002@10:استخراج اللب أو النفيس من غلافه | ر ب ب:B012@6,11:ربة نبات | ع د و:B011@1:العَدَوِيّة من نبات الصيف | ق د ح:B004@2:أكال الشجر والسن	ق ب ر:B001@9:مواراة الميت في القبر	P0626	P0626[ع د و:B011→ق د ح:B004 ; ع د و:B011→ر ب ب:B012 ; ر ب ب:B012→ح ص ل:B002 ; ب ع ث ر:B001→ح ص ل:B002 ; ث و ر:B002→ب ع ث ر:B001 ; ق د ح:B004→ح ب ب:B009 ; ج م ع:B011→ر ب ب:B012 ; ر ب ب:B012→خ ب ر:B005] | P0394[ق د ح:B004→ح ب ب:B009 ; ع د و:B011→ق د ح:B004 ; ع د و:B011→ر ب ب:B012 ; ر ب ب:B012→ح ص ل:B002 ; ب ع ث ر:B001→ح ص ل:B002 ; ب ع ث ر:B001→ق ب ر:B001 ; ن ق ع:B004→ق ب ر:B001 ; ث و ر:B001→ن ق ع:B004 ; ن ق ع:B004→ج م ع:B008] | P0112[ع د و:B011→ر ب ب:B012 ; ر ب ب:B012→ح ص ل:B002 ; ب ع ث ر:B001→ح ص ل:B002 ; ث و ر:B002→ب ع ث ر:B001 ; ع د و:B011→ق د ح:B004 ; ق د ح:B004→ح ب ب:B009 ; ث و ر:B002→ع ل م:B002 ; ج م ع:B001→ع ل م:B002 ; ش ه د:B008→ع ل م:B002] | P0365[ق د ح:B004→ح ب ب:B009 ; ع د و:B011→ق د ح:B004 ; ع د و:B011→ر ب ب:B012 ; ر ب ب:B012→ح ص ل:B002 ; ب ع ث ر:B001→ح ص ل:B002 ; ث و ر:B002→ب ع ث ر:B001 ; و ر ي:B005→ب ع ث ر:B001 ; و ر ي:B005→خ ب ر:B001 ; ش ه د:B002→خ ب ر:B001]
14	PF0014	0.569	gambling / condition_force_change/control_restraint / soil / levelness	3	1,2,4,5,6,10,11	ج م ع ر ب ب ص د ر ع د و ق د ح ك ن د ن ق ع	ج م ع:B008@5:القيد الذي يجمع اليدين إلى العنق | ر ب ب:B010@6,11:ربابة تجمع القداح | ع د و:B010@1:العَدْواء في صلابة المكان واضطرابه | ك ن د:B003@6:الأرض التي لا تنبت | ن ق ع:B007@4:نقاع الأرض القيعان السهلة	ص د ر:B002@10:المقدّم والأعلى والأول | ق د ح:B005@2:غرف ما في القدر | ق د ح:B007@2:عود السهم والقدح في الميسر	P1032	P1032[ن ق ع:B007→ج م ع:B008 ; ج م ع:B008→ر ب ب:B010 ; ق د ح:B007→ر ب ب:B010 ; ق د ح:B007→ص د ر:B002 ; ن ق ع:B007→ك ن د:B003 ; ع د و:B010→ك ن د:B003] | P2337[ق د ح:B005→ر ب ب:B010 ; ج م ع:B008→ر ب ب:B010 ; ن ق ع:B007→ج م ع:B008 ; ن ق ع:B007→ك ن د:B003]
15	PF0015	0.5688	cattle / livestock / abundance / copiousness	5	1,2,3,4,5,6,8,10,11	ء ن س ث و ر ج م ع ح ب ب خ ب ر ر ب ب ص ب ح ص د ر ع د و ق د ح ن ق ع و ر ي	ث و ر:B004@4:الثور: ذكر البقر | خ ب ر:B004@11:الغزر في المزادة والناقة | ر ب ب:B014@6,11:رَبْرَب قطيع | ص ب ح:B008@3:الناقة المصباح | ص د ر:B001@10:الصدر الجارحة وما يتصل بها	ء ن س:B003@6:الأنس الذي يزيل الوحشة | ج م ع:B012@5:عظم الشيء كأنه جامع ممتلئ | ح ب ب:B002@8:المحبة الملازمة للقلب | ح ب ب:B007@8:الحب جرة عظيمة أو موضعها | ح ب ب:B009@8:حبب الأسنان انتظام كالدرر | ع د و:B001@1:مجاوزة الحد والظلم | ق د ح:B004@2:أكال الشجر والسن | ن ق ع:B003@4:نقيعة طعام أو نحر أو لبن | و ر ي:B004@2:شحم وار وسمن ظاهر	P0517	P0517[ث و ر:B004→ء ن س:B003 ; ث و ر:B004→ر ب ب:B014 ; ص ب ح:B008→ر ب ب:B014 ; ص ب ح:B008→خ ب ر:B004 ; و ر ي:B004→خ ب ر:B004 ; ء ن س:B003→ح ب ب:B002 ; ث و ر:B004→ص د ر:B001 ; ع د و:B001→خ ب ر:B004] | P0827[ح ب ب:B007→خ ب ر:B004 ; و ر ي:B004→خ ب ر:B004 ; ص ب ح:B008→خ ب ر:B004 ; ص ب ح:B008→ر ب ب:B014 ; ث و ر:B004→ر ب ب:B014 ; ث و ر:B004→ص د ر:B001 ; ج م ع:B012→ح ب ب:B007] | P0881[ق د ح:B004→ح ب ب:B009 ; ء ن س:B003→ح ب ب:B009 ; ث و ر:B004→ء ن س:B003 ; ث و ر:B004→ر ب ب:B014 ; ث و ر:B004→ص د ر:B001 ; ص ب ح:B008→ر ب ب:B014 ; ص ب ح:B008→خ ب ر:B004] | P1215[ص ب ح:B008→ر ب ب:B014 ; ث و ر:B004→ر ب ب:B014 ; ن ق ع:B003→ر ب ب:B014 ; ص ب ح:B008→خ ب ر:B004 ; ث و ر:B004→ص د ر:B001]
16	PF0016	0.5667	selection / firestick / counsel / aid	2	2,6,7,8,9,11	ب ع ث ر خ ي ر ر ب ب ش ه د و ر ي	ب ع ث ر:B001@9:قلب التراب وكشف المدفون | خ ي ر:B003@8:طلب الخير بالاختيار والاستخارة | ر ب ب:B002@6,11:إصلاح وتربية وإتمام | ر ب ب:B009@6,11:شاة رُبّى وحداثة | ش ه د:B006@7:الخارج عند الولادة والإدراك | و ر ي:B003@2:زند يقدح نجاحا أو نصرة		P2454	P2454[و ر ي:B003→ش ه د:B006 ; ر ب ب:B009→ش ه د:B006 ; و ر ي:B003→خ ي ر:B003] | P2545[و ر ي:B003→خ ي ر:B003 ; و ر ي:B003→ر ب ب:B002 ; ر ب ب:B002→ب ع ث ر:B001]
17	PF0017	0.5599	syrup / echo / paste / condiment	4	1,3,4,6,8,11	ح ب ب خ ي ر ر ب ب ش د د ص ب ح ض ب ح غ ي ر ن ق ع	ح ب ب:B006@8:الري حتى الامتلاء | ر ب ب:B006@6,11:رُبّ خاثر وإصلاح به | ص ب ح:B004@3:يوم الصباح | ض ب ح:B001@1:صوت الضباح | غ ي ر:B001@3:الصلاح والمنفعة بالميرة والسقي والإصلاح	خ ي ر:B002@8:فضل الصلاح والاصطفاء | ش د د:B003@8:شد الحملة والعدو | ن ق ع:B005@4:نقع الصوت المرتفع	P2097	P2097[ض ب ح:B001→ص ب ح:B004 ; ض ب ح:B001→ر ب ب:B006 ; غ ي ر:B001→ر ب ب:B006 ; غ ي ر:B001→خ ي ر:B002] | P2035[ض ب ح:B001→ن ق ع:B005 ; ض ب ح:B001→ر ب ب:B006 ; غ ي ر:B001→ر ب ب:B006 ; ر ب ب:B006→ح ب ب:B006] | P2376[ض ب ح:B001→ر ب ب:B006 ; غ ي ر:B001→ر ب ب:B006 ; ض ب ح:B001→ش د د:B003]
18	PF0018	0.558	nick / topology / integrity / fire	6	1,2,4,5,6,8,9,11	ث و ر ج م ع ح ب ب ر ب ب ش د د ض ب ح ع د و ق ب ر ق د ح ن ق ع	ث و ر:B001@4:انبعاث الشيء وانتشاره ظاهرا | ش د د:B001@8:شد العقد والوثاق | ض ب ح:B003@1:إحراق أعالي العود | ق ب ر:B002@9:غموض الشيء وتطامنه | ق د ح:B002@2:نقر الشيء وعيبه	ج م ع:B008@5:القيد الذي يجمع اليدين إلى العنق | ح ب ب:B003@8:صيغة المدح وغاية الرغبة | ر ب ب:B001@6,11:ربوبية وملك وسيادة | ر ب ب:B011@6,11:ربابة عهد وميثاق | ر ب ب:B016@6,11:رُبَى حاجة وعقدة ونعمة | ش د د:B002@8:شدة القوة والصلابة | ع د و:B008@1:العِداء في تعاقب الصيد | ن ق ع:B004@4:نقع الغبار المثار	P1607	P1607[ر ب ب:B001→ش د د:B001 ; ق د ح:B002→ش د د:B001 ; ق د ح:B002→ق ب ر:B002 ; ض ب ح:B003→ق د ح:B002 ; ث و ر:B001→ق ب ر:B002] | P0631[ر ب ب:B016→ح ب ب:B003 ; ر ب ب:B016→ش د د:B001 ; ق د ح:B002→ش د د:B001 ; ض ب ح:B003→ق د ح:B002 ; ق د ح:B002→ق ب ر:B002 ; ث و ر:B001→ق ب ر:B002 ; ث و ر:B001→ن ق ع:B004 ; ن ق ع:B004→ج م ع:B008] | P0959[ع د و:B008→ر ب ب:B011 ; ر ب ب:B011→ش د د:B001 ; ق د ح:B002→ش د د:B001 ; ق د ح:B002→ق ب ر:B002 ; ث و ر:B001→ق ب ر:B002 ; ث و ر:B001→ن ق ع:B004] | P1242[ض ب ح:B003→ق د ح:B002 ; ق د ح:B002→ق ب ر:B002 ; ث و ر:B001→ق ب ر:B002 ; ق د ح:B002→ش د د:B002]
19	PF0019	0.5575	surface / ripple / bubble / wave	6	1,2,3,4,5,6,8,9,11	ب ع ث ر ث و ر ج م ع ح ب ب ر ب ب ع د و ع ل م غ ي ر ق د ح ن ق ع	ث و ر:B007@4:ثور الماء: طحلب يعلو السطح | ح ب ب:B008@8:حباب الماء فقاقيعه وطرائقه | ر ب ب:B013@6,11:ماء رَبَب كثير | ع ل م:B005@9:ماء كثير مجتمع في عيلم | ن ق ع:B001@4:استقرار الماء وما ينقع فيه	ب ع ث ر:B002@9:تبديد المتاع وقلب بعضه على بعض | ج م ع:B008@5:القيد الذي يجمع اليدين إلى العنق | ج م ع:B013@5:ممالأة واجتماع مع غيرك على أمر | ع د و:B007@1:العَوادي والعادية الشاغلة | غ ي ر:B002@3:الغَيْر في الدية | ق د ح:B002@2:نقر الشيء وعيبه | ق د ح:B010@2:اقتداح الأمر بالنظر والتدبير | ن ق ع:B004@4:نقع الغبار المثار | ن ق ع:B006@4:سم ناقع ثابت أو قاتل	P0120	P0120[ث و ر:B007→ر ب ب:B013 ; ر ب ب:B013→ع ل م:B005 ; ث و ر:B007→ح ب ب:B008 ; ن ق ع:B001→ح ب ب:B008] | P2004[ن ق ع:B001→ب ع ث ر:B002 ; ج م ع:B013→ب ع ث ر:B002 ; ن ق ع:B001→ح ب ب:B008 ; ق د ح:B010→ج م ع:B013] | P1299[ع د و:B007→غ ي ر:B002 ; غ ي ر:B002→ع ل م:B005 ; ر ب ب:B013→ع ل م:B005 ; ث و ر:B007→ر ب ب:B013 ; ث و ر:B007→ح ب ب:B008] | P1320[ن ق ع:B004→ح ب ب:B008 ; ث و ر:B007→ح ب ب:B008 ; ث و ر:B007→ر ب ب:B013 ; ر ب ب:B013→ع ل م:B005 ; ن ق ع:B004→ج م ع:B008]
20	PF0020	0.5561	solid / nick / chunk / cauldron	4	1,2,4,5,6,8,9,11	ث و ر ج م ع ح ب ب ر ب ب ش د د ض ب ح ق ب ر ق د ح	ث و ر:B005@4:ثورة الأقط: قطعة جامدة | ج م ع:B012@5:عظم الشيء كأنه جامع ممتلئ | ح ب ب:B007@8:الحب جرة عظيمة أو موضعها | ش د د:B002@8:شدة القوة والصلابة | ق د ح:B002@2:نقر الشيء وعيبه	ر ب ب:B014@6,11:رَبْرَب قطيع | ر ب ب:B016@6,11:رُبَى حاجة وعقدة ونعمة | ش د د:B001@8:شد العقد والوثاق | ض ب ح:B003@1:إحراق أعالي العود | ق ب ر:B002@9:غموض الشيء وتطامنه	P1467	P1467[ج م ع:B012→ح ب ب:B007 ; ث و ر:B005→ج م ع:B012 ; ث و ر:B005→ر ب ب:B014 ; ق د ح:B002→ج م ع:B012 ; ق د ح:B002→ش د د:B002] | P1712[ق د ح:B002→ش د د:B001 ; ر ب ب:B016→ش د د:B001 ; ق د ح:B002→ج م ع:B012 ; ث و ر:B005→ج م ع:B012] | P1487[ض ب ح:B003→ق د ح:B002 ; ق د ح:B002→ش د د:B002 ; ق د ح:B002→ج م ع:B012 ; ث و ر:B005→ج م ع:B012] | P2102[ج م ع:B012→ح ب ب:B007 ; ث و ر:B005→ج م ع:B012 ; ق د ح:B002→ج م ع:B012 ; ق د ح:B002→ق ب ر:B002]
21	PF0021	0.5532	anger / tip / fist / handful	2	2,5,6,8,9,11	ج م ع ح ب ب ر ب ب ق ب ر ق د ح	ج م ع:B005@5:قبضة الكف إذا ضمت الأصابع | ح ب ب:B010@8:الحبحاب الصغير القصير | ر ب ب:B012@6,11:ربة نبات | ر ب ب:B014@6,11:رَبْرَب قطيع | ق ب ر:B004@9:طرف الأنف في الغضب | ق د ح:B009@2:رخص أطراف النبت		P2476	P2476[ق د ح:B009→ر ب ب:B012 ; ق د ح:B009→ق ب ر:B004 ; ج م ع:B005→ق ب ر:B004] | P2556[ح ب ب:B010→ق ب ر:B004 ; ر ب ب:B014→ح ب ب:B010 ; ج م ع:B005→ق ب ر:B004]
