rank	path_id	path_score	label_hint	ayahs	roots	branch_chain
19	P0019	0.8009	conflict_security/conflict / opposition / competition / resistance	1,2,3,4,5,6,7	ح م د ر ح م س م و ع ب د ع و ن غ ض ب ق و م م ل ك ن ع م ه د ي	س م و:B007:المساماة والمباراة | ر ح م:B001:الرَّحْمَة والرقة | ح م د:B003:المحمود كثير الخصال | م ل ك:B005:مِلاك الأمر وعِماده | ع ب د:B009:قلة اللبث وسرعة العدو | ع و ن:B003:الحرب العَوان | ه د ي:B010:هدي السكون وحسن الهيئة | ق و م:B014:مقاومة ومنازلة | ن ع م:B001:حسن الحال والنعمة | غ ض ب:B003:المراغمة والمخالفة
20	P0020	0.8005	family / comfort / honor / strength	1,2,3,4,5,6,7	ح م د ر ب ب ر ح م ض ل ل ع ب د غ ض ب غ ي ر ق و م م ل ك ن ع م	ر ح م:B002:الرَّحِم والقرابة | ح م د:B002:وجود الشيء محمودا | ر ب ب:B005:ربيب وربيبة ورابة | م ل ك:B001:قوة الشيء وتماسكه | ع ب د:B007:القوة والصلابة | ق و م:B001:جماعة الناس والرجال | ن ع م:B011:موافقة المكان وطيب المقام | غ ي ر:B004:الغَيْرة على الأهل | غ ض ب:B007:العبوس والضجر والعظم في وصف الحيوان أو الشخص | ض ل ل:B003:فقدان الشيء
21	P0021	0.8004	strength / cohesion / material / vitality	1,2,3,4,5,6,7	ر ب ب ر ح م ع ب د ع و ن غ ض ب غ ي ر ق و م م ل ك ن ع م ه د ي	ر ح م:B001:الرَّحْمَة والرقة | ر ب ب:B016:رُبَى حاجة وعقدة ونعمة | م ل ك:B001:قوة الشيء وتماسكه | ع ب د:B007:القوة والصلابة | ع و ن:B005:استواء الخلقة وتلاحق القوة | ه د ي:B006:العروس المهدية إلى زوجها | ق و م:B001:جماعة الناس والرجال | ن ع م:B001:حسن الحال والنعمة | غ ي ر:B004:الغَيْرة على الأهل | غ ض ب:B004:صلابة الصخرة وتماسكها
22	P0022	0.8001	demand / praise / ethics / reputation	1,2,3,4,5,6,7	ر ب ب ر ح م س م و ص ر ط ع ب د ع و ن ق و م م ل ك ن ع م ه د ي	س م و:B008:الصيت الحسن المنتشر | ر ح م:B001:الرَّحْمَة والرقة | ر ب ب:B017:رباني الملاحين | م ل ك:B008:المتقدم القائد في الحيوان | ع ب د:B012:صَلاءة الطيب | ع و ن:B004:النخلة العَوانة القديمة | ه د ي:B010:هدي السكون وحسن الهيئة | ص ر ط:B003:السيف القاطع الماضي في الضربة | ق و م:B018:نفاق السوق | ن ع م:B001:حسن الحال والنعمة
23	P0023	0.7999	contract / family / posture / body_health_life/reproduction_birth	1,2,3,4,5,6,7	ء ل ه د ي ن ر ب ب ر ح م ع ب د ع و ن ق و م م ل ك ن ع م ه د ي	ء ل ه:B001:التعبد والمعبود | ر ح م:B003:رَحِم الأنثى | ر ب ب:B005:ربيب وربيبة ورابة | م ل ك:B004:الإملاك والتزويج | د ي ن:B003:الدين المالي | ع ب د:B004:التعبيد والاستعباد | ع و ن:B005:استواء الخلقة وتلاحق القوة | ه د ي:B008:مشي التهادي مع الاعتماد والتمايل | ق و م:B002:انتصاب وقيام بالبدن | ن ع م:B012:المشي على القدم وابتذالها
24	P0024	0.7995	residence / stay / opposition / burial	1,2,4,5,6,7	ح م د د ي ن ر ب ب س م و ض ل ل ع و ن غ ض ب ق و م م ل ك ن ع م	س م و:B007:المساماة والمباراة | ح م د:B002:وجود الشيء محمودا | ر ب ب:B007:لزوم وإقامة ودوام | م ل ك:B004:الإملاك والتزويج | د ي ن:B003:الدين المالي | ع و ن:B001:الإعانة والمظاهرة | ق و م:B006:مقام وإقامة في موضع | ن ع م:B011:موافقة المكان وطيب المقام | غ ض ب:B003:المراغمة والمخالفة | ض ل ل:B002:الغيبوبة والخفاء
25	P0025	0.799	reputation / city / praise / welfare	1,2,3,4,5,6,7	ح م د د ي ن ر ب ب ر ح م س م و ع ب د ع و ن ق و م ن ع م ه د ي	س م و:B008:الصيت الحسن المنتشر | ر ح م:B001:الرَّحْمَة والرقة | ح م د:B003:المحمود كثير الخصال | ر ب ب:B016:رُبَى حاجة وعقدة ونعمة | د ي ن:B006:مدينة الطاعة | ع ب د:B009:قلة اللبث وسرعة العدو | ع و ن:B003:الحرب العَوان | ه د ي:B010:هدي السكون وحسن الهيئة | ق و م:B014:مقاومة ومنازلة | ن ع م:B001:حسن الحال والنعمة
26	P0026	0.7987	straightness / balance / contract / adoration	1,2,4,5,6,7	ء ل ه د ي ن ص ر ط ع ب د ع و ن ق و م م ل ك ن ع م ه د ي	ء ل ه:B001:التعبد والمعبود | م ل ك:B004:الإملاك والتزويج | د ي ن:B003:الدين المالي | ع ب د:B004:التعبيد والاستعباد | ع و ن:B005:استواء الخلقة وتلاحق القوة | ه د ي:B008:مشي التهادي مع الاعتماد والتمايل | ص ر ط:B001:الطريق المستقيم | ق و م:B008:استقامة واعتدال واستواء | ن ع م:B012:المشي على القدم وابتذالها
27	P0027	0.7981	conflict_security/conflict / virtue / reputation / memory	1,2,5,6,7	ح م د س م و ص ر ط ض ل ل ع ب د ع و ن غ ي ر ق و م ن ع م ه د ي	س م و:B003:تطاول الفحل على الشول | ح م د:B003:المحمود كثير الخصال | ع ب د:B009:قلة اللبث وسرعة العدو | ع و ن:B003:الحرب العَوان | ه د ي:B010:هدي السكون وحسن الهيئة | ص ر ط:B002:الغيبة في المرور والبلع | ق و م:B014:مقاومة ومنازلة | ن ع م:B008:طيران النعامة وتفرق القوم | غ ي ر:B003:تغيير الصورة أو إبدال الشيء بغيره | ض ل ل:B004:ضياع الحفظ
28	P0028	0.7981	divinity / pity / nurture / compassion	1,2,3,7	ر ب ب ر ح م ن ع م	ر ح م:B001:الرَّحْمَة والرقة | ر ب ب:B002:إصلاح وتربية وإتمام | ن ع م:B001:حسن الحال والنعمة
29	P0029	0.7977	kinship_society/hospitality_welfare / pillar / benefaction / foundation	1,2,3,4,5,6,7	ح م د ر ب ب ر ح م س م و ع ب د ع ل م ق و م م ل ك ن ع م ه د ي	س م و:B001:العلو والارتفاع | ر ح م:B001:الرَّحْمَة والرقة | ح م د:B005:يتحمد بالمنة | ر ب ب:B016:رُبَى حاجة وعقدة ونعمة | ع ل م:B002:أثر يميز الشيء ويهدي إليه | م ل ك:B005:مِلاك الأمر وعِماده | ع ب د:B009:قلة اللبث وسرعة العدو | ه د ي:B010:هدي السكون وحسن الهيئة | ق و م:B009:قوام وعماد ومعاش | ن ع م:B001:حسن الحال والنعمة
30	P0030	0.7974	leader / leadership / disease / captain	1,2,3,4,5,6,7	ر ب ب ر ح م س م و ص ر ط ع ب د ع و ن ق و م م ل ك ن ع م ه د ي	س م و:B003:تطاول الفحل على الشول | ر ح م:B004:وجع الرَّحِم بعد الولادة | ر ب ب:B017:رباني الملاحين | م ل ك:B008:المتقدم القائد في الحيوان | ع ب د:B012:صَلاءة الطيب | ع و ن:B004:النخلة العَوانة القديمة | ه د ي:B003:المتقدم الهادي وأوائل الشيء | ص ر ط:B003:السيف القاطع الماضي في الضربة | ق و م:B020:قوام في قوائم الشاة | ن ع م:B008:طيران النعامة وتفرق القوم
31	P0031	0.797	enslavement / subjugation / leader / leadership	1,2,3,4,5,6,7	ء ل ه د ي ن ر ب ب ر ح م ع ب د ع ل م ق و م م ل ك ن ع م ه د ي	ء ل ه:B001:التعبد والمعبود | ر ح م:B003:رَحِم الأنثى | ر ب ب:B005:ربيب وربيبة ورابة | ع ل م:B006:طائر جارح يسمى العلام | م ل ك:B008:المتقدم القائد في الحيوان | د ي ن:B004:الإذلال والملك | ع ب د:B004:التعبيد والاستعباد | ه د ي:B003:المتقدم الهادي وأوائل الشيء | ق و م:B002:انتصاب وقيام بالبدن | ن ع م:B006:النعام والنعامة الطائر
32	P0032	0.7969	vitality / welfare / blessing / kinship_society/hospitality_welfare	1,2,3,5,6,7	ر ب ب ر ح م ع ب د ع ل م ع و ن غ ض ب غ ي ر ق و م ن ع م ه د ي	ر ح م:B001:الرَّحْمَة والرقة | ر ب ب:B016:رُبَى حاجة وعقدة ونعمة | ع ل م:B004:شق ظاهر في الشفة العليا | ع ب د:B007:القوة والصلابة | ع و ن:B005:استواء الخلقة وتلاحق القوة | ه د ي:B008:مشي التهادي مع الاعتماد والتمايل | ق و م:B001:جماعة الناس والرجال | ن ع م:B001:حسن الحال والنعمة | غ ي ر:B004:الغَيْرة على الأهل | غ ض ب:B007:العبوس والضجر والعظم في وصف الحيوان أو الشخص
33	P0033	0.7967	commitment / opposition / conflict_security/conflict / contract	1,2,4,5,6,7	ء ل ه د ي ن س م و ع ب د ع و ن غ ض ب ق و م م ل ك ن ع م ه د ي	س م و:B007:المساماة والمباراة | ء ل ه:B001:التعبد والمعبود | م ل ك:B004:الإملاك والتزويج | د ي ن:B003:الدين المالي | ع ب د:B004:التعبيد والاستعباد | ع و ن:B001:الإعانة والمظاهرة | ه د ي:B008:مشي التهادي مع الاعتماد والتمايل | ق و م:B003:عزم ونهوض إلى الأمر | ن ع م:B012:المشي على القدم وابتذالها | غ ض ب:B003:المراغمة والمخالفة
34	P0034	0.7966	leader / leadership / duration / disease	1,2,3,4,5,6,7	د ي ن ر ب ب ر ح م ع ب د ع و ن غ ي ر ق و م م ل ك ه د ي ي و م	ر ح م:B004:وجع الرَّحِم بعد الولادة | ر ب ب:B017:رباني الملاحين | م ل ك:B008:المتقدم القائد في الحيوان | ي و م:B002:مدة من الزمان | د ي ن:B002:الحساب والجزاء | ع ب د:B012:صَلاءة الطيب | ع و ن:B004:النخلة العَوانة القديمة | ه د ي:B003:المتقدم الهادي وأوائل الشيء | ق و م:B020:قوام في قوائم الشاة | غ ي ر:B002:الغَيْر في الدية
35	P0035	0.7963	conflict_security/conflict / water / virtue / reputation	1,2,3,4,5,6,7	ح م د ر ب ب ر ح م ع ب د ع ل م ع و ن ق و م م ل ك ن ع م ه د ي	ر ح م:B001:الرَّحْمَة والرقة | ح م د:B003:المحمود كثير الخصال | ر ب ب:B013:ماء رَبَب كثير | ع ل م:B005:ماء كثير مجتمع في عيلم | م ل ك:B007:الماء مَلَك الأمر | ع ب د:B009:قلة اللبث وسرعة العدو | ع و ن:B003:الحرب العَوان | ه د ي:B010:هدي السكون وحسن الهيئة | ق و م:B014:مقاومة ومنازلة | ن ع م:B001:حسن الحال والنعمة
36	P0036	0.7961	bird / honor / strength / body_health_life/reproduction_birth	1,2,3,4,5,6,7	ر ب ب ر ح م ع ب د ع ل م غ ض ب غ ي ر ق و م م ل ك ن ع م	ر ح م:B003:رَحِم الأنثى | ر ب ب:B005:ربيب وربيبة ورابة | ع ل م:B004:شق ظاهر في الشفة العليا | م ل ك:B001:قوة الشيء وتماسكه | ع ب د:B007:القوة والصلابة | ق و م:B001:جماعة الناس والرجال | ن ع م:B006:النعام والنعامة الطائر | غ ي ر:B004:الغَيْرة على الأهل | غ ض ب:B007:العبوس والضجر والعظم في وصف الحيوان أو الشخص
37	P0037	0.7959	contract / tribe / bird / honor	1,2,3,4,5,6,7	ء ل ه د ي ن ر ب ب ر ح م ع ب د ع ل م غ ي ر ق و م م ل ك ن ع م	ء ل ه:B001:التعبد والمعبود | ر ح م:B003:رَحِم الأنثى | ر ب ب:B004:ربة وجماعات كثيرة | ع ل م:B006:طائر جارح يسمى العلام | م ل ك:B004:الإملاك والتزويج | د ي ن:B003:الدين المالي | ع ب د:B004:التعبيد والاستعباد | ق و م:B001:جماعة الناس والرجال | ن ع م:B006:النعام والنعامة الطائر | غ ي ر:B004:الغَيْرة على الأهل
38	P0038	0.7956	cohesion / city / material / solidity	1,2,3,4,5,6,7	ح م د د ي ن ر ب ب ر ح م ض ل ل ع ب د غ ض ب ق و م م ل ك ن ع م	ر ح م:B001:الرَّحْمَة والرقة | ح م د:B002:وجود الشيء محمودا | ر ب ب:B016:رُبَى حاجة وعقدة ونعمة | م ل ك:B001:قوة الشيء وتماسكه | د ي ن:B006:مدينة الطاعة | ع ب د:B007:القوة والصلابة | ق و م:B006:مقام وإقامة في موضع | ن ع م:B001:حسن الحال والنعمة | غ ض ب:B004:صلابة الصخرة وتماسكها | ض ل ل:B003:فقدان الشيء
39	P0039	0.7956	praise / ethics / history / conflict_security/conflict	1,2,3,4,5,6,7	د ي ن ر ب ب ر ح م س م و ع ب د ع و ن ق و م ن ع م ه د ي ي و م	س م و:B008:الصيت الحسن المنتشر | ر ح م:B001:الرَّحْمَة والرقة | ر ب ب:B002:إصلاح وتربية وإتمام | ي و م:B002:مدة من الزمان | د ي ن:B005:العادة والشأن | ع ب د:B009:قلة اللبث وسرعة العدو | ع و ن:B003:الحرب العَوان | ه د ي:B010:هدي السكون وحسن الهيئة | ق و م:B014:مقاومة ومنازلة | ن ع م:B001:حسن الحال والنعمة
40	P0040	0.7955	leader / leadership / herd / conflict_security/conflict	1,2,3,4,5,6,7	ر ب ب ر ح م س م و ض ل ل ع و ن غ ض ب ق و م م ل ك ن ع م ه د ي	س م و:B002:الشخص المرتفع الظاهر | ر ح م:B004:وجع الرَّحِم بعد الولادة | ر ب ب:B009:شاة رُبّى وحداثة | م ل ك:B008:المتقدم القائد في الحيوان | ع و ن:B001:الإعانة والمظاهرة | ه د ي:B003:المتقدم الهادي وأوائل الشيء | ق و م:B020:قوام في قوائم الشاة | ن ع م:B005:مال الأنعام والإبل | غ ض ب:B003:المراغمة والمخالفة | ض ل ل:B005:الضالّة في المضيعة
41	P0041	0.7952	leader / leadership / memory / disease	1,2,3,4,5,6,7	ر ب ب ر ح م س م و ص ر ط ض ل ل ع ب د غ ي ر ق و م م ل ك ه د ي	س م و:B003:تطاول الفحل على الشول | ر ح م:B004:وجع الرَّحِم بعد الولادة | ر ب ب:B017:رباني الملاحين | م ل ك:B008:المتقدم القائد في الحيوان | ع ب د:B012:صَلاءة الطيب | ه د ي:B003:المتقدم الهادي وأوائل الشيء | ص ر ط:B002:الغيبة في المرور والبلع | ق و م:B020:قوام في قوائم الشاة | غ ي ر:B003:تغيير الصورة أو إبدال الشيء بغيره | ض ل ل:B004:ضياع الحفظ
42	P0042	0.7952	leader / leadership / visibility / disease	1,2,3,4,5,6,7	ر ب ب ر ح م س م و ع ب د ع ل م غ ض ب غ ي ر ق و م م ل ك ه د ي	س م و:B002:الشخص المرتفع الظاهر | ر ح م:B004:وجع الرَّحِم بعد الولادة | ر ب ب:B011:ربابة عهد وميثاق | ع ل م:B004:شق ظاهر في الشفة العليا | م ل ك:B008:المتقدم القائد في الحيوان | ع ب د:B007:القوة والصلابة | ه د ي:B003:المتقدم الهادي وأوائل الشيء | ق و م:B020:قوام في قوائم الشاة | غ ي ر:B004:الغَيْرة على الأهل | غ ض ب:B007:العبوس والضجر والعظم في وصف الحيوان أو الشخص
43	P0043	0.7952	family / conflict_security/conflict / virtue / contract	1,2,3,4,5,6,7	ء ل ه ح م د د ي ن ر ب ب ر ح م ع ب د ع و ن ق و م م ل ك ن ع م	ء ل ه:B001:التعبد والمعبود | ر ح م:B002:الرَّحِم والقرابة | ح م د:B003:المحمود كثير الخصال | ر ب ب:B005:ربيب وربيبة ورابة | م ل ك:B004:الإملاك والتزويج | د ي ن:B003:الدين المالي | ع ب د:B004:التعبيد والاستعباد | ع و ن:B003:الحرب العَوان | ق و م:B014:مقاومة ومنازلة | ن ع م:B008:طيران النعامة وتفرق القوم
44	P0044	0.7951	settlement / city / burial / comfort	1,2,3,4,5,6,7	ح م د د ي ن ر ح م س م و ض ل ل ع ب د ع ل م غ ض ب ق و م ن ع م	س م و:B001:العلو والارتفاع | ر ح م:B001:الرَّحْمَة والرقة | ح م د:B002:وجود الشيء محمودا | ع ل م:B002:أثر يميز الشيء ويهدي إليه | د ي ن:B006:مدينة الطاعة | ع ب د:B008:الأنفة والغضب | ق و م:B006:مقام وإقامة في موضع | ن ع م:B011:موافقة المكان وطيب المقام | غ ض ب:B002:الغضب لشخص حي أو به بعد موته | ض ل ل:B002:الغيبوبة والخفاء
