focus_ayah_ref	occurrence_ref	word_id	morpheme_id	surface_ar	root	branch	evidence_id	evidence_role	lexical_status	resonance_strength	translation_role	linguistic_support_ids	claim_id	publication_role	claim_disposition	mechanism
1:6	1:6	w-s001-a006-w001	m-w-s001-a006-w001-01	ٱهْدِ	ه د ي	B004	e-s001-1_6-011	target_root_resonance	analogical_resonance	strong	none		s001-1_6-guidance-as-favor	secondary	accepted	Guidance is received as favor granting access to the path rather than as self-produced entitlement.
1:6	1:6	w-s001-a006-w002	m-w-s001-a006-w002-02	صِّرَٰطَ	ص ر ط	B001	e-s001-1_6-012	lexical_anchor	direct	none	governing		s001-1_6-guidance-as-favor	secondary	accepted	Guidance is received as favor granting access to the path rather than as self-produced entitlement.
1:6	1:7	w-s001-a007-w003	m-w-s001-a007-w003-01	أَنْعَمْ	ن ع م	B001	e-s001-1_6-013	context_support	direct	none	none		s001-1_6-guidance-as-favor	secondary	accepted	Guidance is received as favor granting access to the path rather than as self-produced entitlement.
1:6	1:2	w-s001-a002-w001	m-w-s001-a002-w001-02	حَمْدُ	ح م د	B001	e-s001-1_6-014	context_support	direct	none	none		s001-1_6-guidance-as-favor	secondary	accepted	Guidance is received as favor granting access to the path rather than as self-produced entitlement.
1:6	1:6	w-s001-a006-w001	m-w-s001-a006-w001-01	ٱهْدِ	ه د ي	B001	e-s001-1_6-015	lexical_anchor	direct	none	governing		s001-1_6-supported-procession	secondary	accepted	Guidance is accompanied movement behind a leading human front, supported against instability.
1:6	1:6	w-s001-a006-w001	m-w-s001-a006-w001-01	ٱهْدِ	ه د ي	B003	e-s001-1_6-016	target_root_resonance	analogical_resonance	strong	none		s001-1_6-supported-procession	secondary	accepted	Guidance is accompanied movement behind a leading human front, supported against instability.
1:6	1:6	w-s001-a006-w001	m-w-s001-a006-w001-01	ٱهْدِ	ه د ي	B008	e-s001-1_6-017	target_root_resonance	analogical_resonance	strong	none		s001-1_6-supported-procession	secondary	accepted	Guidance is accompanied movement behind a leading human front, supported against instability.
1:6	1:6	w-s001-a006-w003	m-w-s001-a006-w003-02	مُسْتَقِيمَ	ق و م	B008	e-s001-1_6-018	lexical_anchor	direct	none	governing		s001-1_6-supported-procession	secondary	accepted	Guidance is accompanied movement behind a leading human front, supported against instability.
1:6	1:5	w-s001-a005-w004	m-w-s001-a005-w004-01	نَسْتَعِينُ	ع و ن	B001	e-s001-1_6-019	context_support	direct	none	none		s001-1_6-supported-procession	secondary	accepted	Guidance is accompanied movement behind a leading human front, supported against instability.
1:6	1:7	w-s001-a007-w001	m-w-s001-a007-w001-01	صِرَٰطَ	ص ر ط	B001	e-s001-1_6-020	context_support	direct	none	none		s001-1_6-supported-procession	secondary	accepted	Guidance is accompanied movement behind a leading human front, supported against instability.
1:6	1:7	w-s001-a007-w003	m-w-s001-a007-w003-01	أَنْعَمْ	ن ع م	B001	e-s001-1_6-021	context_support	direct	none	none		s001-1_6-supported-procession	secondary	accepted	Guidance is accompanied movement behind a leading human front, supported against instability.
1:6	1:4	w-s001-a004-w001	m-w-s001-a004-w001-01	مَٰلِكِ	م ل ك	B008	e-s001-1_6-022	target_root_resonance	analogical_resonance	weak	none		s001-1_6-supported-procession	secondary	accepted	Guidance is accompanied movement behind a leading human front, supported against instability.
1:6	1:6	w-s001-a006-w003	m-w-s001-a006-w003-02	مُسْتَقِيمَ	ق و م	B003	e-s001-1_6-023	target_root_resonance	analogical_resonance	moderate	none		s001-1_6-supported-procession	secondary	accepted	Guidance is accompanied movement behind a leading human front, supported against instability.
1:6	1:6	w-s001-a006-w002	m-w-s001-a006-w002-02	صِّرَٰطَ	ص ر ط	B001	e-s001-1_6-024	lexical_anchor	direct	none	governing		s001-1_6-contained-transit	secondary	accepted	The road contains directed passage, contrasted with becoming unlocatable through straying.
1:6	1:6	w-s001-a006-w002	m-w-s001-a006-w002-02	صِّرَٰطَ	ص ر ط	B002	e-s001-1_6-025	target_root_resonance	analogical_resonance	strong	none		s001-1_6-contained-transit	secondary	accepted	The road contains directed passage, contrasted with becoming unlocatable through straying.
1:6	1:6	w-s001-a006-w003	m-w-s001-a006-w003-02	مُسْتَقِيمَ	ق و م	B008	e-s001-1_6-026	lexical_anchor	direct	none	governing		s001-1_6-contained-transit	secondary	accepted	The road contains directed passage, contrasted with becoming unlocatable through straying.
1:6	1:7	w-s001-a007-w009	m-w-s001-a007-w009-02	ضَّآلِّينَ	ض ل ل	B001	e-s001-1_6-027	context_support	direct	none	none		s001-1_6-contained-transit	secondary	accepted	The road contains directed passage, contrasted with becoming unlocatable through straying.
1:6	1:7	w-s001-a007-w009	m-w-s001-a007-w009-02	ضَّآلِّينَ	ض ل ل	B002	e-s001-1_6-028	target_root_resonance	analogical_resonance	strong	none		s001-1_6-contained-transit	secondary	accepted	The road contains directed passage, contrasted with becoming unlocatable through straying.
1:6	1:7	w-s001-a007-w009	m-w-s001-a007-w009-02	ضَّآلِّينَ	ض ل ل	B003	e-s001-1_6-029	context_support	contextually_activated	none	none		s001-1_6-contained-transit	secondary	accepted	The road contains directed passage, contrasted with becoming unlocatable through straying.
1:6	1:6	w-s001-a006-w001	m-w-s001-a006-w001-01	ٱهْدِ	ه د ي	B001	e-s001-1_6-030	lexical_anchor	direct	none	governing		s001-1_6-devotional-offering	evidence_only	evidence_only	Guidance participates in a devotional gift-and-offering economy answered by praise and service.
1:6	1:6	w-s001-a006-w001	m-w-s001-a006-w001-01	ٱهْدِ	ه د ي	B005	e-s001-1_6-031	target_root_resonance	analogical_resonance	weak	none		s001-1_6-devotional-offering	evidence_only	evidence_only	Guidance participates in a devotional gift-and-offering economy answered by praise and service.
1:6	1:2	w-s001-a002-w001	m-w-s001-a002-w001-02	حَمْدُ	ح م د	B001	e-s001-1_6-032	context_support	direct	none	none		s001-1_6-devotional-offering	evidence_only	evidence_only	Guidance participates in a devotional gift-and-offering economy answered by praise and service.
1:6	1:7	w-s001-a007-w003	m-w-s001-a007-w003-01	أَنْعَمْ	ن ع م	B001	e-s001-1_6-033	context_support	direct	none	none		s001-1_6-devotional-offering	evidence_only	evidence_only	Guidance participates in a devotional gift-and-offering economy answered by praise and service.
1:6	1:5	w-s001-a005-w002	m-w-s001-a005-w002-01	نَعْبُدُ	ع ب د	B003	e-s001-1_6-034	context_support	direct	none	none		s001-1_6-devotional-offering	evidence_only	evidence_only	Guidance participates in a devotional gift-and-offering economy answered by praise and service.
1:6	1:6	w-s001-a006-w002	m-w-s001-a006-w002-02	صِّرَٰطَ	ص ر ط	B001	e-s001-1_6-035	lexical_anchor	direct	none	governing		s001-1_6-cutting-through-resistance	exploratory	accepted	The straight path is imagined as cutting through hardened resistance.
1:6	1:6	w-s001-a006-w002	m-w-s001-a006-w002-02	صِّرَٰطَ	ص ر ط	B003	e-s001-1_6-036	target_root_resonance	analogical_resonance	moderate	none		s001-1_6-cutting-through-resistance	exploratory	accepted	The straight path is imagined as cutting through hardened resistance.
1:6	1:6	w-s001-a006-w003	m-w-s001-a006-w003-02	مُسْتَقِيمَ	ق و م	B008	e-s001-1_6-037	lexical_anchor	direct	none	governing		s001-1_6-cutting-through-resistance	exploratory	accepted	The straight path is imagined as cutting through hardened resistance.
1:6	1:7	w-s001-a007-w006	m-w-s001-a007-w006-02	مَغْضُوبِ	غ ض ب	B001	e-s001-1_6-038	context_support	direct	none	none		s001-1_6-cutting-through-resistance	exploratory	accepted	The straight path is imagined as cutting through hardened resistance.
1:6	1:7	w-s001-a007-w006	m-w-s001-a007-w006-02	مَغْضُوبِ	غ ض ب	B004	e-s001-1_6-039	target_root_resonance	analogical_resonance	moderate	none		s001-1_6-cutting-through-resistance	exploratory	accepted	The straight path is imagined as cutting through hardened resistance.
1:6	1:7	w-s001-a007-w006	m-w-s001-a007-w006-02	مَغْضُوبِ	غ ض ب	B008	e-s001-1_6-040	target_root_resonance	analogical_resonance	moderate	none		s001-1_6-cutting-through-resistance	exploratory	accepted	The straight path is imagined as cutting through hardened resistance.
