word_id	ayah_ref	word_index	surface_ar	qac_ayah_ref	qac_word_ref	lemma_ar	root	pos	aspect	mood	voice	measure	morpheme_ids	qac_morpheme_refs	morph_features	attachment_unit_ids	syntax_edge_ids	evidence_ids	claim_ids
w-s001-a004-w001	1:4	1	مَٰلِكِ	1:4	1:4:1	مَٰلِك	م ل ك	N			ACT		m-w-s001-a004-w001-01	1:4:1:1	STEM|POS:N|ACT|PCPL|LEM:ma`lik|ROOT:mlk|M|GEN	q:1:4:1	sx-1_4-00010	e-s001-1_6-022	s001-1_6-supported-procession
w-s001-a004-w002	1:4	2	يَوْمِ	1:4	1:4:2	يَوْم	ي و م	N					m-w-s001-a004-w002-01	1:4:2:1	STEM|POS:N|LEM:yawom|ROOT:ywm|M|GEN	q:1:4:2	sx-1_4-00010;sx-1_4-00011		
w-s001-a004-w003	1:4	3	ٱلدِّينِ	1:4	1:4:3	دِين	د ي ن	N					m-w-s001-a004-w003-01;m-w-s001-a004-w003-02	1:4:3:1;1:4:3:2	PREFIX|Al+ | STEM|POS:N|LEM:diyn|ROOT:dyn|M|GEN	q:1:4:3	sx-1_4-00011		
w-s001-a005-w001	1:5	1	إِيَّاكَ	1:5	1:5:1	إِيَّا		PRON					m-w-s001-a005-w001-01	1:5:1:1	STEM|POS:PRON|LEM:<iy~aA|2MS	q:1:5:1	sx-1_5-00012		
w-s001-a005-w002	1:5	2	نَعْبُدُ	1:5	1:5:2	عَبَدَ	ع ب د	V	IMPF				m-w-s001-a005-w002-01	1:5:2:1	STEM|POS:V|IMPF|LEM:Eabada|ROOT:Ebd|1P	q:1:5:2	sx-1_5-00012;sx-1_5-00014	e-s001-1_6-034	s001-1_6-devotional-offering
w-s001-a005-w003	1:5	3	وَإِيَّاكَ	1:5	1:5:3	إِيَّا		PRON					m-w-s001-a005-w003-01;m-w-s001-a005-w003-02	1:5:3:1;1:5:3:2	PREFIX|w:CONJ+ | STEM|POS:PRON|LEM:<iy~aA|2MS	q:1:5:4	sx-1_5-00013		
w-s001-a005-w004	1:5	4	نَسْتَعِينُ	1:5	1:5:4	ٱسْتَعِينُ	ع و ن	V	IMPF			X	m-w-s001-a005-w004-01	1:5:4:1	STEM|POS:V|IMPF|(X)|LEM:{sotaEiynu|ROOT:Ewn|1P	q:1:5:5	sx-1_5-00013;sx-1_5-00014	e-s001-1_6-004;e-s001-1_6-009;e-s001-1_6-019	s001-1_6-enabled-orientation;s001-1_6-sustained-straightness;s001-1_6-supported-procession
w-s001-a006-w001	1:6	1	ٱهْدِنَا	1:6	1:6:1	هَدَى	ه د ي	V	IMPV				m-w-s001-a006-w001-01;m-w-s001-a006-w001-02	1:6:1:1;1:6:1:2	STEM|POS:V|IMPV|LEM:hadaY|ROOT:hdy|2MS | SUFFIX|PRON:1P	q:1:6:1	sx-1_6-00015;sx-1_6-00016	e-s001-1_6-001;e-s001-1_6-010;e-s001-1_6-011;e-s001-1_6-015;e-s001-1_6-016;e-s001-1_6-017;e-s001-1_6-030;e-s001-1_6-031	s001-1_6-enabled-orientation;s001-1_6-guidance-as-favor;s001-1_6-supported-procession;s001-1_6-devotional-offering
w-s001-a006-w002	1:6	2	ٱلصِّرَٰطَ	1:6	1:6:2	صِرَٰط	ص ر ط	N					m-w-s001-a006-w002-01;m-w-s001-a006-w002-02	1:6:2:1;1:6:2:2	PREFIX|Al+ | STEM|POS:N|LEM:Sira`T|ROOT:SrT|M|ACC	q:1:6:2	sx-1_6-00016;sx-1_6-00017	e-s001-1_6-002;e-s001-1_6-012;e-s001-1_6-024;e-s001-1_6-025;e-s001-1_6-035;e-s001-1_6-036	s001-1_6-enabled-orientation;s001-1_6-guidance-as-favor;s001-1_6-contained-transit;s001-1_6-cutting-through-resistance
w-s001-a006-w003	1:6	3	ٱلْمُسْتَقِيمَ	1:6	1:6:3	مُّسْتَقِيم	ق و م	ADJ			ACT	X	m-w-s001-a006-w003-01;m-w-s001-a006-w003-02	1:6:3:1;1:6:3:2	PREFIX|Al+ | STEM|POS:ADJ|ACT|PCPL|(X)|LEM:m~usotaqiym|ROOT:qwm|M|ACC	q:1:6:3	sx-1_6-00017	e-s001-1_6-003;e-s001-1_6-005;e-s001-1_6-006;e-s001-1_6-007;e-s001-1_6-018;e-s001-1_6-023;e-s001-1_6-026;e-s001-1_6-037	s001-1_6-enabled-orientation;s001-1_6-sustained-straightness;s001-1_6-supported-procession;s001-1_6-contained-transit;s001-1_6-cutting-through-resistance
w-s001-a007-w001	1:7	1	صِرَٰطَ	1:7	1:7:1	صِرَٰط	ص ر ط	N					m-w-s001-a007-w001-01	1:7:1:1	STEM|POS:N|LEM:Sira`T|ROOT:SrT|M|ACC	q:1:7:1	sx-1_7-00018	e-s001-1_6-020	s001-1_6-supported-procession
w-s001-a007-w002	1:7	2	ٱلَّذِينَ	1:7	1:7:2	ٱلَّذِى		REL					m-w-s001-a007-w002-01	1:7:2:1	STEM|POS:REL|LEM:{l~a*iY|MP	q:1:7:2	sx-1_7-00018;sx-1_7-00020		
w-s001-a007-w003	1:7	3	أَنْعَمْتَ	1:7	1:7:3	أَنْعَمَ	ن ع م	V	PERF			IV	m-w-s001-a007-w003-01;m-w-s001-a007-w003-02	1:7:3:1;1:7:3:2	STEM|POS:V|PERF|(IV)|LEM:>anoEama|ROOT:nEm|2MS | SUFFIX|PRON:2MS	q:1:7:3	sx-1_7-00019	e-s001-1_6-013;e-s001-1_6-021;e-s001-1_6-033	s001-1_6-guidance-as-favor;s001-1_6-supported-procession;s001-1_6-devotional-offering
w-s001-a007-w004	1:7	4	عَلَيْهِمْ	1:7	1:7:4	عَلَىٰ		P					m-w-s001-a007-w004-01;m-w-s001-a007-w004-02	1:7:4:1;1:7:4:2	STEM|POS:P|LEM:EalaY` | SUFFIX|PRON:3MP	q:1:7:4	sx-1_7-00019		
w-s001-a007-w005	1:7	5	غَيْرِ	1:7	1:7:5	غَيْر	غ ي ر	N					m-w-s001-a007-w005-01	1:7:5:1	STEM|POS:N|LEM:gayor|ROOT:gyr|M|GEN	q:1:7:5	sx-1_7-00020;sx-1_7-00021		
w-s001-a007-w006	1:7	6	ٱلْمَغْضُوبِ	1:7	1:7:6	مَغْضُوب	غ ض ب	N			PASS		m-w-s001-a007-w006-01;m-w-s001-a007-w006-02	1:7:6:1;1:7:6:2	PREFIX|Al+ | STEM|POS:N|PASS|PCPL|LEM:magoDuwb|ROOT:gDb|M|GEN	q:1:7:6	sx-1_7-00021;sx-1_7-00022;sx-1_7-00023	e-s001-1_6-038;e-s001-1_6-039;e-s001-1_6-040	s001-1_6-cutting-through-resistance
w-s001-a007-w007	1:7	7	عَلَيْهِمْ	1:7	1:7:7	عَلَىٰ		P					m-w-s001-a007-w007-01;m-w-s001-a007-w007-02	1:7:7:1;1:7:7:2	STEM|POS:P|LEM:EalaY` | SUFFIX|PRON:3MP	q:1:7:7	sx-1_7-00022		
w-s001-a007-w008	1:7	8	وَلَا	1:7	1:7:8	لَا		NEG					m-w-s001-a007-w008-01;m-w-s001-a007-w008-02	1:7:8:1;1:7:8:2	PREFIX|w:CONJ+ | STEM|POS:NEG|LEM:laA				
w-s001-a007-w009	1:7	9	ٱلضَّآلِّينَ	1:7	1:7:9	ضَآلّ	ض ل ل	N			ACT		m-w-s001-a007-w009-01;m-w-s001-a007-w009-02	1:7:9:1;1:7:9:2	PREFIX|Al+ | STEM|POS:N|ACT|PCPL|LEM:DaA^l~|ROOT:Dll|MP|GEN	q:1:7:10	sx-1_7-00023	e-s001-1_6-027;e-s001-1_6-028;e-s001-1_6-029	s001-1_6-contained-transit
