root_id	root_norm	source_root_norm	branch_id	status	branch_image_ar	what_is_ar	source_phrase_ar
root_000001	ح م م	ح م م	B011	accepted	الحميم والحامة في القربى	يدخل فيه الحميم القريب الذي يود ويود والحامة خاصة الرجل من أهله وولده وذوي قرابته	الحامة خاصة الرجل من أهله وولده وذوي قرابته؛ الحميم الذي يودك وتوده (ayn)؛ حميمك قريبك الذي تهتم لأمره؛ الحامة الخاصة أقرباؤه (sihah)؛ الحميم القريب الذي توده ويودك؛ الحامة خاصة الرجل من أهله وولده وذي قرابته؛ الحميم القرابة (tahdhib)
root_000001	ح م م	ح م م	B012	accepted	الحمام الطائر	يدخل فيه الحمام والحمامة من الطير على اختلاف تحديده بين البري والأهلي وذوات الأطواق وما عب وهدر	الحمام طائر؛ حمامة ذكر وحمامة أنثى والجميع حمام (ayn)؛ الحمام عند العرب ذوات الأطواق؛ الواحدة حمامة؛ اليمام الحمام الوحشي (sihah)؛ الحمامة طائر؛ الحمام كل ما كان ذا طوق؛ كل ما عب وهدر فهو حمام (tahdhib)
root_000001	ح م م	ح م م	B013	accepted	موضع الاغتسال وآلة التسخين	يدخل فيه الحمام المبني للاغتسال والمحم أو القمقم الصغير الذي يسخن فيه الماء	المحم القمقم الصغير يسخن فيه الماء؛ الحمام مشددا واحد الحمامات المبنية (sihah)؛ جاء بمحم أي بقمقم يسخن فيه الماء؛ طاب حميمك وحمتك للذي يخرج من الحمام (tahdhib)
root_000001	ح م م	ح م م	B014	accepted	كرائم المال والإبل	يدخل فيه الحمائم بمعنى كرائم الإبل أو خيار المال والإبل الحامة إذا كانت خيارا	الحميمة واحدة الحمائم وهي كرائم المال؛ إبل حامة إذا كانت خيارا (sihah)؛ الحميمة وجمعها حمائم كرائم الإبل؛ الحمامة خيار المال (tahdhib)
root_000001	ح م م	ح م م	B015	review	مواضع خلفية أو شعرية من الجسد	يدخل فيه الحماء بمعنى الدبر أو السافلة المحممة بالشعر وسعدانة البعير وقص الفرس في الروايات المعجمية	الحماء الدبر لأنه محمم بالشعر (ayn)؛ الحماء سافلة الإنسان (sihah)؛ الحمامة سعدانة البعير؛ الحمامة من الفرس القص (tahdhib)
root_000001	ح م م	ح م م	B016	review	أسماء مفردة للحمامة	يدخل فيه المرآة وساحة القصر وبكرة الدلو والمرأة الجميلة وحلقة الباب مما روي بلفظ الحمامة	الحمامة المرآة؛ الحمامة ساحة القصر النقية؛ الحمامة بكرة الدلو؛ الحمامة المرأة الجميلة؛ الحمامة حلقة الباب (tahdhib)
root_000001	ح م م	ح م م	B017	review	الثبات على الأمر	يدخل فيه قولهم أنا محام على هذا الأمر أي ثابت عليه	أنا محام على هذا الأمر أي ثابت عليه (tahdhib)
root_000002	ح د د	ح د د	B001	accepted	الحاجز والغاية المميزة	يدخل فيه الحد بين الشيئين، منتهى الشيء، حدود الأرض والحرم، الحد الذي يميز الشيء، وحدود الله بمعنى النهايات والأحكام التي لا تتعدى.	الحد الحاجز بين الشيئين (maqayis;sihah;mufradat)؛ منتهى كل شيء حده (sihah;tahdhib)؛ حدود الأرضين وحدود الحرم (tahdhib)؛ حدود الله هي الأشياء التي بين تحريمها وتحليلها (tahdhib)؛ الوصف المحيط بمعناه المميز له عن غيره (mufradat)
root_000002	ح د د	ح د د	B002	accepted	المنع والصرف والحظر	يدخل فيه المنع عن الدخول أو الخروج أو الفعل، البواب والسجان، المحدود أو المحروم، الأمر الحرام المنيع، صيغ دونه حدد وحددا، والحد العقابي من حيث يمنع المعاودة.	الأصل الأول المنع (maqayis)؛ للبواب حداد لمنعه الناس (maqayis;sihah;tahdhib;mufradat)؛ السجان حداد لأنه يمنع من الخروج (sihah;tahdhib)؛ محدود ممنوع من البخت أو الرزق (maqayis;sihah;mufradat)؛ حد العاصي لأنه يمنعه عن المعاودة (maqayis;sihah;tahdhib;mufradat)؛ دون ذلك حدد أي منع (sihah;tahdhib)؛ حددا بمعنى معاذ الله أو حراما (maqayis;sihah;tahdhib)
root_000002	ح د د	ح د د	B003	accepted	المحادة والمخالفة	يدخل فيه المحادة بمعنى المخالفة والمعصية والممانعة، والتحاد، وما يقارب التحرش والمنازعة.	المحادة المخالفة فكأنه الممانعة (maqayis)؛ المحادة المخالفة ومنع ما يجب عليك وكذلك التحاد (sihah)؛ حاددته أي عاصيته (tahdhib)؛ يقال تحدد بهم أي تحرش بهم (tahdhib)؛ يحادون الله ورسوله أي يمانعون (mufradat)
root_000002	ح د د	ح د د	B004	accepted	الحديد والصلابة الممتنعة	يدخل فيه الحديد المعدن، الحديدة، صانع الحديد، وما يفسر من تسميته بالامتناع والصلابة والشدة.	سمي الحديد حديدا لامتناعه وصلابته وشدته (maqayis)؛ الحديد معروف والحديدة أخص منه والجمع الحدائد (sihah)؛ الحديد معروف وصانعه الحداد ويقال ضربه بحديدة (tahdhib)؛ الحديد معروف وأنزلنا الحديد فيه بأس شديد (mufradat)
root_000002	ح د د	ح د د	B005	accepted	الطرف الحاد والنفاذ	يدخل فيه حد السيف والسكين والسنان، شباة كل شيء، تحديد الشفرة وإحدادها، والسيوف أو الألسنة أو البصر والفهم إذا وصف بالنفوذ والتأثير.	الأصل الآخر طرف الشيء (maqayis)؛ حد السيف وهو حرفه وحد السكين (maqayis)؛ حد كل شيء شباته (sihah;tahdhib)؛ حد السنان وحد السيف ما دق من شفرته (tahdhib)؛ سيوف حداد وألسنة حداد (sihah;mufradat)؛ بصرك اليوم حديد وحديد النظر وحديد الفهم (tahdhib;mufradat)؛ حددت السكين رققت حده (mufradat)
root_000002	ح د د	ح د د	B006	accepted	حدة البأس والشراب والغضب	يدخل فيه حد الشراب أي صلابته، حد الرجل أي بأسه ونفاذه، والحدة التي تعتري الإنسان من النزق والغضب والعجلة والطيش.	حد الشراب صلابته (maqayis;sihah;tahdhib)؛ حد الرجل بأسه (maqayis;sihah;tahdhib)؛ الحدة التي تعتري الإنسان من النزق (maqayis;sihah)؛ الحدة الغضبة (tahdhib)؛ حد يحد إذا أخذته عجلة وطيش (tahdhib)
root_000002	ح د د	ح د د	B007	accepted	إحداد المرأة وترك الزينة	يدخل فيه أحدت أو حدت المرأة على زوجها، الحداد، وترك الزينة والخضاب أو التسلب بعد وفاة الزوج، وكذلك ثياب المأتم عند من نص عليها.	حدت المرأة على بعلها وأحدت إذا منعت نفسها الزينة والخضاب (maqayis)؛ أحدت المرأة امتنعت من الزينة والخضاب بعد وفاة زوجها (sihah)؛ حدت أربعة أشهر وعشرا (tahdhib)؛ إحداد المرأة على زوجها تركها الزينة مأخوذ من المنع (tahdhib)؛ الحداد أيضا ثياب المأتم السود (sihah)
root_000002	ح د د	ح د د	B008	accepted	الاستحداد بالحديد	يدخل فيه الاستحداد بمعنى استعمال الحديد، حلق العانة، شحذ الشفرة أو جعلها حادة.	الاستحداد استعمال الحديد (maqayis)؛ تحديد الشفرة وإحدادها واستحدادها بمعنى (sihah)؛ الاستحداد أيضا حلق شعر العانة (sihah)؛ الاستحداد حلق العانة (tahdhib)؛ استحد الرجل إذا أحد شفرة بحديدة وغيرها (tahdhib)
root_000003	ء ب ب	أ ب ب	B001	accepted	المرعى والكلأ	الأب المرعى والكلأ وما تأكله الأنعام وما ينبت على وجه الأرض للأكل والرعي	الأب المرعى (maqayis;jamhara;sihah)؛ الأب جميع الكلأ الذي تعتلفه الماشية (maqayis;tahdhib)؛ الأب ما تأكله الأنعام وكل شيء ينبت على وجه الأرض (tahdhib)؛ الأب المرعى المتهيئ للرعي والجز (mufradat)
root_000003	ء ب ب	أ ب ب	B002	accepted	القصد والتهيؤ	أب لكذا وأب للشيء إذا قصده أو تهيأ له أو هم به؛ وأب للمسير إذا عزم عليه وتجهز	القصد والتهيؤ (maqayis)؛ أب أبا للشيء إذا تهيأ له أو هم به (jamhara)؛ أب يؤب أبا وأبابا وأبابة تهيأ للذهاب وتجهز (sihah)؛ أببت أؤب أبا إذا عزمت على المسير وتهيأت (tahdhib)؛ أب لكذا أي تهيأ (mufradat)
root_000003	ء ب ب	أ ب ب	B003	accepted	النزاع إلى الوطن	الأب أو أب إلى وطنه إذا نزع إلى وطنه نزوعا يتهيأ لقصد الرجوع	الأب النزاع إلى الوطن (maqayis;jamhara;sihah)؛ أب إلى وطنه إذا نزع إلى وطنه نزوعا تهيأ لقصده (mufradat)
root_000003	ء ب ب	أ ب ب	B004	accepted	رد اليد إلى السيف	أب الرجل إلى سيفه أو أب فلان يده إلى سيفه إذا رد يده إليه ليستله أو تهيأ لسله	أب فلان إلى سيفه إذا رد يده إليه ليستله (maqayis;jamhara)؛ أب فلان يده إلى سيفه أي رد يده ليستله (tahdhib)؛ أب لسيفه إذا تهيأ لسله (mufradat)
root_000003	ء ب ب	أ ب ب	B005	review	أباب الظباء للماء	قولهم في الظباء إن وجدت الماء فلا عباب وإن عدمته فلا أباب؛ أي لا تتأبب ولا تتهيأ لطلب الماء	إن وجدت فلا عباب وإن عدمت فلا أباب لم تأبب لطلبه (maqayis)؛ إن أصابت الماء فلا عباب وإن لم تصب الماء فلا أباب لم تأتب له ولم تتهيأ لطلبه (tahdhib)
root_000003	ء ب ب	أ ب ب	B006	accepted	التحريك	أب إذا حرك	أب إذا حرك (tahdhib)
root_000003	ء ب ب	أ ب ب	B007	accepted	الهزم بحملة	أب إذا هزم بحملة لا مكذوبة فيها	أب إذا هزم بحملة لا مكذوبة فيها (tahdhib)
root_000003	ء ب ب	أ ب ب	B008	accepted	الإبان والزمان المهيأ	إبان ذلك زمان مهيأ لفعله ومجيئه	إبان ذلك فعلان منه وهو الزمان المهيأ لفعله ومجيئه (mufradat)
root_000004	ء ب د	أ ب د	B001	accepted	طول المدة والدوام	الأبد والآباد وأبد الآبدين وأبد الدهر والدوام والتأبيد والتخليد وما جعل مؤبدا	طول المدة (maqayis)؛ الأبد الدهر (maqayis;sihah)؛ أبد الآبدين وأبد الدهر (tahdhib)؛ الأبد الدائم والتأبيد التخليد (sihah)؛ مدة الزمان الممتد (mufradat)؛ وقفا مؤبدا وتأبيدا (tahdhib)
root_000004	ء ب د	أ ب د	B002	accepted	التوحش والنفور	توحش البهيمة والبعير والولد ونفورها من الإنس وكونها من الأوابد أو الوحشيات	تأبد البعير توحش (maqayis;mufradat)؛ أوابد كأوابد الوحش (maqayis;tahdhib)؛ أبدت البهيمة أي توحشت (sihah)؛ توحشت ونفرت من الإنس (tahdhib)؛ الوحشيات (mufradat)
root_000004	ء ب د	أ ب د	B003	accepted	خلو المنزل وإقفاره	تأبد المنزل أو الدار إذا خلا أهلها وأقفر المكان وخلفتهم الوحوش فيه	تأبد المنزل خلا (maqayis)؛ تأبد المنزل أي أقفر وألفته الوحوش (sihah)؛ خلا منها أهلها خلفتهم الوحش بها قد تأبدت (tahdhib)
root_000004	ء ب د	أ ب د	B004	accepted	الإبد الولود	الإبد من المال كالأتان والأمة والفرس التي تلد أو تنتج في كل عام	الإبد ذات النتاج من المال كالأمة والفرس والأتان (maqayis)؛ الابد الولود من أمة أو أتان (sihah)؛ أتان إبد في كل عام تلد (tahdhib)
root_000004	ء ب د	أ ب د	B005	review	تأبد الوجه وتغيره	تأبد الوجه إذا تغير بالوحشة أو الكلف أو فسر بالغضب	تأبد وجهه كلف (maqayis)؛ تأبد وجه فلان توحش وقد فسر بغضب (mufradat)
root_000004	ء ب د	أ ب د	B006	accepted	الإقامة وعدم البراح	أبد بالمكان إذا أقام به ولم يبرحه والطير المقيمة بأرض شتاءها وصيفها	أبد بالمكان أي أقام به (sihah)؛ أبدت بالمكان إذا أقمت به ولم تبرحه (tahdhib)؛ الطير المقيمة بأرض شتاءها وصيفها أوابد (tahdhib)
root_000004	ء ب د	أ ب د	B007	accepted	الآبدة الباقية الذكر	الآبدة بمعنى بداهية أو فعلة يبقى ذكرها على الأبد	الأبدة الفعلة تبقى على الأبد (maqayis)؛ جاء فلان بآبدة أي بداهية يبقى ذكرها على الأبد (sihah)
root_000004	ء ب د	أ ب د	B008	accepted	الكلمة الوحشية والشاردة	الآبدة للكلمة الوحشية والشوارد من القوافي والأوابد من الشعر	الشوارد من القوافي أوابد (sihah)؛ الكلمة الوحشية آبدة وجمعه الأوابد (tahdhib)
root_000004	ء ب د	أ ب د	B009	accepted	الغضب والغضب عليه	أبد الرجل أو أبد عليه إذا غضب أو غضب عليه	أبد الرجل غضب (sihah)؛ أبد إذا غضب عليه (tahdhib)؛ وقد فسر بغضب (mufradat)
root_000005	ء ب ق	أ ب ق	B001	accepted	إباق العبد	ذهاب العبد وهربه من سيده، والعبد الآبق وجمعه أباق	إباق العبد (maqayis); الإباق ذهاب العبد من غير خوف ولا كد عمل (ayn); أبق العبد أي هرب (sihah); الإباق هرب العبد من سيده (tahdhib); عبد آبق وجمعه أباق (tahdhib;mufradat)
root_000005	ء ب ق	أ ب ق	B002	accepted	التشدد في الأمر	التشدد في الأمر على جهة أصلية مذكورة لهذا الجذر	التشدد في الأمر (maqayis)
root_000005	ء ب ق	أ ب ق	B003	accepted	التأبق استتار واحتباس	تأبق الرجل إذا استتر أو احتبس، ويشبه حال الآبق في الاستتار	تأبق الرجل استتر (maqayis); وتأبق استتر ويقال احتبس (sihah); تأبق الرجل تشبه به في الاستتار (mufradat)
root_000005	ء ب ق	أ ب ق	B004	review	نفي التأبق عن قول أو نسب	قول ما أتأبق أي ما أنكر، وقول لم تأبق أي لم تتأثم أو لم تأنف	ما أتأبق أي ما أنكر (maqayis); ما أتأبق منها أي ما أنكرها (maqayis); لم تأبق أي تأثم؛ لم تأنف (tahdhib)
root_000005	ء ب ق	أ ب ق	B005	accepted	الأَبَق القنب أو قشره	الأَبَق قشر القنب أو القنب، ونبات تدق سوقه حتى يخلص لحاؤه	الأَبَق قشر القنب (maqayis;ayn); الأبق نبات تدق سوقه حتى يخلص لحاؤه فيكون قنبا (maqayis); الابق القنب (sihah); الأبق القنب (tahdhib); قيل هو القنب (mufradat)
root_000006	ء ب ل	أ ب ل	B001	accepted	الإبل ورعايتها	يدخل فيه اسم الإبل وجماعتها وقطعانها وكثرتها واقتناؤها وصاحبها والحذق برعايتها والثبات عليها	الإبل معروفة ورجل آبل ومال مؤبل (maqayis)؛ الإبل لا واحد لها وإبل مؤبلة ورجل إبلي وأبل الرجل اتخذ إبلا (sihah)؛ إبل مؤبلة كثيرة وأبل الرجل إذا كثرت إبله وتأبل فلان إبلا (tahdhib)؛ الإبل يقع على البعران الكثيرة وأبل الرجل كثرت إبله ورجل آبل وأبل (mufradat)
root_000006	ء ب ل	أ ب ل	B002	accepted	الاجتزاء عن الماء	يدخل فيه اجتزاء الإبل أو الوحش بالرطب عن الماء وما شبه به من ترك مقاربة المرأة	بعير آبل في موضع لا يبرح يجتزئ عن الماء وتأبل الرجل عن المرأة (maqayis)؛ أبلت الإبل والوحش اجتزأت بالرطب عن الماء وأبل الرجل عن امرأته (sihah)؛ أبلت الوحش إذا جزأت بالرطب عن الماء وإبل أوابل قد جزأت (tahdhib)؛ أبل الوحشي اجتزأ عن الماء وتأبل الرجل عن امرأته (mufradat)
root_000006	ء ب ل	أ ب ل	B003	accepted	الجماعات الأبابيل	يدخل فيه أبابيل للطير أو الجماعات المتفرقة أو المتتابعة بعضا بعد بعض	طيرا أبابيل أي يتبع بعضها بعضا (maqayis)؛ جاءت إبلك أبابيل أي فرقا وطير أبابيل (sihah)؛ طيرا أبابيل جماعات وقيل يتبع بعضها بعضا إبيلا إبيلا (tahdhib)؛ طيرا أبابيل أي متفرقة كقطعات إبل (mufradat)
root_000006	ء ب ل	أ ب ل	B004	accepted	الثقل والتبعة	يدخل فيه الأبلة بمعنى الثقل أو الوخامة أو التبعة أو المذمة أو العيب ويدخل فيه الغلبة والامتناع إذا حمل على ثقل الأمر	أبل الرجل إذا غلب وامتنع والأبلة الثقل وذهبت أبلته (maqayis)؛ الأبلة الوخامة والثقل من الطعام وذهبت أبلته (sihah)؛ ما عليك فيه أبلة ولا أبنة أي لا عيب وخرجت من أبلته أي من تبعته ومذمته (tahdhib)
root_000006	ء ب ل	أ ب ل	B005	accepted	إبالة الحطب	يدخل فيه الإبالة للحزمة من الحطب والمثل ضغث على إبالة	الإبالة الحزمة من الحطب (maqayis)؛ الإبالة الحزمة من الحطب وضغث على إبالة (sihah)؛ ضغث على إبالة (tahdhib)؛ الإبالة الحزمة من الحطب (mufradat)
root_000006	ء ب ل	أ ب ل	B006	accepted	الأبيل الراهب	يدخل فيه الأبيل أو الأبيلي لراهب النصارى أو رئيسهم ومن يضرب بالناقوس	الأبيل من رؤوس النصارى وهو الأبيلى (maqayis)؛ الأبيل الذي يضرب بالناقوس (jamhara)؛ الأبيل راهب النصارى (sihah)؛ الأبيل الراهب الرئيس وهم الأبيلون (tahdhib)
root_000006	ء ب ل	أ ب ل	B007	accepted	الأُبُلَّة من التمر	يدخل فيه الأُبُلَّة للفدرة من التمر	الأبلة الفدرة من التمر (maqayis)؛ الأُبُلَّة الفدرة من التمر (sihah)؛ الأبلة الفدرة من التمر (tahdhib)
root_000006	ء ب ل	أ ب ل	B008	accepted	الموضع المسمى أبلة أو أبلى	يدخل فيه أبلة الموضع وأبلى الموضع	أبلى موضع (maqayis)؛ الأبلة مدينة إلى جنب البصرة (sihah)؛ الأبلة لأبلة البصرة (tahdhib)
root_000006	ء ب ل	أ ب ل	B009	accepted	الأبلة القبيلة	يدخل فيه المجيء في أبلته أو إبالته أي في قبيلته	جاء فلان في أبلته وإبالته أي في قبيلته (tahdhib)
root_000006	ء ب ل	أ ب ل	B010	review	تأبيل الميت	يدخل فيه أبلت الميت تأبيلا أو تأبل على الميت إذا أثني عليه أو حزن عليه بعد موته	تأبل على الميت حزن عليه وأبلت الميت مثل أبنت (maqayis)؛ أبنت الميت تأبينا وأبلته تأبيلا إذا أثنيت عليه بعد وفاته (tahdhib)
root_000007	ء ب و	أ ب و	B001	accepted	الأبوة والتربية	الأب والآباء والأبوان والأبوة ومن كان سببا في إيجاد أو صلاح ومن يأبو اليتيم أي يغذوه ويربيه	يدل على التربية والغذو (maqayis)؛ أبوت الشيء آبوه أبوا إذا غذوته (maqayis)؛ فلان يأبو هذا اليتيم إباوة أي يغذوه كما يغذو الوالد ولده (ayn;tahdhib)؛ الأب أصله أبو (sihah)؛ الأب الوالد ويسمى كل من كان سببا في إيجاد شيء أو صلاحه أو ظهوره أبا (mufradat)
root_000007	ء ب و	أ ب و	B002	accepted	خطاب الأب ومثله	يا أبت ويا أبة ولا أبا لك ولا أب لك وما جرى مجراها من تراكيب الأب	يا أبة افعل (sihah)؛ يا أبت ويا أبت لغتان (sihah)؛ لا أبا لك كأنه يمدحه (ayn)؛ لا أبا لك ولا أب لك مدح (sihah)؛ لا أبا لك ولا أب لك مدح ولا أم لك ذم (tahdhib)
root_000007	ء ب و	أ ب و	B003	accepted	داء الأَبْواء	العنز الأَبْواء والتيس الآبى إذا مرضا من شم أبوال الأروى	عنز أبواء إذا أصابها وجع عن شم أبوال الأروى (maqayis)؛ عنز أبواء وتيس آبى إذا شم بول الأروى فمرض منه (sihah)
root_000008	ء ب ي	أ ب ي	B001	accepted	الإِباء والامتناع	كل إِباء وامتناع شديد عن قبول الشيء أو تحمله وكراهته وما حمل عليه من وصف الإنسان أو الدابة أو الماء أو الداء بالامتناع	الهمزة والباء والياء يدل على الامتناع (maqayis); أبيت الشيء آباه وقوم أبيون وأباة (maqayis); الإباء شدة الامتناع فكل إباء امتناع وليس كل امتناع إباءا (mufradat); أبيت الشيء آباه إباء كرهته (tahdhib); الأبية من الإبل الصعبة وماء مأباة أي تأباه الإبل (maqayis); رجل أبي ممتنع من تحمل الضيم وتيس آبى وعنز أبواء (mufradat)
root_000008	ء ب ي	أ ب ي	B002	accepted	الأَبَاء من القصب والأجمة	أطراف القصب المسماة الأَبَاء والواحدة أَبَاءة وما سمي بذلك من الأجمة وما شبه به من الرماح	الأَبَاء أطراف القصب الواحدة أَبَاءة ثم قيل للأجمة أَبَاءة (maqayis); يجوز أن يكون أراد بالأَبَاءة الرماح شبهها بالقصب كثرة (maqayis)
root_000009	ء ت ي	أ ت ي	B001	accepted	الإتيان والمجيء	المجيء والوصول بالذات أو بالأمر أو بالتدبير، وطلب الإتيان أو وقوع الأمر المتوقع	أتى يأتي أتيا (jamhara)؛ الإتيان المجئ (sihah)؛ أتاني فلان إتيانا وأتيا وأتية وأتوة (tahdhib;maqayis)؛ الإتيان مجيء بسهولة (mufradat)
root_000009	ء ت ي	أ ت ي	B002	accepted	الإيتاء والإعطاء	الإعطاء، وإتيان الشيء بالشيء أو إحضاره	آتى يؤتي إيتاء في معنى أعطى (jamhara)؛ آتاه إيتاء أي أعطاه وآتاه أيضا أي أتى به (sihah)؛ الإتياء الإعطاء (tahdhib)؛ الإيتاء الإعطاء (mufradat;maqayis)
root_000009	ء ت ي	أ ت ي	B003	accepted	مأتى الأمر وتهيؤه	إتيان الأمر من وجهه، والموافقة والمطاوعة، والترفق للحاجة، وتهيؤ الشيء	أتيت الأمر من مأتاته (sihah;maqayis)؛ آتيته على ذلك الأمر مواتاة إذا وافقته وطاوعته (sihah)؛ آتيت فلانا على أمره مؤاتاة وهو حسن المطاوعة (maqayis)؛ تأتى له الشيء أي تهيأ (sihah)؛ تأتى فلان لحاجته إذا ترفق لها (tahdhib)
root_000009	ء ت ي	أ ت ي	B004	accepted	مجرى الماء وتسليك سبيله	الجدول أو النهر إلى الحوض، وتسهيل جريان الماء أو توجيه مجراه، وما يقع في النهر فيحبس الماء عند مقاييس	أت لمائك أي سهل له سبيلا وذلك السبيل الأتي (jamhara)؛ الأتي الجدول يؤتيه الرجل إلى أرضه (sihah)؛ كل جدول ماء أتي (tahdhib)؛ أت لهذا الماء أي سهل جريه (maqayis)؛ الأتي ما وقع في النهر من خشب أو ورق مما يحبس الماء (maqayis)
root_000009	ء ت ي	أ ت ي	B005	accepted	السيل الآتي من غير البلد	السيل الذي يأتي من بلد أصابه المطر إلى بلد لم يصبه المطر	الأتي السيل بعينه يأتيك من بلد مطر من غير بلدك (jamhara)؛ سيل أتي وأتاوي إذا جاءك ولم يصبك مطره (sihah)؛ المسيل الذي يأتي من بلد قد مطر فيه إلى بلد لم يمطر فيه أتي (tahdhib)؛ السيل المار على وجهه أتي وأتاوي (mufradat)؛ الأتي أيضا السيل الذي يأتي من بلد غير بلدك (maqayis)
