edge_id	source_position	target_position	edge_type	direction	confidence	exact_surface_span	evidence	reason
ae:v3:s101:004:pass1:attach:a6	q:101:4:1	q:101:4:2	idafa	head-to-dependent	high	يَوْمَ | يَكُونُ	local_syntax;case_government	The clause يَكُونُ ٱلنَّاسُ كَٱلْفَرَاشِ ٱلْمَبْثُوثِ completes the temporal idafa of يَوْمَ.
ae:v3:s101:005:pass1:attach:a1	q:101:5:2	q:101:5:3	subject	head-to-dependent	high	وَتَكُونُ | الْجِبَالُ	agreement;word_order	ٱلْجِبَالُ is the nominative subject of تَكُونُ.
ae:v3:s101:005:pass1:attach:a2	q:101:5:2	q:101:5:4	prep_complement	head-to-dependent	high	وَتَكُونُ | كَالْعِهْنِ	case_government;local_syntax	ٱلْعِهْنِ in كَٱلْعِهْنِ is governed by the prefixed كَ as complement of تَكُونُ.
ae:v3:s101:005:pass1:attach:a3	q:101:5:2	q:101:5:4	kana_predicate	head-to-dependent	high	وَتَكُونُ | كَالْعِهْنِ	local_syntax	كَٱلْعِهْنِ ٱلْمَنفُوشِ is the predicate of تَكُونُ for ٱلْجِبَالُ.
ae:v3:s101:005:pass1:attach:a4	q:101:5:4	q:101:5:5	adjective	head-to-dependent	high	كَالْعِهْنِ | الْمَنْفُوشِ	agreement;case_government	ٱلْمَنفُوشِ agrees with ٱلْعِهْنِ and modifies it.
ae:v3:s101:006:pass1:attach:a1	q:101:6:2	q:101:6:3	particle_complement	head-to-dependent	high	فَأَمَّا | مَنْ	local_syntax	مَن is the conditional-relative complement selected by أَمَّا.
ae:v3:s101:006:pass1:attach:a2	q:101:6:4	q:101:6:5	subject	head-to-dependent	high	ثَقُلَتْ | مَوَازِينُهُ	agreement;word_order	مَوَازِينُهُ is the explicit subject of ثَقُلَتْ.
ae:v3:s101:006:pass1:attach:a3	q:101:6:5	q:101:6:5	idafa	head-to-dependent	high	مَوَازِينُهُ	morphology	The suffix هُ in مَوَازِينُهُ is the possessor attached to مَوَازِينُ.
ae:v3:s101:007:pass1:attach:a1	q:101:7:2	q:101:7:4	prep_complement	head-to-dependent	high	فَهُوَ | عِيشَةٍ	case_government;local_syntax	عِيشَةٍ is governed by فِى in the predicate phrase of هُوَ.
ae:v3:s101:007:pass1:attach:a2	q:101:7:2	q:101:7:4	predication	head-to-dependent	high	فَهُوَ | عِيشَةٍ	local_syntax	فِى عِيشَةٍ رَّاضِيَةٍ is the predicate phrase for هُوَ.
ae:v3:s101:007:pass1:attach:a3	q:101:7:4	q:101:7:5	adjective	head-to-dependent	high	عِيشَةٍ | رَاضِيَةٍ	agreement;case_government	رَّاضِيَةٍ agrees with عِيشَةٍ and modifies it.
ae:v3:s101:008:pass1:attach:a1	q:101:8:2	q:101:8:3	particle_complement	head-to-dependent	high	وَأَمَّا | مَنْ	local_syntax	مَنْ is the conditional-relative complement selected by أَمَّا.
ae:v3:s101:008:pass1:attach:a2	q:101:8:4	q:101:8:5	subject	head-to-dependent	high	خَفَّتْ | مَوَازِينُهُ	agreement;word_order	مَوَازِينُهُ is the explicit subject of خَفَّتْ.
ae:v3:s101:008:pass1:attach:a3	q:101:8:5	q:101:8:5	idafa	head-to-dependent	high	مَوَازِينُهُ	morphology	The suffix هُ in مَوَازِينُهُ is the possessor attached to مَوَازِينُ.
ae:v3:s101:009:pass1:attach:a1	q:101:9:2	q:101:9:2	idafa	head-to-dependent	high	فَأُمُّهُ	morphology	The suffix هُ in أُمُّهُ is the possessor attached to أُمُّ.
ae:v3:s101:009:pass1:attach:a2	q:101:9:2	q:101:9:3	predication	head-to-dependent	high	فَأُمُّهُ | هَاوِيَةٌ	local_syntax	هَاوِيَةٌ is the predicate of أُمُّهُ.
ae:v3:s101:010:pass1:attach:a1	q:101:10:3	q:101:10:2	subject	head-to-dependent	high	أَدْرَاكَ | وَمَا	word_order;local_syntax	مَآ is the explicit interrogative subject of أَدْرَىٰكَ.
ae:v3:s101:010:pass1:attach:a2	q:101:10:3	q:101:10:3	direct_object	head-to-dependent	high	أَدْرَاكَ	morphology	The suffix كَ in أَدْرَىٰكَ is the second-person object of أَدْرَىٰ.
ae:v3:s101:010:pass1:attach:a3	q:101:10:3	q:101:10:4	clausal_complement	head-to-dependent	high	أَدْرَاكَ | مَا	local_syntax;formulaic_construction	The embedded question مَا هِيَهْ is the content made known by أَدْرَىٰكَ.
ae:v3:s101:010:pass1:attach:a4	q:101:10:5	q:101:10:4	predication	head-to-dependent	high	هِيَهْ | مَا	local_syntax	مَا is the interrogative predicate paired with the pronoun هِيَهْ.
ae:v3:s101:011:pass1:attach:a1	q:101:11:1	q:101:11:2	adjective	head-to-dependent	high	نَارٌ | حَامِيَةٌ	agreement;case_government	حَامِيَةٌ agrees with نَارٌ and modifies it.
