claim_id	ayah_ref	mechanism	cross_run_relation	publication_role	disposition	decision_reason
s001-1_5-exclusive-service-to-named-addressee	1:5	The repeated, fronted إياك relationally narrows ع ب د B003 worship and submissive obedience to the same addressee invoked and praised earlier, so the turn to direct address converts prior naming, lordship, and dominion into the community's exclusive pledged service.	shared_mechanism	unreviewed	unreviewed	
s001-1_5-service-smooths-straight-path	1:5	The immediate straight-path request activates ع ب د B005 physical smoothing and making-passable: worshipful service becomes material path-work that disciplines the travelers and prepares, treads, or keeps inhabitable the route for which guidance is requested.	shared_mechanism	unreviewed	unreviewed	
s001-1_5-worship-reverses-prideful-anger	1:5	The later anger contrast activates ع ب د B008 prideful aversion against ع ب د B003 submissive worship, so exclusive service becomes affective discipline that reverses self-assertive refusal and protects against a pride-anger orientation toward the wrong route.	standard_only	unreviewed	unreviewed	
s001-1_6-contained-transit	1:6	The road contains directed passage, contrasted with becoming unlocatable through straying.	shared_mechanism	secondary	accepted	Direct road, straightness, and contextual loss anchor the claim; the paired swallowing/disappearance branches score as strong resonance despite the ±5 reader's qualification, so the mechanism materially enriches commentary without governing translation.
s001-1_6-cutting-through-resistance	1:6	The straight path is imagined as cutting through hardened resistance.	standard_only	exploratory	accepted	The mechanism is a separable component of the standard passage reading; sword, rock, and hide branches are explicitly analogical.
s001-1_6-devotional-offering	1:6	Guidance participates in a devotional gift-and-offering economy answered by praise and service.	standard_only	evidence_only	evidence_only	The offering branch is morphologically remote from اهدنا and appears only in the standard run; preserve it without publishing or translating through it.
s001-1_6-enabled-orientation	1:6	The petition asks for enabled movement toward a road whose defining form is straightness.	compatible_refinement	primary	accepted	The direct ه د ي B001, ص ر ط B001, and ق و م B008 spine governs the reading; the ±5 movement language refines the standard baseline.
s001-1_6-guidance-as-favor	1:6	Guidance is received as favor granting access to the path rather than as self-produced entitlement.	shared_mechanism	secondary	accepted	Both runs connect ه د ي B004 with ن ع م B001; gift remains analogical while direct guidance and road branches anchor the claim.
s001-1_6-supported-procession	1:6	Guidance is accompanied movement behind a leading human front, supported against instability.	compatible_refinement	secondary	accepted	The standard leading-front reading and ±5 supported-procession reading converge; ه د ي B003 and B008 remain analogical.
s001-1_6-sustained-straightness	1:6	The path's straightness is understood as an upheld and sustaining order.	shared_mechanism	primary	accepted	ق و م B008 directly licenses straightness; B004 and B009 add labeled maintenance and mainstay analogies supported by nurture and aid.
