source_finding_id	run_id	fixed_ayah_ref	finding_type	source_pointer	finding_title	claimed_branches	support_refs	reader_strength	disposition	notes
std-b-a022	s001_standard_b	1:7	activated_reading	v12/runs/s001/full_context_control/reader_s001_b_ayah_walk.md:97	The road is identified by marked recipients of favor.	ص ر ط:B001;ن ع م:B001;ن ع م:B003;ع ل م:B002	1:2	asserted	unreviewed	
std-b-a023	s001_standard_b	1:7	activated_reading	v12/runs/s001/full_context_control/reader_s001_b_ayah_walk.md:99	Negation splits the path away from retaliation and aimless deviation.	غ ي ر:B005;غ ض ب:B001;ض ل ل:B001		asserted	unreviewed	
std-b-a024	s001_standard_b	1:7	activated_reading	v12/runs/s001/full_context_control/reader_s001_b_ayah_walk.md:101	Repair and substitution away from damaged routes.	غ ي ر:B003;غ ي ر:B001;ر ب ب:B002;ه د ي:B001	1:2;1:6	asserted	unreviewed	
std-b-a025	s001_standard_b	1:7	activated_reading	v12/runs/s001/full_context_control/reader_s001_b_ayah_walk.md:103	Herding: favored creatures are led; lost creatures become strays.	ن ع م:B005;ض ل ل:B005;ه د ي:B008;ر ب ب:B014	1:2;1:6	asserted	unreviewed	
std-b-a026	s001_standard_b	1:7	activated_reading	v12/runs/s001/full_context_control/reader_s001_b_ayah_walk.md:105	Anger as hardened material obstruction.	غ ض ب:B004;غ ض ب:B008;ص ر ط:B003;ق و م:B008	1:6	asserted	unreviewed	
std-b-r001	s001_standard_b	1:0	retrospective_surprise	v12/runs/s001/full_context_control/reader_s001_b_ayah_walk.md:15	The opening name becomes the first road-sign or banner.	س م و:B005;ص ر ط:B001	1:6;1:7	asserted	accepted	Atomic split from the retrospective paragraph. Agent-orchestrated normalization: accepted.
std-b-r002	s001_standard_b	1:0	retrospective_surprise	v12/runs/s001/full_context_control/reader_s001_b_ayah_walk.md:15	Mercy frames ownership, reckoning, and recompense.	ر ح م:B001;م ل ك:B003;د ي ن:B002	1:4	asserted	merged	Atomic split from the retrospective paragraph. Agent-orchestrated normalization: merged.
std-b-r003	s001_standard_b	1:2	retrospective_surprise	v12/runs/s001/full_context_control/reader_s001_b_ayah_walk.md:29	Worlds become marked terrain requiring guidance.	ع ل م:B002;ه د ي:B001	1:6	asserted	merged	Atomic split from the retrospective paragraph. Agent-orchestrated normalization: merged.
std-b-r004	s001_standard_b	1:2	retrospective_surprise	v12/runs/s001/full_context_control/reader_s001_b_ayah_walk.md:29	Praise becomes gratitude tested against divergent outcomes.	ح م د:B001;ن ع م:B001;غ ض ب:B001;ض ل ل:B001	1:7	asserted	merged	Atomic split from the retrospective paragraph. Agent-orchestrated normalization: merged.
std-b-r005	s001_standard_b	1:3	retrospective_surprise	v12/runs/s001/full_context_control/reader_s001_b_ayah_walk.md:43	Kinship and womb imagery gather the praying we before guidance.	ر ح م:B002;ر ح م:B003	1:5;1:6	asserted	unreviewed	Atomic split from the retrospective paragraph.
std-b-r006	s001_standard_b	1:3	retrospective_surprise	v12/runs/s001/full_context_control/reader_s001_b_ayah_walk.md:43	Mercy becomes the alternative atmosphere to anger and loss.	ر ح م:B001;غ ض ب:B001;ض ل ل:B001;ض ل ل:B003	1:7	asserted	unreviewed	Atomic split from the retrospective paragraph.
std-b-r007	s001_standard_b	1:4	retrospective_surprise	v12/runs/s001/full_context_control/reader_s001_b_ayah_walk.md:59	The later path activates Malik as a road-center or main channel.	م ل ك:B006;ص ر ط:B001	1:6;1:7	asserted	unreviewed	Atomic split from the retrospective paragraph.
std-b-r008	s001_standard_b	1:4	retrospective_surprise	v12/runs/s001/full_context_control/reader_s001_b_ayah_walk.md:59	Favor activates din as debt and accountable benefit.	د ي ن:B003;ن ع م:B001	1:7	asserted	unreviewed	Atomic split from the retrospective paragraph.
std-b-r009	s001_standard_b	1:5	retrospective_surprise	v12/runs/s001/full_context_control/reader_s001_b_ayah_walk.md:75	The straight path activates worship as road-smoothing.	ع ب د:B005;ص ر ط:B001;ق و م:B008	1:6	asserted	merged	Atomic split from the retrospective paragraph. Agent-orchestrated normalization: merged.
std-b-r010	s001_standard_b	1:5	retrospective_surprise	v12/runs/s001/full_context_control/reader_s001_b_ayah_walk.md:75	The final anger contrast activates worship as reversal of prideful aversion.	ع ب د:B008;غ ض ب:B001	1:7	asserted	merged	Atomic split from the retrospective paragraph. Agent-orchestrated normalization: merged.
std-b-r011	s001_standard_b	1:6	retrospective_surprise	v12/runs/s001/full_context_control/reader_s001_b_ayah_walk.md:91	The path becomes social and historical through favored people.	ص ر ط:B001;ن ع م:B001	1:7	asserted	merged	Merged into the supported-procession claim.
std-b-r012	s001_standard_b	1:6	retrospective_surprise	v12/runs/s001/full_context_control/reader_s001_b_ayah_walk.md:91	Disappearance imagery makes straightness protective.	ص ر ط:B002;ض ل ل:B002;ض ل ل:B003;ق و م:B008	1:7	asserted	merged	Merged into the contained-transit claim.
std-b-r013	s001_standard_b	1:7	retrospective_surprise	v12/runs/s001/full_context_control/reader_s001_b_ayah_walk.md:109	The basmalah's mercy governs even the final exclusions.	ر ح م:B001;غ ض ب:B001;ض ل ل:B001	1:0	asserted	unreviewed	Atomic split from the retrospective paragraph.
std-b-r014	s001_standard_b	1:7	retrospective_surprise	v12/runs/s001/full_context_control/reader_s001_b_ayah_walk.md:109	The favored path is entered through worship, aid, and path-work.	ع ب د:B003;ع ب د:B005;ع و ن:B001;ص ر ط:B001	1:5	asserted	unreviewed	Atomic split from the retrospective paragraph.
std-b-r015	s001_standard_b	1:7	retrospective_surprise	v12/runs/s001/full_context_control/reader_s001_b_ayah_walk.md:109	Favor versus loss takes the image of gathered herd versus stray animal.	ن ع م:B005;ض ل ل:B005;ه د ي:B001	1:6	asserted	unreviewed	Atomic split from the retrospective paragraph.
p5-a-a001	s001_p5_a	1:0	activated_reading	v12/runs_11ayah/s001/full_context_control/reader_s001_a_ayah_walk.md:7	The name as a performative point of entry.	س م و:B005;ء ل ه:B002;ء ل ه:B001	1:2;1:5	asserted	merged	Agent-orchestrated normalization: merged.
p5-a-a002	s001_p5_a	1:0	activated_reading	v12/runs_11ayah/s001/full_context_control/reader_s001_a_ayah_walk.md:9	Naming as the raising of mention.	س م و:B001;س م و:B008;ح م د:B001	1:2;1:3	asserted	merged	Agent-orchestrated normalization: merged.
p5-a-a003	s001_p5_a	1:0	activated_reading	v12/runs_11ayah/s001/full_context_control/reader_s001_a_ayah_walk.md:11	Mercy as a formative enclosure.	ر ح م:B001;ر ح م:B003;ر ب ب:B002;ع و ن:B001;ه د ي:B001	1:2;1:3;1:5;1:6	asserted	merged	Agent-orchestrated normalization: merged.
p5-a-a004	s001_p5_a	1:2	activated_reading	v12/runs_11ayah/s001/full_context_control/reader_s001_a_ayah_walk.md:21	Praise as a grateful verdict grounded in benefit.	ح م د:B001;ح م د:B002;ن ع م:B001	1:3;1:5;1:7	asserted	merged	Agent-orchestrated normalization: merged.
p5-a-a005	s001_p5_a	1:2	activated_reading	v12/runs_11ayah/s001/full_context_control/reader_s001_a_ayah_walk.md:23	Lordship as cultivation of legible worlds.	ر ب ب:B002;ع ل م:B002	1:6;1:7	asserted	merged	Agent-orchestrated normalization: merged.
p5-a-a006	s001_p5_a	1:2	activated_reading	v12/runs_11ayah/s001/full_context_control/reader_s001_a_ayah_walk.md:25	Rabb as a title that entails allegiance.	ر ب ب:B001;ء ل ه:B001;م ل ك:B003;د ي ن:B001;ع ب د:B003	1:0;1:4;1:5	asserted	merged	Agent-orchestrated normalization: merged.
p5-a-a007	s001_p5_a	1:3	activated_reading	v12/runs_11ayah/s001/full_context_control/reader_s001_a_ayah_walk.md:35	Mercy as the governing medium between nurture and reckoning.	ر ح م:B001	1:0;1:2;1:4	asserted	unreviewed	
p5-a-a008	s001_p5_a	1:3	activated_reading	v12/runs_11ayah/s001/full_context_control/reader_s001_a_ayah_walk.md:37	The doubled mercy as protected formation and continuing support.	ر ح م:B003;ر ح م:B001;ر ب ب:B002;ع و ن:B001;ه د ي:B001;ن ع م:B001	1:2;1:5;1:6;1:7	asserted	unreviewed	
p5-a-a009	s001_p5_a	1:3	activated_reading	v12/runs_11ayah/s001/full_context_control/reader_s001_a_ayah_walk.md:39	Mercy as a bond that forms a path-community.	ر ح م:B002	1:5;1:6;1:7	exploratory	unreviewed	Reader explicitly marks the inference exploratory.
p5-a-a010	s001_p5_a	1:4	activated_reading	v12/runs_11ayah/s001/full_context_control/reader_s001_a_ayah_walk.md:49	Sovereignty over a decisive sorting event.	م ل ك:B003;ي و م:B003;د ي ن:B002	1:7	asserted	unreviewed	
p5-a-a011	s001_p5_a	1:4	activated_reading	v12/runs_11ayah/s001/full_context_control/reader_s001_a_ayah_walk.md:51	Din as the horizon of enacted obedience.	د ي ن:B001;ع ب د:B003	1:5	asserted	unreviewed	
p5-a-a012	s001_p5_a	1:4	activated_reading	v12/runs_11ayah/s001/full_context_control/reader_s001_a_ayah_walk.md:53	A debt-settlement mechanism.	د ي ن:B003;م ل ك:B002;ن ع م:B001	1:2;1:3;1:5;1:7	exploratory	unreviewed	Reader explicitly labels the mechanism exploratory.
p5-a-a013	s001_p5_a	1:5	activated_reading	v12/runs_11ayah/s001/full_context_control/reader_s001_a_ayah_walk.md:63	Exclusive service coupled to enabling support.	ع ب د:B003;ع و ن:B001	1:2;1:4;1:6	asserted	split	Agent-orchestrated normalization: split.
p5-a-a014	s001_p5_a	1:5	activated_reading	v12/runs_11ayah/s001/full_context_control/reader_s001_a_ayah_walk.md:65	Service as the material making-passable of a road.	ع ب د:B005;ص ر ط:B001;ق و م:B008	1:6	asserted	merged	Agent-orchestrated normalization: merged.
p5-a-a015	s001_p5_a	1:5	activated_reading	v12/runs_11ayah/s001/full_context_control/reader_s001_a_ayah_walk.md:67	Aid as stabilization into upright movement.	ع و ن:B005;ق و م:B002;ق و م:B008	1:6	asserted	merged	Agent-orchestrated normalization: merged.
p5-a-a016	s001_p5_a	1:6	activated_reading	v12/runs_11ayah/s001/full_context_control/reader_s001_a_ayah_walk.md:77	Guidance as a bestowed gift.	ه د ي:B004;ن ع م:B001;ص ر ط:B001	1:7	asserted	merged	Merged into the guidance-as-favor claim.
p5-a-a017	s001_p5_a	1:6	activated_reading	v12/runs_11ayah/s001/full_context_control/reader_s001_a_ayah_walk.md:79	Guidance as a supported procession.	ه د ي:B003;ه د ي:B008;ق و م:B008;ع و ن:B001	1:5;1:7	asserted	split	Supports enabled orientation and the supported-procession claim.
p5-a-a018	s001_p5_a	1:6	activated_reading	v12/runs_11ayah/s001/full_context_control/reader_s001_a_ayah_walk.md:81	Straightness as maintained and sustaining infrastructure.	ق و م:B004;ق و م:B009;ر ب ب:B002;ع و ن:B001	1:2;1:5	asserted	split	Supports enabled orientation and sustained straightness.
p5-a-a019	s001_p5_a	1:6	activated_reading	v12/runs_11ayah/s001/full_context_control/reader_s001_a_ayah_walk.md:83	Contained passage contrasted with untracked disappearance.	ص ر ط:B002;ض ل ل:B002;ض ل ل:B003	1:7	exploratory	merged	Merged into the contained-transit claim.
p5-a-a020	s001_p5_a	1:7	activated_reading	v12/runs_11ayah/s001/full_context_control/reader_s001_a_ayah_walk.md:93	A road constituted by bestowed human precedent.	ص ر ط:B001;ن ع م:B001;ر ب ب:B002;ع و ن:B001	1:2;1:5	asserted	unreviewed	
p5-a-a021	s001_p5_a	1:7	activated_reading	v12/runs_11ayah/s001/full_context_control/reader_s001_a_ayah_walk.md:95	Favor as softening and carrying the journey further.	ن ع م:B002;ن ع م:B010;ص ر ط:B001;ع ب د:B005	1:5;1:6	asserted	unreviewed	
p5-a-a022	s001_p5_a	1:7	activated_reading	v12/runs_11ayah/s001/full_context_control/reader_s001_a_ayah_walk.md:97	Ghayr as a boundary operation, not another group label.	غ ي ر:B005;غ ي ر:B003	1:5;1:6	asserted	unreviewed	
p5-a-a023	s001_p5_a	1:7	activated_reading	v12/runs_11ayah/s001/full_context_control/reader_s001_a_ayah_walk.md:99	Wrath as opposition hardening into resistance.	غ ض ب:B003;غ ض ب:B001;غ ض ب:B004;د ي ن:B001;ع ب د:B003;ن ع م:B002	1:4;1:5	exploratory	unreviewed	Reader explicitly labels the resulting reading exploratory.
p5-a-a024	s001_p5_a	1:7	activated_reading	v12/runs_11ayah/s001/full_context_control/reader_s001_a_ayah_walk.md:101	Straying as loss of locatability and retained orientation.	ض ل ل:B003;ض ل ل:B004;ض ل ل:B005;ر ب ب:B001;م ل ك:B002;م ل ك:B003;ع ل م:B002;ه د ي:B001	1:2;1:4;1:6	asserted	unreviewed	
p5-a-r001	s001_p5_a	1:0	retrospective_surprise	v12/runs_11ayah/s001/full_context_control/reader_s001_a_ayah_walk.md:15	The opening name develops into an exclusive addressee.	س م و:B005;ء ل ه:B002	1:5	asserted	merged	Atomic split from the retrospective paragraph. Agent-orchestrated normalization: merged.
p5-a-r002	s001_p5_a	1:0	retrospective_surprise	v12/runs_11ayah/s001/full_context_control/reader_s001_a_ayah_walk.md:15	Womb imagery becomes a functional enabling enclosure.	ر ح م:B003;ر ب ب:B002;ه د ي:B001	1:2;1:3;1:6	asserted	merged	Atomic split from the retrospective paragraph. Agent-orchestrated normalization: merged.
p5-a-r003	s001_p5_a	1:2	retrospective_surprise	v12/runs_11ayah/s001/full_context_control/reader_s001_a_ayah_walk.md:29	Favor gives praise a concrete benefaction to answer.	ح م د:B001;ن ع م:B001	1:7	asserted	merged	Atomic split from the retrospective paragraph. Agent-orchestrated normalization: merged.
p5-a-r004	s001_p5_a	1:2	retrospective_surprise	v12/runs_11ayah/s001/full_context_control/reader_s001_a_ayah_walk.md:29	Worlds become legible through route distinctions.	ع ل م:B002;ر ب ب:B002;ه د ي:B001;ص ر ط:B001	1:6;1:7	asserted	merged	Atomic split from the retrospective paragraph. Agent-orchestrated normalization: merged.
p5-a-r005	s001_p5_a	1:2	retrospective_surprise	v12/runs_11ayah/s001/full_context_control/reader_s001_a_ayah_walk.md:29	Lordship develops into allegiance rather than scale alone.	ر ب ب:B001;م ل ك:B003;د ي ن:B001;ع ب د:B003	1:4;1:5	asserted	merged	Atomic split from the retrospective paragraph. Agent-orchestrated normalization: merged.
p5-a-r006	s001_p5_a	1:3	retrospective_surprise	v12/runs_11ayah/s001/full_context_control/reader_s001_a_ayah_walk.md:43	Mercy precedes and governs the announcement of sovereignty.	ر ح م:B001;م ل ك:B003;د ي ن:B002	1:4	asserted	unreviewed	Atomic split from the retrospective paragraph.
p5-a-r007	s001_p5_a	1:3	retrospective_surprise	v12/runs_11ayah/s001/full_context_control/reader_s001_a_ayah_walk.md:43	Kinship becomes affiliation across present and prior path recipients.	ر ح م:B002;ن ع م:B001	1:5;1:6;1:7	exploratory	unreviewed	Atomic split from an explicitly exploratory activated reading.
p5-a-r008	s001_p5_a	1:4	retrospective_surprise	v12/runs_11ayah/s001/full_context_control/reader_s001_a_ayah_walk.md:57	Worship activates din as enacted obedience.	د ي ن:B001;ع ب د:B003	1:5	asserted	unreviewed	Atomic split from the retrospective paragraph.
p5-a-r009	s001_p5_a	1:4	retrospective_surprise	v12/runs_11ayah/s001/full_context_control/reader_s001_a_ayah_walk.md:57	Divergent outcomes sharpen the day into a decisive sorting event.	ي و م:B003;د ي ن:B002	1:7	asserted	unreviewed	Atomic split from the retrospective paragraph.
p5-a-r010	s001_p5_a	1:4	retrospective_surprise	v12/runs_11ayah/s001/full_context_control/reader_s001_a_ayah_walk.md:57	Favor makes the debt branch visible as an obligation model.	د ي ن:B003;ن ع م:B001	1:7	exploratory	unreviewed	Atomic split from the retrospective paragraph.
p5-a-r011	s001_p5_a	1:5	retrospective_surprise	v12/runs_11ayah/s001/full_context_control/reader_s001_a_ayah_walk.md:71	The straight path activates service as road-smoothing.	ع ب د:B005;ص ر ط:B001;ق و م:B008	1:6	asserted	merged	Atomic split from the retrospective paragraph. Agent-orchestrated normalization: merged.
p5-a-r012	s001_p5_a	1:5	retrospective_surprise	v12/runs_11ayah/s001/full_context_control/reader_s001_a_ayah_walk.md:71	The straight path activates aid as settled strength.	ع و ن:B005;ق و م:B002;ق و م:B008	1:6	asserted	merged	Atomic split from the retrospective paragraph. Agent-orchestrated normalization: merged.
p5-a-r013	s001_p5_a	1:6	retrospective_surprise	v12/runs_11ayah/s001/full_context_control/reader_s001_a_ayah_walk.md:87	Favor activates guidance as gift.	ه د ي:B004;ن ع م:B001	1:7	asserted	merged	Merged into the guidance-as-favor claim.
p5-a-r014	s001_p5_a	1:6	retrospective_surprise	v12/runs_11ayah/s001/full_context_control/reader_s001_a_ayah_walk.md:87	Favored people activate guidance as entry behind a leading front.	ه د ي:B003;ص ر ط:B001;ن ع م:B001	1:7	asserted	merged	Merged into the supported-procession claim.
p5-a-r015	s001_p5_a	1:6	retrospective_surprise	v12/runs_11ayah/s001/full_context_control/reader_s001_a_ayah_walk.md:87	Shared disappearance imagery contrasts contained transit with untracked loss.	ص ر ط:B002;ض ل ل:B002;ض ل ل:B003	1:7	exploratory	merged	Merged into the contained-transit claim.
