evidence_id	claim_id	occurrence_ref	word_index	word_id	morpheme_id	surface	lemma	pos	root	branch	inventory_pointer	inventory_match	form_fit	construction_fit	evidence_role	lexical_status	translation_role	resonance_eligible	trigger_score	proximity_score	structure_score	reading_gain_score	robustness_score	resonance_score	resonance_strength	support_refs	linguistic_support_ids	counterevidence	decision_reason
e-s001-1_0-mercy-frames-reckoning-002	s001-1_0-mercy-frames-reckoning	1:0	4	w-s001-a000-w004	m-w-s001-a000-w004-02	رَّحِيمِ	رَّحِيم	ADJ	ر ح م	B001	v12/runs/s001/full_context_packet.json:631	yes	exact	compatible	lexical_anchor	direct	governing	not_applicable							none	1:4		The direct mercy sense can frame later judgment by sequence, but it does not cancel or redefine reckoning.	Word 4 is the separately QAC-bound genitive adjective al-Rahim and is directly covered by B001; that morphology is compatible with the epithet construction. The fallback attachment describing the second epithet is deterministically bound to word 3, so it is not cited or re-bound here.
e-s001-1_0-mercy-frames-reckoning-003	s001-1_0-mercy-frames-reckoning	1:0	3	w-s001-a000-w003	m-w-s001-a000-w003-02	رَّحْمَٰنِ	رَّحْمَٰن	ADJ	ر ح م	B002	v12/runs/s001/full_context_packet.json:648	yes	mismatch	mismatch	target_root_resonance	unlicensed	none	no							none	1:4	sx-1_0-00003	Al-Rahman is an adjective, not a kinship noun, and the ownership-reckoning phrase contains no descent, family tie, or kinship relation.	B002 is retained but fails the resonance gate because the named 1:4 activators establish dominion and recompense, not kinship, and no explicit structural relation makes kinship relevant to the tribunal.
e-s001-1_0-mercy-frames-reckoning-004	s001-1_0-mercy-frames-reckoning	1:0	4	w-s001-a000-w004	m-w-s001-a000-w004-02	رَّحِيمِ	رَّحِيم	ADJ	ر ح م	B002	v12/runs/s001/full_context_packet.json:648	yes	mismatch	mismatch	target_root_resonance	unlicensed	none	no							none	1:4		Al-Rahim is a distinct adjective, not the kinship noun of B002, and nothing in 1:4 supplies a family or descent construction.	The second mercy occurrence is retained separately, but B002 is unlicensed for the same failed gate: reckoning is not a named kinship activator, and the supplied fallback syntax remains bound to word 3.
e-s001-1_0-mercy-frames-reckoning-005	s001-1_0-mercy-frames-reckoning	1:0	3	w-s001-a000-w003	m-w-s001-a000-w003-02	رَّحْمَٰنِ	رَّحْمَٰن	ADJ	ر ح م	B003	v12/runs/s001/full_context_packet.json:665	yes	mismatch	mismatch	target_root_resonance	analogical_resonance	none	yes	1	2	1	1	0	5	moderate	1:4	sx-1_0-00003;sx-1_4-00010;sx-1_4-00011	The adjective al-Rahman ordinarily selects B001, and simple precedence of mercy already explains the framing effect; 1:4 contains no womb or gestational language.	B003 cannot govern the adjective, but the exact target root, the mercy-before-reckoning sequence, and the tightly nested 'master of the day of recompense' construction supply a minimally coherent enclosure analogy. Its weak branch-specific trigger and strong ordinary alternative limit robustness.
e-s001-1_0-mercy-frames-reckoning-006	s001-1_0-mercy-frames-reckoning	1:0	4	w-s001-a000-w004	m-w-s001-a000-w004-02	رَّحِيمِ	رَّحِيم	ADJ	ر ح م	B003	v12/runs/s001/full_context_packet.json:665	yes	mismatch	mismatch	target_root_resonance	analogical_resonance	none	yes	1	2	1	1	0	5	moderate	1:4	sx-1_4-00010;sx-1_4-00011	QAC makes al-Rahim a separate adjective rather than the womb noun, and ordinary mercy plus textual order accounts for the judgment-framing reading without B003.	Word 4 supplies a second exact root anchor but not the B003 form. The later dominion-recompense construction and sequence permit only a weak enclosure analogy; the fallback attachment is not re-bound from word 3.
e-s001-1_0-mercy-frames-reckoning-007	s001-1_0-mercy-frames-reckoning	1:4	1	w-s001-a004-w001	m-w-s001-a004-w001-01	مَٰلِكِ	مَٰلِك	N	م ل ك	B003	v12/runs/s001/full_context_packet.json:1229	yes	compatible	compatible	context_support	contextually_activated	none	not_applicable							none	1:4	sx-1_4-00010;sx-1_4-00011	QAC analyzes maliki as an active participial owner/master form, not the simple king title, so kingship is not licensed by root identity alone.	The nested genitive construction 'master of the day of recompense' compatibly activates B003 dominion and sovereignty, but the derivational owner form keeps that branch contextual rather than directly governing.
e-s001-1_0-mercy-frames-reckoning-008	s001-1_0-mercy-frames-reckoning	1:4	3	w-s001-a004-w003	m-w-s001-a004-w003-02	دِّينِ	دِين	N	د ي ن	B002	v12/runs/s001/full_context_packet.json:1409	yes	exact	exact	context_support	direct	none	not_applicable							none	1:4	sx-1_4-00011	Reckoning and recompense do not by themselves specify how mercy should frame judgment.	Al-din in the genitive phrase 'day of al-din' directly realizes B002 reckoning and recompense and supplies the legal-judicial context without changing the target mercy words' translation.
e-s001-1_0-name-precedes-path-sign-001	s001-1_0-name-precedes-path-sign	1:0	1	w-s001-a000-w001	m-w-s001-a000-w001-02	سْمِ	ٱسْم	N	س م و	B005	v12/runs/s001/full_context_packet.json:519	yes	exact	exact	lexical_anchor	direct	governing	not_applicable							none	1:6;1:7	sx-1_0-00001;sx-1_0-00002	B005 denotes a name or designation, not literally a road-sign or banner, and no syntax edge equates it with the later path.	Ism in the prefixed bi-sm construction and its genitive relation to Allah exactly instantiate B005. The road-sign comparison is a sequential reading of this direct name, not a different lexical selection.
e-s001-1_0-name-precedes-path-sign-002	s001-1_0-name-precedes-path-sign	1:6	2	w-s001-a006-w002	m-w-s001-a006-w002-02	صِّرَٰطَ	صِرَٰط	N	ص ر ط	B001	v12/runs/s001/full_context_packet.json:2041	yes	exact	exact	context_support	direct	none	not_applicable							none	1:6	sx-1_6-00016;sx-1_6-00017	The requested path is a later contextual term and does not turn the earlier noun ism into a path lexeme.	Al-sirat is the explicit object of 'guide us' and is qualified as straight, directly realizing B001 road/path and supplying the later path pole of the sequential comparison.
e-s001-1_0-name-precedes-path-sign-003	s001-1_0-name-precedes-path-sign	1:7	1	w-s001-a007-w001	m-w-s001-a007-w001-01	صِرَٰطَ	صِرَٰط	N	ص ر ط	B001	v12/runs/s001/full_context_packet.json:2041	yes	exact	exact	context_support	direct	none	not_applicable							none	1:7	sx-1_7-00018	This repetition continues the path phrase but supplies no lexical road-sign sense to ism at 1:0.	Sirat again directly denotes the path and heads an idafa with 'those'; it confirms the extended path context while remaining contextual support only.
e-s001-1_0-name-relational-threshold-001	s001-1_0-name-relational-threshold	1:0	1	w-s001-a000-w001	m-w-s001-a000-w001-02	سْمِ	ٱسْم	N	س م و	B005	v12/runs/s001/full_context_packet.json:519	yes	exact	exact	lexical_anchor	direct	governing	not_applicable							none	1:2;1:5;1:6	sx-1_0-00001;sx-1_0-00002	The noun 'name' does not alone entail enacted alignment, exclusive address, service, or petition.	The QAC noun ism is governed by bi and heads an idafa with Allah, exactly instantiating B005 designation; it is the direct lexical anchor over which the later relational sequence is inferred.
e-s001-1_0-name-relational-threshold-002	s001-1_0-name-relational-threshold	1:0	2	w-s001-a000-w002	m-w-s001-a000-w002-01	ٱللَّهِ	ٱللَّه	PN	ء ل ه	B002	v12/runs/s001/full_context_packet.json:609	yes	exact	exact	lexical_anchor	direct	governing	not_applicable							none	1:2;1:5;1:6	sx-1_0-00002	The fixed divine name in the opening formula identifies the invoked agent but does not alone establish the later exclusive second-person relation.	Allah is the exact fixed divine name covered by B002 and is the genitive complement of ism in the opening formula, so this branch directly governs identification of the addressee.
e-s001-1_0-name-relational-threshold-003	s001-1_0-name-relational-threshold	1:0	2	w-s001-a000-w002	m-w-s001-a000-w002-01	ٱللَّهِ	ٱللَّه	PN	ء ل ه	B001	v12/runs/s001/full_context_packet.json:592	yes	compatible	compatible	lexical_anchor	contextually_activated	modifier	not_applicable							none	1:5	sx-1_0-00002;sx-1_5-00012	At 1:0 the form is the proper name Allah in an idafa, not a common deity noun or an overt worship predicate.	B001 is not the ordinary selection of the proper-name form, but the later fronted 'you' as object of na'budu specifically activates the named referent's worshipped-one role; it therefore modifies the relational reading without replacing B002.
e-s001-1_0-name-relational-threshold-004	s001-1_0-name-relational-threshold	1:5	2	w-s001-a005-w002	m-w-s001-a005-w002-01	نَعْبُدُ	عَبَدَ	V	ع ب د	B003	v12/runs/s001/full_context_packet.json:1533	yes	exact	exact	context_support	direct	none	not_applicable							none	1:5	sx-1_5-00012;sx-1_5-00014	The worship clause discloses the later relation but does not prove that the basmalah itself grammatically performs worship.	The imperfect na'budu directly realizes B003 worship, takes the fronted second-person object, and is parallel with help-seeking; it directly supports the practical relation disclosed after invocation.
e-s001-1_0-name-relational-threshold-005	s001-1_0-name-relational-threshold	1:5	4	w-s001-a005-w004	m-w-s001-a005-w004-01	نَسْتَعِينُ	ٱسْتَعِينُ	V	ع و ن	B001	v12/runs/s001/full_context_packet.json:1708	yes	exact	exact	context_support	direct	none	not_applicable							none	1:5	sx-1_5-00013;sx-1_5-00014	Help-seeking supplies dependence on the addressee but does not by itself make the earlier naming performative.	The Form X imperfect nasta'in directly instantiates B001 seeking help, takes the repeated fronted second-person object, and is coordinated with worship; it directly supports relation before demand.
e-s001-1_0-naming-raises-mention-001	s001-1_0-naming-raises-mention	1:0	1	w-s001-a000-w001	m-w-s001-a000-w001-02	سْمِ	ٱسْم	N	س م و	B005	v12/runs/s001/full_context_packet.json:519	yes	exact	exact	lexical_anchor	direct	governing	not_applicable							none	1:2;1:3	sx-1_0-00001;sx-1_0-00002	B005 directly licenses naming and designation but does not itself assert an event of elevation or public dissemination.	Ism in bi-sm and its idafa with Allah exactly instantiate B005. This direct lexical floor is retained beneath the B001 elevation and B008 repute resonances rather than attributing those resonances to the ordinary meaning of ism.
e-s001-1_0-naming-raises-mention-002	s001-1_0-naming-raises-mention	1:0	1	w-s001-a000-w001	m-w-s001-a000-w001-02	سْمِ	ٱسْم	N	س م و	B001	v12/runs/s001/full_context_packet.json:451	yes	mismatch	mismatch	target_root_resonance	analogical_resonance	none	yes	2	2	1	2	1	8	strong	1:2;1:3	sx-1_0-00002;sx-1_2-00006	The QAC form is the lexical noun ism in an idafa, with no elevation verb or predicate; B005 fully accounts for its ordinary meaning.	B001 does not govern ism, but its expressly attested 'raised mention' image has an exact target-root anchor, is specifically activated by praise of the same named Allah and repetition of his mercy names, and yields the explicit reading change from reference to raised mention. The cross-ayah sequence is meaningful but not syntactically forced.
e-s001-1_0-naming-raises-mention-003	s001-1_0-naming-raises-mention	1:0	1	w-s001-a000-w001	m-w-s001-a000-w001-02	سْمِ	ٱسْم	N	س م و	B008	v12/runs/s001/full_context_packet.json:570	yes	mismatch	mismatch	target_root_resonance	analogical_resonance	none	yes	1	2	1	1	0	5	moderate	1:2;1:3	sx-1_0-00002;sx-1_2-00006	Ism is not the source-attested repute/report form, and the packet shows praise and textual repetition but no explicit public audience or act of dissemination.	B008 cannot govern the name noun, yet praise predicated of the named Allah and immediate recurrence of his mercy names provide a named activator, sequence, and modest reading gain toward spreading good repute. The missing public-spread construction and complete B005 alternative make the analogy fragile.
e-s001-1_0-naming-raises-mention-004	s001-1_0-naming-raises-mention	1:2	1	w-s001-a002-w001	m-w-s001-a002-w001-02	حَمْدُ	حَمْد	N	ح م د	B001	v12/runs/s001/full_context_packet.json:704	yes	exact	exact	context_support	direct	none	not_applicable							none	1:2	sx-1_2-00005;sx-1_2-00006	Direct praise confirms commendation of Allah but does not by itself entail elevation or public spread.	The noun al-hamd directly realizes B001 praise, and the prepositional predicate assigns that praise to Allah; it is the direct contextual floor that activates the target-root elevation and repute analogies.
e-s001-1_0-naming-raises-mention-005	s001-1_0-naming-raises-mention	1:2	1	w-s001-a002-w001	m-w-s001-a002-w001-02	حَمْدُ	حَمْد	N	ح م د	B003	v12/runs/s001/full_context_packet.json:738	yes	mismatch	mismatch	context_support	analogical_resonance	none	yes	1	2	1	1	0	5	moderate	1:2	sx-1_2-00006	Al-hamd is a praise verbal noun governed by B001, not a Mahmud/Muhammad-type praiseworthy name or adjective covered by B003.	B003 does not govern this morphology, but the exact contextual H-M-D anchor, the syntactically assigned praise of the previously named Allah, and the name-to-praise sequence permit a limited analogy in which praise socially confirms a praiseworthy designation. The form mismatch and lack of an actual naming form keep it fragile and translation-blocked.
e-s001-1_2-cultivated-legible-worlds-001	s001-1_2-cultivated-legible-worlds	1:2	3	w-s001-a002-w003	m-w-s001-a002-w003-01	رَبِّ	رَبّ	N	ر ب ب	B001	v12/runs/s001/full_context_packet.json:794	yes	exact	exact	lexical_anchor	direct	governing	not_applicable							none	1:2	sx-1_2-00007;sx-1_2-00008	This direct title sense does not itself supply the claim's stagewise cultivation or legibility mechanism.	Added as the direct lexical floor because the linked readers cited only the target-root resonances ر ب ب:B002 and ع ل م:B002 for this mechanism; the readers did not cite this B001 floor. QAC binds رَبِّ as the noun رَبّ, and its appositional and idafa construction directly selects lordship or ownership.
e-s001-1_2-cultivated-legible-worlds-002	s001-1_2-cultivated-legible-worlds	1:2	3	w-s001-a002-w003	m-w-s001-a002-w003-01	رَبِّ	رَبّ	N	ر ب ب	B002	v12/runs/s001/full_context_packet.json:811	yes	mismatch	compatible	target_root_resonance	analogical_resonance	none	yes	2	1	2	2	1	8	strong	1:6;1:7	sx-1_2-00008	QAC binds a genitive noun and title, رَبّ, whereas B002 scopes the activity of repairing, administering, nurturing, and completing; B001 directly governs the title.	The named guidance, road, and differentiated outcomes activate a care-to-navigability analogy, and the idafa couples Rabb to the worlds on which that care is projected. The derivational mismatch is retained and blocks B002 from ordinary lexical selection or translation, but the explicit activators, structural relation, and reading change satisfy the resonance gate.
e-s001-1_2-cultivated-legible-worlds-003	s001-1_2-cultivated-legible-worlds	1:2	4	w-s001-a002-w004	m-w-s001-a002-w004-02	عَٰلَمِينَ	عَٰلَمِين	N	ع ل م	B002	v12/runs/s001/full_context_packet.json:1105	yes	mismatch	compatible	target_root_resonance	analogical_resonance	none	yes	2	1	2	2	1	8	strong	1:6;1:7	sx-1_2-00008	QAC binds the masculine-plural lexeme عَٰلَمِين, while B002 covers عَلَم, علامة, and related sign or landmark forms and does not supply the ordinary lexical sense 'worlds.'	Guidance on the road and the path's differentiated outcomes are specific activators for a landmark analogy, while the target idafa places the worlds directly under Rabb. The reading gain is a sign-bearing, orientable plurality; the form mismatch and the ordinary 'worlds' selection are explicit, so B002 remains non-translational resonance rather than a governing sense.
e-s001-1_2-cultivated-legible-worlds-004	s001-1_2-cultivated-legible-worlds	1:6	1	w-s001-a006-w001	m-w-s001-a006-w001-01	ٱهْدِ	هَدَى	V	ه د ي	B001	v12/runs/s001/full_context_packet.json:1849	yes	exact	exact	context_support	direct	none	not_applicable							none	1:6	sx-1_6-00016		QAC binds ٱهْدِ as an imperative of هدى, and the supplied attachment makes the road its explicit object; B001 directly licenses guidance toward a way and materially supplies the mechanism's navigation activator.
e-s001-1_2-cultivated-legible-worlds-005	s001-1_2-cultivated-legible-worlds	1:6	2	w-s001-a006-w002	m-w-s001-a006-w002-02	صِّرَٰطَ	صِرَٰط	N	ص ر ط	B001	v12/runs/s001/full_context_packet.json:2041	yes	exact	exact	context_support	direct	none	not_applicable							none	1:6	sx-1_6-00016;sx-1_6-00017		The noun صِرَاط is an exact B001 road occurrence, governed by the guidance imperative and qualified as straight, so it directly supplies the route component of the claimed activator.
e-s001-1_2-cultivated-legible-worlds-006	s001-1_2-cultivated-legible-worlds	1:6	3	w-s001-a006-w003	m-w-s001-a006-w003-02	مُسْتَقِيمَ	مُّسْتَقِيم	ADJ	ق و م	B009	v12/runs/s001/full_context_packet.json:2216	yes	mismatch	mismatch	context_support	unlicensed	none	no							none	1:6	sx-1_6-00017	QAC binds مُسْتَقِيم as a Form X active-participle adjective qualifying صِرَاط, while B009 scopes nominal support, mainstay, and subsistence expressions.	The reader lists B009 but then treats the occurrence only as 'straightness'; it supplies no B009-specific activator or coherent support/mainstay reading change and does not acknowledge the form and construction mismatch. Root identity alone therefore fails the resonance gate, so the attempted branch is retained as unlicensed.
e-s001-1_2-cultivated-legible-worlds-007	s001-1_2-cultivated-legible-worlds	1:7	1	w-s001-a007-w001	m-w-s001-a007-w001-01	صِرَٰطَ	صِرَٰط	N	ص ر ط	B001	v12/runs/s001/full_context_packet.json:2041	yes	exact	exact	context_support	direct	none	not_applicable							none	1:7	sx-1_7-00018		The repeated صِرَاط is an exact B001 road noun, and its idafa to the relative group introduces the differentiated path outcomes that make the route component concrete.
e-s001-1_2-lordship-entails-allegiance-001	s001-1_2-lordship-entails-allegiance	1:2	3	w-s001-a002-w003	m-w-s001-a002-w003-01	رَبِّ	رَبّ	N	ر ب ب	B001	v12/runs/s001/full_context_packet.json:794	yes	exact	exact	lexical_anchor	direct	governing	not_applicable							none	1:2;1:4;1:5	sx-1_2-00007;sx-1_2-00008	B001 licenses lordship and obeyed authority directly but does not by itself entail the claim's full exclusive-service inference.	QAC binds the exact noun and title رَبّ; its apposition to Allah and idafa complement fit B001's lordship, ownership, and obeyed-authority scope. Later kingship and worship develop a consequence of this direct anchor without changing its governing lexical status.
e-s001-1_2-lordship-entails-allegiance-002	s001-1_2-lordship-entails-allegiance	1:2	2	w-s001-a002-w002	m-w-s001-a002-w002-02	لَّهِ	ٱللَّه	PN	ء ل ه	B001	v12/runs/s001/full_context_packet.json:592	yes	mismatch	mismatch	target_root_resonance	analogical_resonance	none	yes	2	1	2	2	1	8	strong	1:0;1:5	sx-1_2-00007;sx-1_5-00012	QAC binds ٱللَّه as a proper name in the fixed ayah; B002, not B001, scopes that fixed name, and the target clause is praise predication rather than a worship construction.	The later first-person worship verb with its fronted exclusive object is a specific activator, and apposition links the same named referent to Rabb in the fixed ayah. That sequence coherently adds the worshipped-one aspect to the allegiance reading, while the proper-name and construction mismatches explicitly prevent B001 from governing the target wording.
e-s001-1_2-lordship-entails-allegiance-003	s001-1_2-lordship-entails-allegiance	1:2	3	w-s001-a002-w003	m-w-s001-a002-w003-01	رَبِّ	رَبّ	N	ر ب ب	B011	v12/runs/s001/full_context_packet.json:964	yes	mismatch	mismatch	target_root_resonance	analogical_resonance	none	yes	1	1	1	1	0	4	weak	1:4;1:5	sx-1_2-00007;sx-1_5-00012	B011 scopes رَبابة/رَباب-like pact and protection nouns, whereas QAC binds the title رَبّ in apposition and idafa; no covenant noun or pact construction occurs.	Later sovereignty and exclusive service provide a named, though indirect, activator for construing allegiance as binding or pact-like, and the title-to-service sequence supplies a coherent structural relation and modest reading gain. The distant derivation, absent pact construction, and sufficient B001 authority account are acknowledged, so the branch is eligible only as limited non-translational analogy.
e-s001-1_2-lordship-entails-allegiance-004	s001-1_2-lordship-entails-allegiance	1:4	1	w-s001-a004-w001	m-w-s001-a004-w001-01	مَٰلِكِ	مَٰلِك	N	م ل ك	B003	v12/runs/s001/full_context_packet.json:1229	yes	exact	exact	context_support	direct	none	not_applicable							none	1:4	sx-1_4-00010		QAC binds مَٰلِك as an active-participle noun heading an idafa, directly fitting B003 kingship and dominion and supplying the later sovereign-authority activator.
e-s001-1_2-lordship-entails-allegiance-005	s001-1_2-lordship-entails-allegiance	1:4	3	w-s001-a004-w003	m-w-s001-a004-w003-02	دِّينِ	دِين	N	د ي ن	B001	v12/runs/s001/full_context_packet.json:1392	yes	exact	compatible	context_support	contextually_activated	none	not_applicable							none	1:4;1:5	sx-1_4-00011;sx-1_5-00012	The nested idafa يَوْمِ ٱلدِّينِ strongly favors B002 reckoning and recompense over obedience as the ordinary selection.	The exact noun دِين can realize B001, and the immediately following declaration of exclusive worship activates its obedience and submission scope alongside, but not instead of, the constructionally dominant B002 sense. It therefore remains contextual support and does not govern translation.
e-s001-1_2-lordship-entails-allegiance-006	s001-1_2-lordship-entails-allegiance	1:4	3	w-s001-a004-w003	m-w-s001-a004-w003-02	دِّينِ	دِين	N	د ي ن	B002	v12/runs/s001/full_context_packet.json:1409	yes	exact	exact	context_support	direct	none	not_applicable							none	1:4	sx-1_4-00011		The exact noun دِين as the genitive complement of يَوْم directly realizes B002 reckoning and recompense, supplying the administered-judgment component of later lordship.
e-s001-1_2-lordship-entails-allegiance-007	s001-1_2-lordship-entails-allegiance	1:5	2	w-s001-a005-w002	m-w-s001-a005-w002-01	نَعْبُدُ	عَبَدَ	V	ع ب د	B003	v12/runs/s001/full_context_packet.json:1533	yes	exact	exact	context_support	direct	none	not_applicable							none	1:5	sx-1_5-00012		QAC binds نَعْبُدُ as the imperfect verb عبد, and the fronted explicit object marks the worship relation; B003 directly licenses worship and submissive obedience as the practical allegiance activator.
e-s001-1_2-praise-as-tested-gratitude-001	s001-1_2-praise-as-tested-gratitude	1:2	1	w-s001-a002-w001	m-w-s001-a002-w001-02	حَمْدُ	حَمْد	N	ح م د	B001	v12/runs/s001/full_context_packet.json:704	yes	exact	exact	lexical_anchor	direct	governing	not_applicable							none	1:2;1:7	sx-1_2-00005;sx-1_2-00006	B001 directly licenses praise and thanksgiving, but the stronger claim that praise is a verdict after testing requires the separate B002 resonance and later contrasts.	QAC binds the exact abstract noun حَمْد, and the supplied predication directs it to Allah; B001 directly governs praise and includes thanksgiving for benefaction. The later favor sharpens that licensed gratitude component without displacing the direct floor.
