word_id	ayah_ref	qac_ayah_ref	word_index	qac_word_ref	surface_ar	lemma_ar	root	pos	aspect	mood	voice	measure	morphology_summary
w-s015-a006-w001	15:6	15:6	1	15:6:1	وَقَالُوا۟	قَالَ	ق و ل	V	PERF				PREFIX|w:CONJ+ | STEM|POS:V|PERF|LEM:qaAla|ROOT:qwl|3MP | SUFFIX|PRON:3MP
w-s015-a006-w002	15:6	15:6	2	15:6:2	يَٰٓأَيُّهَا	أَيُّهَا		N					PREFIX|ya+ | STEM|POS:N|LEM:>ay~uhaA|NOM
w-s015-a006-w003	15:6	15:6	3	15:6:3	ٱلَّذِى	ٱلَّذِى		REL					STEM|POS:REL|LEM:{l~a*iY|MS
w-s015-a006-w004	15:6	15:6	4	15:6:4	نُزِّلَ	نَزَّلَ	ن ز ل	V	PERF		PASS	II	STEM|POS:V|PERF|PASS|(II)|LEM:naz~ala|ROOT:nzl|3MS
w-s015-a006-w005	15:6	15:6	5	15:6:5	عَلَيْهِ	عَلَىٰ		P					STEM|POS:P|LEM:EalaY` | SUFFIX|PRON:3MS
w-s015-a006-w006	15:6	15:6	6	15:6:6	ٱلذِّكْرُ	ذِكْر	ذ ك ر	N					PREFIX|Al+ | STEM|POS:N|VN|LEM:*ikor|ROOT:*kr|M|NOM
w-s015-a006-w007	15:6	15:6	7	15:6:7	إِنَّكَ	إِنّ		ACC					STEM|POS:ACC|LEM:<in~|SP:<in~ | SUFFIX|PRON:2MS
w-s015-a006-w008	15:6	15:6	8	15:6:8	لَمَجْنُونٌ	مَجْنُون	ج ن ن	N			PASS		PREFIX|l:EMPH+ | STEM|POS:N|PASS|PCPL|LEM:majonuwn|ROOT:jnn|M|INDEF|NOM
w-s015-a007-w001	15:7	15:7	1	15:7:1	لَّوْ	لَو		COND					STEM|POS:COND|LEM:law
w-s015-a007-w002	15:7	15:7	2	15:7:2	مَا	مَا		NEG					STEM|POS:NEG|LEM:maA
w-s015-a007-w003	15:7	15:7	3	15:7:3	تَأْتِينَا	أَتَى	ء ت ي	V	IMPF				STEM|POS:V|IMPF|LEM:>ataY|ROOT:Aty|2MS | SUFFIX|PRON:1P
w-s015-a007-w004	15:7	15:7	4	15:7:4	بِٱلْمَلَٰٓئِكَةِ	مَلَك	م ل ك	N					PREFIX|bi+ | PREFIX|Al+ | STEM|POS:N|LEM:malak|ROOT:mlk|MP|GEN
w-s015-a007-w005	15:7	15:7	5	15:7:5	إِن	إِن		COND					STEM|POS:COND|LEM:<in
w-s015-a007-w006	15:7	15:7	6	15:7:6	كُنتَ	كَانَ	ك و ن	V	PERF				STEM|POS:V|PERF|LEM:kaAna|ROOT:kwn|SP:kaAn|2MS | SUFFIX|PRON:2MS
w-s015-a007-w007	15:7	15:7	7	15:7:7	مِنَ	مِن		P					STEM|POS:P|LEM:min
w-s015-a007-w008	15:7	15:7	8	15:7:8	ٱلصَّٰدِقِينَ	صَادِق	ص د ق	N			ACT		PREFIX|Al+ | STEM|POS:N|ACT|PCPL|LEM:SaAdiq|ROOT:Sdq|MP|GEN
w-s015-a008-w001	15:8	15:8	1	15:8:1	مَا	مَا		NEG					STEM|POS:NEG|LEM:maA
w-s015-a008-w002	15:8	15:8	2	15:8:2	نُنَزِّلُ	نَزَّلَ	ن ز ل	V	IMPF			II	STEM|POS:V|IMPF|(II)|LEM:naz~ala|ROOT:nzl|1P
w-s015-a008-w003	15:8	15:8	3	15:8:3	ٱلْمَلَٰٓئِكَةَ	مَلَك	م ل ك	N					PREFIX|Al+ | STEM|POS:N|LEM:malak|ROOT:mlk|MP|ACC
w-s015-a008-w004	15:8	15:8	4	15:8:4	إِلَّا	إِلَّا		RES					STEM|POS:RES|LEM:<il~aA
w-s015-a008-w005	15:8	15:8	5	15:8:5	بِٱلْحَقِّ	حَقّ	ح ق ق	N					PREFIX|bi+ | PREFIX|Al+ | STEM|POS:N|LEM:Haq~|ROOT:Hqq|M|GEN
w-s015-a008-w006	15:8	15:8	6	15:8:6	وَمَا	مَا		NEG					PREFIX|w:CONJ+ | STEM|POS:NEG|LEM:maA
w-s015-a008-w007	15:8	15:8	7	15:8:7	كَانُوٓا۟	كَانَ	ك و ن	V	PERF				STEM|POS:V|PERF|LEM:kaAna|ROOT:kwn|SP:kaAn|3MP | SUFFIX|PRON:3MP
w-s015-a008-w008	15:8	15:8	8	15:8:8	إِذًا	إِذًا		SUR					STEM|POS:SUR|LEM:<i*FA
w-s015-a008-w009	15:8	15:8	9	15:8:9	مُّنظَرِينَ	مُنظَرُون	ن ظ ر	N			PASS	IV	STEM|POS:N|PASS|PCPL|(IV)|LEM:munZaruwn|ROOT:nZr|MP|ACC
w-s015-a009-w001	15:9	15:9	1	15:9:1	إِنَّا	إِنّ		ACC					STEM|POS:ACC|LEM:<in~|SP:<in~ | SUFFIX|PRON:1P
w-s015-a009-w002	15:9	15:9	2	15:9:2	نَحْنُ			PRON					STEM|POS:PRON|1P
w-s015-a009-w003	15:9	15:9	3	15:9:3	نَزَّلْنَا	نَزَّلَ	ن ز ل	V	PERF			II	STEM|POS:V|PERF|(II)|LEM:naz~ala|ROOT:nzl|1P | SUFFIX|PRON:1P
w-s015-a009-w004	15:9	15:9	4	15:9:4	ٱلذِّكْرَ	ذِكْر	ذ ك ر	N					PREFIX|Al+ | STEM|POS:N|VN|LEM:*ikor|ROOT:*kr|M|ACC
w-s015-a009-w005	15:9	15:9	5	15:9:5	وَإِنَّا	إِنّ		ACC					PREFIX|w:CONJ+ | STEM|POS:ACC|LEM:<in~|SP:<in~ | SUFFIX|PRON:1P
w-s015-a009-w006	15:9	15:9	6	15:9:6	لَهُۥ			PRON					PREFIX|l:P+ | STEM|POS:PRON|3MS
w-s015-a009-w007	15:9	15:9	7	15:9:7	لَحَٰفِظُونَ	حَٰفِظ	ح ف ظ	N			ACT		PREFIX|l:EMPH+ | STEM|POS:N|ACT|PCPL|LEM:Ha`fiZ|ROOT:HfZ|MP|NOM
w-s015-a010-w001	15:10	15:10	1	15:10:1	وَلَقَدْ	قَد		CERT					PREFIX|w:CONJ+ | PREFIX|l:EMPH+ | STEM|POS:CERT|LEM:qad
w-s015-a010-w002	15:10	15:10	2	15:10:2	أَرْسَلْنَا	أَرْسَلَ	ر س ل	V	PERF			IV	STEM|POS:V|PERF|(IV)|LEM:>arosala|ROOT:rsl|1P | SUFFIX|PRON:1P
w-s015-a010-w003	15:10	15:10	3	15:10:3	مِن	مِن		P					STEM|POS:P|LEM:min
w-s015-a010-w004	15:10	15:10	4	15:10:4	قَبْلِكَ	قَبْل	ق ب ل	N					STEM|POS:N|LEM:qabol|ROOT:qbl|GEN | SUFFIX|PRON:2MS
w-s015-a010-w005	15:10	15:10	5	15:10:5	فِى	فِى		P					STEM|POS:P|LEM:fiY
w-s015-a010-w006	15:10	15:10	6	15:10:6	شِيَعِ	شِيعَة	ش ي ع	N					STEM|POS:N|LEM:$iyEap|ROOT:$yE|MP|GEN
w-s015-a010-w007	15:10	15:10	7	15:10:7	ٱلْأَوَّلِينَ	أَوَّل	ء و ل	N					PREFIX|Al+ | STEM|POS:N|LEM:>aw~al|ROOT:Awl|MP|GEN
w-s015-a011-w001	15:11	15:11	1	15:11:1	وَمَا	مَا		NEG					PREFIX|w:CONJ+ | STEM|POS:NEG|LEM:maA
w-s015-a011-w002	15:11	15:11	2	15:11:2	يَأْتِيهِم	أَتَى	ء ت ي	V	IMPF				STEM|POS:V|IMPF|LEM:>ataY|ROOT:Aty|3MS | SUFFIX|PRON:3MP
w-s015-a011-w003	15:11	15:11	3	15:11:3	مِّن	مِن		P					STEM|POS:P|LEM:min
w-s015-a011-w004	15:11	15:11	4	15:11:4	رَّسُولٍ	رَسُول	ر س ل	N					STEM|POS:N|LEM:rasuwl|ROOT:rsl|M|INDEF|GEN
w-s015-a011-w005	15:11	15:11	5	15:11:5	إِلَّا	إِلَّا		RES					STEM|POS:RES|LEM:<il~aA
w-s015-a011-w006	15:11	15:11	6	15:11:6	كَانُوا۟	كَانَ	ك و ن	V	PERF				STEM|POS:V|PERF|LEM:kaAna|ROOT:kwn|SP:kaAn|3MP | SUFFIX|PRON:3MP
w-s015-a011-w007	15:11	15:11	7	15:11:7	بِهِۦ			PRON					PREFIX|bi+ | STEM|POS:PRON|3MS
w-s015-a011-w008	15:11	15:11	8	15:11:8	يَسْتَهْزِءُونَ	ٱسْتُهْزِئَ	ه ز ء	V	IMPF			X	STEM|POS:V|IMPF|(X)|LEM:{sotuhozi}a|ROOT:hzA|3MP | SUFFIX|PRON:3MP
w-s015-a012-w001	15:12	15:12	1	15:12:1	كَذَٰلِكَ	ذَٰلِك		DEM					PREFIX|ka+ | STEM|POS:DEM|LEM:*a`lik|MS
w-s015-a012-w002	15:12	15:12	2	15:12:2	نَسْلُكُهُۥ	سَلَكَ	س ل ك	V	IMPF				STEM|POS:V|IMPF|LEM:salaka|ROOT:slk|1P | SUFFIX|PRON:3MS
w-s015-a012-w003	15:12	15:12	3	15:12:3	فِى	فِى		P					STEM|POS:P|LEM:fiY
w-s015-a012-w004	15:12	15:12	4	15:12:4	قُلُوبِ	قَلْب	ق ل ب	N					STEM|POS:N|LEM:qalob|ROOT:qlb|FP|GEN
w-s015-a012-w005	15:12	15:12	5	15:12:5	ٱلْمُجْرِمِينَ	مُجْرِم	ج ر م	N			ACT	IV	PREFIX|Al+ | STEM|POS:N|ACT|PCPL|(IV)|LEM:mujorim|ROOT:jrm|MP|GEN
w-s015-a013-w001	15:13	15:13	1	15:13:1	لَا	لَا		NEG					STEM|POS:NEG|LEM:laA
w-s015-a013-w002	15:13	15:13	2	15:13:2	يُؤْمِنُونَ	ءَامَنَ	ء م ن	V	IMPF			IV	STEM|POS:V|IMPF|(IV)|LEM:'aAmana|ROOT:Amn|3MP | SUFFIX|PRON:3MP
w-s015-a013-w003	15:13	15:13	3	15:13:3	بِهِۦ			PRON					PREFIX|bi+ | STEM|POS:PRON|3MS
w-s015-a013-w004	15:13	15:13	4	15:13:4	وَقَدْ	قَد		CERT					PREFIX|w:CONJ+ | STEM|POS:CERT|LEM:qad
w-s015-a013-w005	15:13	15:13	5	15:13:5	خَلَتْ	خَلَا	خ ل و	V	PERF				STEM|POS:V|PERF|LEM:xalaA|ROOT:xlw|3FS
w-s015-a013-w006	15:13	15:13	6	15:13:6	سُنَّةُ	سُنَّة	س ن ن	N					STEM|POS:N|LEM:sun~ap|ROOT:snn|FS|NOM
w-s015-a013-w007	15:13	15:13	7	15:13:7	ٱلْأَوَّلِينَ	أَوَّل	ء و ل	N					PREFIX|Al+ | STEM|POS:N|LEM:>aw~al|ROOT:Awl|MP|GEN
w-s015-a014-w001	15:14	15:14	1	15:14:1	وَلَوْ	لَو		COND					PREFIX|w:CONJ+ | STEM|POS:COND|LEM:law
w-s015-a014-w002	15:14	15:14	2	15:14:2	فَتَحْنَا	فَتَحَ	ف ت ح	V	PERF				STEM|POS:V|PERF|LEM:fataHa|ROOT:ftH|1P | SUFFIX|PRON:1P
w-s015-a014-w003	15:14	15:14	3	15:14:3	عَلَيْهِم	عَلَىٰ		P					STEM|POS:P|LEM:EalaY` | SUFFIX|PRON:3MP
w-s015-a014-w004	15:14	15:14	4	15:14:4	بَابًا	بَاب	ب و ب	N					STEM|POS:N|LEM:baAb|ROOT:bwb|M|INDEF|ACC
w-s015-a014-w005	15:14	15:14	5	15:14:5	مِّنَ	مِن		P					STEM|POS:P|LEM:min
w-s015-a014-w006	15:14	15:14	6	15:14:6	ٱلسَّمَآءِ	سَمَآء	س م و	N					PREFIX|Al+ | STEM|POS:N|LEM:samaA^'|ROOT:smw|F|GEN
w-s015-a014-w007	15:14	15:14	7	15:14:7	فَظَلُّوا۟	ظَلَّ	ظ ل ل	V	PERF				PREFIX|f:CONJ+ | STEM|POS:V|PERF|LEM:Zal~a|ROOT:Zll|3MP | SUFFIX|PRON:3MP
w-s015-a014-w008	15:14	15:14	8	15:14:8	فِيهِ	فِى		P					STEM|POS:P|LEM:fiY | SUFFIX|PRON:3MS
w-s015-a014-w009	15:14	15:14	9	15:14:9	يَعْرُجُونَ	يَعْرُجُ	ع ر ج	V	IMPF				STEM|POS:V|IMPF|LEM:yaEoruju|ROOT:Erj|3MP | SUFFIX|PRON:3MP
w-s015-a015-w001	15:15	15:15	1	15:15:1	لَقَالُوٓا۟	قَالَ	ق و ل	V	PERF				PREFIX|l:EMPH+ | STEM|POS:V|PERF|LEM:qaAla|ROOT:qwl|3MP | SUFFIX|PRON:3MP
w-s015-a015-w002	15:15	15:15	2	15:15:2	إِنَّمَا	إِنّ;مَا		ACC;PREV					STEM|POS:ACC|LEM:<in~|SP:<in~ | STEM|POS:PREV|LEM:maA
w-s015-a015-w003	15:15	15:15	3	15:15:3	سُكِّرَتْ	سُكِّرَتْ	س ك ر	V	PERF		PASS	II	STEM|POS:V|PERF|PASS|(II)|LEM:suk~irato|ROOT:skr|3FS
w-s015-a015-w004	15:15	15:15	4	15:15:4	أَبْصَٰرُنَا	بَصَر	ب ص ر	N					STEM|POS:N|LEM:baSar|ROOT:bSr|MP|NOM | SUFFIX|PRON:1P
w-s015-a015-w005	15:15	15:15	5	15:15:5	بَلْ	بَل		RET					STEM|POS:RET|LEM:bal
w-s015-a015-w006	15:15	15:15	6	15:15:6	نَحْنُ			PRON					STEM|POS:PRON|1P
w-s015-a015-w007	15:15	15:15	7	15:15:7	قَوْمٌ	قَوْم	ق و م	N					STEM|POS:N|LEM:qawom|ROOT:qwm|M|INDEF|NOM
w-s015-a015-w008	15:15	15:15	8	15:15:8	مَّسْحُورُونَ	مَّسْحُور	س ح ر	N			PASS		STEM|POS:N|PASS|PCPL|LEM:m~asoHuwr|ROOT:sHr|MP|NOM
w-s015-a016-w001	15:16	15:16	1	15:16:1	وَلَقَدْ	قَد		CERT					PREFIX|w:CONJ+ | PREFIX|l:EMPH+ | STEM|POS:CERT|LEM:qad
w-s015-a016-w002	15:16	15:16	2	15:16:2	جَعَلْنَا	جَعَلَ	ج ع ل	V	PERF				STEM|POS:V|PERF|LEM:jaEala|ROOT:jEl|1P | SUFFIX|PRON:1P
w-s015-a016-w003	15:16	15:16	3	15:16:3	فِى	فِى		P					STEM|POS:P|LEM:fiY
w-s015-a016-w004	15:16	15:16	4	15:16:4	ٱلسَّمَآءِ	سَمَآء	س م و	N					PREFIX|Al+ | STEM|POS:N|LEM:samaA^'|ROOT:smw|F|GEN
w-s015-a016-w005	15:16	15:16	5	15:16:5	بُرُوجًا	بُرُوج	ب ر ج	N					STEM|POS:N|LEM:buruwj|ROOT:brj|MP|INDEF|ACC
w-s015-a016-w006	15:16	15:16	6	15:16:6	وَزَيَّنَّٰهَا	زَيَّنَ	ز ي ن	V	PERF			II	PREFIX|w:CONJ+ | STEM|POS:V|PERF|(II)|LEM:zay~ana|ROOT:zyn|1P | SUFFIX|PRON:1P | SUFFIX|PRON:3FS
w-s015-a016-w007	15:16	15:16	7	15:16:7	لِلنَّٰظِرِينَ	نَٰظِرِين	ن ظ ر	N			ACT		PREFIX|l:P+ | PREFIX|Al+ | STEM|POS:N|ACT|PCPL|LEM:na`Ziriyn|ROOT:nZr|MP|GEN
w-s015-a017-w001	15:17	15:17	1	15:17:1	وَحَفِظْنَٰهَا	حَفِظَ	ح ف ظ	V	PERF				PREFIX|w:CONJ+ | STEM|POS:V|PERF|LEM:HafiZa|ROOT:HfZ|1P | SUFFIX|PRON:1P | SUFFIX|PRON:3FS
w-s015-a017-w002	15:17	15:17	2	15:17:2	مِن	مِن		P					STEM|POS:P|LEM:min
w-s015-a017-w003	15:17	15:17	3	15:17:3	كُلِّ	كُلّ	ك ل ل	N					STEM|POS:N|LEM:kul~|ROOT:kll|M|GEN
w-s015-a017-w004	15:17	15:17	4	15:17:4	شَيْطَٰنٍ	شَيْطَٰن	ش ط ن	N					STEM|POS:N|LEM:$ayoTa`n|ROOT:$Tn|M|INDEF|GEN
w-s015-a017-w005	15:17	15:17	5	15:17:5	رَّجِيمٍ	رَجِيم	ر ج م	ADJ					STEM|POS:ADJ|LEM:rajiym|ROOT:rjm|MS|INDEF|GEN
w-s015-a018-w001	15:18	15:18	1	15:18:1	إِلَّا	إِلَّا		RES					STEM|POS:RES|LEM:<il~aA
w-s015-a018-w002	15:18	15:18	2	15:18:2	مَنِ	مَن		REL					STEM|POS:REL|LEM:man
w-s015-a018-w003	15:18	15:18	3	15:18:3	ٱسْتَرَقَ	ٱسْتَرَقَ	س ر ق	V	PERF			VIII	STEM|POS:V|PERF|(VIII)|LEM:{sotaraqa|ROOT:srq|3MS
w-s015-a018-w004	15:18	15:18	4	15:18:4	ٱلسَّمْعَ	سَمْع	س م ع	N					PREFIX|Al+ | STEM|POS:N|LEM:samoE|ROOT:smE|M|ACC
w-s015-a018-w005	15:18	15:18	5	15:18:5	فَأَتْبَعَهُۥ	أَتْبَعَ	ت ب ع	V	PERF			IV	PREFIX|f:REM+ | STEM|POS:V|PERF|(IV)|LEM:>atobaEa|ROOT:tbE|3MS | SUFFIX|PRON:3MS
w-s015-a018-w006	15:18	15:18	6	15:18:6	شِهَابٌ	شِهَاب	ش ه ب	N					STEM|POS:N|LEM:$ihaAb|ROOT:$hb|M|INDEF|NOM
w-s015-a018-w007	15:18	15:18	7	15:18:7	مُّبِينٌ	مُّبِين	ب ي ن	N			ACT	IV	STEM|POS:N|ACT|PCPL|(IV)|LEM:m~ubiyn|ROOT:byn|M|INDEF|NOM
w-s015-a019-w001	15:19	15:19	1	15:19:1	وَٱلْأَرْضَ	أَرْض	ء ر ض	N					PREFIX|w:CONJ+ | PREFIX|Al+ | STEM|POS:N|LEM:>aroD|ROOT:ArD|F|ACC
w-s015-a019-w002	15:19	15:19	2	15:19:2	مَدَدْنَٰهَا	مَدَّ	م د د	V	PERF				STEM|POS:V|PERF|LEM:mad~a|ROOT:mdd|1P | SUFFIX|PRON:1P | SUFFIX|PRON:3FS
w-s015-a019-w003	15:19	15:19	3	15:19:3	وَأَلْقَيْنَا	أَلْقَىٰٓ	ل ق ي	V	PERF			IV	PREFIX|w:CONJ+ | STEM|POS:V|PERF|(IV)|LEM:>aloqaY`^|ROOT:lqy|1P | SUFFIX|PRON:1P
w-s015-a019-w004	15:19	15:19	4	15:19:4	فِيهَا	فِى		P					STEM|POS:P|LEM:fiY | SUFFIX|PRON:3FS
w-s015-a019-w005	15:19	15:19	5	15:19:5	رَوَٰسِىَ	رَوَٰسِى	ر س و	N			ACT		STEM|POS:N|ACT|PCPL|LEM:rawa`siY|ROOT:rsw|FP|ACC
w-s015-a019-w006	15:19	15:19	6	15:19:6	وَأَنۢبَتْنَا	أَنۢبَتَ	ن ب ت	V	PERF			IV	PREFIX|w:CONJ+ | STEM|POS:V|PERF|(IV)|LEM:>an[bata|ROOT:nbt|1P | SUFFIX|PRON:1P
w-s015-a019-w007	15:19	15:19	7	15:19:7	فِيهَا	فِى		P					STEM|POS:P|LEM:fiY | SUFFIX|PRON:3FS
w-s015-a019-w008	15:19	15:19	8	15:19:8	مِن	مِن		P					STEM|POS:P|LEM:min
w-s015-a019-w009	15:19	15:19	9	15:19:9	كُلِّ	كُلّ	ك ل ل	N					STEM|POS:N|LEM:kul~|ROOT:kll|M|GEN
w-s015-a019-w010	15:19	15:19	10	15:19:10	شَىْءٍ	شَىْء	ش ي ء	N					STEM|POS:N|LEM:$aYo'|ROOT:$yA|M|INDEF|GEN
w-s015-a019-w011	15:19	15:19	11	15:19:11	مَّوْزُونٍ	مَّوْزُون	و ز ن	N			PASS		STEM|POS:N|PASS|PCPL|LEM:m~awozuwn|ROOT:wzn|M|INDEF|GEN
w-s015-a020-w001	15:20	15:20	1	15:20:1	وَجَعَلْنَا	جَعَلَ	ج ع ل	V	PERF				PREFIX|w:CONJ+ | STEM|POS:V|PERF|LEM:jaEala|ROOT:jEl|1P | SUFFIX|PRON:1P
w-s015-a020-w002	15:20	15:20	2	15:20:2	لَكُمْ			PRON					PREFIX|l:P+ | STEM|POS:PRON|2MP
w-s015-a020-w003	15:20	15:20	3	15:20:3	فِيهَا	فِى		P					STEM|POS:P|LEM:fiY | SUFFIX|PRON:3FS
