surah	ayah	word_index	morpheme_index	qac_ref	surface_ar	lemma_ar	root_ar	root_norm	root_key	pos	morpheme_role	morph_features	aspect	mood	voice	measure	person	number	gender	context_role	source_ref	data_quality
1	2	3	1	1:2:3:1	رَبِّ	رَبّ	ر ب ب	ر ب ب	ربب	N	STEM	STEM|POS:N|LEM:rab~|ROOT:rbb|M|GEN								in-scope	raw-qac-database:row:12	full-morpheme-database
1	2	4	1	1:2:4:1	ٱلْ					DET	PREFIX	PREFIX|Al+								in-scope	raw-qac-database:row:13	full-morpheme-database
1	2	4	2	1:2:4:2	عَٰلَمِينَ	عَٰلَمِين	ع ل م	ع ل م	علم	N	STEM	STEM|POS:N|LEM:Ea`lamiyn|ROOT:Elm|MP|GEN								in-scope	raw-qac-database:row:14	full-morpheme-database
1	3	1	1	1:3:1:1	ٱل					DET	PREFIX	PREFIX|Al+								in-scope	raw-qac-database:row:15	full-morpheme-database
1	3	1	2	1:3:1:2	رَّحْمَٰنِ	رَّحْمَٰن	ر ح م	ر ح م	رحم	ADJ	STEM	STEM|POS:ADJ|LEM:r~aHoma`n|ROOT:rHm|MS|GEN								in-scope	raw-qac-database:row:16	full-morpheme-database
1	3	2	1	1:3:2:1	ٱل					DET	PREFIX	PREFIX|Al+								in-scope	raw-qac-database:row:17	full-morpheme-database
1	3	2	2	1:3:2:2	رَّحِيمِ	رَّحِيم	ر ح م	ر ح م	رحم	ADJ	STEM	STEM|POS:ADJ|LEM:r~aHiym|ROOT:rHm|MS|GEN								in-scope	raw-qac-database:row:18	full-morpheme-database
1	4	1	1	1:4:1:1	مَٰلِكِ	مَٰلِك	م ل ك	م ل ك	ملك	N	STEM	STEM|POS:N|ACT|PCPL|LEM:ma`lik|ROOT:mlk|M|GEN			ACT					in-scope	raw-qac-database:row:19	full-morpheme-database
1	4	2	1	1:4:2:1	يَوْمِ	يَوْم	ي و م	ي و م	يوم	N	STEM	STEM|POS:N|LEM:yawom|ROOT:ywm|M|GEN								in-scope	raw-qac-database:row:20	full-morpheme-database
1	4	3	1	1:4:3:1	ٱل					DET	PREFIX	PREFIX|Al+								in-scope	raw-qac-database:row:21	full-morpheme-database
1	4	3	2	1:4:3:2	دِّينِ	دِين	د ي ن	د ي ن	دين	N	STEM	STEM|POS:N|LEM:diyn|ROOT:dyn|M|GEN								in-scope	raw-qac-database:row:22	full-morpheme-database
1	5	1	1	1:5:1:1	إِيَّاكَ	إِيَّا				PRON	STEM	STEM|POS:PRON|LEM:<iy~aA|2MS								in-scope	raw-qac-database:row:23	full-morpheme-database
1	5	2	1	1:5:2:1	نَعْبُدُ	عَبَدَ	ع ب د	ع ب د	عبد	V	STEM	STEM|POS:V|IMPF|LEM:Eabada|ROOT:Ebd|1P	IMPF							in-scope	raw-qac-database:row:24	full-morpheme-database
1	5	3	1	1:5:3:1	وَ					CONJ	PREFIX	PREFIX|w:CONJ+								in-scope	raw-qac-database:row:25	full-morpheme-database
1	5	3	2	1:5:3:2	إِيَّاكَ	إِيَّا				PRON	STEM	STEM|POS:PRON|LEM:<iy~aA|2MS								in-scope	raw-qac-database:row:26	full-morpheme-database
1	5	4	1	1:5:4:1	نَسْتَعِينُ	ٱسْتَعِينُ	ع و ن	ع و ن	عون	V	STEM	STEM|POS:V|IMPF|(X)|LEM:{sotaEiynu|ROOT:Ewn|1P	IMPF			X				in-scope	raw-qac-database:row:27	full-morpheme-database
1	6	1	1	1:6:1:1	ٱهْدِ	هَدَى	ه د ي	ه د ي	هدي	V	STEM	STEM|POS:V|IMPV|LEM:hadaY|ROOT:hdy|2MS	IMPV							in-scope	raw-qac-database:row:28	full-morpheme-database
1	6	1	2	1:6:1:2	نَا					PRON	SUFFIX	SUFFIX|PRON:1P								in-scope	raw-qac-database:row:29	full-morpheme-database
1	6	2	1	1:6:2:1	ٱل					DET	PREFIX	PREFIX|Al+								in-scope	raw-qac-database:row:30	full-morpheme-database
1	6	2	2	1:6:2:2	صِّرَٰطَ	صِرَٰط	ص ر ط	ص ر ط	صرط	N	STEM	STEM|POS:N|LEM:Sira`T|ROOT:SrT|M|ACC								in-scope	raw-qac-database:row:31	full-morpheme-database
1	6	3	1	1:6:3:1	ٱلْ					DET	PREFIX	PREFIX|Al+								in-scope	raw-qac-database:row:32	full-morpheme-database
1	6	3	2	1:6:3:2	مُسْتَقِيمَ	مُّسْتَقِيم	ق و م	ق و م	قوم	ADJ	STEM	STEM|POS:ADJ|ACT|PCPL|(X)|LEM:m~usotaqiym|ROOT:qwm|M|ACC			ACT	X				in-scope	raw-qac-database:row:33	full-morpheme-database
1	7	1	1	1:7:1:1	صِرَٰطَ	صِرَٰط	ص ر ط	ص ر ط	صرط	N	STEM	STEM|POS:N|LEM:Sira`T|ROOT:SrT|M|ACC								in-scope	raw-qac-database:row:34	full-morpheme-database
1	7	2	1	1:7:2:1	ٱلَّذِينَ	ٱلَّذِى				REL	STEM	STEM|POS:REL|LEM:{l~a*iY|MP								in-scope	raw-qac-database:row:35	full-morpheme-database
1	7	3	1	1:7:3:1	أَنْعَمْ	أَنْعَمَ	ن ع م	ن ع م	نعم	V	STEM	STEM|POS:V|PERF|(IV)|LEM:>anoEama|ROOT:nEm|2MS	PERF			IV				in-scope	raw-qac-database:row:36	full-morpheme-database
1	7	3	2	1:7:3:2	تَ					PRON	SUFFIX	SUFFIX|PRON:2MS								in-scope	raw-qac-database:row:37	full-morpheme-database
1	7	4	1	1:7:4:1	عَلَيْ	عَلَىٰ				P	STEM	STEM|POS:P|LEM:EalaY`								in-scope	raw-qac-database:row:38	full-morpheme-database
1	7	4	2	1:7:4:2	هِمْ					PRON	SUFFIX	SUFFIX|PRON:3MP								in-scope	raw-qac-database:row:39	full-morpheme-database
1	7	5	1	1:7:5:1	غَيْرِ	غَيْر	غ ي ر	غ ي ر	غير	N	STEM	STEM|POS:N|LEM:gayor|ROOT:gyr|M|GEN								in-scope	raw-qac-database:row:40	full-morpheme-database
1	7	6	1	1:7:6:1	ٱلْ					DET	PREFIX	PREFIX|Al+								in-scope	raw-qac-database:row:41	full-morpheme-database
1	7	6	2	1:7:6:2	مَغْضُوبِ	مَغْضُوب	غ ض ب	غ ض ب	غضب	N	STEM	STEM|POS:N|PASS|PCPL|LEM:magoDuwb|ROOT:gDb|M|GEN			PASS					in-scope	raw-qac-database:row:42	full-morpheme-database
1	7	7	1	1:7:7:1	عَلَيْ	عَلَىٰ				P	STEM	STEM|POS:P|LEM:EalaY`								in-scope	raw-qac-database:row:43	full-morpheme-database
1	7	7	2	1:7:7:2	هِمْ					PRON	SUFFIX	SUFFIX|PRON:3MP								in-scope	raw-qac-database:row:44	full-morpheme-database
1	7	8	1	1:7:8:1	وَ					CONJ	PREFIX	PREFIX|w:CONJ+								in-scope	raw-qac-database:row:45	full-morpheme-database
1	7	8	2	1:7:8:2	لَا	لَا				NEG	STEM	STEM|POS:NEG|LEM:laA								in-scope	raw-qac-database:row:46	full-morpheme-database
1	7	9	1	1:7:9:1	ٱل					DET	PREFIX	PREFIX|Al+								in-scope	raw-qac-database:row:47	full-morpheme-database
1	7	9	2	1:7:9:2	ضَّآلِّينَ	ضَآلّ	ض ل ل	ض ل ل	ضلل	N	STEM	STEM|POS:N|ACT|PCPL|LEM:DaA^l~|ROOT:Dll|MP|GEN			ACT					in-scope	raw-qac-database:row:48	full-morpheme-database
