edge_id	source_position	target_position	edge_type	direction	confidence	annotation_source	exact_surface_span	evidence	reason	source_ref
ae:v3:s001:005:pass1:attach:a3	q:1:5:2	q:1:5:5	conjoined	head-to-dependent	high	attachments:pass1:ATTACH	نَعْبُدُ | نَسْتَعِينُ	parallelism;local_syntax	نَسْتَعِينُ is coordinated with نَعْبُدُ by وَ in the parallel construction.	raw-attachments:line:15
ae:v3:s001:006:pass1:attach:a1	q:1:6:1	q:1:6:1	direct_object	head-to-dependent	high	attachments:pass1:ATTACH	اهْدِنَا	morphology;local_syntax	The نَا suffix in ٱهْدِنَا is the first-person plural object of ٱهْدِ.	raw-attachments:line:16
ae:v3:s001:006:pass1:attach:a2	q:1:6:1	q:1:6:2	direct_object	head-to-dependent	high	attachments:pass1:ATTACH	اهْدِنَا | الصِّرَاطَ	case_government;local_syntax	ٱلصِّرَٰطَ is the explicit accusative object governed by ٱهْدِنَا.	raw-attachments:line:17
ae:v3:s001:006:pass1:attach:a3	q:1:6:2	q:1:6:3	adjective	head-to-dependent	high	attachments:pass1:ATTACH	الصِّرَاطَ | الْمُسْتَقِيمَ	agreement;case_government	ٱلْمُسْتَقِيمَ agrees with ٱلصِّرَٰطَ and qualifies it.	raw-attachments:line:18
ae:v3:s001:007:pass1:attach:a1	q:1:7:1	q:1:7:2	idafa	head-to-dependent	high	attachments:pass1:ATTACH	صِرَاطَ | الَّذِينَ	case_government;local_syntax	ٱلَّذِينَ is the genitive complement of صِرَٰطَ in iḍāfa.	raw-attachments:line:19
ae:v3:s001:007:pass1:attach:a2	q:1:7:3	q:1:7:4	prep_complement	head-to-dependent	high	attachments:pass1:ATTACH	أَنْعَمْتَ	case_government;local_syntax	The pronoun suffix هِمْ in عَلَيْهِمْ is governed by عَلَى as the complement of أَنْعَمْتَ.	raw-attachments:line:20
ae:v3:s001:007:pass1:attach:a3	q:1:7:2	q:1:7:5	apposition	head-to-dependent	medium	attachments:pass1:ATTACH	الَّذِينَ | غَيْرِ	case_government;local_syntax	غَيْرِ is genitive and qualifies ٱلَّذِينَ by excluding the contrasting class.	raw-attachments:line:21
ae:v3:s001:007:pass1:attach:a4	q:1:7:5	q:1:7:6	idafa	head-to-dependent	high	attachments:pass1:ATTACH	غَيْرِ | الْمَغْضُوبِ	case_government;local_syntax	ٱلْمَغْضُوبِ is the genitive complement of غَيْرِ.	raw-attachments:line:22
ae:v3:s001:007:pass1:attach:a5	q:1:7:6	q:1:7:7	prep_complement	head-to-dependent	high	attachments:pass1:ATTACH	الْمَغْضُوبِ	case_government;local_syntax	The pronoun suffix هِمْ in عَلَيْهِمْ completes the prepositional phrase governed by ٱلْمَغْضُوبِ.	raw-attachments:line:23
ae:v3:s001:007:pass1:attach:a6	q:1:7:6	q:1:7:10	conjoined	head-to-dependent	high	attachments:pass1:ATTACH	الْمَغْضُوبِ | الضَّالِّينَ	parallelism;local_syntax	ٱلضَّآلِّينَ is coordinated with ٱلْمَغْضُوبِ after وَلَا within the excluded group.	raw-attachments:line:24
