policy	surah	top_k	channel_id	status	score	anchor_edges	bridge_edges	ayah_count	root_count	branch_count	label
k020	48	20	D02	stable	0.8346	98	753	23	29	34	fire / ignition / light / daybreak
k020	100	20	D03	stable	0.8409	79	313	9	13	21	conflict / redress / judgment / restraint
k020	100	20	D06	stable	0.838	236	441	10	14	32	water / growth / fertility / barrenness
k020	100	20	D04	stable	0.8057	78	234	8	11	15	favor / wealth / attachment / ingratitude
k020	100	20	D01	stable	0.8043	124	355	8	11	23	motion / force / incursion / center
k020	100	20	D05	stable	0.8032	54	200	7	12	14	concealment / extraction / knowledge / testimony
k020	100	20	D02	stable	0.7084	60	223	5	7	16	fire / ignition / light / daybreak
k020	100	20	D08	weak	0.4411	3	58	4	3	4	authority / obedience / hierarchy
k020	103	20	D04	stable	0.8634	56	83	3	8	13	favor / wealth / attachment / ingratitude
k020	103	20	D03	stable	0.8175	166	92	3	8	21	conflict / redress / judgment / restraint
pct10	1	14	D03	stable	0.8386	180	287	7	14	25	conflict / redress / judgment / restraint
pct10	1	14	D04	stable	0.8314	60	190	6	11	18	favor / wealth / attachment / ingratitude
pct10	1	14	D08	stable	0.7987	43	162	5	6	12	authority / obedience / hierarchy
pct10	1	14	D07	stable	0.7807	23	107	5	7	8	guidance / road / direction
pct10	1	14	D01	stable	0.7679	58	185	5	7	16	motion / force / incursion / center
pct10	1	14	D06	stable	0.7665	31	158	5	7	14	water / growth / fertility / barrenness
pct10	1	14	D05	mixed	0.5057	3	57	3	4	5	concealment / extraction / knowledge / testimony
pct10	1	14	D02	mixed	0.4597	2	48	3	3	4	fire / ignition / light / daybreak
pct10	48	146	D03	stable	0.8497	24565	5184	29	133	260	conflict / redress / judgment / restraint
pct10	48	146	D04	stable	0.8483	6115	2923	29	97	136	favor / wealth / attachment / ingratitude
pct10	48	146	D06	stable	0.8479	8759	2957	29	84	165	water / growth / fertility / barrenness
pct10	48	146	D01	stable	0.8445	8794	3729	29	100	179	motion / force / incursion / center
pct10	48	146	D08	stable	0.8268	3738	2680	27	62	85	authority / obedience / hierarchy
pct10	48	146	D05	stable	0.8249	2179	2006	28	47	72	concealment / extraction / knowledge / testimony
pct10	48	146	D07	stable	0.8181	1242	1536	25	48	64	guidance / road / direction
pct10	48	146	D02	stable	0.7908	294	753	23	29	34	fire / ignition / light / daybreak
pct10	100	16	D03	stable	0.8449	72	313	9	13	21	conflict / redress / judgment / restraint
pct10	100	16	D06	stable	0.8425	220	441	10	14	32	water / growth / fertility / barrenness
pct10	100	16	D01	stable	0.8144	111	355	8	11	23	motion / force / incursion / center
pct10	100	16	D04	stable	0.8107	72	234	8	11	15	favor / wealth / attachment / ingratitude
pct10	100	16	D05	stable	0.8106	48	200	7	12	14	concealment / extraction / knowledge / testimony
pct10	100	16	D02	stable	0.7079	59	223	5	7	16	fire / ignition / light / daybreak
pct10	100	16	D08	weak	0.4411	3	58	4	3	4	authority / obedience / hierarchy
pct10	103	7	D04	stable	0.8761	34	83	3	8	13	favor / wealth / attachment / ingratitude
pct10	103	7	D03	stable	0.8653	59	92	3	8	21	conflict / redress / judgment / restraint
pct20	1	28	D03	stable	0.836	232	287	7	14	25	conflict / redress / judgment / restraint
pct20	1	28	D04	stable	0.8124	89	190	6	11	18	favor / wealth / attachment / ingratitude
pct20	1	28	D08	stable	0.796	47	162	5	6	12	authority / obedience / hierarchy
pct20	1	28	D07	stable	0.7856	28	107	5	7	8	guidance / road / direction
pct20	1	28	D06	stable	0.7724	44	158	5	7	14	water / growth / fertility / barrenness
pct20	1	28	D01	stable	0.7633	76	185	5	7	16	motion / force / incursion / center
pct20	1	28	D05	mixed	0.5324	4	57	3	4	5	concealment / extraction / knowledge / testimony
pct20	1	28	D02	mixed	0.454	3	48	3	3	4	fire / ignition / light / daybreak
pct20	48	292	D03	stable	0.8484	28215	5184	29	133	260	conflict / redress / judgment / restraint
pct20	48	292	D04	stable	0.8471	7031	2923	29	97	136	favor / wealth / attachment / ingratitude
pct20	48	292	D06	stable	0.8461	9862	2957	29	84	165	water / growth / fertility / barrenness
pct20	48	292	D01	stable	0.8436	10195	3729	29	100	179	motion / force / incursion / center
pct20	48	292	D08	stable	0.8259	4304	2680	27	62	85	authority / obedience / hierarchy
pct20	48	292	D05	stable	0.8199	2588	2006	28	47	72	concealment / extraction / knowledge / testimony
pct20	48	292	D07	stable	0.8182	1479	1536	25	48	64	guidance / road / direction
pct20	48	292	D02	stable	0.788	322	753	23	29	34	fire / ignition / light / daybreak
pct20	100	33	D03	stable	0.8361	87	313	9	13	21	conflict / redress / judgment / restraint
pct20	100	33	D06	stable	0.834	250	441	10	14	32	water / growth / fertility / barrenness
pct20	100	33	D04	stable	0.8055	80	234	8	11	15	favor / wealth / attachment / ingratitude
pct20	100	33	D05	stable	0.8005	56	200	7	12	14	concealment / extraction / knowledge / testimony
pct20	100	33	D01	stable	0.7977	132	355	8	11	23	motion / force / incursion / center
pct20	100	33	D02	stable	0.7084	60	223	5	7	16	fire / ignition / light / daybreak
pct20	100	33	D08	weak	0.4411	3	58	4	3	4	authority / obedience / hierarchy
pct20	103	15	D04	stable	0.8653	49	83	3	8	13	favor / wealth / attachment / ingratitude
pct20	103	15	D03	stable	0.821	131	92	3	8	21	conflict / redress / judgment / restraint
