rank	path_id	path_score	label_hint	ayahs	roots	branch_chain
11	P0011	0.8083	surface / alliance / honor / orientation	2,3,4,5,6,8,9,10,11	ء ن س ب ع ث ر ث و ر ج م ع ح ب ب ر ب ب ص د ر غ ي ر ن ق ع و ر ي	و ر ي:B007:ولد الولد يأتي من وراء الابن | غ ي ر:B004:الغَيْرة على الأهل | ث و ر:B007:ثور الماء: طحلب يعلو السطح | ن ق ع:B001:استقرار الماء وما ينقع فيه | ج م ع:B013:ممالأة واجتماع مع غيرك على أمر | ء ن س:B004:الجانب الإنسي المقبل على الإنسان | ر ب ب:B005:ربيب وربيبة ورابة | ح ب ب:B008:حباب الماء فقاقيعه وطرائقه | ب ع ث ر:B002:تبديد المتاع وقلب بعضه على بعض | ص د ر:B003:الصُّدور عن المورد
12	P0012	0.8078	aggregation / knowledge / result / report	2,3,4,5,6,7,8,9,10,11	ث و ر ج م ع ح ص ل خ ب ر خ ي ر ر ب ب ش ه د ع ل م غ ي ر و ر ي	و ر ي:B005:ستر الشيء وجعله وراء الظهور | غ ي ر:B001:الصلاح والمنفعة بالميرة والسقي والإصلاح | ث و ر:B003:هيجان إلى مواجهة أو غضب | ج م ع:B001:ضم المتفرق حتى يصير شيئا مجموعا | ر ب ب:B006:رُبّ خاثر وإصلاح به | ش ه د:B002:البيان بعلم | خ ي ر:B001:الميل إلى الخير النافع | ع ل م:B001:انكشاف الشيء للعارف | ح ص ل:B001:جمع الشيء حتى يظهر حاصله | خ ب ر:B001:العلم بالخبر وباطن الأمر
13	P0013	0.8061	plant / botany / sweetness / residue	1,2,5,6,7,8,9,10,11	ج م ع ح ب ب ح ص ل خ ب ر ر ب ب ش ه د ض ب ح ع د و ع ل م ق د ح	ع د و:B011:العَدَوِيّة من نبات الصيف | ض ب ح:B005:الرماد | ق د ح:B009:رخص أطراف النبت | ج م ع:B011:نخل دقل اجتمع من النوى لا يعرف اسمه | ر ب ب:B012:ربة نبات | ش ه د:B007:الشَّهْد في الشمع | ح ب ب:B005:البعير يلزم مكانه من عجز | ع ل م:B004:شق ظاهر في الشفة العليا | ح ص ل:B005:بلح حصل من النخلة قبل اشتداده | خ ب ر:B005:اللِّين في النبات والوبر والزبد
14	P0014	0.806	sweetness / residue / date / fruit	1,2,3,5,6,7,8,9,10,11	ج م ع ح ص ل ر ب ب ش د د ش ه د ض ب ح ع د و ع ل م غ ي ر ق د ح	ع د و:B006:العَدْوى في انتقال الداء | ض ب ح:B005:الرماد | ق د ح:B009:رخص أطراف النبت | غ ي ر:B002:الغَيْر في الدية | ج م ع:B011:نخل دقل اجتمع من النوى لا يعرف اسمه | ر ب ب:B012:ربة نبات | ش ه د:B007:الشَّهْد في الشمع | ش د د:B006:شدة البخل | ع ل م:B007:ذكر الضباع يسمى العيلام | ح ص ل:B005:بلح حصل من النخلة قبل اشتداده
15	P0015	0.8057	aggregation / result / selection / repair	2,3,4,5,6,8,9,10,11	ب ع ث ر ث و ر ج م ع ح ص ل خ ي ر ر ب ب ع ل م غ ي ر و ر ي و س ط	و ر ي:B006:الجانب الوراء: خلف أو أمام أو سوى | غ ي ر:B001:الصلاح والمنفعة بالميرة والسقي والإصلاح | ث و ر:B002:إثارة الشيء وتحريكه من موضعه | و س ط:B004:مرتبة وسطى بين الجيد والرديء | ج م ع:B001:ضم المتفرق حتى يصير شيئا مجموعا | ر ب ب:B002:إصلاح وتربية وإتمام | خ ي ر:B002:فضل الصلاح والاصطفاء | ع ل م:B002:أثر يميز الشيء ويهدي إليه | ب ع ث ر:B001:قلب التراب وكشف المدفون | ح ص ل:B001:جمع الشيء حتى يظهر حاصله
16	P0016	0.805	alliance / honor / lineage / epidemiology	1,2,3,4,5,6,8,9,10,11	ب ع ث ر ج م ع ح ب ب ر ب ب ص د ر ع د و غ ي ر ق د ح ن ق ع و ر ي	ع د و:B006:العَدْوى في انتقال الداء | و ر ي:B007:ولد الولد يأتي من وراء الابن | ق د ح:B003:طعن في النسب | غ ي ر:B004:الغَيْرة على الأهل | ن ق ع:B009:نقعه بالشتم القبيح | ج م ع:B013:ممالأة واجتماع مع غيرك على أمر | ر ب ب:B005:ربيب وربيبة ورابة | ح ب ب:B004:حبة القلب سويداؤه | ب ع ث ر:B002:تبديد المتاع وقلب بعضه على بعض | ص د ر:B005:المصادرة على مال
17	P0017	0.8049	gambling / top / water / arrow	1,2,3,4,5,6,8,9,10,11	ب ع ث ر ج م ع خ ب ر ر ب ب ش د د ص ب ح ص د ر ض ب ح ق د ح ن ق ع	ض ب ح:B001:صوت الضباح | ق د ح:B007:عود السهم والقدح في الميسر | ص ب ح:B002:الإتيان صباحا | ن ق ع:B002:ماء ينقع الغلة ويروي | ج م ع:B008:القيد الذي يجمع اليدين إلى العنق | ر ب ب:B010:ربابة تجمع القداح | ش د د:B003:شد الحملة والعدو | ب ع ث ر:B003:هدم الحوض وقلب أسفله أعلاه | ص د ر:B002:المقدّم والأعلى والأول | خ ب ر:B002:لين الأرض ومائها
18	P0018	0.8037	fire / light / gambling / earth	1,2,3,4,5,6,8,9,10,11	ث و ر ج م ع ح ب ب ح ص ل ر ب ب ص ب ح ض ب ح ق ب ر ق د ح ن ق ع	ض ب ح:B003:إحراق أعالي العود | ق د ح:B002:نقر الشيء وعيبه | ص ب ح:B005:المصباح والسراج | ث و ر:B001:انبعاث الشيء وانتشاره ظاهرا | ن ق ع:B004:نقع الغبار المثار | ج م ع:B008:القيد الذي يجمع اليدين إلى العنق | ر ب ب:B010:ربابة تجمع القداح | ح ب ب:B011:نار الحباحب شرر لا ينتفع به | ق ب ر:B002:غموض الشيء وتطامنه | ح ص ل:B004:موضع يجتمع فيه الطعام في جوف الطائر
19	P0019	0.8014	animal_life/wildlife / ornithology / sweetness / date	1,2,4,5,6,7,8,9,10,11	ث و ر ج م ع ح ص ل ر ب ب ش د د ش ه د ع د و ع ل م ق ب ر ق د ح	ع د و:B011:العَدَوِيّة من نبات الصيف | ق د ح:B009:رخص أطراف النبت | ث و ر:B006:ثور اسما لمكان أو قوم أو برج | ج م ع:B011:نخل دقل اجتمع من النوى لا يعرف اسمه | ر ب ب:B012:ربة نبات | ش ه د:B007:الشَّهْد في الشمع | ش د د:B006:شدة البخل | ع ل م:B006:طائر جارح يسمى العلام | ق ب ر:B003:القُبَّرة الطائر | ح ص ل:B005:بلح حصل من النخلة قبل اشتداده
20	P0020	0.8012	animal_life/wildlife / ornithology / alliance / honor	2,3,4,5,6,8,9,10,11	ب ع ث ر ث و ر ج م ع ر ب ب ش د د ص د ر ع ل م غ ي ر ق ب ر ق د ح	ق د ح:B010:اقتداح الأمر بالنظر والتدبير | غ ي ر:B004:الغَيْرة على الأهل | ث و ر:B006:ثور اسما لمكان أو قوم أو برج | ج م ع:B013:ممالأة واجتماع مع غيرك على أمر | ر ب ب:B008:رباب السحاب | ش د د:B004:بلوغ الأشد | ع ل م:B006:طائر جارح يسمى العلام | ب ع ث ر:B002:تبديد المتاع وقلب بعضه على بعض | ق ب ر:B003:القُبَّرة الطائر | ص د ر:B005:المصادرة على مال
21	P0021	0.8007	division / cutting / space_form_boundary/boundary / abundance	2,3,4,5,6,8,9,10,11	ب ع ث ر ث و ر ح ب ب خ ب ر ص ب ح ص د ر ع ل م ك ن د و ر ي و س ط	و ر ي:B004:شحم وار وسمن ظاهر | ص ب ح:B008:الناقة المصباح | ث و ر:B002:إثارة الشيء وتحريكه من موضعه | و س ط:B006:قطع الشيء نصفين | ك ن د:B001:القطع والانفصال | ح ب ب:B001:الحبة التي تنبت وتحمل الحب | ع ل م:B002:أثر يميز الشيء ويهدي إليه | ب ع ث ر:B001:قلب التراب وكشف المدفون | ص د ر:B006:الطائفة من الشيء | خ ب ر:B004:الغزر في المزادة والناقة
22	P0022	0.8006	attack / top / sweetness / date	1,2,3,5,6,7,8,9,10,11	ب ع ث ر ج م ع ح ص ل ر ب ب ش د د ش ه د ص ب ح ص د ر ض ب ح ق د ح	ض ب ح:B001:صوت الضباح | ق د ح:B007:عود السهم والقدح في الميسر | ص ب ح:B004:يوم الصباح | ج م ع:B011:نخل دقل اجتمع من النوى لا يعرف اسمه | ر ب ب:B017:رباني الملاحين | ش ه د:B007:الشَّهْد في الشمع | ش د د:B003:شد الحملة والعدو | ب ع ث ر:B003:هدم الحوض وقلب أسفله أعلاه | ح ص ل:B005:بلح حصل من النخلة قبل اشتداده | ص د ر:B002:المقدّم والأعلى والأول
23	P0023	0.8001	cattle / gender / epidemiology / ribcage	1,2,3,4,5,6,8,9,10,11	ء ن س ب ع ث ر ث و ر ج م ع ح ب ب ر ب ب ص د ر ع د و غ ي ر ق د ح	ع د و:B006:العَدْوى في انتقال الداء | ق د ح:B003:طعن في النسب | غ ي ر:B002:الغَيْر في الدية | ث و ر:B004:الثور: ذكر البقر | ج م ع:B007:حال المرأة أو الأنثى التي بقي حملها أو عذرها معها | ء ن س:B001:ظهور الإنسان المخالف للتوحش والجن | ر ب ب:B014:رَبْرَب قطيع | ح ب ب:B004:حبة القلب سويداؤه | ب ع ث ر:B002:تبديد المتاع وقلب بعضه على بعض | ص د ر:B001:الصدر الجارحة وما يتصل بها
24	P0024	0.8	knowledge / report / epistemology / evidence	2,3,4,5,6,7,9,11	ء ن س ب ع ث ر ج م ع خ ب ر ش ه د ع ل م غ ي ر ق ب ر ق د ح ن ق ع	ق د ح:B003:طعن في النسب | غ ي ر:B004:الغَيْرة على الأهل | ن ق ع:B009:نقعه بالشتم القبيح | ج م ع:B013:ممالأة واجتماع مع غيرك على أمر | ء ن س:B006:ابن الإنس للنفس والصفوة | ش ه د:B002:البيان بعلم | ع ل م:B001:انكشاف الشيء للعارف | ب ع ث ر:B002:تبديد المتاع وقلب بعضه على بعض | ق ب ر:B004:طرف الأنف في الغضب | خ ب ر:B001:العلم بالخبر وباطن الأمر
25	P0025	0.7997	gambling / top / rest / sleep	1,2,3,5,6,8,9,10,11	ب ع ث ر ج م ع خ ب ر ر ب ب ش د د ص ب ح ص د ر ض ب ح ق د ح و ر ي	ض ب ح:B001:صوت الضباح | و ر ي:B008:الورى: الخلق على ظهر الأرض | ق د ح:B007:عود السهم والقدح في الميسر | ص ب ح:B007:الصُّبْحة نوما | ج م ع:B008:القيد الذي يجمع اليدين إلى العنق | ر ب ب:B010:ربابة تجمع القداح | ش د د:B003:شد الحملة والعدو | ب ع ث ر:B003:هدم الحوض وقلب أسفله أعلاه | ص د ر:B002:المقدّم والأعلى والأول | خ ب ر:B003:إصلاح الأرض بالمخابرة
26	P0026	0.7985	animal_life/wildlife / ornithology / alliance / tribe	2,3,4,5,6,8,9,10,11	ب ع ث ر ث و ر ج م ع ح ب ب ر ب ب ص د ر ع ل م غ ي ر ق ب ر ق د ح	ق د ح:B003:طعن في النسب | غ ي ر:B004:الغَيْرة على الأهل | ث و ر:B006:ثور اسما لمكان أو قوم أو برج | ج م ع:B013:ممالأة واجتماع مع غيرك على أمر | ر ب ب:B004:ربة وجماعات كثيرة | ح ب ب:B004:حبة القلب سويداؤه | ع ل م:B006:طائر جارح يسمى العلام | ب ع ث ر:B002:تبديد المتاع وقلب بعضه على بعض | ق ب ر:B003:القُبَّرة الطائر | ص د ر:B005:المصادرة على مال
27	P0027	0.7982	aggregation / knowledge / result / report	1,2,3,5,6,7,9,10,11	ء ن س ج م ع ح ص ل خ ب ر ش ه د ص ب ح ص د ر ع د و ع ل م و ر ي	ع د و:B005:العَدْوى في طلب الإنصاف | و ر ي:B005:ستر الشيء وجعله وراء الظهور | ص ب ح:B010:أصبح بمعنى صار | ج م ع:B001:ضم المتفرق حتى يصير شيئا مجموعا | ء ن س:B006:ابن الإنس للنفس والصفوة | ش ه د:B002:البيان بعلم | ع ل م:B001:انكشاف الشيء للعارف | ح ص ل:B001:جمع الشيء حتى يظهر حاصله | ص د ر:B004:الأصل الذي تصدر عنه الأفعال | خ ب ر:B001:العلم بالخبر وباطن الأمر
28	P0028	0.7976	alliance / honor / surface / epidemiology	1,2,3,4,5,6,8,9,10,11	ب ع ث ر ث و ر ج م ع ح ب ب ر ب ب ص د ر ع د و غ ي ر ق د ح و ر ي	ع د و:B006:العَدْوى في انتقال الداء | و ر ي:B007:ولد الولد يأتي من وراء الابن | ق د ح:B010:اقتداح الأمر بالنظر والتدبير | غ ي ر:B004:الغَيْرة على الأهل | ث و ر:B007:ثور الماء: طحلب يعلو السطح | ج م ع:B013:ممالأة واجتماع مع غيرك على أمر | ر ب ب:B005:ربيب وربيبة ورابة | ح ب ب:B004:حبة القلب سويداؤه | ب ع ث ر:B002:تبديد المتاع وقلب بعضه على بعض | ص د ر:B003:الصُّدور عن المورد
29	P0029	0.7974	gambling / top / aggression / arrow	1,2,3,5,6,8,9,10,11	ب ع ث ر ج م ع خ ب ر ر ب ب ش د د ص ب ح ص د ر ض ب ح ع د و ق د ح	ع د و:B001:مجاوزة الحد والظلم | ض ب ح:B001:صوت الضباح | ق د ح:B007:عود السهم والقدح في الميسر | ص ب ح:B008:الناقة المصباح | ج م ع:B008:القيد الذي يجمع اليدين إلى العنق | ر ب ب:B010:ربابة تجمع القداح | ش د د:B003:شد الحملة والعدو | ب ع ث ر:B003:هدم الحوض وقلب أسفله أعلاه | ص د ر:B002:المقدّم والأعلى والأول | خ ب ر:B004:الغزر في المزادة والناقة
30	P0030	0.7971	alliance / anger / honor / protectiveness	2,3,4,5,6,8,9,10,11	ب ع ث ر ج م ع ر ب ب ش د د ص د ر غ ي ر ق ب ر ق د ح ن ق ع و س ط	ق د ح:B003:طعن في النسب | غ ي ر:B004:الغَيْرة على الأهل | ن ق ع:B009:نقعه بالشتم القبيح | و س ط:B002:موضع الوسط بين الأطراف | ج م ع:B013:ممالأة واجتماع مع غيرك على أمر | ر ب ب:B004:ربة وجماعات كثيرة | ش د د:B004:بلوغ الأشد | ب ع ث ر:B002:تبديد المتاع وقلب بعضه على بعض | ق ب ر:B004:طرف الأنف في الغضب | ص د ر:B005:المصادرة على مال
31	P0031	0.7966	sweetness / date / agriculture / fruit	1,2,3,4,5,6,7,8,9,10,11	ب ع ث ر ج م ع ح ص ل ر ب ب ش د د ش ه د ع د و غ ي ر ق د ح ن ق ع	ع د و:B011:العَدَوِيّة من نبات الصيف | ق د ح:B003:طعن في النسب | غ ي ر:B003:تغيير الصورة أو إبدال الشيء بغيره | ن ق ع:B009:نقعه بالشتم القبيح | ج م ع:B011:نخل دقل اجتمع من النوى لا يعرف اسمه | ر ب ب:B012:ربة نبات | ش ه د:B007:الشَّهْد في الشمع | ش د د:B006:شدة البخل | ب ع ث ر:B002:تبديد المتاع وقلب بعضه على بعض | ح ص ل:B005:بلح حصل من النخلة قبل اشتداده
32	P0032	0.7962	attack / sweetness / cry / date	1,2,3,4,5,6,7,8,10,11	ج م ع ح ص ل ر ب ب ش د د ش ه د ص ب ح ض ب ح ع د و ق د ح ن ق ع	ع د و:B003:العَدُوّ والعداوة | ض ب ح:B001:صوت الضباح | ق د ح:B009:رخص أطراف النبت | ص ب ح:B004:يوم الصباح | ن ق ع:B005:نقع الصوت المرتفع | ج م ع:B011:نخل دقل اجتمع من النوى لا يعرف اسمه | ر ب ب:B012:ربة نبات | ش ه د:B007:الشَّهْد في الشمع | ش د د:B003:شد الحملة والعدو | ح ص ل:B005:بلح حصل من النخلة قبل اشتداده
33	P0033	0.7962	division / knot / cutting / death	2,3,4,5,6,8,10,11	ح ب ب خ ب ر ر ب ب ش د د ص ب ح ص د ر ك ن د ن ق ع و ر ي و س ط	و ر ي:B004:شحم وار وسمن ظاهر | ص ب ح:B008:الناقة المصباح | ن ق ع:B006:سم ناقع ثابت أو قاتل | و س ط:B006:قطع الشيء نصفين | ر ب ب:B016:رُبَى حاجة وعقدة ونعمة | ك ن د:B001:القطع والانفصال | ح ب ب:B001:الحبة التي تنبت وتحمل الحب | ش د د:B001:شد العقد والوثاق | ص د ر:B006:الطائفة من الشيء | خ ب ر:B004:الغزر في المزادة والناقة
34	P0034	0.796	water / quenching / selection / soil	1,2,3,4,5,6,8,11	ح ب ب خ ب ر خ ي ر ر ب ب ع د و غ ي ر ك ن د ن ق ع و ر ي و س ط	ع د و:B010:العَدْواء في صلابة المكان واضطرابه | و ر ي:B006:الجانب الوراء: خلف أو أمام أو سوى | غ ي ر:B001:الصلاح والمنفعة بالميرة والسقي والإصلاح | ن ق ع:B002:ماء ينقع الغلة ويروي | و س ط:B004:مرتبة وسطى بين الجيد والرديء | ر ب ب:B006:رُبّ خاثر وإصلاح به | ك ن د:B003:الأرض التي لا تنبت | ح ب ب:B006:الري حتى الامتلاء | خ ي ر:B002:فضل الصلاح والاصطفاء | خ ب ر:B002:لين الأرض ومائها
35	P0035	0.7959	animal_life/wildlife / ornithology / alliance / honor	2,3,4,5,6,8,9,11	ب ع ث ر ث و ر ج م ع ح ب ب خ ب ر ر ب ب ع ل م غ ي ر ق ب ر ق د ح	ق د ح:B003:طعن في النسب | غ ي ر:B004:الغَيْرة على الأهل | ث و ر:B006:ثور اسما لمكان أو قوم أو برج | ج م ع:B013:ممالأة واجتماع مع غيرك على أمر | ر ب ب:B008:رباب السحاب | ح ب ب:B005:البعير يلزم مكانه من عجز | ع ل م:B006:طائر جارح يسمى العلام | ب ع ث ر:B002:تبديد المتاع وقلب بعضه على بعض | ق ب ر:B003:القُبَّرة الطائر | خ ب ر:B005:اللِّين في النبات والوبر والزبد
36	P0036	0.7959	water / quenching / top / gaming	1,2,3,4,6,8,9,10,11	ب ع ث ر ح ب ب خ ب ر ر ب ب ص ب ح ص د ر ض ب ح غ ي ر ق د ح ن ق ع	ض ب ح:B001:صوت الضباح | ق د ح:B007:عود السهم والقدح في الميسر | غ ي ر:B001:الصلاح والمنفعة بالميرة والسقي والإصلاح | ص ب ح:B002:الإتيان صباحا | ن ق ع:B002:ماء ينقع الغلة ويروي | ر ب ب:B006:رُبّ خاثر وإصلاح به | ح ب ب:B006:الري حتى الامتلاء | ب ع ث ر:B003:هدم الحوض وقلب أسفله أعلاه | ص د ر:B002:المقدّم والأعلى والأول | خ ب ر:B002:لين الأرض ومائها
37	P0037	0.7955	division / solid / gambling / top	1,2,4,5,6,8,9,10,11	ب ع ث ر ث و ر ج م ع ح ب ب ر ب ب ص د ر ض ب ح ق د ح ك ن د و س ط	ض ب ح:B001:صوت الضباح | ق د ح:B007:عود السهم والقدح في الميسر | ث و ر:B005:ثورة الأقط: قطعة جامدة | و س ط:B006:قطع الشيء نصفين | ج م ع:B008:القيد الذي يجمع اليدين إلى العنق | ر ب ب:B010:ربابة تجمع القداح | ك ن د:B001:القطع والانفصال | ح ب ب:B001:الحبة التي تنبت وتحمل الحب | ب ع ث ر:B003:هدم الحوض وقلب أسفله أعلاه | ص د ر:B002:المقدّم والأعلى والأول
38	P0038	0.7954	date / blood / fruit / palm	1,2,3,4,5,6,7,8,9,10,11	ب ع ث ر ج م ع ح ب ب ح ص ل ر ب ب ش ه د ع د و غ ي ر ق د ح ن ق ع	ع د و:B006:العَدْوى في انتقال الداء | ق د ح:B003:طعن في النسب | غ ي ر:B002:الغَيْر في الدية | ن ق ع:B009:نقعه بالشتم القبيح | ج م ع:B011:نخل دقل اجتمع من النوى لا يعرف اسمه | ر ب ب:B009:شاة رُبّى وحداثة | ش ه د:B006:الخارج عند الولادة والإدراك | ح ب ب:B004:حبة القلب سويداؤه | ب ع ث ر:B002:تبديد المتاع وقلب بعضه على بعض | ح ص ل:B005:بلح حصل من النخلة قبل اشتداده
39	P0039	0.7947	division / residue / cutting / death	1,2,3,4,5,6,8,10,11	ج م ع ح ب ب ح ص ل خ ب ر ص ب ح ع د و ك ن د ن ق ع و ر ي و س ط	ع د و:B001:مجاوزة الحد والظلم | و ر ي:B004:شحم وار وسمن ظاهر | ص ب ح:B008:الناقة المصباح | ن ق ع:B006:سم ناقع ثابت أو قاتل | و س ط:B006:قطع الشيء نصفين | ج م ع:B006:اتصال الجماع والمجامعة | ك ن د:B001:القطع والانفصال | ح ب ب:B001:الحبة التي تنبت وتحمل الحب | ح ص ل:B003:البقية والحثالة بعد الرفع أو الفصل | خ ب ر:B004:الغزر في المزادة والناقة
40	P0040	0.7946	drink / water / quenching / selection	1,2,3,4,5,6,8,11	ح ب ب خ ب ر خ ي ر ر ب ب ص ب ح ع د و غ ي ر ق د ح ن ق ع و س ط	ع د و:B010:العَدْواء في صلابة المكان واضطرابه | ق د ح:B006:قدح الشرب | غ ي ر:B001:الصلاح والمنفعة بالميرة والسقي والإصلاح | ص ب ح:B003:الصبوح | ن ق ع:B002:ماء ينقع الغلة ويروي | و س ط:B001:العدل والخيار في موضع الوسط | ر ب ب:B006:رُبّ خاثر وإصلاح به | ح ب ب:B006:الري حتى الامتلاء | خ ي ر:B002:فضل الصلاح والاصطفاء | خ ب ر:B002:لين الأرض ومائها
