source_token_id	ayah_ref	source_token_index	surface_ar	word_ids	qac_word_refs	binding_status
t-s034-a003-w022	34:3	22	ٱلْأَرْضِ	w-s034-a003-w022	34:3:22	one_to_one
t-s034-a003-w023	34:3	23	وَلَآ	w-s034-a003-w023	34:3:23	one_to_one
t-s034-a003-w024	34:3	24	أَصْغَرُ	w-s034-a003-w024	34:3:24	one_to_one
t-s034-a003-w025	34:3	25	مِن	w-s034-a003-w025	34:3:25	one_to_one
t-s034-a003-w026	34:3	26	ذَٰلِكَ	w-s034-a003-w026	34:3:26	one_to_one
t-s034-a003-w027	34:3	27	وَلَآ	w-s034-a003-w027	34:3:27	one_to_one
t-s034-a003-w028	34:3	28	أَكْبَرُ	w-s034-a003-w028	34:3:28	one_to_one
t-s034-a003-w029	34:3	29	إِلَّا	w-s034-a003-w029	34:3:29	one_to_one
t-s034-a003-w030	34:3	30	فِى	w-s034-a003-w030	34:3:30	one_to_one
t-s034-a003-w031	34:3	31	كِتَٰبٍۢ	w-s034-a003-w031	34:3:31	one_to_one
t-s034-a003-w032	34:3	32	مُّبِينٍۢ	w-s034-a003-w032	34:3:32	one_to_one
t-s034-a004-w001	34:4	1	لِّيَجْزِىَ	w-s034-a004-w001	34:4:1	one_to_one
t-s034-a004-w002	34:4	2	ٱلَّذِينَ	w-s034-a004-w002	34:4:2	one_to_one
t-s034-a004-w003	34:4	3	ءَامَنُوا۟	w-s034-a004-w003	34:4:3	one_to_one
t-s034-a004-w004	34:4	4	وَعَمِلُوا۟	w-s034-a004-w004	34:4:4	one_to_one
t-s034-a004-w005	34:4	5	ٱلصَّٰلِحَٰتِ	w-s034-a004-w005	34:4:5	one_to_one
t-s034-a004-w006	34:4	6	أُو۟لَٰٓئِكَ	w-s034-a004-w006	34:4:6	one_to_one
t-s034-a004-w007	34:4	7	لَهُم	w-s034-a004-w007	34:4:7	one_to_one
t-s034-a004-w008	34:4	8	مَّغْفِرَةٌۭ	w-s034-a004-w008	34:4:8	one_to_one
t-s034-a004-w009	34:4	9	وَرِزْقٌۭ	w-s034-a004-w009	34:4:9	one_to_one
t-s034-a004-w010	34:4	10	كَرِيمٌۭ	w-s034-a004-w010	34:4:10	one_to_one
t-s034-a005-w001	34:5	1	وَٱلَّذِينَ	w-s034-a005-w001	34:5:1	one_to_one
t-s034-a005-w002	34:5	2	سَعَوْ	w-s034-a005-w002	34:5:2	one_to_one
t-s034-a005-w003	34:5	3	فِىٓ	w-s034-a005-w003	34:5:3	one_to_one
t-s034-a005-w004	34:5	4	ءَايَٰتِنَا	w-s034-a005-w004	34:5:4	one_to_one
t-s034-a005-w005	34:5	5	مُعَٰجِزِينَ	w-s034-a005-w005	34:5:5	one_to_one
t-s034-a005-w006	34:5	6	أُو۟لَٰٓئِكَ	w-s034-a005-w006	34:5:6	one_to_one
t-s034-a005-w007	34:5	7	لَهُمْ	w-s034-a005-w007	34:5:7	one_to_one
t-s034-a005-w008	34:5	8	عَذَابٌۭ	w-s034-a005-w008	34:5:8	one_to_one
t-s034-a005-w009	34:5	9	مِّن	w-s034-a005-w009	34:5:9	one_to_one
t-s034-a005-w010	34:5	10	رِّجْزٍ	w-s034-a005-w010	34:5:10	one_to_one
t-s034-a005-w011	34:5	11	أَلِيمٌۭ	w-s034-a005-w011	34:5:11	one_to_one
t-s034-a006-w001	34:6	1	وَيَرَى	w-s034-a006-w001	34:6:1	one_to_one
t-s034-a006-w002	34:6	2	ٱلَّذِينَ	w-s034-a006-w002	34:6:2	one_to_one
t-s034-a006-w003	34:6	3	أُوتُوا۟	w-s034-a006-w003	34:6:3	one_to_one
t-s034-a006-w004	34:6	4	ٱلْعِلْمَ	w-s034-a006-w004	34:6:4	one_to_one
t-s034-a006-w005	34:6	5	ٱلَّذِىٓ	w-s034-a006-w005	34:6:5	one_to_one
t-s034-a006-w006	34:6	6	أُنزِلَ	w-s034-a006-w006	34:6:6	one_to_one
t-s034-a006-w007	34:6	7	إِلَيْكَ	w-s034-a006-w007	34:6:7	one_to_one
t-s034-a006-w008	34:6	8	مِن	w-s034-a006-w008	34:6:8	one_to_one
t-s034-a006-w009	34:6	9	رَّبِّكَ	w-s034-a006-w009	34:6:9	one_to_one
t-s034-a006-w010	34:6	10	هُوَ	w-s034-a006-w010	34:6:10	one_to_one
t-s034-a006-w011	34:6	11	ٱلْحَقَّ	w-s034-a006-w011	34:6:11	one_to_one
t-s034-a006-w012	34:6	12	وَيَهْدِىٓ	w-s034-a006-w012	34:6:12	one_to_one
t-s034-a006-w013	34:6	13	إِلَىٰ	w-s034-a006-w013	34:6:13	one_to_one
t-s034-a006-w014	34:6	14	صِرَٰطِ	w-s034-a006-w014	34:6:14	one_to_one
t-s034-a006-w015	34:6	15	ٱلْعَزِيزِ	w-s034-a006-w015	34:6:15	one_to_one
t-s034-a006-w016	34:6	16	ٱلْحَمِيدِ	w-s034-a006-w016	34:6:16	one_to_one
t-s034-a007-w001	34:7	1	وَقَالَ	w-s034-a007-w001	34:7:1	one_to_one
t-s034-a007-w002	34:7	2	ٱلَّذِينَ	w-s034-a007-w002	34:7:2	one_to_one
t-s034-a007-w003	34:7	3	كَفَرُوا۟	w-s034-a007-w003	34:7:3	one_to_one
t-s034-a007-w004	34:7	4	هَلْ	w-s034-a007-w004	34:7:4	one_to_one
t-s034-a007-w005	34:7	5	نَدُلُّكُمْ	w-s034-a007-w005	34:7:5	one_to_one
t-s034-a007-w006	34:7	6	عَلَىٰ	w-s034-a007-w006	34:7:6	one_to_one
t-s034-a007-w007	34:7	7	رَجُلٍۢ	w-s034-a007-w007	34:7:7	one_to_one
t-s034-a007-w008	34:7	8	يُنَبِّئُكُمْ	w-s034-a007-w008	34:7:8	one_to_one
t-s034-a007-w009	34:7	9	إِذَا	w-s034-a007-w009	34:7:9	one_to_one
t-s034-a007-w010	34:7	10	مُزِّقْتُمْ	w-s034-a007-w010	34:7:10	one_to_one
t-s034-a007-w011	34:7	11	كُلَّ	w-s034-a007-w011	34:7:11	one_to_one
t-s034-a007-w012	34:7	12	مُمَزَّقٍ	w-s034-a007-w012	34:7:12	one_to_one
t-s034-a007-w013	34:7	13	إِنَّكُمْ	w-s034-a007-w013	34:7:13	one_to_one
t-s034-a007-w014	34:7	14	لَفِى	w-s034-a007-w014	34:7:14	one_to_one
t-s034-a007-w015	34:7	15	خَلْقٍۢ	w-s034-a007-w015	34:7:15	one_to_one
t-s034-a007-w016	34:7	16	جَدِيدٍ	w-s034-a007-w016	34:7:16	one_to_one
t-s034-a008-w001	34:8	1	أَفْتَرَىٰ	w-s034-a008-w001	34:8:1	one_to_one
t-s034-a008-w002	34:8	2	عَلَى	w-s034-a008-w002	34:8:2	one_to_one
t-s034-a008-w003	34:8	3	ٱللَّهِ	w-s034-a008-w003	34:8:3	one_to_one
t-s034-a008-w004	34:8	4	كَذِبًا	w-s034-a008-w004	34:8:4	one_to_one
t-s034-a008-w005	34:8	5	أَم	w-s034-a008-w005	34:8:5	one_to_one
t-s034-a008-w006	34:8	6	بِهِۦ	w-s034-a008-w006	34:8:6	one_to_one
t-s034-a008-w007	34:8	7	جِنَّةٌۢ	w-s034-a008-w007	34:8:7	one_to_one
t-s034-a008-w008	34:8	8	بَلِ	w-s034-a008-w008	34:8:8	one_to_one
t-s034-a008-w009	34:8	9	ٱلَّذِينَ	w-s034-a008-w009	34:8:9	one_to_one
t-s034-a008-w010	34:8	10	لَا	w-s034-a008-w010	34:8:10	one_to_one
t-s034-a008-w011	34:8	11	يُؤْمِنُونَ	w-s034-a008-w011	34:8:11	one_to_one
t-s034-a008-w012	34:8	12	بِٱلْءَاخِرَةِ	w-s034-a008-w012	34:8:12	one_to_one
t-s034-a008-w013	34:8	13	فِى	w-s034-a008-w013	34:8:13	one_to_one
t-s034-a008-w014	34:8	14	ٱلْعَذَابِ	w-s034-a008-w014	34:8:14	one_to_one
t-s034-a008-w015	34:8	15	وَٱلضَّلَٰلِ	w-s034-a008-w015	34:8:15	one_to_one
t-s034-a008-w016	34:8	16	ٱلْبَعِيدِ	w-s034-a008-w016	34:8:16	one_to_one
t-s034-a009-w001	34:9	1	أَفَلَمْ	w-s034-a009-w001	34:9:1	one_to_one
t-s034-a009-w002	34:9	2	يَرَوْا۟	w-s034-a009-w002	34:9:2	one_to_one
t-s034-a009-w003	34:9	3	إِلَىٰ	w-s034-a009-w003	34:9:3	one_to_one
t-s034-a009-w004	34:9	4	مَا	w-s034-a009-w004	34:9:4	one_to_one
t-s034-a009-w005	34:9	5	بَيْنَ	w-s034-a009-w005	34:9:5	one_to_one
t-s034-a009-w006	34:9	6	أَيْدِيهِمْ	w-s034-a009-w006	34:9:6	one_to_one
t-s034-a009-w007	34:9	7	وَمَا	w-s034-a009-w007	34:9:7	one_to_one
t-s034-a009-w008	34:9	8	خَلْفَهُم	w-s034-a009-w008	34:9:8	one_to_one
t-s034-a009-w009	34:9	9	مِّنَ	w-s034-a009-w009	34:9:9	one_to_one
t-s034-a009-w010	34:9	10	ٱلسَّمَآءِ	w-s034-a009-w010	34:9:10	one_to_one
t-s034-a009-w011	34:9	11	وَٱلْأَرْضِ	w-s034-a009-w011	34:9:11	one_to_one
t-s034-a009-w012	34:9	12	إِن	w-s034-a009-w012	34:9:12	one_to_one
t-s034-a009-w013	34:9	13	نَّشَأْ	w-s034-a009-w013	34:9:13	one_to_one
t-s034-a009-w014	34:9	14	نَخْسِفْ	w-s034-a009-w014	34:9:14	one_to_one
t-s034-a009-w015	34:9	15	بِهِمُ	w-s034-a009-w015	34:9:15	one_to_one
t-s034-a009-w016	34:9	16	ٱلْأَرْضَ	w-s034-a009-w016	34:9:16	one_to_one
t-s034-a009-w017	34:9	17	أَوْ	w-s034-a009-w017	34:9:17	one_to_one
t-s034-a009-w018	34:9	18	نُسْقِطْ	w-s034-a009-w018	34:9:18	one_to_one
t-s034-a009-w019	34:9	19	عَلَيْهِمْ	w-s034-a009-w019	34:9:19	one_to_one
t-s034-a009-w020	34:9	20	كِسَفًۭا	w-s034-a009-w020	34:9:20	one_to_one
t-s034-a009-w021	34:9	21	مِّنَ	w-s034-a009-w021	34:9:21	one_to_one
t-s034-a009-w022	34:9	22	ٱلسَّمَآءِ	w-s034-a009-w022	34:9:22	one_to_one
t-s034-a009-w023	34:9	23	إِنَّ	w-s034-a009-w023	34:9:23	one_to_one
t-s034-a009-w024	34:9	24	فِى	w-s034-a009-w024	34:9:24	one_to_one
t-s034-a009-w025	34:9	25	ذَٰلِكَ	w-s034-a009-w025	34:9:25	one_to_one
t-s034-a009-w026	34:9	26	لَءَايَةًۭ	w-s034-a009-w026	34:9:26	one_to_one
t-s034-a009-w027	34:9	27	لِّكُلِّ	w-s034-a009-w027	34:9:27	one_to_one
t-s034-a009-w028	34:9	28	عَبْدٍۢ	w-s034-a009-w028	34:9:28	one_to_one
t-s034-a009-w029	34:9	29	مُّنِيبٍۢ	w-s034-a009-w029	34:9:29	one_to_one
t-s034-a010-w001	34:10	1	وَلَقَدْ	w-s034-a010-w001	34:10:1	one_to_one
t-s034-a010-w002	34:10	2	ءَاتَيْنَا	w-s034-a010-w002	34:10:2	one_to_one
t-s034-a010-w003	34:10	3	دَاوُۥدَ	w-s034-a010-w003	34:10:3	one_to_one
t-s034-a010-w004	34:10	4	مِنَّا	w-s034-a010-w004	34:10:4	one_to_one
t-s034-a010-w005	34:10	5	فَضْلًۭا	w-s034-a010-w005	34:10:5	one_to_one
t-s034-a010-w006	34:10	6	يَٰجِبَالُ	w-s034-a010-w006	34:10:6	one_to_one
t-s034-a010-w007	34:10	7	أَوِّبِى	w-s034-a010-w007	34:10:7	one_to_one
t-s034-a010-w008	34:10	8	مَعَهُۥ	w-s034-a010-w008	34:10:8	one_to_one
t-s034-a010-w009	34:10	9	وَٱلطَّيْرَ	w-s034-a010-w009	34:10:9	one_to_one
t-s034-a010-w010	34:10	10	وَأَلَنَّا	w-s034-a010-w010	34:10:10	one_to_one
t-s034-a010-w011	34:10	11	لَهُ	w-s034-a010-w011	34:10:11	one_to_one
t-s034-a010-w012	34:10	12	ٱلْحَدِيدَ	w-s034-a010-w012	34:10:12	one_to_one
t-s034-a011-w001	34:11	1	أَنِ	w-s034-a011-w001	34:11:1	one_to_one
t-s034-a011-w002	34:11	2	ٱعْمَلْ	w-s034-a011-w002	34:11:2	one_to_one
t-s034-a011-w003	34:11	3	سَٰبِغَٰتٍۢ	w-s034-a011-w003	34:11:3	one_to_one
t-s034-a011-w004	34:11	4	وَقَدِّرْ	w-s034-a011-w004	34:11:4	one_to_one
t-s034-a011-w005	34:11	5	فِى	w-s034-a011-w005	34:11:5	one_to_one
t-s034-a011-w006	34:11	6	ٱلسَّرْدِ	w-s034-a011-w006	34:11:6	one_to_one
t-s034-a011-w007	34:11	7	وَٱعْمَلُوا۟	w-s034-a011-w007	34:11:7	one_to_one
t-s034-a011-w008	34:11	8	صَٰلِحًا	w-s034-a011-w008	34:11:8	one_to_one
t-s034-a011-w009	34:11	9	إِنِّى	w-s034-a011-w009	34:11:9	one_to_one
t-s034-a011-w010	34:11	10	بِمَا	w-s034-a011-w010	34:11:10	one_to_one
t-s034-a011-w011	34:11	11	تَعْمَلُونَ	w-s034-a011-w011	34:11:11	one_to_one
t-s034-a011-w012	34:11	12	بَصِيرٌۭ	w-s034-a011-w012	34:11:12	one_to_one
t-s034-a012-w001	34:12	1	وَلِسُلَيْمَٰنَ	w-s034-a012-w001	34:12:1	one_to_one
t-s034-a012-w002	34:12	2	ٱلرِّيحَ	w-s034-a012-w002	34:12:2	one_to_one
t-s034-a012-w003	34:12	3	غُدُوُّهَا	w-s034-a012-w003	34:12:3	one_to_one
t-s034-a012-w004	34:12	4	شَهْرٌۭ	w-s034-a012-w004	34:12:4	one_to_one
t-s034-a012-w005	34:12	5	وَرَوَاحُهَا	w-s034-a012-w005	34:12:5	one_to_one
t-s034-a012-w006	34:12	6	شَهْرٌۭ	w-s034-a012-w006	34:12:6	one_to_one
t-s034-a012-w007	34:12	7	وَأَسَلْنَا	w-s034-a012-w007	34:12:7	one_to_one
t-s034-a012-w008	34:12	8	لَهُۥ	w-s034-a012-w008	34:12:8	one_to_one
t-s034-a012-w009	34:12	9	عَيْنَ	w-s034-a012-w009	34:12:9	one_to_one
t-s034-a012-w010	34:12	10	ٱلْقِطْرِ	w-s034-a012-w010	34:12:10	one_to_one
t-s034-a012-w011	34:12	11	وَمِنَ	w-s034-a012-w011	34:12:11	one_to_one
t-s034-a012-w012	34:12	12	ٱلْجِنِّ	w-s034-a012-w012	34:12:12	one_to_one
t-s034-a012-w013	34:12	13	مَن	w-s034-a012-w013	34:12:13	one_to_one
t-s034-a012-w014	34:12	14	يَعْمَلُ	w-s034-a012-w014	34:12:14	one_to_one
t-s034-a012-w015	34:12	15	بَيْنَ	w-s034-a012-w015	34:12:15	one_to_one
t-s034-a012-w016	34:12	16	يَدَيْهِ	w-s034-a012-w016	34:12:16	one_to_one
t-s034-a012-w017	34:12	17	بِإِذْنِ	w-s034-a012-w017	34:12:17	one_to_one
t-s034-a012-w018	34:12	18	رَبِّهِۦ	w-s034-a012-w018	34:12:18	one_to_one
t-s034-a012-w019	34:12	19	وَمَن	w-s034-a012-w019	34:12:19	one_to_one
t-s034-a012-w020	34:12	20	يَزِغْ	w-s034-a012-w020	34:12:20	one_to_one
t-s034-a012-w021	34:12	21	مِنْهُمْ	w-s034-a012-w021	34:12:21	one_to_one
t-s034-a012-w022	34:12	22	عَنْ	w-s034-a012-w022	34:12:22	one_to_one
t-s034-a012-w023	34:12	23	أَمْرِنَا	w-s034-a012-w023	34:12:23	one_to_one
t-s034-a012-w024	34:12	24	نُذِقْهُ	w-s034-a012-w024	34:12:24	one_to_one
t-s034-a012-w025	34:12	25	مِنْ	w-s034-a012-w025	34:12:25	one_to_one
t-s034-a012-w026	34:12	26	عَذَابِ	w-s034-a012-w026	34:12:26	one_to_one
t-s034-a012-w027	34:12	27	ٱلسَّعِيرِ	w-s034-a012-w027	34:12:27	one_to_one
t-s034-a013-w001	34:13	1	يَعْمَلُونَ	w-s034-a013-w001	34:13:1	one_to_one
t-s034-a013-w002	34:13	2	لَهُۥ	w-s034-a013-w002	34:13:2	one_to_one
t-s034-a013-w003	34:13	3	مَا	w-s034-a013-w003	34:13:3	one_to_one
t-s034-a013-w004	34:13	4	يَشَآءُ	w-s034-a013-w004	34:13:4	one_to_one
t-s034-a013-w005	34:13	5	مِن	w-s034-a013-w005	34:13:5	one_to_one
t-s034-a013-w006	34:13	6	مَّحَٰرِيبَ	w-s034-a013-w006	34:13:6	one_to_one
t-s034-a013-w007	34:13	7	وَتَمَٰثِيلَ	w-s034-a013-w007	34:13:7	one_to_one
t-s034-a013-w008	34:13	8	وَجِفَانٍۢ	w-s034-a013-w008	34:13:8	one_to_one
t-s034-a013-w009	34:13	9	كَٱلْجَوَابِ	w-s034-a013-w009	34:13:9	one_to_one
t-s034-a013-w010	34:13	10	وَقُدُورٍۢ	w-s034-a013-w010	34:13:10	one_to_one
t-s034-a013-w011	34:13	11	رَّاسِيَٰتٍ	w-s034-a013-w011	34:13:11	one_to_one
t-s034-a013-w012	34:13	12	ٱعْمَلُوٓا۟	w-s034-a013-w012	34:13:12	one_to_one
t-s034-a013-w013	34:13	13	ءَالَ	w-s034-a013-w013	34:13:13	one_to_one
t-s034-a013-w014	34:13	14	دَاوُۥدَ	w-s034-a013-w014	34:13:14	one_to_one
t-s034-a013-w015	34:13	15	شُكْرًۭا	w-s034-a013-w015	34:13:15	one_to_one
t-s034-a013-w016	34:13	16	وَقَلِيلٌۭ	w-s034-a013-w016	34:13:16	one_to_one
t-s034-a013-w017	34:13	17	مِّنْ	w-s034-a013-w017	34:13:17	one_to_one
t-s034-a013-w018	34:13	18	عِبَادِىَ	w-s034-a013-w018	34:13:18	one_to_one
t-s034-a013-w019	34:13	19	ٱلشَّكُورُ	w-s034-a013-w019	34:13:19	one_to_one
t-s034-a014-w001	34:14	1	فَلَمَّا	w-s034-a014-w001	34:14:1	one_to_one
t-s034-a014-w002	34:14	2	قَضَيْنَا	w-s034-a014-w002	34:14:2	one_to_one
t-s034-a014-w003	34:14	3	عَلَيْهِ	w-s034-a014-w003	34:14:3	one_to_one
t-s034-a014-w004	34:14	4	ٱلْمَوْتَ	w-s034-a014-w004	34:14:4	one_to_one
t-s034-a014-w005	34:14	5	مَا	w-s034-a014-w005	34:14:5	one_to_one
t-s034-a014-w006	34:14	6	دَلَّهُمْ	w-s034-a014-w006	34:14:6	one_to_one
t-s034-a014-w007	34:14	7	عَلَىٰ	w-s034-a014-w007	34:14:7	one_to_one
t-s034-a014-w008	34:14	8	مَوْتِهِۦٓ	w-s034-a014-w008	34:14:8	one_to_one
t-s034-a014-w009	34:14	9	إِلَّا	w-s034-a014-w009	34:14:9	one_to_one
t-s034-a014-w010	34:14	10	دَآبَّةُ	w-s034-a014-w010	34:14:10	one_to_one
t-s034-a014-w011	34:14	11	ٱلْأَرْضِ	w-s034-a014-w011	34:14:11	one_to_one
t-s034-a014-w012	34:14	12	تَأْكُلُ	w-s034-a014-w012	34:14:12	one_to_one
t-s034-a014-w013	34:14	13	مِنسَأَتَهُۥ	w-s034-a014-w013	34:14:13	one_to_one
t-s034-a014-w014	34:14	14	فَلَمَّا	w-s034-a014-w014	34:14:14	one_to_one
t-s034-a014-w015	34:14	15	خَرَّ	w-s034-a014-w015	34:14:15	one_to_one
t-s034-a014-w016	34:14	16	تَبَيَّنَتِ	w-s034-a014-w016	34:14:16	one_to_one
t-s034-a014-w017	34:14	17	ٱلْجِنُّ	w-s034-a014-w017	34:14:17	one_to_one
t-s034-a014-w018	34:14	18	أَن	w-s034-a014-w018	34:14:18	one_to_one
t-s034-a014-w019	34:14	19	لَّوْ	w-s034-a014-w019	34:14:19	one_to_one
t-s034-a014-w020	34:14	20	كَانُوا۟	w-s034-a014-w020	34:14:20	one_to_one
t-s034-a014-w021	34:14	21	يَعْلَمُونَ	w-s034-a014-w021	34:14:21	one_to_one
t-s034-a014-w022	34:14	22	ٱلْغَيْبَ	w-s034-a014-w022	34:14:22	one_to_one
t-s034-a014-w023	34:14	23	مَا	w-s034-a014-w023	34:14:23	one_to_one
t-s034-a014-w024	34:14	24	لَبِثُوا۟	w-s034-a014-w024	34:14:24	one_to_one
t-s034-a014-w025	34:14	25	فِى	w-s034-a014-w025	34:14:25	one_to_one
t-s034-a014-w026	34:14	26	ٱلْعَذَابِ	w-s034-a014-w026	34:14:26	one_to_one
t-s034-a014-w027	34:14	27	ٱلْمُهِينِ	w-s034-a014-w027	34:14:27	one_to_one
t-s034-a015-w001	34:15	1	لَقَدْ	w-s034-a015-w001	34:15:1	one_to_one
t-s034-a015-w002	34:15	2	كَانَ	w-s034-a015-w002	34:15:2	one_to_one
t-s034-a015-w003	34:15	3	لِسَبَإٍۢ	w-s034-a015-w003	34:15:3	one_to_one
t-s034-a015-w004	34:15	4	فِى	w-s034-a015-w004	34:15:4	one_to_one
t-s034-a015-w005	34:15	5	مَسْكَنِهِمْ	w-s034-a015-w005	34:15:5	one_to_one
t-s034-a015-w006	34:15	6	ءَايَةٌۭ	w-s034-a015-w006	34:15:6	one_to_one
t-s034-a015-w007	34:15	7	جَنَّتَانِ	w-s034-a015-w007	34:15:7	one_to_one
t-s034-a015-w008	34:15	8	عَن	w-s034-a015-w008	34:15:8	one_to_one
t-s034-a015-w009	34:15	9	يَمِينٍۢ	w-s034-a015-w009	34:15:9	one_to_one
t-s034-a015-w010	34:15	10	وَشِمَالٍۢ	w-s034-a015-w010	34:15:10	one_to_one
t-s034-a015-w011	34:15	11	كُلُوا۟	w-s034-a015-w011	34:15:11	one_to_one
t-s034-a015-w012	34:15	12	مِن	w-s034-a015-w012	34:15:12	one_to_one
