surah	ayah	word_index	morpheme_index	qac_ref	surface_ar	lemma_ar	root_ar	root_norm	root_key	pos	morpheme_role	morph_features	aspect	mood	voice	measure	person	number	gender	context_role	source_ref	data_quality
100	4	3	1	100:4:3:1	نَقْعًا	نَقْع	ن ق ع	ن ق ع	نقع	N	STEM	STEM|POS:N|LEM:naqoE|ROOT:nqE|M|INDEF|ACC								in-scope	raw-qac-database:row:18	full-morpheme-database
100	5	1	1	100:5:1:1	فَ					CONJ	PREFIX	PREFIX|f:CONJ+								in-scope	raw-qac-database:row:19	full-morpheme-database
100	5	1	2	100:5:1:2	وَسَطْ	وَسَطْ	و س ط	و س ط	وسط	V	STEM	STEM|POS:V|PERF|LEM:wasaTo|ROOT:wsT|3FP	PERF							in-scope	raw-qac-database:row:20	full-morpheme-database
100	5	1	3	100:5:1:3	نَ					PRON	SUFFIX	SUFFIX|PRON:3FP								in-scope	raw-qac-database:row:21	full-morpheme-database
100	5	2	1	100:5:2:1	بِ					P	PREFIX	PREFIX|bi+								in-scope	raw-qac-database:row:22	full-morpheme-database
100	5	2	2	100:5:2:2	هِۦ					PRON	STEM	STEM|POS:PRON|3MS								in-scope	raw-qac-database:row:23	full-morpheme-database
100	5	3	1	100:5:3:1	جَمْعًا	جَمْع	ج م ع	ج م ع	جمع	N	STEM	STEM|POS:N|LEM:jamoE|ROOT:jmE|M|INDEF|ACC								in-scope	raw-qac-database:row:24	full-morpheme-database
100	6	1	1	100:6:1:1	إِنَّ	إِنّ				ACC	STEM	STEM|POS:ACC|LEM:<in~|SP:<in~								in-scope	raw-qac-database:row:25	full-morpheme-database
100	6	2	1	100:6:2:1	ٱلْ					DET	PREFIX	PREFIX|Al+								in-scope	raw-qac-database:row:26	full-morpheme-database
100	6	2	2	100:6:2:2	إِنسَٰنَ	إِنسَٰن	ء ن س	ء ن س	ءنس	N	STEM	STEM|POS:N|LEM:<insa`n|ROOT:Ans|M|ACC								in-scope	raw-qac-database:row:27	full-morpheme-database
100	6	3	1	100:6:3:1	لِ					P	PREFIX	PREFIX|l:P+								in-scope	raw-qac-database:row:28	full-morpheme-database
100	6	3	2	100:6:3:2	رَبِّ	رَبّ	ر ب ب	ر ب ب	ربب	N	STEM	STEM|POS:N|LEM:rab~|ROOT:rbb|M|GEN								in-scope	raw-qac-database:row:29	full-morpheme-database
100	6	3	3	100:6:3:3	هِۦ					PRON	SUFFIX	SUFFIX|PRON:3MS								in-scope	raw-qac-database:row:30	full-morpheme-database
100	6	4	1	100:6:4:1	لَ					EMPH	PREFIX	PREFIX|l:EMPH+								in-scope	raw-qac-database:row:31	full-morpheme-database
100	6	4	2	100:6:4:2	كَنُودٌ	كَنُود	ك ن د	ك ن د	كند	N	STEM	STEM|POS:N|LEM:kanuwd|ROOT:knd|MS|INDEF|NOM								in-scope	raw-qac-database:row:32	full-morpheme-database
100	7	1	1	100:7:1:1	وَ					CONJ	PREFIX	PREFIX|w:CONJ+								in-scope	raw-qac-database:row:33	full-morpheme-database
100	7	1	2	100:7:1:2	إِنَّ	إِنّ				ACC	STEM	STEM|POS:ACC|LEM:<in~|SP:<in~								in-scope	raw-qac-database:row:34	full-morpheme-database
100	7	1	3	100:7:1:3	هُۥ					PRON	SUFFIX	SUFFIX|PRON:3MS								in-scope	raw-qac-database:row:35	full-morpheme-database
100	7	2	1	100:7:2:1	عَلَىٰ	عَلَىٰ				P	STEM	STEM|POS:P|LEM:EalaY`								in-scope	raw-qac-database:row:36	full-morpheme-database
100	7	3	1	100:7:3:1	ذَٰلِكَ	ذَٰلِك				DEM	STEM	STEM|POS:DEM|LEM:*a`lik|MS								in-scope	raw-qac-database:row:37	full-morpheme-database
100	7	4	1	100:7:4:1	لَ					EMPH	PREFIX	PREFIX|l:EMPH+								in-scope	raw-qac-database:row:38	full-morpheme-database
100	7	4	2	100:7:4:2	شَهِيدٌ	شَهِيد	ش ه د	ش ه د	شهد	N	STEM	STEM|POS:N|LEM:$ahiyd|ROOT:$hd|MS|INDEF|NOM								in-scope	raw-qac-database:row:39	full-morpheme-database
100	8	1	1	100:8:1:1	وَ					CONJ	PREFIX	PREFIX|w:CONJ+								in-scope	raw-qac-database:row:40	full-morpheme-database
100	8	1	2	100:8:1:2	إِنَّ	إِنّ				ACC	STEM	STEM|POS:ACC|LEM:<in~|SP:<in~								in-scope	raw-qac-database:row:41	full-morpheme-database
100	8	1	3	100:8:1:3	هُۥ					PRON	SUFFIX	SUFFIX|PRON:3MS								in-scope	raw-qac-database:row:42	full-morpheme-database
100	8	2	1	100:8:2:1	لِ					P	PREFIX	PREFIX|l:P+								in-scope	raw-qac-database:row:43	full-morpheme-database
100	8	2	2	100:8:2:2	حُبِّ	حُبّ	ح ب ب	ح ب ب	حبب	N	STEM	STEM|POS:N|LEM:Hub~|ROOT:Hbb|M|GEN								in-scope	raw-qac-database:row:44	full-morpheme-database
100	8	3	1	100:8:3:1	ٱلْ					DET	PREFIX	PREFIX|Al+								in-scope	raw-qac-database:row:45	full-morpheme-database
100	8	3	2	100:8:3:2	خَيْرِ	خَيْر	خ ي ر	خ ي ر	خير	N	STEM	STEM|POS:N|LEM:xayor|ROOT:xyr|MS|GEN								in-scope	raw-qac-database:row:46	full-morpheme-database
100	8	4	1	100:8:4:1	لَ					EMPH	PREFIX	PREFIX|l:EMPH+								in-scope	raw-qac-database:row:47	full-morpheme-database
100	8	4	2	100:8:4:2	شَدِيدٌ	شَدِيد	ش د د	ش د د	شدد	N	STEM	STEM|POS:N|LEM:$adiyd|ROOT:$dd|MS|INDEF|NOM								in-scope	raw-qac-database:row:48	full-morpheme-database
100	9	1	1	100:9:1:1	أَ					INTG	PREFIX	PREFIX|A:INTG+								in-scope	raw-qac-database:row:49	full-morpheme-database
100	9	1	2	100:9:1:2	فَ					SUP	PREFIX	PREFIX|f:SUP+								in-scope	raw-qac-database:row:50	full-morpheme-database
100	9	1	3	100:9:1:3	لَا	لَا				NEG	STEM	STEM|POS:NEG|LEM:laA								in-scope	raw-qac-database:row:51	full-morpheme-database
100	9	2	1	100:9:2:1	يَعْلَمُ	عَلِمَ	ع ل م	ع ل م	علم	V	STEM	STEM|POS:V|IMPF|LEM:Ealima|ROOT:Elm|3MS	IMPF							in-scope	raw-qac-database:row:52	full-morpheme-database
100	9	3	1	100:9:3:1	إِذَا	إِذَا				T	STEM	STEM|POS:T|LEM:<i*aA								in-scope	raw-qac-database:row:53	full-morpheme-database
100	9	4	1	100:9:4:1	بُعْثِرَ	بُعْثِرَ	ب ع ث ر	ب ع ث ر	بعثر	V	STEM	STEM|POS:V|PERF|PASS|LEM:buEovira|ROOT:bEvr|3MS	PERF		PASS					in-scope	raw-qac-database:row:54	full-morpheme-database
100	9	5	1	100:9:5:1	مَا	مَا				REL	STEM	STEM|POS:REL|LEM:maA								in-scope	raw-qac-database:row:55	full-morpheme-database
100	9	6	1	100:9:6:1	فِى	فِى				P	STEM	STEM|POS:P|LEM:fiY								in-scope	raw-qac-database:row:56	full-morpheme-database
100	9	7	1	100:9:7:1	ٱلْ					DET	PREFIX	PREFIX|Al+								in-scope	raw-qac-database:row:57	full-morpheme-database
100	9	7	2	100:9:7:2	قُبُورِ	قَبْر	ق ب ر	ق ب ر	قبر	N	STEM	STEM|POS:N|LEM:qabor|ROOT:qbr|MP|GEN								in-scope	raw-qac-database:row:58	full-morpheme-database
100	10	1	1	100:10:1:1	وَ					CONJ	PREFIX	PREFIX|w:CONJ+								in-scope	raw-qac-database:row:59	full-morpheme-database
100	10	1	2	100:10:1:2	حُصِّلَ	حُصِّلَ	ح ص ل	ح ص ل	حصل	V	STEM	STEM|POS:V|PERF|PASS|(II)|LEM:HuS~ila|ROOT:HSl|3MS	PERF		PASS	II				in-scope	raw-qac-database:row:60	full-morpheme-database
100	10	2	1	100:10:2:1	مَا	مَا				REL	STEM	STEM|POS:REL|LEM:maA								in-scope	raw-qac-database:row:61	full-morpheme-database
100	10	3	1	100:10:3:1	فِى	فِى				P	STEM	STEM|POS:P|LEM:fiY								in-scope	raw-qac-database:row:62	full-morpheme-database
100	10	4	1	100:10:4:1	ٱل					DET	PREFIX	PREFIX|Al+								in-scope	raw-qac-database:row:63	full-morpheme-database
100	10	4	2	100:10:4:2	صُّدُورِ	صَدْر	ص د ر	ص د ر	صدر	N	STEM	STEM|POS:N|LEM:Sador|ROOT:Sdr|MP|GEN								in-scope	raw-qac-database:row:64	full-morpheme-database
100	11	1	1	100:11:1:1	إِنَّ	إِنّ				ACC	STEM	STEM|POS:ACC|LEM:<in~|SP:<in~								in-scope	raw-qac-database:row:65	full-morpheme-database
100	11	2	1	100:11:2:1	رَبَّ	رَبّ	ر ب ب	ر ب ب	ربب	N	STEM	STEM|POS:N|LEM:rab~|ROOT:rbb|M|ACC								in-scope	raw-qac-database:row:66	full-morpheme-database
100	11	2	2	100:11:2:2	هُم					PRON	SUFFIX	SUFFIX|PRON:3MP								in-scope	raw-qac-database:row:67	full-morpheme-database
100	11	3	1	100:11:3:1	بِ					P	PREFIX	PREFIX|bi+								in-scope	raw-qac-database:row:68	full-morpheme-database
100	11	3	2	100:11:3:2	هِمْ					PRON	STEM	STEM|POS:PRON|3MP								in-scope	raw-qac-database:row:69	full-morpheme-database
100	11	4	1	100:11:4:1	يَوْمَئِذٍ	يَوْمَئِذ				T	STEM	STEM|POS:T|LEM:yawoma}i*								in-scope	raw-qac-database:row:70	full-morpheme-database
100	11	5	1	100:11:5:1	لَّ					EMPH	PREFIX	PREFIX|l:EMPH+								in-scope	raw-qac-database:row:71	full-morpheme-database
100	11	5	2	100:11:5:2	خَبِيرٌۢ	خَبِير	خ ب ر	خ ب ر	خبر	N	STEM	STEM|POS:N|LEM:xabiyr|ROOT:xbr|MS|INDEF|NOM								in-scope	raw-qac-database:row:72	full-morpheme-database
