parent_theme	theme	branch_df	total_branches	idf
craft_material_built	architecture_construction	589	11275	3.950309
land_water_sky	weather_climate	589	11275	3.950309
law_governance	law	594	11275	3.941870
land_water_sky	terrain_desert	595	11275	3.940191
condition_force_change	loss_absence	615	11275	3.907185
agriculture_food	plant_vegetation	620	11275	3.899101
emotion_ethics	suffering_hardship	625	11275	3.891081
space_form_boundary	containment_access	627	11275	3.887892
craft_material_built	tools_equipment	632	11275	3.879961
emotion_ethics	intention_character	634	11275	3.876807
ritual_belief	belief_revelation	635	11275	3.875233
time_measure_quantity	sequence_cycle	635	11275	3.875233
conflict_security	protection_security	643	11275	3.862733
body_health_life	disease_injury	656	11275	3.842748
movement_travel	travel	657	11275	3.841227
economy_property	wealth_property	662	11275	3.833657
language_communication	naming_classification	677	11275	3.811285
law_governance	authority_governance	691	11275	3.790846
law_governance	justice_judgment	695	11275	3.785082
condition_force_change	value_quality	710	11275	3.763759
time_measure_quantity	measurement	715	11275	3.756752
agriculture_food	agriculture	717	11275	3.753962
space_form_boundary	place_location	722	11275	3.747023
cognition_perception	cognition	723	11275	3.745640
economy_property	provision_resource	734	11275	3.730561
emotion_ethics	emotion	743	11275	3.718391
space_form_boundary	form_structure	743	11275	3.718391
language_communication	rhetoric_discourse	750	11275	3.709026
land_water_sky	water_hydrology	762	11275	3.693174
time_measure_quantity	time	762	11275	3.693174
cognition_perception	reasoning_decision	768	11275	3.685341
craft_material_built	craft	772	11275	3.680153
conflict_security	conflict	795	11275	3.650833
kinship_society	household_community	799	11275	3.645820
conflict_security	violence_warfare	804	11275	3.639590
condition_force_change	abundance_scarcity	819	11275	3.621128
body_health_life	health_medicine	825	11275	3.613837
conflict_security	danger_harm	828	11275	3.610212
craft_material_built	substance_texture	833	11275	3.604198
body_health_life	physiology	834	11275	3.603000
agriculture_food	food_nutrition	849	11275	3.585196
animal_life	habitat_ecology	849	11275	3.585196
land_water_sky	geography_landscape	885	11275	3.543715
craft_material_built	material	889	11275	3.539210
language_communication	language_speech	892	11275	3.535845
condition_force_change	change_transition	914	11275	3.511508
language_communication	communication	925	11275	3.499558
condition_force_change	force_power	928	11275	3.496323
space_form_boundary	boundary	939	11275	3.484552
condition_force_change	agency_action	988	11275	3.433738
condition_force_change	control_restraint	1006	11275	3.415701
condition_force_change	stability_endurance	1014	11275	3.407788
body_health_life	anatomy	1084	11275	3.341097
cognition_perception	perception	1136	11275	3.294283
emotion_ethics	ethics_morality	1140	11275	3.290772
body_health_life	body	1565	11275	2.974152
kinship_society	social_relations	1572	11275	2.969692
animal_life	animal	1688	11275	2.898540
movement_travel	motion	1691	11275	2.896765
