review_id	candidate_count	path_count_total	ayahs	theme_signature	representative_roots	representative_branches	theme_set_sample	keyword_sample
QR0011	2	696	1,2,4,5,6	craft_material_built/architecture_construction → ritual_belief/religion_worship → emotion_ethics/ethics_morality → cognition_perception/knowledge_learning → ritual_belief/religion_worship → movement_travel/transport → cognition_perception/knowledge_learning	س م و → ء ل ه → ح م د → ر ب ب → د ي ن → ع ب د → ه د ي	س م و:B004:السماء وما علا فأظل | ء ل ه:B001:التعبد والمعبود | ح م د:B001:الحمد خلاف الذم | ر ب ب:B003:علم رباني | د ي ن:B001:الطاعة والانقياد | ع ب د:B005:التذليل والتسوية | ه د ي:B001:دلالة بلطف إلى الطريق والحق	animal_life/husbandry; cognition_perception/cognition; cognition_perception/knowledge_learning; cognition_perception/reasoning_decision; craft_material_built/architecture_construction; emotion_ethics/ethics_morality; land_water_sky/sky_astronomy; land_water_sky/weather_climate; language_communication/communication; language_communication/language_speech; law_governance/obligation_contract; movement_travel/transport	adoration, agriculture, anatomy, animal, approval, architecture, authority, awareness, belief, blessing, canopy, ceiling, clarity, clergy, coating, cognition, commendation, communication, community, comprehension
QR0012	2	648	1,2,4,5,7	craft_material_built/architecture_construction → ritual_belief/religion_worship → emotion_ethics/ethics_morality → cognition_perception/knowledge_learning → ritual_belief/religion_worship → ritual_belief/religion_worship → kinship_society/hospitality_welfare	س م و → ء ل ه → ح م د → ر ب ب → د ي ن → ع ب د → ن ع م	س م و:B004:السماء وما علا فأظل | ء ل ه:B001:التعبد والمعبود | ح م د:B001:الحمد خلاف الذم | ر ب ب:B003:علم رباني | د ي ن:B001:الطاعة والانقياد | ع ب د:B003:العبادة والطاعة الخاضعة | ن ع م:B001:حسن الحال والنعمة	cognition_perception/cognition; cognition_perception/knowledge_learning; cognition_perception/reasoning_decision; condition_force_change/abundance_scarcity; craft_material_built/architecture_construction; emotion_ethics/ethics_morality; emotion_ethics/trust_loyalty; kinship_society/hospitality_welfare; land_water_sky/sky_astronomy; land_water_sky/weather_climate; language_communication/communication; language_communication/language_speech	abundance, adoration, agriculture, allegiance, anatomy, approval, architecture, authority, awareness, benefaction, benefit, blessing, bounty, canopy, ceiling, charity, clergy, cognition, commendation, communication
QR0013	2	640	1,2,3,4,5,6	craft_material_built/architecture_construction → ritual_belief/religion_worship → emotion_ethics/ethics_morality → space_form_boundary/pattern_marking → emotion_ethics/ethics_morality → ritual_belief/religion_worship → kinship_society/social_relations	س م و → ء ل ه → ح م د → ع ل م → ر ح م → د ي ن → ق و م	س م و:B004:السماء وما علا فأظل | ء ل ه:B001:التعبد والمعبود | ح م د:B001:الحمد خلاف الذم | ع ل م:B002:أثر يميز الشيء ويهدي إليه | ر ح م:B001:الرَّحْمَة والرقة | د ي ن:B001:الطاعة والانقياد | ق و م:B001:جماعة الناس والرجال	craft_material_built/architecture_construction; craft_material_built/ornament_beauty; emotion_ethics/ethics_morality; emotion_ethics/trust_loyalty; kinship_society/hospitality_welfare; kinship_society/kinship; kinship_society/marriage_genealogy; kinship_society/social_relations; land_water_sky/geography_landscape; land_water_sky/sky_astronomy; land_water_sky/weather_climate; language_communication/language_speech	adoration, affiliation, agriculture, allegiance, anatomy, approval, architecture, authority, banner, blessing, canopy, care, cartography, ceiling, charity, clan, commendation, community, compassion, cosmology
QR0014	2	608	1,2,4,6,7	craft_material_built/architecture_construction → ritual_belief/religion_worship → emotion_ethics/ethics_morality → cognition_perception/knowledge_learning → ritual_belief/religion_worship → condition_force_change/support_dependence → kinship_society/hospitality_welfare	س م و → ء ل ه → ح م د → ر ب ب → د ي ن → ق و م → ن ع م	س م و:B004:السماء وما علا فأظل | ء ل ه:B001:التعبد والمعبود | ح م د:B001:الحمد خلاف الذم | ر ب ب:B003:علم رباني | د ي ن:B001:الطاعة والانقياد | ق و م:B009:قوام وعماد ومعاش | ن ع م:B001:حسن الحال والنعمة	cognition_perception/cognition; cognition_perception/knowledge_learning; cognition_perception/reasoning_decision; condition_force_change/abundance_scarcity; condition_force_change/stability_endurance; condition_force_change/support_dependence; craft_material_built/architecture_construction; emotion_ethics/ethics_morality; kinship_society/hospitality_welfare; land_water_sky/sky_astronomy; land_water_sky/weather_climate; language_communication/communication	abundance, adoration, agriculture, anatomy, approval, architecture, authority, awareness, benefaction, benefit, blessing, bounty, canopy, ceiling, charity, clergy, cognition, commendation, communication, community
QR0015	2	576	1,2,3,4,5,6,7	kinship_society/hierarchy_status → emotion_ethics/ethics_morality → ritual_belief/religion_worship → condition_force_change/stability_endurance → space_form_boundary/containment_access → kinship_society/gender → law_governance/punishment_sanction	س م و → ح م د → د ي ن → ع ب د → ص ر ط → غ ي ر → غ ض ب	س م و:B001:العلو والارتفاع | ح م د:B001:الحمد خلاف الذم | د ي ن:B001:الطاعة والانقياد | ع ب د:B007:القوة والصلابة | ص ر ط:B002:الغيبة في المرور والبلع | غ ي ر:B004:الغَيْرة على الأهل | غ ض ب:B001:اشتداد السخط وثورانه للانتقام	body_health_life/physiology; condition_force_change/stability_endurance; conflict_security/conflict; craft_material_built/textile_clothing; emotion_ethics/desire_appetite; emotion_ethics/ethics_morality; emotion_ethics/honor_shame; kinship_society/gender; kinship_society/hierarchy_status; kinship_society/hospitality_welfare; kinship_society/marriage_genealogy; language_communication/concealment_disclosure	absorption, anger, animal, appetite, approval, ascent, assimilation, authority, blessing, body, care, charity, commendation, community, compassion, concern, conflict, consumption, creed, devotion
QR0016	2	552	1,2,3,4,5,6,7	ritual_belief/religion_worship → body_health_life/health_medicine → emotion_ethics/ethics_morality → ritual_belief/religion_worship → kinship_society/social_relations → kinship_society/gender → law_governance/punishment_sanction	ء ل ه → ر ب ب → ر ح م → د ي ن → ق و م → غ ي ر → غ ض ب	ء ل ه:B001:التعبد والمعبود | ر ب ب:B006:رُبّ خاثر وإصلاح به | ر ح م:B001:الرَّحْمَة والرقة | د ي ن:B001:الطاعة والانقياد | ق و م:B001:جماعة الناس والرجال | غ ي ر:B004:الغَيْرة على الأهل | غ ض ب:B001:اشتداد السخط وثورانه للانتقام	body_health_life/health_medicine; conflict_security/conflict; craft_material_built/material; craft_material_built/substance_texture; emotion_ethics/ethics_morality; emotion_ethics/honor_shame; emotion_ethics/trust_loyalty; kinship_society/gender; kinship_society/hospitality_welfare; kinship_society/kinship; kinship_society/marriage_genealogy; kinship_society/social_relations	adoration, affiliation, allegiance, anger, authority, care, charity, clan, coating, community, compassion, concern, condiment, conflict, creed, cult, deity, devotion, divinity, emotion
QR0017	2	512	1,2,3,4,5,6	craft_material_built/architecture_construction → ritual_belief/religion_worship → body_health_life/health_medicine → emotion_ethics/ethics_morality → ritual_belief/religion_worship → emotion_ethics/trust_loyalty → condition_force_change/agency_action	س م و → ء ل ه → ر ب ب → ر ح م → د ي ن → ع و ن → ه د ي	س م و:B004:السماء وما علا فأظل | ء ل ه:B001:التعبد والمعبود | ر ب ب:B006:رُبّ خاثر وإصلاح به | ر ح م:B001:الرَّحْمَة والرقة | د ي ن:B001:الطاعة والانقياد | ع و ن:B001:الإعانة والمظاهرة | ه د ي:B002:جهة الأمر وسيرته وقصده	body_health_life/health_medicine; condition_force_change/agency_action; condition_force_change/support_dependence; craft_material_built/architecture_construction; craft_material_built/material; craft_material_built/substance_texture; emotion_ethics/ethics_morality; emotion_ethics/trust_loyalty; kinship_society/culture_tradition; kinship_society/hospitality_welfare; kinship_society/social_relations; land_water_sky/sky_astronomy	adoration, agency, agriculture, aid, allegiance, alliance, anatomy, architecture, assistance, authority, bearing, behavior, canopy, care, ceiling, charity, coalition, coating, community, compassion
QR0018	2	508	1,2,4,5,7	craft_material_built/architecture_construction → ritual_belief/religion_worship → emotion_ethics/ethics_morality → cognition_perception/knowledge_learning → ritual_belief/religion_worship → movement_travel/transport → cognition_perception/proof_uncertainty	س م و → ء ل ه → ح م د → ر ب ب → د ي ن → ع ب د → ض ل ل	س م و:B004:السماء وما علا فأظل | ء ل ه:B001:التعبد والمعبود | ح م د:B001:الحمد خلاف الذم | ر ب ب:B003:علم رباني | د ي ن:B001:الطاعة والانقياد | ع ب د:B005:التذليل والتسوية | ض ل ل:B001:الضلال عن الهدى والقصد	animal_life/husbandry; cognition_perception/cognition; cognition_perception/knowledge_learning; cognition_perception/proof_uncertainty; cognition_perception/reasoning_decision; craft_material_built/architecture_construction; emotion_ethics/ethics_morality; land_water_sky/sky_astronomy; land_water_sky/weather_climate; language_communication/communication; language_communication/language_speech; law_governance/obligation_contract	adoration, agriculture, aim, anatomy, animal, approval, architecture, authority, awareness, blessing, canopy, ceiling, clergy, coating, cognition, commendation, communication, community, comprehension, cosmology
QR0019	2	480	1,2,3,4,5,6,7	kinship_society/hierarchy_status → emotion_ethics/ethics_morality → ritual_belief/religion_worship → condition_force_change/stability_endurance → space_form_boundary/containment_access → law_governance/law → cognition_perception/proof_uncertainty	س م و → ح م د → د ي ن → ع ب د → ص ر ط → غ ي ر → ض ل ل	س م و:B001:العلو والارتفاع | ح م د:B001:الحمد خلاف الذم | د ي ن:B001:الطاعة والانقياد | ع ب د:B007:القوة والصلابة | ص ر ط:B002:الغيبة في المرور والبلع | غ ي ر:B002:الغَيْر في الدية | ض ل ل:B001:الضلال عن الهدى والقصد	body_health_life/physiology; cognition_perception/proof_uncertainty; condition_force_change/stability_endurance; craft_material_built/textile_clothing; emotion_ethics/desire_appetite; emotion_ethics/ethics_morality; emotion_ethics/honor_shame; kinship_society/hierarchy_status; kinship_society/hospitality_welfare; language_communication/concealment_disclosure; language_communication/language_speech; law_governance/justice_judgment	absorption, aim, animal, appetite, approval, ascent, assimilation, authority, blessing, bloodmoney, body, care, charity, commendation, community, compassion, compensation, consumption, creed, crime
QR0020	2	456	1,2,3,4,5,6,7	ritual_belief/religion_worship → emotion_ethics/ethics_morality → kinship_society/household_community → emotion_ethics/ethics_morality → law_governance/politics_order → ritual_belief/religion_worship → kinship_society/hospitality_welfare	ء ل ه → ح م د → ر ب ب → ر ح م → م ل ك → د ي ن → ن ع م	ء ل ه:B001:التعبد والمعبود | ح م د:B001:الحمد خلاف الذم | ر ب ب:B004:ربة وجماعات كثيرة | ر ح م:B001:الرَّحْمَة والرقة | م ل ك:B003:المُلك والسلطان | د ي ن:B001:الطاعة والانقياد | ن ع م:B001:حسن الحال والنعمة	condition_force_change/abundance_scarcity; economy_property/commerce_exchange; emotion_ethics/emotion; emotion_ethics/ethics_morality; emotion_ethics/trust_loyalty; kinship_society/hierarchy_status; kinship_society/hospitality_welfare; kinship_society/household_community; kinship_society/kinship; language_communication/language_speech; law_governance/authority_governance; law_governance/obligation_contract	abundance, adoration, affection, allegiance, approval, army, assembly, authority, benefaction, benefit, bestowal, blessing, bounty, care, charity, coalition, commendation, commerce, community, compassion
QR0021	2	432	1,2,4,5,6,7	craft_material_built/architecture_construction → ritual_belief/religion_worship → emotion_ethics/ethics_morality → cognition_perception/knowledge_learning → ritual_belief/religion_worship → movement_travel/transport → emotion_ethics/ethics_morality	س م و → ء ل ه → ح م د → ر ب ب → د ي ن → ع ب د → ص ر ط	س م و:B004:السماء وما علا فأظل | ء ل ه:B001:التعبد والمعبود | ح م د:B001:الحمد خلاف الذم | ر ب ب:B003:علم رباني | د ي ن:B001:الطاعة والانقياد | ع ب د:B005:التذليل والتسوية | ص ر ط:B001:الطريق المستقيم	animal_life/husbandry; cognition_perception/cognition; cognition_perception/knowledge_learning; cognition_perception/reasoning_decision; craft_material_built/architecture_construction; emotion_ethics/ethics_morality; land_water_sky/sky_astronomy; land_water_sky/weather_climate; language_communication/communication; language_communication/language_speech; law_governance/obligation_contract; law_governance/politics_order	adoration, agriculture, alignment, anatomy, animal, approval, architecture, authority, awareness, blessing, canopy, ceiling, clergy, coating, cognition, commendation, communication, community, comprehension, cosmology
QR0022	2	420	1,2,3,4,5,7	kinship_society/hierarchy_status → emotion_ethics/ethics_morality → ritual_belief/religion_worship → animal_life/wildlife → emotion_ethics/ethics_morality → ritual_belief/religion_worship → kinship_society/hospitality_welfare	س م و → ح م د → ء ل ه → ع ل م → ر ح م → د ي ن → ن ع م	س م و:B001:العلو والارتفاع | ح م د:B001:الحمد خلاف الذم | ء ل ه:B001:التعبد والمعبود | ع ل م:B006:طائر جارح يسمى العلام | ر ح م:B001:الرَّحْمَة والرقة | د ي ن:B001:الطاعة والانقياد | ن ع م:B001:حسن الحال والنعمة	animal_life/wildlife; condition_force_change/abundance_scarcity; emotion_ethics/ethics_morality; emotion_ethics/honor_shame; emotion_ethics/trust_loyalty; kinship_society/hierarchy_status; kinship_society/hospitality_welfare; language_communication/language_speech; language_communication/naming_classification; law_governance/obligation_contract; movement_travel/speed; ritual_belief/belief_revelation	abundance, adoration, allegiance, approval, ascent, authority, benefaction, benefit, bird, blessing, bounty, care, charity, commendation, community, compassion, creed, cult, deity, devotion
QR0023	2	392	1,2,4,5,6,7	ritual_belief/religion_worship → emotion_ethics/ethics_morality → cognition_perception/knowledge_learning → ritual_belief/religion_worship → movement_travel/transport → emotion_ethics/ethics_morality → cognition_perception/proof_uncertainty	ء ل ه → ح م د → ر ب ب → د ي ن → ع ب د → ص ر ط → ض ل ل	ء ل ه:B001:التعبد والمعبود | ح م د:B001:الحمد خلاف الذم | ر ب ب:B003:علم رباني | د ي ن:B001:الطاعة والانقياد | ع ب د:B005:التذليل والتسوية | ص ر ط:B001:الطريق المستقيم | ض ل ل:B001:الضلال عن الهدى والقصد	animal_life/husbandry; cognition_perception/cognition; cognition_perception/knowledge_learning; cognition_perception/proof_uncertainty; cognition_perception/reasoning_decision; craft_material_built/architecture_construction; emotion_ethics/ethics_morality; language_communication/communication; language_communication/language_speech; law_governance/obligation_contract; law_governance/politics_order; movement_travel/navigation_route	adoration, aim, alignment, animal, approval, authority, awareness, blessing, clergy, coating, cognition, commendation, communication, community, comprehension, course, craft, creed, cult, deity
QR0024	2	392	1,2,4,6,7	craft_material_built/architecture_construction → ritual_belief/religion_worship → emotion_ethics/ethics_morality → cognition_perception/knowledge_learning → ritual_belief/religion_worship → cognition_perception/knowledge_learning → cognition_perception/proof_uncertainty	س م و → ء ل ه → ح م د → ر ب ب → د ي ن → ه د ي → ض ل ل	س م و:B004:السماء وما علا فأظل | ء ل ه:B001:التعبد والمعبود | ح م د:B001:الحمد خلاف الذم | ر ب ب:B003:علم رباني | د ي ن:B001:الطاعة والانقياد | ه د ي:B001:دلالة بلطف إلى الطريق والحق | ض ل ل:B001:الضلال عن الهدى والقصد	cognition_perception/cognition; cognition_perception/knowledge_learning; cognition_perception/proof_uncertainty; cognition_perception/reasoning_decision; craft_material_built/architecture_construction; emotion_ethics/ethics_morality; land_water_sky/sky_astronomy; land_water_sky/weather_climate; language_communication/communication; language_communication/language_speech; law_governance/obligation_contract; movement_travel/navigation_route	adoration, agriculture, aim, anatomy, approval, architecture, authority, awareness, belief, blessing, canopy, ceiling, clarity, clergy, cognition, commendation, communication, community, comprehension, cosmology
QR0025	2	360	1,2,3,4,5,6	ritual_belief/religion_worship → emotion_ethics/ethics_morality → kinship_society/household_community → emotion_ethics/ethics_morality → ritual_belief/religion_worship → emotion_ethics/trust_loyalty → condition_force_change/agency_action	ء ل ه → ح م د → ر ب ب → ر ح م → د ي ن → ع و ن → ه د ي	ء ل ه:B001:التعبد والمعبود | ح م د:B001:الحمد خلاف الذم | ر ب ب:B004:ربة وجماعات كثيرة | ر ح م:B001:الرَّحْمَة والرقة | د ي ن:B001:الطاعة والانقياد | ع و ن:B001:الإعانة والمظاهرة | ه د ي:B002:جهة الأمر وسيرته وقصده	condition_force_change/agency_action; condition_force_change/support_dependence; emotion_ethics/ethics_morality; emotion_ethics/trust_loyalty; kinship_society/culture_tradition; kinship_society/hospitality_welfare; kinship_society/household_community; kinship_society/kinship; kinship_society/social_relations; language_communication/language_speech; law_governance/obligation_contract; ritual_belief/belief_revelation	adoration, agency, aid, allegiance, alliance, approval, army, assembly, assistance, authority, bearing, behavior, blessing, care, charity, coalition, commendation, community, compassion, confederacy
