review_id	candidate_count	path_count_total	ayahs	rare_facet_signature	representative_roots	representative_branches	rare_theme_set	keyword_sample
RF0011	3	7584	1,2,3,4,5,6,7	kw:ascent | kw:authority | kw:blessing | kw:charity | kw:coating | kw:compassion | kw:craft | kw:creed	س م و → ح م د → ر ب ب → ر ح م → د ي ن → ع ب د → ص ر ط	س م و:B001:العلو والارتفاع | ح م د:B001:الحمد خلاف الذم | ر ب ب:B004:ربة وجماعات كثيرة | ر ح م:B001:الرَّحْمَة والرقة | د ي ن:B001:الطاعة والانقياد | ع ب د:B005:التذليل والتسوية | ص ر ط:B001:الطريق المستقيم	animal_life/husbandry; cognition_perception/knowledge_learning; cognition_perception/proof_uncertainty; emotion_ethics/honor_shame; kinship_society/hospitality_welfare; kinship_society/kinship; law_governance/obligation_contract; law_governance/politics_order; movement_travel/navigation_route; movement_travel/transport; ritual_belief/afterlife_eschatology; ritual_belief/religion_worship; ritual_belief/ritual; space_form_boundary/space; time_measure_quantity/quantity_number	ascent, authority, blessing, charity, coating, compassion, craft, creed, demography, deviation, devotion, direction, divinity, elevation, eminence, emotion, error, ethics, evaluation, gathering, gratitude, guidance, height, hierarchy
RF0012	3	1536	1,2,3,4,5,6,7	kw:ascent | kw:authority | kw:banner | kw:blessing | kw:charity | kw:coating | kw:compassion | kw:craft	س م و → ح م د → ع ل م → ر ح م → د ي ن → ع ب د → ص ر ط	س م و:B001:العلو والارتفاع | ح م د:B001:الحمد خلاف الذم | ع ل م:B002:أثر يميز الشيء ويهدي إليه | ر ح م:B001:الرَّحْمَة والرقة | د ي ن:B001:الطاعة والانقياد | ع ب د:B005:التذليل والتسوية | ص ر ط:B001:الطريق المستقيم	animal_life/husbandry; cognition_perception/knowledge_learning; cognition_perception/proof_uncertainty; craft_material_built/ornament_beauty; emotion_ethics/honor_shame; kinship_society/hospitality_welfare; law_governance/obligation_contract; law_governance/politics_order; movement_travel/navigation_route; movement_travel/transport; ritual_belief/afterlife_eschatology; ritual_belief/religion_worship; ritual_belief/ritual; space_form_boundary/pattern_marking; space_form_boundary/space	ascent, authority, banner, blessing, charity, coating, compassion, craft, creed, deviation, devotion, direction, divinity, elevation, eminence, emotion, error, ethics, evaluation, gratitude, guidance, height, heraldry, hierarchy
RF0013	3	1280	1,2,3,4,5,6,7	kw:address | kw:authority | kw:banner | kw:charity | kw:coating | kw:compassion | kw:craft | kw:creed	ء ل ه → ر ب ب → ع ل م → ر ح م → د ي ن → ع ب د → ص ر ط	ء ل ه:B002:اسم الله في القسم والنداء | ر ب ب:B003:علم رباني | ع ل م:B002:أثر يميز الشيء ويهدي إليه | ر ح م:B001:الرَّحْمَة والرقة | د ي ن:B001:الطاعة والانقياد | ع ب د:B005:التذليل والتسوية | ص ر ط:B001:الطريق المستقيم	animal_life/husbandry; cognition_perception/knowledge_learning; cognition_perception/proof_uncertainty; craft_material_built/ornament_beauty; kinship_society/hospitality_welfare; law_governance/obligation_contract; law_governance/politics_order; movement_travel/navigation_route; movement_travel/transport; ritual_belief/afterlife_eschatology; ritual_belief/prayer_supplication; ritual_belief/religion_worship; ritual_belief/ritual; space_form_boundary/pattern_marking; space_form_boundary/space	address, authority, banner, charity, coating, compassion, craft, creed, deviation, devotion, direction, divinity, emotion, error, ethics, guidance, heraldry, infrastructure, invocation, journey, kindness, knowledge, landmark, language
RF0014	3	1200	1,2,3,4,6,7	kw:address | kw:appellation | kw:authority | kw:banner | kw:charity | kw:classification | kw:compassion | kw:creed	س م و → ء ل ه → ر ب ب → ع ل م → ر ح م → د ي ن → ص ر ط	س م و:B005:الاسم تنويه ودلالة | ء ل ه:B002:اسم الله في القسم والنداء | ر ب ب:B003:علم رباني | ع ل م:B002:أثر يميز الشيء ويهدي إليه | ر ح م:B001:الرَّحْمَة والرقة | د ي ن:B001:الطاعة والانقياد | ص ر ط:B001:الطريق المستقيم	cognition_perception/knowledge_learning; cognition_perception/proof_uncertainty; craft_material_built/ornament_beauty; kinship_society/hospitality_welfare; kinship_society/identity_personhood; kinship_society/kinship; law_governance/obligation_contract; law_governance/politics_order; movement_travel/navigation_route; ritual_belief/afterlife_eschatology; ritual_belief/prayer_supplication; ritual_belief/religion_worship; ritual_belief/ritual; space_form_boundary/pattern_marking; space_form_boundary/space	address, appellation, authority, banner, charity, classification, compassion, creed, designation, deviation, devotion, direction, divinity, emotion, error, ethics, guidance, heraldry, identity, invocation, journey, kindness, knowledge, landmark
RF0015	3	448	1,2,4,5,6,7	kw:authority | kw:blessing | kw:calendar | kw:coating | kw:craft | kw:creed | kw:day | kw:daytime	ر ح م → ح م د → ي و م → د ي ن → ع ب د → ص ر ط → ض ل ل	ر ح م:B002:الرَّحِم والقرابة | ح م د:B001:الحمد خلاف الذم | ي و م:B001:وقت النهار المحدود | د ي ن:B001:الطاعة والانقياد | ع ب د:B005:التذليل والتسوية | ص ر ط:B001:الطريق المستقيم | ض ل ل:B001:الضلال عن الهدى والقصد	animal_life/husbandry; cognition_perception/knowledge_learning; cognition_perception/proof_uncertainty; kinship_society/family; kinship_society/identity_personhood; land_water_sky/light_darkness; land_water_sky/sky_astronomy; law_governance/obligation_contract; law_governance/politics_order; movement_travel/navigation_route; movement_travel/transport; ritual_belief/afterlife_eschatology; ritual_belief/religion_worship; ritual_belief/ritual; space_form_boundary/space	authority, blessing, calendar, coating, craft, creed, day, daytime, deviation, devotion, direction, error, ethics, evaluation, family, gratitude, guidance, infrastructure, journey, kinship, law, leveling, light, lineage
RF0016	1	1190	1,2,3,4,6	kw:affiliation | kw:agriculture | kw:approval | kw:astronomy | kw:authority | kw:banner | kw:care | kw:charity	س م و → ح م د → ر ب ب → ع ل م → ر ح م → د ي ن → ق و م	س م و:B002:الشخص المرتفع الظاهر | ح م د:B002:وجود الشيء محمودا | ر ب ب:B002:إصلاح وتربية وإتمام | ع ل م:B002:أثر يميز الشيء ويهدي إليه | ر ح م:B001:الرَّحْمَة والرقة | د ي ن:B001:الطاعة والانقياد | ق و م:B001:جماعة الناس والرجال	body_health_life/life_stage_aging; cognition_perception/knowledge_learning; cognition_perception/proof_uncertainty; craft_material_built/ornament_beauty; emotion_ethics/desire_appetite; kinship_society/family; kinship_society/hospitality_welfare; kinship_society/kinship; kinship_society/marriage_genealogy; land_water_sky/sky_astronomy; language_communication/concealment_disclosure; law_governance/obligation_contract; ritual_belief/religion_worship; ritual_belief/ritual; space_form_boundary/pattern_marking	affiliation, agriculture, approval, astronomy, authority, banner, care, charity, clan, community, compassion, completion, creed, development, devotion, divinity, education, emotion, ethics, evaluation, faction, figure, group, heraldry
RF0017	1	924	1,2,4,5,6,7	kw:agriculture | kw:approval | kw:astronomy | kw:authority | kw:care | kw:coating | kw:completion | kw:craft	س م و → ح م د → ر ب ب → د ي ن → ع ب د → ص ر ط → ض ل ل	س م و:B002:الشخص المرتفع الظاهر | ح م د:B002:وجود الشيء محمودا | ر ب ب:B002:إصلاح وتربية وإتمام | د ي ن:B001:الطاعة والانقياد | ع ب د:B005:التذليل والتسوية | ص ر ط:B001:الطريق المستقيم | ض ل ل:B001:الضلال عن الهدى والقصد	animal_life/husbandry; body_health_life/life_stage_aging; cognition_perception/knowledge_learning; cognition_perception/proof_uncertainty; emotion_ethics/desire_appetite; kinship_society/family; land_water_sky/sky_astronomy; language_communication/concealment_disclosure; law_governance/obligation_contract; law_governance/politics_order; movement_travel/navigation_route; movement_travel/transport; ritual_belief/religion_worship; ritual_belief/ritual; space_form_boundary/space	agriculture, approval, astronomy, authority, care, coating, completion, craft, creed, development, deviation, devotion, direction, education, error, ethics, evaluation, figure, guidance, infrastructure, journey, landmark, law, leveling
RF0018	1	224	2,3,4,5,6,7	kw:agriculture | kw:authority | kw:banner | kw:care | kw:charity | kw:coating | kw:compassion | kw:completion	ر ب ب → ع ل م → ر ح م → د ي ن → ع ب د → ص ر ط → ض ل ل	ر ب ب:B002:إصلاح وتربية وإتمام | ع ل م:B002:أثر يميز الشيء ويهدي إليه | ر ح م:B001:الرَّحْمَة والرقة | د ي ن:B001:الطاعة والانقياد | ع ب د:B005:التذليل والتسوية | ص ر ط:B001:الطريق المستقيم | ض ل ل:B001:الضلال عن الهدى والقصد	animal_life/husbandry; body_health_life/life_stage_aging; cognition_perception/knowledge_learning; cognition_perception/proof_uncertainty; craft_material_built/ornament_beauty; kinship_society/family; kinship_society/hospitality_welfare; law_governance/obligation_contract; law_governance/politics_order; movement_travel/navigation_route; movement_travel/transport; ritual_belief/religion_worship; ritual_belief/ritual; space_form_boundary/pattern_marking; space_form_boundary/space	agriculture, authority, banner, care, charity, coating, compassion, completion, craft, creed, development, deviation, devotion, direction, divinity, education, emotion, error, ethics, guidance, heraldry, infrastructure, journey, kindness
RF0019	1	160	2,3,4,5,6,7	kw:agriculture | kw:approval | kw:authority | kw:banner | kw:care | kw:charity | kw:coating | kw:compassion	ح م د → ر ب ب → ع ل م → ر ح م → د ي ن → ع ب د → ص ر ط	ح م د:B002:وجود الشيء محمودا | ر ب ب:B002:إصلاح وتربية وإتمام | ع ل م:B002:أثر يميز الشيء ويهدي إليه | ر ح م:B001:الرَّحْمَة والرقة | د ي ن:B001:الطاعة والانقياد | ع ب د:B005:التذليل والتسوية | ص ر ط:B001:الطريق المستقيم	animal_life/husbandry; body_health_life/life_stage_aging; cognition_perception/knowledge_learning; cognition_perception/proof_uncertainty; craft_material_built/ornament_beauty; emotion_ethics/desire_appetite; kinship_society/family; kinship_society/hospitality_welfare; law_governance/obligation_contract; law_governance/politics_order; movement_travel/transport; ritual_belief/religion_worship; ritual_belief/ritual; space_form_boundary/pattern_marking; space_form_boundary/space	agriculture, approval, authority, banner, care, charity, coating, compassion, completion, craft, creed, development, devotion, direction, divinity, education, emotion, ethics, evaluation, guidance, heraldry, infrastructure, journey, kindness
RF0020	7	252	1,2,3,4,5,6,7	kw:adoration | kw:age | kw:agriculture | kw:antiquity | kw:authority | kw:blade | kw:blessing | kw:body	ر ح م → ح م د → ء ل ه → د ي ن → ع ب د → ع و ن → ص ر ط	ر ح م:B002:الرَّحِم والقرابة | ح م د:B001:الحمد خلاف الذم | ء ل ه:B001:التعبد والمعبود | د ي ن:B001:الطاعة والانقياد | ع ب د:B007:القوة والصلابة | ع و ن:B004:النخلة العَوانة القديمة | ص ر ط:B003:السيف القاطع الماضي في الضربة	agriculture_food/harvest_cultivation; body_health_life/life_stage_aging; cognition_perception/knowledge_learning; cognition_perception/proof_uncertainty; craft_material_built/textile_clothing; kinship_society/family; kinship_society/identity_personhood; land_water_sky/earth_geology; land_water_sky/light_darkness; land_water_sky/sky_astronomy; law_governance/obligation_contract; movement_travel/navigation_route; ritual_belief/religion_worship; ritual_belief/ritual	adoration, age, agriculture, antiquity, authority, blade, blessing, body, botany, boulder, calendar, cohesion, creed, cultivation, cutting, day, daytime, deity, deviation, devotion, ecology, error, ethics, evaluation
RF0021	6	456	1,2,3,4,5,6,7	kw:adoration | kw:authority | kw:bird | kw:charity | kw:coating | kw:compassion | kw:craft | kw:creed	ء ل ه → ع ل م → ر ح م → د ي ن → ع ب د → ص ر ط → ض ل ل	ء ل ه:B001:التعبد والمعبود | ع ل م:B006:طائر جارح يسمى العلام | ر ح م:B001:الرَّحْمَة والرقة | د ي ن:B001:الطاعة والانقياد | ع ب د:B005:التذليل والتسوية | ص ر ط:B001:الطريق المستقيم | ض ل ل:B001:الضلال عن الهدى والقصد	animal_life/husbandry; animal_life/wildlife; cognition_perception/knowledge_learning; cognition_perception/proof_uncertainty; kinship_society/hospitality_welfare; law_governance/obligation_contract; law_governance/politics_order; movement_travel/navigation_route; movement_travel/speed; movement_travel/transport; ritual_belief/afterlife_eschatology; ritual_belief/religion_worship; ritual_belief/ritual; space_form_boundary/space	adoration, authority, bird, charity, coating, compassion, craft, creed, deity, deviation, devotion, direction, divinity, dominion, emotion, error, ethics, falcon, governance, guidance, hawk, hierarchy, hunting, infrastructure
RF0022	4	459	1,2,4,5,6,7	kw:anatomy | kw:authority | kw:blessing | kw:calamity | kw:coating | kw:craft | kw:creed | kw:crisis	ر ح م → ح م د → م ل ك → ي و م → د ي ن → ع ب د → ص ر ط	ر ح م:B002:الرَّحِم والقرابة | ح م د:B001:الحمد خلاف الذم | م ل ك:B005:مِلاك الأمر وعِماده | ي و م:B003:كائنة اليوم وشدته | د ي ن:B001:الطاعة والانقياد | ع ب د:B005:التذليل والتسوية | ص ر ط:B001:الطريق المستقيم	animal_life/husbandry; cognition_perception/knowledge_learning; cognition_perception/proof_uncertainty; condition_force_change/support_dependence; kinship_society/family; kinship_society/identity_personhood; law_governance/obligation_contract; law_governance/politics_order; movement_travel/navigation_route; movement_travel/transport; ritual_belief/afterlife_eschatology; ritual_belief/religion_worship; ritual_belief/ritual; space_form_boundary/space	anatomy, authority, blessing, calamity, coating, craft, creed, crisis, deviation, devotion, direction, error, ethics, evaluation, event, family, foundation, gratitude, guidance, infrastructure, journey, judgment, kinship, law
RF0023	4	198	1,2,3,4,5,6,7	kw:adoration | kw:agriculture | kw:anatomy | kw:authority | kw:balance | kw:blessing | kw:canopy | kw:ceiling	س م و → ء ل ه → ح م د → د ي ن → ع ب د → ص ر ط → ق و م	س م و:B004:السماء وما علا فأظل | ء ل ه:B001:التعبد والمعبود | ح م د:B001:الحمد خلاف الذم | د ي ن:B001:الطاعة والانقياد | ع ب د:B005:التذليل والتسوية | ص ر ط:B001:الطريق المستقيم | ق و م:B008:استقامة واعتدال واستواء	animal_life/husbandry; cognition_perception/knowledge_learning; cognition_perception/proof_uncertainty; kinship_society/family; kinship_society/identity_personhood; land_water_sky/sky_astronomy; law_governance/obligation_contract; law_governance/politics_order; movement_travel/navigation_route; movement_travel/transport; ritual_belief/religion_worship; ritual_belief/ritual; space_form_boundary/space; space_form_boundary/surface_shape	adoration, agriculture, anatomy, authority, balance, blessing, canopy, ceiling, coating, cosmology, cover, craft, creed, deity, deviation, devotion, direction, error, ethics, evaluation, evenness, family, gratitude, guidance
RF0024	3	2736	1,2,3,4,5,6,7	kw:adoration | kw:authority | kw:blessing | kw:charity | kw:coating | kw:compassion | kw:craft | kw:creed	ء ل ه → ح م د → ر ب ب → ر ح م → د ي ن → ع ب د → ص ر ط	ء ل ه:B001:التعبد والمعبود | ح م د:B001:الحمد خلاف الذم | ر ب ب:B004:ربة وجماعات كثيرة | ر ح م:B001:الرَّحْمَة والرقة | د ي ن:B001:الطاعة والانقياد | ع ب د:B005:التذليل والتسوية | ص ر ط:B001:الطريق المستقيم	animal_life/husbandry; cognition_perception/knowledge_learning; cognition_perception/proof_uncertainty; kinship_society/hospitality_welfare; kinship_society/kinship; law_governance/obligation_contract; law_governance/politics_order; movement_travel/navigation_route; movement_travel/transport; ritual_belief/afterlife_eschatology; ritual_belief/religion_worship; ritual_belief/ritual; space_form_boundary/space; time_measure_quantity/quantity_number	adoration, authority, blessing, charity, coating, compassion, craft, creed, deity, demography, deviation, devotion, direction, divinity, emotion, error, ethics, evaluation, gathering, gratitude, guidance, infrastructure, journey, kindness
RF0025	3	964	1,2,4,5,6,7	kw:address | kw:appellation | kw:authority | kw:classification | kw:coating | kw:craft | kw:creed | kw:designation	س م و → ء ل ه → ر ب ب → د ي ن → ع ب د → ص ر ط → ض ل ل	س م و:B005:الاسم تنويه ودلالة | ء ل ه:B002:اسم الله في القسم والنداء | ر ب ب:B001:ربوبية وملك وسيادة | د ي ن:B001:الطاعة والانقياد | ع ب د:B005:التذليل والتسوية | ص ر ط:B001:الطريق المستقيم | ض ل ل:B001:الضلال عن الهدى والقصد	animal_life/husbandry; cognition_perception/knowledge_learning; cognition_perception/proof_uncertainty; kinship_society/identity_personhood; kinship_society/kinship; law_governance/obligation_contract; law_governance/politics_order; movement_travel/navigation_route; movement_travel/transport; ritual_belief/afterlife_eschatology; ritual_belief/prayer_supplication; ritual_belief/religion_worship; ritual_belief/ritual; space_form_boundary/space	address, appellation, authority, classification, coating, craft, creed, designation, deviation, devotion, direction, dominion, error, ethics, governance, guidance, hierarchy, identity, infrastructure, invocation, journey, language, law, leveling
