review_id	candidate_count	path_count_total	ayahs	scored_facet_signature	representative_roots	representative_branches	top_scored_facets
SF0011	11	531	1,2,3,4,5,6,7	theme:ritual_belief/religion_worship | kw:religion | kw:devotion | kw:worship | theme:ritual_belief/ritual	ء ل ه → ح م د → د ي ن → ع ب د → ص ر ط → غ ي ر → ض ل ل	ء ل ه:B001:التعبد والمعبود | ح م د:B001:الحمد خلاف الذم | د ي ن:B001:الطاعة والانقياد | ع ب د:B007:القوة والصلابة | ص ر ط:B002:الغيبة في المرور والبلع | غ ي ر:B002:الغَيْر في الدية | ض ل ل:B001:الضلال عن الهدى والقصد	theme:ritual_belief/religion_worship(4); kw:religion(3); kw:devotion(2); kw:worship(2); theme:ritual_belief/ritual(2); kw:gratitude(1); kw:adoration(1); kw:creed(1); kw:deity(1); kw:misguidance(1); kw:family(1); kw:stoutness(1); kw:praise(1); kw:indemnity(1); kw:relative(1); kw:restitution(1)
SF0012	9	672	1,2,3,4,5,6,7	theme:ritual_belief/belief_revelation	س م و → ء ل ه → ر ب ب → ر ح م → د ي ن → ع و ن → ص ر ط	س م و:B004:السماء وما علا فأظل | ء ل ه:B001:التعبد والمعبود | ر ب ب:B006:رُبّ خاثر وإصلاح به | ر ح م:B001:الرَّحْمَة والرقة | د ي ن:B005:العادة والشأن | ع و ن:B004:النخلة العَوانة القديمة | ص ر ط:B003:السيف القاطع الماضي في الضربة	theme:ritual_belief/belief_revelation(2); kw:adoration(1); kw:pity(1); kw:deity(1); kw:divinity(1); kw:routine(1); kw:syrup(1); kw:paste(1); kw:condiment(1); kw:compassion(1); kw:ceiling(1); kw:custom(1); kw:overhead(1); kw:honor(1); kw:antiquity(1); kw:protectiveness(1)
SF0013	9	564	1,2,3,4,5,6,7	theme:ritual_belief/religion_worship | kw:religion | kw:devotion | kw:worship | kw:navigation | theme:ritual_belief/ritual	ر ح م → ح م د → ء ل ه → د ي ن → ع ب د → ص ر ط → ض ل ل	ر ح م:B002:الرَّحِم والقرابة | ح م د:B001:الحمد خلاف الذم | ء ل ه:B001:التعبد والمعبود | د ي ن:B001:الطاعة والانقياد | ع ب د:B005:التذليل والتسوية | ص ر ط:B001:الطريق المستقيم | ض ل ل:B001:الضلال عن الهدى والقصد	theme:ritual_belief/religion_worship(4); kw:religion(3); kw:devotion(2); kw:worship(2); kw:navigation(2); theme:ritual_belief/ritual(2); kw:gratitude(1); kw:adoration(1); kw:creed(1); kw:deity(1); kw:misguidance(1); kw:paving(1); kw:taming(1); kw:smoothing(1); kw:family(1); kw:leveling(1)
SF0014	8	7964	1,2,3,4,5,6	theme:ritual_belief/religion_worship | theme:ritual_belief/belief_revelation | kw:devotion | kw:worship | kw:religion | theme:ritual_belief/ritual	س م و → ح م د → ء ل ه → ر ب ب → ر ح م → د ي ن → ه د ي	س م و:B001:العلو والارتفاع | ح م د:B001:الحمد خلاف الذم | ء ل ه:B001:التعبد والمعبود | ر ب ب:B006:رُبّ خاثر وإصلاح به | ر ح م:B001:الرَّحْمَة والرقة | د ي ن:B001:الطاعة والانقياد | ه د ي:B001:دلالة بلطف إلى الطريق والحق	theme:ritual_belief/religion_worship(3); theme:ritual_belief/belief_revelation(3); kw:devotion(2); kw:worship(2); kw:religion(2); theme:ritual_belief/ritual(2); kw:gratitude(1); kw:adoration(1); kw:creed(1); kw:pity(1); kw:deity(1); kw:divinity(1); kw:paving(1); kw:taming(1); kw:smoothing(1); kw:thousand(1)
SF0015	7	2956	1,2,3,4,5,6,7	theme:ritual_belief/religion_worship | kw:religion | theme:ritual_belief/belief_revelation	س م و → ح م د → ر ب ب → ر ح م → د ي ن → ه د ي → ض ل ل	س م و:B001:العلو والارتفاع | ح م د:B001:الحمد خلاف الذم | ر ب ب:B004:ربة وجماعات كثيرة | ر ح م:B001:الرَّحْمَة والرقة | د ي ن:B001:الطاعة والانقياد | ه د ي:B001:دلالة بلطف إلى الطريق والحق | ض ل ل:B001:الضلال عن الهدى والقصد	theme:ritual_belief/religion_worship(4); kw:religion(3); theme:ritual_belief/belief_revelation(3); kw:custom(2); kw:gratitude(1); kw:misguidance(1); kw:adoration(1); kw:pity(1); kw:deity(1); kw:divinity(1); kw:praise(1); kw:compassion(1); kw:loftiness(1); kw:eminence(1); kw:tenderness(1); kw:thousand(1)
SF0016	7	1627	1,2,3,4,5,6,7	theme:ritual_belief/religion_worship | kw:religion | kw:navigation	ر ح م → ح م د → ي و م → د ي ن → ع ب د → ص ر ط → ض ل ل	ر ح م:B002:الرَّحِم والقرابة | ح م د:B001:الحمد خلاف الذم | ي و م:B001:وقت النهار المحدود | د ي ن:B001:الطاعة والانقياد | ع ب د:B005:التذليل والتسوية | ص ر ط:B001:الطريق المستقيم | ض ل ل:B001:الضلال عن الهدى والقصد	theme:ritual_belief/religion_worship(4); kw:religion(3); kw:navigation(2); kw:gratitude(1); kw:paving(1); kw:misguidance(1); kw:creed(1); kw:taming(1); kw:smoothing(1); kw:leveling(1); kw:family(1); kw:coating(1); kw:relative(1); kw:straightness(1); kw:mainstay(1); kw:pity(1)
SF0017	7	689	1,2,3,4,5,6,7	theme:ritual_belief/religion_worship | kw:religion | kw:devotion | kw:worship | theme:ritual_belief/belief_revelation | theme:ritual_belief/ritual	ر ح م → ح م د → ء ل ه → د ي ن → ع ب د → ه د ي → ض ل ل	ر ح م:B002:الرَّحِم والقرابة | ح م د:B001:الحمد خلاف الذم | ء ل ه:B001:التعبد والمعبود | د ي ن:B001:الطاعة والانقياد | ع ب د:B005:التذليل والتسوية | ه د ي:B001:دلالة بلطف إلى الطريق والحق | ض ل ل:B001:الضلال عن الهدى والقصد	theme:ritual_belief/religion_worship(4); kw:religion(3); kw:devotion(2); kw:worship(2); theme:ritual_belief/belief_revelation(2); theme:ritual_belief/ritual(2); kw:gratitude(1); kw:adoration(1); kw:creed(1); kw:deity(1); kw:misguidance(1); kw:paving(1); kw:taming(1); kw:smoothing(1); kw:family(1); kw:leveling(1)
SF0018	7	651	1,2,3,4,5,7	theme:ritual_belief/religion_worship | kw:devotion | kw:worship | kw:religion | kw:submission | kw:obedience | kw:blessing | kw:authority	س م و → ء ل ه → ح م د → ي و م → د ي ن → ع ب د → ن ع م	س م و:B004:السماء وما علا فأظل | ء ل ه:B001:التعبد والمعبود | ح م د:B001:الحمد خلاف الذم | ي و م:B001:وقت النهار المحدود | د ي ن:B001:الطاعة والانقياد | ع ب د:B003:العبادة والطاعة الخاضعة | ن ع م:B001:حسن الحال والنعمة	theme:ritual_belief/religion_worship(4); kw:devotion(3); kw:worship(3); kw:religion(3); kw:submission(2); kw:obedience(2); kw:blessing(2); kw:authority(2); theme:ritual_belief/belief_revelation(2); theme:ritual_belief/ritual(2); theme:kinship_society/hospitality_welfare(2); theme:land_water_sky/sky_astronomy(2); kw:gratitude(1); kw:adoration(1); kw:monotheism(1); kw:creed(1)
SF0019	7	226	1,2,3,4,5,6,7	theme:ritual_belief/religion_worship | kw:guidance | kw:devotion | kw:worship | kw:direction | kw:religion | theme:ritual_belief/belief_revelation | theme:ritual_belief/ritual	ر ح م → ح م د → ء ل ه → د ي ن → ع ب د → ه د ي → ص ر ط	ر ح م:B002:الرَّحِم والقرابة | ح م د:B001:الحمد خلاف الذم | ء ل ه:B001:التعبد والمعبود | د ي ن:B001:الطاعة والانقياد | ع ب د:B005:التذليل والتسوية | ه د ي:B001:دلالة بلطف إلى الطريق والحق | ص ر ط:B001:الطريق المستقيم	theme:ritual_belief/religion_worship(3); kw:guidance(2); kw:devotion(2); kw:worship(2); kw:direction(2); kw:religion(2); theme:ritual_belief/belief_revelation(2); theme:ritual_belief/ritual(2); theme:land_water_sky/sky_astronomy(2); theme:craft_material_built/architecture_construction(2); theme:space_form_boundary/space(2); kw:gratitude(1); kw:adoration(1); kw:creed(1); kw:paving(1); kw:taming(1)
SF0020	7	224	1,2,3,4,5,6,7	theme:ritual_belief/religion_worship | kw:religion | kw:guidance | kw:devotion | kw:worship | kw:direction | kw:navigation | theme:ritual_belief/belief_revelation	ر ح م → ح م د → ء ل ه → د ي ن → ه د ي → ص ر ط → ض ل ل	ر ح م:B002:الرَّحِم والقرابة | ح م د:B001:الحمد خلاف الذم | ء ل ه:B001:التعبد والمعبود | د ي ن:B001:الطاعة والانقياد | ه د ي:B001:دلالة بلطف إلى الطريق والحق | ص ر ط:B001:الطريق المستقيم | ض ل ل:B001:الضلال عن الهدى والقصد	theme:ritual_belief/religion_worship(4); kw:religion(3); kw:guidance(2); kw:devotion(2); kw:worship(2); kw:direction(2); kw:navigation(2); theme:ritual_belief/belief_revelation(2); theme:ritual_belief/ritual(2); theme:space_form_boundary/space(2); kw:gratitude(1); kw:adoration(1); kw:creed(1); kw:deity(1); kw:misguidance(1); kw:family(1)
SF0021	6	2440	1,2,3,4,5,6,7	kw:theology | kw:devotion | kw:worship | theme:ritual_belief/religion_worship | kw:religion | kw:authority | theme:ritual_belief/ritual | theme:ritual_belief/belief_revelation	س م و → ء ل ه → ر ب ب → ر ح م → م ل ك → د ي ن → ق و م	س م و:B004:السماء وما علا فأظل | ء ل ه:B001:التعبد والمعبود | ر ب ب:B006:رُبّ خاثر وإصلاح به | ر ح م:B001:الرَّحْمَة والرقة | م ل ك:B003:المُلك والسلطان | د ي ن:B001:الطاعة والانقياد | ق و م:B001:جماعة الناس والرجال	kw:theology(2); kw:devotion(2); kw:worship(2); theme:ritual_belief/religion_worship(2); kw:religion(2); kw:authority(2); theme:ritual_belief/ritual(2); theme:ritual_belief/belief_revelation(2); kw:adoration(1); kw:creed(1); kw:pity(1); kw:ceiling(1); kw:overhead(1); kw:syrup(1); kw:paste(1); kw:condiment(1)
SF0022	6	1432	1,2,3,4,5,6,7	theme:ritual_belief/religion_worship | kw:religion | kw:navigation | theme:space_form_boundary/space	س م و → ح م د → ي و م → د ي ن → ع ب د → ص ر ط → ض ل ل	س م و:B001:العلو والارتفاع | ح م د:B001:الحمد خلاف الذم | ي و م:B001:وقت النهار المحدود | د ي ن:B001:الطاعة والانقياد | ع ب د:B005:التذليل والتسوية | ص ر ط:B001:الطريق المستقيم | ض ل ل:B001:الضلال عن الهدى والقصد	theme:ritual_belief/religion_worship(4); kw:religion(3); kw:navigation(2); theme:space_form_boundary/space(2); kw:gratitude(1); kw:loftiness(1); kw:misguidance(1); kw:eminence(1); kw:creed(1); kw:straightness(1); kw:paving(1); kw:taming(1); kw:smoothing(1); kw:leveling(1); kw:pity(1); kw:divinity(1)
SF0023	6	1379	1,2,3,4,5,6,7	theme:ritual_belief/religion_worship | kw:religion | theme:law_governance/obligation_contract	ء ل ه → ر ب ب → ع ل م → ر ح م → د ي ن → ع ب د → ص ر ط	ء ل ه:B002:اسم الله في القسم والنداء | ر ب ب:B003:علم رباني | ع ل م:B002:أثر يميز الشيء ويهدي إليه | ر ح م:B001:الرَّحْمَة والرقة | د ي ن:B001:الطاعة والانقياد | ع ب د:B005:التذليل والتسوية | ص ر ط:B001:الطريق المستقيم	theme:ritual_belief/religion_worship(5); kw:religion(3); theme:law_governance/obligation_contract(2); kw:creed(1); kw:invocation(1); kw:address(1); kw:dominion(1); kw:misguidance(1); kw:gratitude(1); kw:family(1); kw:paving(1); kw:heraldry(1); kw:sage(1); kw:taming(1); kw:banner(1); kw:pity(1)
SF0024	6	1244	1,2,3,4,5,6,7	kw:religion | theme:ritual_belief/religion_worship | kw:devotion | kw:worship | theme:ritual_belief/ritual | theme:ritual_belief/belief_revelation	س م و → ء ل ه → ر ب ب → ر ح م → د ي ن → غ ي ر → ض ل ل	س م و:B004:السماء وما علا فأظل | ء ل ه:B001:التعبد والمعبود | ر ب ب:B006:رُبّ خاثر وإصلاح به | ر ح م:B001:الرَّحْمَة والرقة | د ي ن:B001:الطاعة والانقياد | غ ي ر:B002:الغَيْر في الدية | ض ل ل:B001:الضلال عن الهدى والقصد	kw:religion(3); theme:ritual_belief/religion_worship(3); kw:devotion(2); kw:worship(2); theme:ritual_belief/ritual(2); theme:ritual_belief/belief_revelation(2); kw:adoration(1); kw:creed(1); kw:pity(1); kw:ceiling(1); kw:overhead(1); kw:syrup(1); kw:paste(1); kw:deity(1); kw:stopping(1); kw:freezing(1)
SF0025	6	1068	1,2,3,4,5,6,7	theme:ritual_belief/religion_worship | kw:religion | kw:theology | kw:devotion | kw:worship | theme:ritual_belief/ritual | theme:ritual_belief/belief_revelation	ء ل ه → ح م د → ر ب ب → ع ل م → ر ح م → د ي ن → ع ب د	ء ل ه:B001:التعبد والمعبود | ح م د:B001:الحمد خلاف الذم | ر ب ب:B003:علم رباني | ع ل م:B002:أثر يميز الشيء ويهدي إليه | ر ح م:B001:الرَّحْمَة والرقة | د ي ن:B001:الطاعة والانقياد | ع ب د:B001:الرق والملك	theme:ritual_belief/religion_worship(5); kw:religion(4); kw:theology(2); kw:devotion(2); kw:worship(2); theme:ritual_belief/ritual(2); theme:ritual_belief/belief_revelation(2); kw:gratitude(1); kw:adoration(1); kw:creed(1); kw:heraldry(1); kw:sage(1); kw:banner(1); kw:pity(1); kw:scholar(1); kw:deity(1)
SF0026	6	852	1,2,3,4,5,6,7	kw:religion | theme:ritual_belief/religion_worship | kw:theology | kw:devotion | kw:worship | kw:authority | theme:ritual_belief/ritual | theme:ritual_belief/belief_revelation	ء ل ه → ر ب ب → ر ح م → م ل ك → د ي ن → ع ب د → ض ل ل	ء ل ه:B001:التعبد والمعبود | ر ب ب:B006:رُبّ خاثر وإصلاح به | ر ح م:B001:الرَّحْمَة والرقة | م ل ك:B003:المُلك والسلطان | د ي ن:B001:الطاعة والانقياد | ع ب د:B005:التذليل والتسوية | ض ل ل:B001:الضلال عن الهدى والقصد	kw:religion(3); theme:ritual_belief/religion_worship(3); kw:theology(2); kw:devotion(2); kw:worship(2); kw:authority(2); theme:ritual_belief/ritual(2); theme:ritual_belief/belief_revelation(2); kw:adoration(1); kw:creed(1); kw:pity(1); kw:syrup(1); kw:paste(1); kw:condiment(1); kw:ceiling(1); kw:paving(1)
SF0027	6	696	1,2,3,4,5,6,7	kw:straightness | kw:devotion | kw:worship | theme:ritual_belief/religion_worship | kw:religion | theme:law_governance/politics_order | theme:ritual_belief/ritual | theme:ritual_belief/belief_revelation	س م و → ء ل ه → ر ب ب → ر ح م → د ي ن → ص ر ط → ق و م	س م و:B004:السماء وما علا فأظل | ء ل ه:B001:التعبد والمعبود | ر ب ب:B006:رُبّ خاثر وإصلاح به | ر ح م:B001:الرَّحْمَة والرقة | د ي ن:B001:الطاعة والانقياد | ص ر ط:B001:الطريق المستقيم | ق و م:B008:استقامة واعتدال واستواء	kw:straightness(2); kw:devotion(2); kw:worship(2); theme:ritual_belief/religion_worship(2); kw:religion(2); theme:law_governance/politics_order(2); theme:ritual_belief/ritual(2); theme:ritual_belief/belief_revelation(2); kw:adoration(1); kw:creed(1); kw:pity(1); kw:rectitude(1); kw:ceiling(1); kw:overhead(1); kw:hawk(1); kw:falcon(1)
SF0028	6	575	1,2,4,5,6,7	theme:ritual_belief/religion_worship | kw:devotion | kw:worship | kw:religion | theme:ritual_belief/belief_revelation	ر ح م → ح م د → ء ل ه → ع ل م → د ي ن → ع ب د → ق و م	ر ح م:B002:الرَّحِم والقرابة | ح م د:B001:الحمد خلاف الذم | ء ل ه:B001:التعبد والمعبود | ع ل م:B006:طائر جارح يسمى العلام | د ي ن:B005:العادة والشأن | ع ب د:B003:العبادة والطاعة الخاضعة | ق و م:B001:جماعة الناس والرجال	theme:ritual_belief/religion_worship(3); kw:devotion(2); kw:worship(2); kw:religion(2); theme:ritual_belief/belief_revelation(2); kw:gratitude(1); kw:submission(1); kw:adoration(1); kw:monotheism(1); kw:deity(1); kw:grammar(1); kw:duration(1); kw:family(1); kw:men(1); kw:preposition(1); kw:quantification(1)
SF0029	6	456	1,2,3,4,6,7	theme:ritual_belief/religion_worship | kw:straightness | kw:devotion | kw:worship | kw:religion | theme:law_governance/politics_order | theme:ritual_belief/ritual | theme:ritual_belief/belief_revelation	ء ل ه → ح م د → ر ب ب → ر ح م → د ي ن → ص ر ط → ق و م	ء ل ه:B001:التعبد والمعبود | ح م د:B001:الحمد خلاف الذم | ر ب ب:B004:ربة وجماعات كثيرة | ر ح م:B001:الرَّحْمَة والرقة | د ي ن:B001:الطاعة والانقياد | ص ر ط:B001:الطريق المستقيم | ق و م:B008:استقامة واعتدال واستواء	theme:ritual_belief/religion_worship(3); kw:straightness(2); kw:devotion(2); kw:worship(2); kw:religion(2); theme:law_governance/politics_order(2); theme:ritual_belief/ritual(2); theme:ritual_belief/belief_revelation(2); kw:gratitude(1); kw:adoration(1); kw:creed(1); kw:pity(1); kw:rectitude(1); kw:deity(1); kw:thousand(1); kw:heraldry(1)
SF0030	6	392	1,2,3,5,6,7	kw:name | kw:language | theme:kinship_society/identity_personhood	س م و → ء ل ه → ر ب ب → ر ح م → ع ب د → ص ر ط → غ ي ر	س م و:B005:الاسم تنويه ودلالة | ء ل ه:B002:اسم الله في القسم والنداء | ر ب ب:B003:علم رباني | ر ح م:B002:الرَّحِم والقرابة | ع ب د:B007:القوة والصلابة | ص ر ط:B002:الغيبة في المرور والبلع | غ ي ر:B002:الغَيْر في الدية	kw:name(2); kw:language(2); theme:kinship_society/identity_personhood(2); kw:family(1); kw:sage(1); kw:scholar(1); kw:invocation(1); kw:relative(1); kw:address(1); kw:appellation(1); kw:semiotics(1); kw:stoutness(1); kw:antiquity(1); kw:indemnity(1); kw:swallowing(1); kw:restitution(1)
SF0031	5	2216	1,2,3,4,5,6,7	kw:devotion | kw:worship | theme:ritual_belief/religion_worship | kw:religion | theme:kinship_society/hospitality_welfare | theme:ritual_belief/ritual | theme:ritual_belief/belief_revelation	س م و → ء ل ه → ر ب ب → ر ح م → د ي ن → ق و م → ن ع م	س م و:B004:السماء وما علا فأظل | ء ل ه:B001:التعبد والمعبود | ر ب ب:B006:رُبّ خاثر وإصلاح به | ر ح م:B001:الرَّحْمَة والرقة | د ي ن:B001:الطاعة والانقياد | ق و م:B009:قوام وعماد ومعاش | ن ع م:B001:حسن الحال والنعمة	kw:devotion(2); kw:worship(2); theme:ritual_belief/religion_worship(2); kw:religion(2); theme:kinship_society/hospitality_welfare(2); theme:ritual_belief/ritual(2); theme:ritual_belief/belief_revelation(2); kw:adoration(1); kw:creed(1); kw:pity(1); kw:deity(1); kw:syrup(1); kw:paste(1); kw:condiment(1); kw:ceiling(1); kw:overhead(1)
