syntax_edge_id	attachment_edge_id	ayah_ref	source_word_id	target_word_id	prep_word_id	source_morpheme_id	target_morpheme_id	prep_morpheme_id	source_qac_ref	target_qac_ref	prep_qac_ref	source_attachment_unit_id	target_attachment_unit_id	prep_attachment_unit_id	source_position	target_position	prep_position	relation	status	confidence	source_part	target_part	source_form_tag	target_form_tag	object_type	prep_base	binding_status	evidence	reason	source_pointer
sx-64_1-00011	ae:v3:s064:001:pass1:attach:a7	64:1	w-s064-a001-w008	w-s064-a001-w010		m-w-s064-a001-w008-02	m-w-s064-a001-w010-02		64:1:8:2	64:1:10:2		q:64:1:11	q:64:1:12		11	12		predication	strongly_licensed	high			PREP	NOUN_ABSTRACT			fallback_morpheme_aligned	word_order;local_syntax	ٱلْمُلْكُ is predicated with the fronted PP لَهُ.	resources/attachments.tsv:53873
sx-64_1-00012	ae:v3:s064:001:pass1:attach:a8	64:1	w-s064-a001-w012	w-s064-a001-w010	w-s064-a001-w010	m-w-s064-a001-w012-02	m-w-s064-a001-w010-02	m-w-s064-a001-w010-02	64:1:12:2	64:1:10:2	64:1:10:2	q:64:1:15	q:64:1:14	q:64:1:14	15	14	14	prep_complement	syntactically_forced	high		pronoun_suffix	GERUND			لـ	fallback_morpheme_aligned	case_government;local_syntax	The pronoun suffix in لَهُ is governed by لَ in the predication with ٱلْحَمْدُ.	resources/attachments.tsv:53874
sx-64_1-00013	ae:v3:s064:001:pass1:attach:a9	64:1	w-s064-a001-w010	w-s064-a001-w012		m-w-s064-a001-w010-02	m-w-s064-a001-w012-02		64:1:10:2	64:1:12:2		q:64:1:14	q:64:1:15		14	15		predication	strongly_licensed	high			PREP	GERUND			fallback_morpheme_aligned	word_order;local_syntax	ٱلْحَمْدُ is predicated with the fronted PP لَهُ.	resources/attachments.tsv:53875
sx-64_1-00014	ae:v3:s064:001:pass1:attach:a10	64:1	w-s064-a001-w017	w-s064-a001-w013		m-w-s064-a001-w017-01	m-w-s064-a001-w013-02		64:1:17:1	64:1:13:2		q:64:1:21	q:64:1:17		21	17		predication	strongly_licensed	high			ADJ_QUALIT	PRON			fallback_morpheme_aligned	agreement;local_syntax	هُوَ is the subject of the predicate قَدِيرٌ.	resources/attachments.tsv:53876
sx-64_1-00015	ae:v3:s064:001:pass1:attach:a11	64:1	w-s064-a001-w017	w-s064-a001-w015	w-s064-a001-w014	m-w-s064-a001-w017-01	m-w-s064-a001-w015-01	m-w-s064-a001-w014-01	64:1:17:1	64:1:15:1	64:1:14:1	q:64:1:21	q:64:1:19	q:64:1:18	21	19	18	prep_complement	syntactically_forced	high			ADJ_QUALIT	NOUN_ABSTRACT		عَلَى	fallback_morpheme_aligned	case_government;local_syntax	كُلِّ is governed by عَلَىٰ and complements قَدِيرٌ.	resources/attachments.tsv:53877
sx-64_1-00016	ae:v3:s064:001:pass1:attach:a12	64:1	w-s064-a001-w015	w-s064-a001-w016		m-w-s064-a001-w015-01	m-w-s064-a001-w016-01		64:1:15:1	64:1:16:1		q:64:1:19	q:64:1:20		19	20		idafa	syntactically_forced	high			NOUN_ABSTRACT	NOUN_ABSTRACT			fallback_morpheme_aligned	morphology;case_government	شَىْءٍ is the genitive complement of construct كُلِّ.	resources/attachments.tsv:53878
sx-64_2-00017	ae:v3:s064:002:pass1:attach:a1	64:2	w-s064-a002-w002	w-s064-a002-w001		m-w-s064-a002-w002-01	m-w-s064-a002-w001-01		64:2:2:1	64:2:1:1		q:64:2:2	q:64:2:1		2	1		predication	strongly_licensed	high			REL_PRON	PRON			position_morpheme_aligned	word_order;local_syntax	هُوَ is predicated by ٱلَّذِى.	resources/attachments.tsv:53879
sx-64_2-00018	ae:v3:s064:002:pass1:attach:a2	64:2	w-s064-a002-w003	w-s064-a002-w003		m-w-s064-a002-w003-01	m-w-s064-a002-w003-02		64:2:3:1	64:2:3:2		q:64:2:3	q:64:2:3		3	3		direct_object	syntactically_forced	high		object_suffix	PV		clitic		position_morpheme_aligned	morphology;local_syntax	The كُمْ suffix in خَلَقَكُمْ is the object of خَلَقَ.	resources/attachments.tsv:53880
sx-64_2-00019	ae:v3:s064:002:pass1:attach:a3	64:2	w-s064-a002-w005	w-s064-a002-w004	w-s064-a002-w004	m-w-s064-a002-w005-01	m-w-s064-a002-w004-03	m-w-s064-a002-w004-02	64:2:5:1	64:2:4:3	64:2:4:2	q:64:2:6	q:64:2:5	q:64:2:5	6	5	5	prep_complement	syntactically_forced	high		pronoun_suffix	NOUN_ACTIVE_PART			مِن	position_morpheme_aligned	case_government;local_syntax	The كُمْ suffix in مِنكُمْ is governed by مِنْ in the predicate of كَافِرٌ.	resources/attachments.tsv:53881
sx-64_2-00020	ae:v3:s064:002:pass1:attach:a4	64:2	w-s064-a002-w004	w-s064-a002-w005		m-w-s064-a002-w004-02	m-w-s064-a002-w005-01		64:2:4:2	64:2:5:1		q:64:2:5	q:64:2:6		5	6		predication	strongly_licensed	high			PREP	NOUN_ACTIVE_PART			position_morpheme_aligned	word_order;local_syntax	كَافِرٌ is predicated with the fronted PP مِنكُمْ.	resources/attachments.tsv:53882
sx-64_2-00021	ae:v3:s064:002:pass1:attach:a5	64:2	w-s064-a002-w005	w-s064-a002-w007		m-w-s064-a002-w005-01	m-w-s064-a002-w007-01		64:2:5:1	64:2:7:1		q:64:2:6	q:64:2:9		6	9		conjoined	strongly_licensed	high			NOUN_ACTIVE_PART	NOUN_ACTIVE_PART			position_morpheme_aligned	parallelism;local_syntax	مُّؤْمِنٌ is coordinated as the second class after كَافِرٌ.	resources/attachments.tsv:53883
sx-64_2-00022	ae:v3:s064:002:pass1:attach:a6	64:2	w-s064-a002-w007	w-s064-a002-w006	w-s064-a002-w006	m-w-s064-a002-w007-01	m-w-s064-a002-w006-03	m-w-s064-a002-w006-02	64:2:7:1	64:2:6:3	64:2:6:2	q:64:2:9	q:64:2:8	q:64:2:8	9	8	8	prep_complement	syntactically_forced	high		pronoun_suffix	NOUN_ACTIVE_PART			مِن	position_morpheme_aligned	case_government;local_syntax	The كُمْ suffix in مِنكُم is governed by مِنْ in the predicate of مُّؤْمِنٌ.	resources/attachments.tsv:53884
sx-64_2-00023	ae:v3:s064:002:pass1:attach:a7	64:2	w-s064-a002-w006	w-s064-a002-w007		m-w-s064-a002-w006-02	m-w-s064-a002-w007-01		64:2:6:2	64:2:7:1		q:64:2:8	q:64:2:9		8	9		predication	strongly_licensed	high			PREP	NOUN_ACTIVE_PART			position_morpheme_aligned	word_order;local_syntax	مُّؤْمِنٌ is predicated with the fronted PP مِنكُم.	resources/attachments.tsv:53885
sx-64_2-00024	ae:v3:s064:002:pass1:attach:a8	64:2	w-s064-a002-w011	w-s064-a002-w008		m-w-s064-a002-w011-01	m-w-s064-a002-w008-02		64:2:11:1	64:2:8:2		q:64:2:15	q:64:2:11		15	11		predication	strongly_licensed	high			ADJ_QUALIT	NOUN_PROP			position_morpheme_aligned	word_order;local_syntax	ٱللَّهُ is the subject of the predicate بَصِيرٌ.	resources/attachments.tsv:53886
sx-64_2-00025	ae:v3:s064:002:pass1:attach:a9	64:2	w-s064-a002-w011	w-s064-a002-w009	w-s064-a002-w009	m-w-s064-a002-w011-01	m-w-s064-a002-w009-02	m-w-s064-a002-w009-01	64:2:11:1	64:2:9:2	64:2:9:1	q:64:2:15	q:64:2:13	q:64:2:12	15	13	12	prep_complement	syntactically_forced	high			ADJ_QUALIT	REL_PRON		بـ	position_morpheme_aligned	case_government;local_syntax	مَا is governed by بِ and completes بَصِيرٌ.	resources/attachments.tsv:53887
sx-64_2-00026	ae:v3:s064:002:pass1:attach:a10	64:2	w-s064-a002-w010	w-s064-a002-w009		m-w-s064-a002-w010-01	m-w-s064-a002-w009-02		64:2:10:1	64:2:9:2		q:64:2:14	q:64:2:13		14	13		direct_object	strongly_licensed	high			IV	REL_PRON	explicit		position_morpheme_aligned	local_syntax;word_order	مَا is the object of تَعْمَلُونَ inside مَا تَعْمَلُونَ.	resources/attachments.tsv:53888
sx-64_3-00027	ae:v3:s064:003:pass1:attach:a1	64:3	w-s064-a003-w001	w-s064-a003-w002		m-w-s064-a003-w001-01	m-w-s064-a003-w002-02		64:3:1:1	64:3:2:2		q:64:3:1	q:64:3:2		1	2		direct_object	strongly_licensed	high			PV	NOUN_CONCRETE	explicit		position_morpheme_aligned	case_government;local_syntax	ٱلسَّمَٰوَٰتِ is a direct object of خَلَقَ.	resources/attachments.tsv:53889
sx-64_3-00028	ae:v3:s064:003:pass1:attach:a2	64:3	w-s064-a003-w002	w-s064-a003-w003		m-w-s064-a003-w002-02	m-w-s064-a003-w003-03		64:3:2:2	64:3:3:3		q:64:3:2	q:64:3:4		2	4		conjoined	strongly_licensed	high			NOUN_CONCRETE	NOUN_CONCRETE			position_morpheme_aligned	parallelism;case_government	ٱلْأَرْضَ is coordinated with ٱلسَّمَٰوَٰتِ as object of خَلَقَ.	resources/attachments.tsv:53890
sx-64_3-00029	ae:v3:s064:003:pass1:attach:a3	64:3	w-s064-a003-w001	w-s064-a003-w004	w-s064-a003-w004	m-w-s064-a003-w001-01	m-w-s064-a003-w004-03	m-w-s064-a003-w004-01	64:3:1:1	64:3:4:3	64:3:4:1	q:64:3:1	q:64:3:6	q:64:3:5	1	6	5	prep_complement	syntactically_forced	high			PV	GERUND		بـ	position_morpheme_aligned	case_government;local_syntax	ٱلْحَقِّ is governed by بِ and modifies the creating expressed by خَلَقَ.	resources/attachments.tsv:53891
sx-64_3-00030	ae:v3:s064:003:pass1:attach:a4	64:3	w-s064-a003-w001	w-s064-a003-w005		m-w-s064-a003-w001-01	m-w-s064-a003-w005-02		64:3:1:1	64:3:5:2		q:64:3:1	q:64:3:8		1	8		conjoined	strongly_licensed	high			PV	PV			position_morpheme_aligned	parallelism;local_syntax	صَوَّرَكُمْ is coordinated with خَلَقَ as a second verb.	resources/attachments.tsv:53892
sx-64_3-00031	ae:v3:s064:003:pass1:attach:a5	64:3	w-s064-a003-w005	w-s064-a003-w005		m-w-s064-a003-w005-02	m-w-s064-a003-w005-03		64:3:5:2	64:3:5:3		q:64:3:8	q:64:3:8		8	8		direct_object	syntactically_forced	high		object_suffix	PV		clitic		position_morpheme_aligned	morphology;local_syntax	The كُمْ suffix in صَوَّرَكُمْ is the object of صَوَّرَ.	resources/attachments.tsv:53893
sx-64_3-00032	ae:v3:s064:003:pass1:attach:a6	64:3	w-s064-a003-w005	w-s064-a003-w006		m-w-s064-a003-w005-02	m-w-s064-a003-w006-02		64:3:5:2	64:3:6:2		q:64:3:8	q:64:3:10		8	10		conjoined	strongly_licensed	high			PV	PV			position_morpheme_aligned	local_syntax	أَحْسَنَ follows صَوَّرَكُمْ with فَ as a sequenced coordinated action.	resources/attachments.tsv:53894
sx-64_3-00033	ae:v3:s064:003:pass1:attach:a7	64:3	w-s064-a003-w006	w-s064-a003-w007		m-w-s064-a003-w006-02	m-w-s064-a003-w007-01		64:3:6:2	64:3:7:1		q:64:3:10	q:64:3:11		10	11		direct_object	strongly_licensed	high			PV	NOUN_CONCRETE	explicit		position_morpheme_aligned	case_government;local_syntax	صُوَرَكُمْ is the direct object of أَحْسَنَ.	resources/attachments.tsv:53895
sx-64_3-00034	ae:v3:s064:003:pass1:attach:a8	64:3	w-s064-a003-w009	w-s064-a003-w008	w-s064-a003-w008	m-w-s064-a003-w009-02	m-w-s064-a003-w008-03	m-w-s064-a003-w008-02	64:3:9:2	64:3:8:3	64:3:8:2	q:64:3:14	q:64:3:13	q:64:3:13	14	13	13	prep_complement	syntactically_forced	high		pronoun_suffix	GERUND			إِلَى	position_morpheme_aligned	case_government;local_syntax	The هِ suffix in إِلَيْهِ is governed by إِلَى in the predication with ٱلْمَصِيرُ.	resources/attachments.tsv:53896
sx-64_3-00035	ae:v3:s064:003:pass1:attach:a9	64:3	w-s064-a003-w008	w-s064-a003-w009		m-w-s064-a003-w008-02	m-w-s064-a003-w009-02		64:3:8:2	64:3:9:2		q:64:3:13	q:64:3:14		13	14		predication	strongly_licensed	high			PREP	GERUND			position_morpheme_aligned	word_order;local_syntax	ٱلْمَصِيرُ is predicated with the fronted PP إِلَيْهِ.	resources/attachments.tsv:53897
sx-64_3-00036	ae:v3:s064:003:pass1:attach:a10	64:3	w-s064-a003-w001	w-s064-a003-w003		m-w-s064-a003-w001-01	m-w-s064-a003-w003-03		64:3:1:1	64:3:3:3		q:64:3:1	q:64:3:4		1	4		direct_object	strongly_licensed	high			PV	NOUN_CONCRETE	explicit		position_morpheme_aligned	case_government;parallelism	ٱلْأَرْضَ is also a coordinated direct object of خَلَقَ.	resources/attachments.tsv:53898
sx-64_3-00037	ae:v3:s064:003:pass1:attach:a11	64:3	w-s064-a003-w007	w-s064-a003-w007		m-w-s064-a003-w007-01	m-w-s064-a003-w007-01		64:3:7:1	64:3:7:1		q:64:3:11	q:64:3:11		11	11		idafa	syntactically_forced	high		possessive_suffix	NOUN_CONCRETE				position_morpheme_aligned	morphology;local_syntax	The كُمْ suffix in صُوَرَكُمْ is the genitive possessor of صُوَرَ.	resources/attachments.tsv:53899
sx-64_4-00038	ae:v3:s064:004:pass1:attach:a1	64:4	w-s064-a004-w001	w-s064-a004-w002		m-w-s064-a004-w001-01	m-w-s064-a004-w002-01		64:4:1:1	64:4:2:1		q:64:4:1	q:64:4:2		1	2		direct_object	strongly_licensed	high			IV	REL_PRON	explicit		position_morpheme_aligned	local_syntax;word_order	مَا is the object of يَعْلَمُ in مَا فِى ٱلسَّمَٰوَٰتِ.	resources/attachments.tsv:53900
sx-64_4-00039	ae:v3:s064:004:pass1:attach:a2	64:4	w-s064-a004-w002	w-s064-a004-w004	w-s064-a004-w003	m-w-s064-a004-w002-01	m-w-s064-a004-w004-02	m-w-s064-a004-w003-01	64:4:2:1	64:4:4:2	64:4:3:1	q:64:4:2	q:64:4:4	q:64:4:3	2	4	3	prep_complement	syntactically_forced	high			REL_PRON	NOUN_CONCRETE		فِي	position_morpheme_aligned	case_government;local_syntax	ٱلسَّمَٰوَٰتِ is governed by فِي in the phrase مَا فِي ٱلسَّمَٰوَٰتِ.	resources/attachments.tsv:53901
sx-64_4-00040	ae:v3:s064:004:pass1:attach:a3	64:4	w-s064-a004-w004	w-s064-a004-w005		m-w-s064-a004-w004-02	m-w-s064-a004-w005-03		64:4:4:2	64:4:5:3		q:64:4:4	q:64:4:6		4	6		conjoined	strongly_licensed	high			NOUN_CONCRETE	NOUN_CONCRETE			position_morpheme_aligned	parallelism;case_government	ٱلْأَرْضِ is coordinated with ٱلسَّمَٰوَٰتِ under the locative phrase.	resources/attachments.tsv:53902
sx-64_4-00041	ae:v3:s064:004:pass1:attach:a4	64:4	w-s064-a004-w001	w-s064-a004-w006		m-w-s064-a004-w001-01	m-w-s064-a004-w006-02		64:4:1:1	64:4:6:2		q:64:4:1	q:64:4:8		1	8		conjoined	strongly_licensed	high			IV	IV			position_morpheme_aligned	parallelism;local_syntax	يَعْلَمُ at word 8 is coordinated with the first يَعْلَمُ.	resources/attachments.tsv:53903
sx-64_4-00042	ae:v3:s064:004:pass1:attach:a5	64:4	w-s064-a004-w006	w-s064-a004-w007		m-w-s064-a004-w006-02	m-w-s064-a004-w007-01		64:4:6:2	64:4:7:1		q:64:4:8	q:64:4:9		8	9		direct_object	strongly_licensed	high			IV	REL_PRON	explicit		position_morpheme_aligned	local_syntax;word_order	مَا is the first object phrase of يَعْلَمُ at word 8.	resources/attachments.tsv:53904
sx-64_4-00043	ae:v3:s064:004:pass1:attach:a6	64:4	w-s064-a004-w008	w-s064-a004-w007		m-w-s064-a004-w008-01	m-w-s064-a004-w007-01		64:4:8:1	64:4:7:1		q:64:4:10	q:64:4:9		10	9		direct_object	strongly_licensed	high			IV	REL_PRON	explicit		position_morpheme_aligned	local_syntax;word_order	مَا is the object of تُسِرُّونَ inside مَا تُسِرُّونَ.	resources/attachments.tsv:53905
sx-64_4-00044	ae:v3:s064:004:pass1:attach:a7	64:4	w-s064-a004-w007	w-s064-a004-w009		m-w-s064-a004-w007-01	m-w-s064-a004-w009-02		64:4:7:1	64:4:9:2		q:64:4:9	q:64:4:12		9	12		conjoined	strongly_licensed	high			REL_PRON	REL_PRON			position_morpheme_aligned	parallelism;local_syntax	مَا تُعْلِنُونَ is coordinated with مَا تُسِرُّونَ.	resources/attachments.tsv:53906
sx-64_4-00045	ae:v3:s064:004:pass1:attach:a8	64:4	w-s064-a004-w006	w-s064-a004-w009		m-w-s064-a004-w006-02	m-w-s064-a004-w009-02		64:4:6:2	64:4:9:2		q:64:4:8	q:64:4:12		8	12		direct_object	strongly_licensed	high			IV	REL_PRON	explicit		position_morpheme_aligned	parallelism;local_syntax	مَا at word 12 is the second object phrase of يَعْلَمُ.	resources/attachments.tsv:53907
sx-64_4-00046	ae:v3:s064:004:pass1:attach:a9	64:4	w-s064-a004-w010	w-s064-a004-w009		m-w-s064-a004-w010-01	m-w-s064-a004-w009-02		64:4:10:1	64:4:9:2		q:64:4:13	q:64:4:12		13	12		direct_object	strongly_licensed	high			IV	REL_PRON	explicit		position_morpheme_aligned	local_syntax;word_order	مَا is the object of تُعْلِنُونَ inside مَا تُعْلِنُونَ.	resources/attachments.tsv:53908
sx-64_4-00047	ae:v3:s064:004:pass1:attach:a10	64:4	w-s064-a004-w012	w-s064-a004-w011		m-w-s064-a004-w012-01	m-w-s064-a004-w011-02		64:4:12:1	64:4:11:2		q:64:4:16	q:64:4:15		16	15		predication	strongly_licensed	high			ADJ_QUALIT	NOUN_PROP			position_morpheme_aligned	word_order;local_syntax	ٱللَّهُ is the subject of the predicate عَلِيمٌ.	resources/attachments.tsv:53909
sx-64_4-00048	ae:v3:s064:004:pass1:attach:a11	64:4	w-s064-a004-w012	w-s064-a004-w013	w-s064-a004-w013	m-w-s064-a004-w012-01	m-w-s064-a004-w013-02	m-w-s064-a004-w013-01	64:4:12:1	64:4:13:2	64:4:13:1	q:64:4:16	q:64:4:18	q:64:4:17	16	18	17	prep_complement	syntactically_forced	high			ADJ_QUALIT	NOUN_ABSTRACT		بـ	position_morpheme_aligned	case_government;local_syntax	ذَاتِ is governed by بِ and completes عَلِيمٌ.	resources/attachments.tsv:53910
sx-64_4-00049	ae:v3:s064:004:pass1:attach:a12	64:4	w-s064-a004-w013	w-s064-a004-w014		m-w-s064-a004-w013-02	m-w-s064-a004-w014-02		64:4:13:2	64:4:14:2		q:64:4:18	q:64:4:19		18	19		idafa	syntactically_forced	high			NOUN_ABSTRACT	NOUN_CONCRETE			position_morpheme_aligned	morphology;case_government	ٱلصُّدُورِ is the genitive complement of construct ذَاتِ.	resources/attachments.tsv:53911
sx-64_5-00050	ae:v3:s064:005:pass1:attach:a1	64:5	w-s064-a005-w001	w-s064-a005-w002		m-w-s064-a005-w001-02	m-w-s064-a005-w002-01		64:5:1:2	64:5:2:1		q:64:5:1	q:64:5:2		1	2		particle_complement	syntactically_forced	high			JUSSIVE_PART	IV			fallback_morpheme_aligned	local_syntax;morphology	لَمْ governs يَأْتِكُمْ as its jussive verbal complement.	resources/attachments.tsv:53912
sx-64_5-00051	ae:v3:s064:005:pass1:attach:a2	64:5	w-s064-a005-w002	w-s064-a005-w002		m-w-s064-a005-w002-01	m-w-s064-a005-w002-02		64:5:2:1	64:5:2:2		q:64:5:2	q:64:5:2		2	2		direct_object	syntactically_forced	high		object_suffix	IV		clitic		fallback_morpheme_aligned	morphology;local_syntax	The كُمْ suffix in يَأْتِكُمْ is the object of يَأْتِ.	resources/attachments.tsv:53913
sx-64_5-00052	ae:v3:s064:005:pass1:attach:a3	64:5	w-s064-a005-w002	w-s064-a005-w003		m-w-s064-a005-w002-01	m-w-s064-a005-w003-01		64:5:2:1	64:5:3:1		q:64:5:2	q:64:5:3		2	3		subject	syntactically_forced	high			IV	NOUN_ABSTRACT			fallback_morpheme_aligned	word_order;agreement	نَبَأُ is the overt subject of يَأْتِكُمْ.	resources/attachments.tsv:53914
sx-64_5-00053	ae:v3:s064:005:pass1:attach:a4	64:5	w-s064-a005-w003	w-s064-a005-w004		m-w-s064-a005-w003-01	m-w-s064-a005-w004-01		64:5:3:1	64:5:4:1		q:64:5:3	q:64:5:4		3	4		idafa	syntactically_forced	high			NOUN_ABSTRACT	REL_PRON			fallback_morpheme_aligned	morphology;case_government	ٱلَّذِينَ is the genitive complement of construct نَبَأُ.	resources/attachments.tsv:53915
sx-64_5-00054	ae:v3:s064:005:pass1:attach:a5	64:5	w-s064-a005-w005	w-s064-a005-w007	w-s064-a005-w006	m-w-s064-a005-w005-01	m-w-s064-a005-w007-01	m-w-s064-a005-w006-01	64:5:5:1	64:5:7:1	64:5:6:1	q:64:5:5	q:64:5:7	q:64:5:6	5	7	6	prep_complement	syntactically_forced	high			PV	NOUN_ABSTRACT		مِن	fallback_morpheme_aligned	case_government;local_syntax	قَبْلُ is governed by مِنْ and temporally modifies كَفَرُوا.	resources/attachments.tsv:53916
sx-64_5-00055	ae:v3:s064:005:pass1:attach:a6	64:5	w-s064-a005-w008	w-s064-a005-w009		m-w-s064-a005-w008-02	m-w-s064-a005-w009-01		64:5:8:2	64:5:9:1		q:64:5:9	q:64:5:10		9	10		direct_object	syntactically_forced	high			PV	GERUND	explicit		fallback_morpheme_aligned	case_government;local_syntax	وَبَالَ is the direct object of ذَاقُوا.	resources/attachments.tsv:53917
sx-64_5-00056	ae:v3:s064:005:pass1:attach:a7	64:5	w-s064-a005-w009	w-s064-a005-w010		m-w-s064-a005-w009-01	m-w-s064-a005-w010-01		64:5:9:1	64:5:10:1		q:64:5:10	q:64:5:11		10	11		idafa	syntactically_forced	high			GERUND	NOUN_ABSTRACT			fallback_morpheme_aligned	morphology;case_government	أَمْرِهِمْ is the genitive complement of construct وَبَالَ.	resources/attachments.tsv:53918
sx-64_5-00057	ae:v3:s064:005:pass1:attach:a8	64:5	w-s064-a005-w012	w-s064-a005-w011	w-s064-a005-w011	m-w-s064-a005-w012-01	m-w-s064-a005-w011-03	m-w-s064-a005-w011-02	64:5:12:1	64:5:11:3	64:5:11:2	q:64:5:14	q:64:5:13	q:64:5:13	14	13	13	prep_complement	syntactically_forced	high		pronoun_suffix	NOUN_ABSTRACT			لـ	fallback_morpheme_aligned	case_government;local_syntax	The هُمْ suffix in لَهُمْ is governed by لَ in the predication with عَذَابٌ.	resources/attachments.tsv:53919
