rank	path_family_id	family_score	label_hint	members	ayahs	roots	core_branches	optional_branches	representative_path_id	construction_paths
40	PF0040	0.4502	bird / support / handle / ostrich	3	2,6,7	ر ب ب ق و م ن ع م	ق و م:B012@6:آلة قائمة وجزء قائم | ن ع م:B006@7:النعام والنعامة الطائر	ر ب ب:B008@2:رباب السحاب | ر ب ب:B010@2:ربابة تجمع القداح | ر ب ب:B012@2:ربة نبات	P4633	P4633[ر ب ب:B012→ن ع م:B006 ; ق و م:B012→ن ع م:B006] | P5470[ر ب ب:B008→ق و م:B012 ; ق و م:B012→ن ع م:B006] | P5624[ر ب ب:B010→ق و م:B012 ; ق و م:B012→ن ع م:B006]
41	PF0041	0.4497	nurture / development / grace / bounty	3	2,4,7	د ي ن ر ب ب م ل ك ن ع م	ر ب ب:B002@2:إصلاح وتربية وإتمام | ن ع م:B001@7:حسن الحال والنعمة	د ي ن:B005@4:العادة والشأن | م ل ك:B001@4:قوة الشيء وتماسكه | م ل ك:B002@4:المِلْك والتصرف	P3222	P3222[ر ب ب:B002→م ل ك:B001 ; ر ب ب:B002→ن ع م:B001] | P3339[د ي ن:B005→ن ع م:B001 ; ر ب ب:B002→ن ع م:B001] | P3433[ر ب ب:B002→م ل ك:B002 ; ر ب ب:B002→ن ع م:B001]
42	PF0042	0.4478	comfort / pricing / appraisal / economy_property/commerce_exchange	3	2,5,6,7	ر ب ب ع و ن ق و م ن ع م	ق و م:B010@6:قيمة وتقويم وتسعير | ن ع م:B002@7:اللين والنعومة ورفاه العيش	ر ب ب:B006@2:رُبّ خاثر وإصلاح به | ر ب ب:B016@2:رُبَى حاجة وعقدة ونعمة | ع و ن:B001@5:الإعانة والمظاهرة	P3851	P3851[ق و م:B010→ن ع م:B002 ; ر ب ب:B016→ن ع م:B002] | P4586[ر ب ب:B006→ن ع م:B002 ; ق و م:B010→ن ع م:B002] | P5412[ق و م:B010→ن ع م:B002 ; ع و ن:B001→ق و م:B010]
43	PF0043	0.4476	enslavement / ritual_belief/religion_worship / subjugation / adoration	388	1,2,3,4,5,6,7	ء ل ه ح م د د ي ن ر ب ب ر ح م س م و ص ر ط ض ل ل ع ب د ع ل م ع و ن غ ض ب غ ي ر ق و م م ل ك ن ع م ه د ي ي و م	ء ل ه:B001@1,2:التعبد والمعبود | ع ب د:B004@5:التعبيد والاستعباد	د ي ن:B003@4:الدين المالي | د ي ن:B004@4:الإذلال والملك | ر ب ب:B005@2:ربيب وربيبة ورابة | م ل ك:B004@4:الإملاك والتزويج | ن ع م:B012@7:المشي على القدم وابتذالها	P1142	P1142[م ل ك:B004→د ي ن:B003 ; د ي ن:B003→ع ب د:B004 ; ء ل ه:B001→ع ب د:B004 ; د ي ن:B003→ق و م:B008 ; ع ب د:B004→ن ع م:B008] | P0097[ع و ن:B001→ق و م:B003 ; ع و ن:B001→غ ض ب:B003 ; س م و:B007→غ ض ب:B003 ; د ي ن:B003→ع و ن:B001 ; م ل ك:B004→د ي ن:B003 ; ر ب ب:B005→م ل ك:B004 ; ر ح م:B003→ر ب ب:B005 ; ر ح م:B003→ن ع م:B006 ; ع ل م:B006→ن ع م:B006] | P0104[ر ح م:B004→ر ب ب:B006 ; ر ح م:B004→ع و ن:B005 ; ع و ن:B005→ه د ي:B008 ; ه د ي:B008→ن ع م:B012 ; ر ح م:B004→ق و م:B020 ; ر ب ب:B006→غ ي ر:B001 ; ع ب د:B004→ن ع م:B012 ; د ي ن:B004→ع ب د:B004 ; ء ل ه:B001→ع ب د:B004] | P0485[ر ب ب:B004→ع ل م:B005 ; ر ب ب:B004→ق و م:B001 ; ع ب د:B004→ق و م:B001 ; ء ل ه:B001→ع ب د:B004 ; ق و م:B001→غ ي ر:B004 ; ع ل م:B005→م ل ك:B007 ; ع و ن:B007→غ ي ر:B004 ; ع و ن:B007→ه د ي:B011 ; د ي ن:B004→ع ب د:B004]
44	PF0044	0.4458	divergence / intactness / blindness / dispersion	13	2,5,6,7	ع ب د ع ل م غ ض ب غ ي ر ق و م ن ع م ه د ي	ع ب د:B010@5:التفرق في الوجوه | ق و م:B021@6:عين قائمة ذاهبة البصر	ع ب د:B009@5:قلة اللبث وسرعة العدو | ع ل م:B004@2:شق ظاهر في الشفة العليا | غ ض ب:B007@7:العبوس والضجر والعظم في وصف الحيوان أو الشخص | غ ي ر:B004@7:الغَيْرة على الأهل | ق و م:B012@6:آلة قائمة وجزء قائم | ن ع م:B007@7:ما سمي نعامة تشبيها بالهيئة | ن ع م:B013@7:نعم الله بك عينا وقرة العين | ه د ي:B010@6:هدي السكون وحسن الهيئة	P0296	P0296[ع ب د:B010→ق و م:B021 ; ق و م:B021→ن ع م:B013] | P2334[ع ب د:B010→ق و م:B019 ; ع ب د:B010→غ ض ب:B007 ; غ ي ر:B004→غ ض ب:B007 ; ع ل م:B004→غ ي ر:B004] | P2615[ه د ي:B010→ن ع م:B007 ; ع ب د:B009→ه د ي:B010 ; ق و م:B012→ن ع م:B007] | P3066[ع ب د:B010→ق و م:B021 ; ق و م:B021→ن ع م:B010]
45	PF0045	0.4448	honor / protectiveness / jealousy / zeal	312	1,2,3,4,5,6,7	ء ل ه ح م د د ي ن ر ب ب ر ح م س م و ص ر ط ض ل ل ع ب د ع ل م ع و ن غ ض ب غ ي ر ق و م م ل ك ن ع م ه د ي ي و م	غ ي ر:B004@7:الغَيْرة على الأهل	ر ب ب:B005@2:ربيب وربيبة ورابة | ر ح م:B002@1,3:الرَّحِم والقرابة | ر ح م:B003@1,3:رَحِم الأنثى | ع ب د:B007@5:القوة والصلابة | ع ل م:B004@2:شق ظاهر في الشفة العليا | ع ل م:B006@2:طائر جارح يسمى العلام | ع و ن:B007@5:عانة الرجل | غ ض ب:B007@7:العبوس والضجر والعظم في وصف الحيوان أو الشخص | ق و م:B001@6:جماعة الناس والرجال | ه د ي:B006@6:العروس المهدية إلى زوجها	P0015	P0015[ه د ي:B006→غ ي ر:B004 ; غ ي ر:B004→غ ض ب:B007 ; ع ب د:B007→غ ض ب:B007 ; م ل ك:B001→ع ب د:B007 ; ر ب ب:B005→غ ي ر:B004 ; ر ح م:B002→ر ب ب:B005 ; ع ل م:B004→غ ي ر:B004 ; ر ح م:B002→ع و ن:B008 ; ق و م:B001→غ ي ر:B004] | P0375[ع ب د:B010→ن ع م:B008 ; ق و م:B001→ن ع م:B008 ; ر ب ب:B004→ق و م:B001 ; ر ب ب:B004→ع ل م:B005 ; ع ل م:B005→م ل ك:B007 ; س م و:B003→ن ع م:B008 ; س م و:B003→ص ر ط:B002 ; ص ر ط:B002→ض ل ل:B004 ; غ ي ر:B003→ض ل ل:B004] | P0361[ه د ي:B009→ق و م:B020 ; ر ح م:B004→ق و م:B020 ; ر ح م:B004→ر ب ب:B009 ; ه د ي:B009→غ ض ب:B005 ; غ ي ر:B004→غ ض ب:B005 ; ع و ن:B007→غ ي ر:B004 ; د ي ن:B007→ع و ن:B007 ; د ي ن:B007→ن ع م:B004 ; ع ل م:B004→غ ي ر:B004] | P0440[ع ب د:B012→ه د ي:B004 ; ع ب د:B012→ق و م:B002 ; ر ح م:B003→ق و م:B002 ; ر ح م:B003→ن ع م:B006 ; ع ل م:B006→ن ع م:B006 ; م ل ك:B008→ق و م:B002 ; ع ب د:B012→ع و ن:B004 ; ع ل م:B006→غ ي ر:B004 ; غ ي ر:B004→غ ض ب:B007]
46	PF0046	0.444	routine / middle / custom / habit	3	4,5,6,7	د ي ن ع و ن ق و م ن ع م	د ي ن:B005@4:العادة والشأن | ع و ن:B002@5:العَوان بين السنين	ق و م:B008@6:استقامة واعتدال واستواء | ق و م:B009@6:قوام وعماد ومعاش | ن ع م:B013@7:نعم الله بك عينا وقرة العين	P5901	P5901[د ي ن:B005→ع و ن:B002 ; د ي ن:B005→ق و م:B009] | P3915[د ي ن:B005→ع و ن:B002 ; ع و ن:B002→ن ع م:B013] | P4794[د ي ن:B005→ق و م:B008 ; د ي ن:B005→ع و ن:B002]
47	PF0047	0.4436	adoration / ritual_belief/religion_worship / deity / swiftness	4	1,2,5,6,7	ء ل ه ع ب د غ ي ر ق و م ن ع م ه د ي	ء ل ه:B001@1,2:التعبد والمعبود | ع ب د:B009@5:قلة اللبث وسرعة العدو	غ ي ر:B005@7:السوى والخلاف والاستثناء والنفي | ق و م:B014@6:مقاومة ومنازلة | ن ع م:B010@7:زاد وأنعم في الفعل | ه د ي:B010@6:هدي السكون وحسن الهيئة	P2906	P2906[ء ل ه:B001→ع ب د:B009 ; ع ب د:B009→ه د ي:B010] | P3573[ء ل ه:B001→ع ب د:B009 ; ع ب د:B009→ق و م:B014] | P4434[ء ل ه:B001→ع ب د:B009 ; ع ب د:B009→ن ع م:B010] | P4675[ء ل ه:B001→ع ب د:B009 ; ع ب د:B009→غ ي ر:B005]
48	PF0048	0.4421	misguidance / ethics / boundary / navigation	179	1,2,3,4,5,6,7	ء ل ه ح م د د ي ن ر ب ب ر ح م س م و ص ر ط ض ل ل ع ب د ع ل م ع و ن غ ض ب غ ي ر ق و م م ل ك ن ع م ه د ي ي و م	ض ل ل:B001@7:الضلال عن الهدى والقصد | م ل ك:B006@4:مَلَك الطريق والوادي | ه د ي:B001@6:دلالة بلطف إلى الطريق والحق	د ي ن:B007@4:التصديق والتفويض | ر ح م:B001@1,3:الرَّحْمَة والرقة | ع ب د:B008@5:الأنفة والغضب | ع ل م:B001@2:انكشاف الشيء للعارف | غ ض ب:B001@7:اشتداد السخط وثورانه للانتقام | ن ع م:B001@7:حسن الحال والنعمة | ن ع م:B004@7:الجواب بنعم والتصديق	P0275	P0275[ر ب ب:B015→ن ع م:B004 ; د ي ن:B007→ن ع م:B004 ; د ي ن:B007→ه د ي:B001 ; ه د ي:B001→ض ل ل:B001 ; غ ض ب:B001→ض ل ل:B001 ; ع ب د:B008→غ ض ب:B001 ; ر ح م:B001→ر ب ب:B015 ; م ل ك:B006→ه د ي:B001] | P0537[ء ل ه:B002→ر ب ب:B001 ; ر ب ب:B001→م ل ك:B006 ; م ل ك:B006→ص ر ط:B001 ; ص ر ط:B001→ق و م:B008 ; م ل ك:B006→ه د ي:B001 ; ه د ي:B001→ض ل ل:B001 ; م ل ك:B006→ع ب د:B001 ; د ي ن:B004→ع ب د:B001 ; س م و:B005→ء ل ه:B002] | P0229[ر ب ب:B002→ع ل م:B001 ; ر ب ب:B002→ن ع م:B001 ; ع ل م:B001→ه د ي:B001 ; ر ح م:B001→ن ع م:B001 ; م ل ك:B006→ه د ي:B001 ; ه د ي:B001→ض ل ل:B001 ; س م و:B008→ن ع م:B001 ; س م و:B008→ع ب د:B012 ; ع ب د:B012→ع و ن:B004] | P0873[ع ب د:B008→غ ض ب:B001 ; ء ل ه:B001→ع ب د:B008 ; غ ض ب:B001→ض ل ل:B001 ; ه د ي:B007→ض ل ل:B001 ; ه د ي:B007→غ ي ر:B002 ; د ي ن:B002→غ ي ر:B002 ; ي و م:B002→د ي ن:B002]
49	PF0049	0.4413	men / boast / faction / benefaction	4	2,5,6,7	ح م د ع ب د غ ي ر ق و م ن ع م	ح م د:B005@2:يتحمد بالمنة | ق و م:B001@6:جماعة الناس والرجال	ع ب د:B004@5:التعبيد والاستعباد | غ ي ر:B004@7:الغَيْرة على الأهل | غ ي ر:B005@7:السوى والخلاف والاستثناء والنفي | ن ع م:B008@7:طيران النعامة وتفرق القوم	P3081	P3081[ح م د:B005→ق و م:B001 ; ق و م:B001→غ ي ر:B004] | P4061[ح م د:B005→ق و م:B001 ; ق و م:B001→ن ع م:B008] | P4631[ح م د:B005→ق و م:B001 ; ع ب د:B004→ق و م:B001] | P5166[ق و م:B001→غ ي ر:B005 ; ح م د:B005→ق و م:B001]
50	PF0050	0.4412	conflict_security/conflict / opposition / reputation / resistance	203	1,2,3,4,5,6,7	ء ل ه ح م د د ي ن ر ب ب ر ح م س م و ص ر ط ض ل ل ع ب د ع ل م ع و ن غ ض ب غ ي ر ق و م م ل ك ن ع م ه د ي ي و م		ح م د:B003@2:المحمود كثير الخصال | ر ب ب:B015@2:حرف رب وربما | ر ح م:B001@1,3:الرَّحْمَة والرقة | ع ب د:B009@5:قلة اللبث وسرعة العدو | ع و ن:B003@5:الحرب العَوان | غ ض ب:B003@7:المراغمة والمخالفة | ق و م:B014@6:مقاومة ومنازلة | ن ع م:B008@7:طيران النعامة وتفرق القوم | ه د ي:B010@6:هدي السكون وحسن الهيئة	P0382	P0382[س م و:B008→ه د ي:B010 ; ع ب د:B009→ه د ي:B010 ; ع ب د:B009→ق و م:B014 ; ق و م:B014→ن ع م:B008 ; ع و ن:B003→ق و م:B014 ; ح م د:B003→ع و ن:B003 ; ق و م:B014→غ ض ب:B003 ; م ل ك:B005→غ ض ب:B003] | P0305[ي و م:B002→د ي ن:B005 ; ي و م:B002→ع ب د:B009 ; ع ب د:B009→ه د ي:B010 ; ه د ي:B010→ن ع م:B001 ; ر ح م:B001→ن ع م:B001 ; ر ح م:B001→ع ل م:B002 ; س م و:B001→ع ل م:B002 ; د ي ن:B005→ق و م:B008 ; ص ر ط:B001→ق و م:B008] | P0531[ي و م:B003→ق و م:B013 ; ي و م:B003→ن ع م:B003 ; ر ب ب:B015→ن ع م:B003 ; ر ب ب:B015→ه د ي:B010 ; س م و:B008→ه د ي:B010 ; س م و:B008→ع ب د:B012 ; ع ب د:B012→ع و ن:B004 ; ر ح م:B001→ر ب ب:B015 ; ع و ن:B004→ص ر ط:B003] | P0316[ر ب ب:B013→ع ل م:B005 ; ح م د:B003→ع ل م:B005 ; ح م د:B003→ع و ن:B003 ; ع و ن:B003→ق و م:B014 ; ق و م:B014→ن ع م:B008 ; ع ب د:B004→ن ع م:B008 ; ء ل ه:B001→ع ب د:B004 ; ع ل م:B005→م ل ك:B007 ; س م و:B003→ن ع م:B008]
51	PF0051	0.4405	swiftness / recognition / awareness / urgency	3	2,5,6,7	ر ب ب ع ب د ع ل م ق و م ن ع م ه د ي	ع ب د:B009@5:قلة اللبث وسرعة العدو | ع ل م:B001@2:انكشاف الشيء للعارف	ر ب ب:B003@2:علم رباني | ق و م:B014@6:مقاومة ومنازلة | ن ع م:B010@7:زاد وأنعم في الفعل | ه د ي:B010@6:هدي السكون وحسن الهيئة	P4458	P4458[ع ل م:B001→ع ب د:B009 ; ع ب د:B009→ق و م:B014] | P2566[ع ل م:B001→ع ب د:B009 ; ع ب د:B009→ه د ي:B010 ; ر ب ب:B003→ع ل م:B001] | P5753[ع ل م:B001→ع ب د:B009 ; ع ب د:B009→ن ع م:B010]
52	PF0052	0.4403	captain / pilot / sailor / commander	3	2,4,5,6	د ي ن ر ب ب ع ب د ق و م م ل ك	ر ب ب:B017@2:رباني الملاحين | ق و م:B015@6:وزن سواء ومقدار معتدل	د ي ن:B004@4:الإذلال والملك | ع ب د:B012@5:صَلاءة الطيب | م ل ك:B008@4:المتقدم القائد في الحيوان	P5183	P5183[ر ب ب:B017→م ل ك:B008 ; ر ب ب:B017→ق و م:B015] | P3442[ر ب ب:B017→ع ب د:B012 ; ر ب ب:B017→ق و م:B015] | P5815[ر ب ب:B017→ق و م:B015 ; د ي ن:B004→ق و م:B015]
53	PF0053	0.4382	divinity / pity / heraldry / nurture	227	1,2,3,4,5,6,7	ء ل ه ح م د د ي ن ر ب ب ر ح م س م و ص ر ط ض ل ل ع ب د ع ل م ع و ن غ ض ب غ ي ر ق و م م ل ك ن ع م ه د ي ي و م	ر ح م:B001@1,3:الرَّحْمَة والرقة | ن ع م:B001@7:حسن الحال والنعمة	ء ل ه:B001@1,2:التعبد والمعبود | ر ب ب:B002@2:إصلاح وتربية وإتمام | س م و:B001@1:العلو والارتفاع | ع ل م:B002@2:أثر يميز الشيء ويهدي إليه | م ل ك:B001@4:قوة الشيء وتماسكه | ه د ي:B010@6:هدي السكون وحسن الهيئة	P0340	P0340[س م و:B001→ع ل م:B002 ; ر ح م:B001→ع ل م:B002 ; ر ح م:B001→ن ع م:B001 ; ه د ي:B010→ن ع م:B001 ; ع ب د:B009→ه د ي:B010 ; ر ب ب:B002→ن ع م:B001 ; ر ب ب:B002→ق و م:B007 ; ق و م:B007→غ ي ر:B005] | P1017[س م و:B004→ر ب ب:B008 ; ر ب ب:B008→ن ع م:B007 ; ق و م:B012→ن ع م:B007 ; ن ع م:B007→غ ض ب:B004 ; م ل ك:B001→غ ض ب:B004 ; م ل ك:B001→ع ب د:B007 ; ر ح م:B002→ر ب ب:B008] | P1151[ي و م:B001→ق و م:B017 ; ء ل ه:B001→ي و م:B001 ; ء ل ه:B001→ع ب د:B008 ; ع ب د:B008→غ ض ب:B006 ; ر ح م:B003→غ ض ب:B006 ; ر ح م:B003→ر ب ب:B005 ; ر ح م:B003→ن ع م:B006] | P0288[ق و م:B004→غ ي ر:B001 ; ر ب ب:B002→غ ي ر:B001 ; ر ب ب:B002→ن ع م:B001 ; ر ح م:B001→ن ع م:B001 ; م ل ك:B002→ق و م:B004 ; م ل ك:B002→ع ب د:B001 ; ه د ي:B001→ق و م:B004 ; ه د ي:B001→ض ل ل:B001 ; د ي ن:B007→ه د ي:B001]
54	PF0054	0.4377	mainstay / pillar / soreness / reliance	4	4,5,6,7	ع ب د غ ض ب ق و م م ل ك ن ع م	ق و م:B019@6:وجع قائم بالعضو | م ل ك:B005@4:مِلاك الأمر وعِماده	ع ب د:B010@5:التفرق في الوجوه | غ ض ب:B006@7:تورم العين وما حولها | ن ع م:B010@7:زاد وأنعم في الفعل | ن ع م:B013@7:نعم الله بك عينا وقرة العين	P3243	P3243[ق و م:B019→ن ع م:B013 ; م ل ك:B005→ق و م:B019] | P3987[م ل ك:B005→ق و م:B019 ; ع ب د:B010→ق و م:B019] | P4664[ق و م:B019→ن ع م:B010 ; م ل ك:B005→ق و م:B019] | P4714[ق و م:B019→غ ض ب:B006 ; م ل ك:B005→ق و م:B019]
55	PF0055	0.4375	ritual_belief/religion_worship / adoration / paving / smoothing	3	1,2,5,6	ء ل ه ع ب د ه د ي	ء ل ه:B001@1,2:التعبد والمعبود | ع ب د:B005@5:التذليل والتسوية	ه د ي:B001@6:دلالة بلطف إلى الطريق والحق | ه د ي:B004@6:بعثة لطف وهدية إلى ذي مودة | ه د ي:B005@6:الهدي المهدى إلى الحرم	P5317	P5317[ء ل ه:B001→ع ب د:B005 ; ع ب د:B005→ه د ي:B001] | P5058[ء ل ه:B001→ع ب د:B005 ; ء ل ه:B001→ه د ي:B004] | P5509[ع ب د:B005→ه د ي:B005 ; ء ل ه:B001→ع ب د:B005]
56	PF0056	0.4349	burial / disappearance / swallowing / hiddenness	20	1,2,4,5,6,7	ء ل ه ح م د ر ب ب س م و ص ر ط ض ل ل ع ب د ع و ن غ ض ب ق و م م ل ك ن ع م ه د ي	ص ر ط:B002@6,7:الغيبة في المرور والبلع | ض ل ل:B002@7:الغيبوبة والخفاء	ح م د:B002@2:وجود الشيء محمودا | س م و:B003@1:تطاول الفحل على الشول | ع ب د:B008@5:الأنفة والغضب | غ ض ب:B002@7:الغضب لشخص حي أو به بعد موته | غ ض ب:B003@7:المراغمة والمخالفة | ن ع م:B008@7:طيران النعامة وتفرق القوم	P1303	P1303[س م و:B003→ص ر ط:B002 ; ص ر ط:B002→ض ل ل:B002 ; ح م د:B002→ض ل ل:B002 ; غ ض ب:B002→ض ل ل:B002 ; ع ب د:B008→غ ض ب:B002] | P0191[س م و:B003→ن ع م:B008 ; ق و م:B014→ن ع م:B008 ; ع و ن:B003→ق و م:B014 ; س م و:B003→ص ر ط:B002 ; ص ر ط:B002→ض ل ل:B002 ; ح م د:B002→ض ل ل:B002 ; ع ب د:B009→ق و م:B014 ; ع ب د:B009→ه د ي:B010 ; غ ض ب:B002→ض ل ل:B002] | P2531[س م و:B007→غ ض ب:B003 ; م ل ك:B005→غ ض ب:B003 ; ص ر ط:B002→غ ض ب:B003] | P0462[ق و م:B014→ن ع م:B008 ; ع و ن:B003→ق و م:B014 ; ح م د:B003→ع و ن:B003 ; س م و:B003→ن ع م:B008 ; س م و:B003→ص ر ط:B002 ; ص ر ط:B002→ض ل ل:B002 ; غ ض ب:B002→ض ل ل:B002 ; ع ب د:B008→غ ض ب:B002 ; ء ل ه:B001→ع ب د:B008]
57	PF0057	0.4348	straightness / guidance / road / carnivore	7	1,2,5,6,7	س م و ص ر ط ع ب د ع ل م ق و م	ص ر ط:B001@6,7:الطريق المستقيم | ع ل م:B007@2:ذكر الضباع يسمى العيلام	س م و:B001@1:العلو والارتفاع | ق و م:B008@6:استقامة واعتدال واستواء	P3111	P3111[ع ل م:B007→ص ر ط:B001 ; ص ر ط:B001→ق و م:B008] | P2458[ع ل م:B002→ق و م:B008 ; س م و:B001→ع ل م:B002 ; ص ر ط:B001→ق و م:B008] | P3230[ع ل م:B006→ص ر ط:B001 ; ص ر ط:B001→ق و م:B008] | P4448[ع ل م:B007→ص ر ط:B001 ; ع ل م:B007→ع ب د:B011]
58	PF0058	0.4344	development / sway / leaning / physique	8	2,5,6,7	ر ب ب ض ل ل ع و ن ن ع م ه د ي	ع و ن:B005@5:استواء الخلقة وتلاحق القوة | ه د ي:B008@6:مشي التهادي مع الاعتماد والتمايل		P3650	P3650[ه د ي:B008→ن ع م:B011 ; ع و ن:B005→ه د ي:B008] | P2469[ع و ن:B005→ض ل ل:B005 ; ن ع م:B005→ض ل ل:B005 ; ع و ن:B005→ه د ي:B008] | P2793[ع و ن:B005→ه د ي:B008 ; ر ب ب:B002→ه د ي:B008 ; ر ب ب:B002→ن ع م:B002] | P0280[ع و ن:B005→ه د ي:B008 ; ه د ي:B008→ن ع م:B012]
59	PF0059	0.4339	inflammation / regret / divinity / zeal	145	1,2,3,4,5,6,7	ء ل ه ح م د د ي ن ر ب ب ر ح م س م و ص ر ط ض ل ل ع ب د ع ل م ع و ن غ ض ب غ ي ر ق و م م ل ك ن ع م ه د ي ي و م	ر ح م:B001@1,3:الرَّحْمَة والرقة | ع ب د:B008@5:الأنفة والغضب	ء ل ه:B001@1,2:التعبد والمعبود | ر ب ب:B016@2:رُبَى حاجة وعقدة ونعمة | س م و:B001@1:العلو والارتفاع | ع ل م:B002@2:أثر يميز الشيء ويهدي إليه | غ ض ب:B001@7:اشتداد السخط وثورانه للانتقام | غ ض ب:B006@7:تورم العين وما حولها | ن ع م:B001@7:حسن الحال والنعمة	P0611	P0611[ق و م:B019→غ ض ب:B006 ; ع ب د:B008→غ ض ب:B006 ; ر ح م:B001→ع ب د:B008 ; ر ح م:B001→ع ل م:B002 ; س م و:B001→ع ل م:B002 ; ر ح م:B001→ن ع م:B001 ; ر ب ب:B002→ن ع م:B001 ; ء ل ه:B001→ع ب د:B008] | P0258[د ي ن:B001→ق و م:B008 ; ء ل ه:B001→د ي ن:B001 ; ء ل ه:B001→ع ب د:B008 ; ص ر ط:B001→ق و م:B008 ; ر ح م:B001→ع ب د:B008 ; ر ح م:B001→ن ع م:B001 ; ع ب د:B008→غ ض ب:B001 ; ر ب ب:B016→ن ع م:B001 ; ح م د:B005→ر ب ب:B016] | P0420[ع ب د:B008→غ ض ب:B002 ; ر ح م:B001→ع ب د:B008 ; ر ح م:B001→ن ع م:B001 ; ر ب ب:B002→ن ع م:B001 ; ع ب د:B008→ق و م:B002 ; م ل ك:B008→ق و م:B002 ; غ ض ب:B002→ض ل ل:B002 ; ح م د:B002→ض ل ل:B002 ; م ل ك:B008→ه د ي:B003] | P0782[ع و ن:B002→ن ع م:B013 ; ق و م:B021→ن ع م:B013 ; ق و م:B021→غ ض ب:B006 ; ع ل م:B002→غ ض ب:B006 ; س م و:B001→ع ل م:B002 ; ر ح م:B001→ع ل م:B002 ; ع ب د:B010→ق و م:B021 ; ح م د:B001→ن ع م:B013 ; ع ل م:B002→م ل ك:B001]
60	PF0060	0.4325	posture / carnivore / hyena / stance	5	1,2,3,5,6	ر ح م ع ب د ع ل م ع و ن ق و م	ع ل م:B007@2:ذكر الضباع يسمى العيلام | ق و م:B002@6:انتصاب وقيام بالبدن	ر ح م:B003@1,3:رَحِم الأنثى | ع ب د:B004@5:التعبيد والاستعباد | ع ب د:B008@5:الأنفة والغضب | ع ب د:B012@5:صَلاءة الطيب | ع و ن:B007@5:عانة الرجل	P3657	P3657[ع ل م:B007→ق و م:B002 ; ع ب د:B004→ق و م:B002] | P3328[ر ح م:B003→ق و م:B002 ; ع ل م:B007→ق و م:B002] | P3973[ع ل م:B007→ق و م:B002 ; ع ب د:B012→ق و م:B002] | P4173[ع ل م:B007→ق و م:B002 ; ع ب د:B008→ق و م:B002]
61	PF0061	0.4323	cosmetic / boulder / cohesion / aroma	4	2,5,6,7	ر ب ب ع ب د غ ض ب ق و م ه د ي	ع ب د:B012@5:صَلاءة الطيب | غ ض ب:B004@7:صلابة الصخرة وتماسكها	ر ب ب:B012@2:ربة نبات | ر ب ب:B017@2:رباني الملاحين | ق و م:B002@6:انتصاب وقيام بالبدن | ه د ي:B006@6:العروس المهدية إلى زوجها	P3105	P3105[ر ب ب:B017→ع ب د:B012 ; ع ب د:B012→غ ض ب:B004] | P4150[ع ب د:B012→غ ض ب:B004 ; ع ب د:B012→ق و م:B002] | P4293[ع ب د:B012→ه د ي:B006 ; ع ب د:B012→غ ض ب:B004] | P4948[ر ب ب:B012→غ ض ب:B004 ; ع ب د:B012→غ ض ب:B004]
62	PF0062	0.4322	prayer / honor / solace / invocation	21	1,2,4,5,6,7	ء ل ه ح م د د ي ن ر ب ب س م و ع ب د ع و ن غ ض ب ق و م م ل ك ن ع م	ء ل ه:B002@1,2:اسم الله في القسم والنداء | ن ع م:B013@7:نعم الله بك عينا وقرة العين	ح م د:B001@2:الحمد خلاف الذم | ر ب ب:B001@2:ربوبية وملك وسيادة | س م و:B005@1:الاسم تنويه ودلالة | ع و ن:B002@5:العَوان بين السنين | ق و م:B019@6:وجع قائم بالعضو | ق و م:B021@6:عين قائمة ذاهبة البصر | م ل ك:B003@4:المُلك والسلطان	P1796	P1796[ء ل ه:B002→ن ع م:B013 ; ق و م:B021→ن ع م:B013 ; ء ل ه:B002→ر ب ب:B001 ; س م و:B005→ء ل ه:B002] | P0813[ع و ن:B002→ن ع م:B013 ; ق و م:B021→ن ع م:B013 ; ء ل ه:B002→ن ع م:B013 ; ء ل ه:B002→ر ب ب:B001 ; ر ب ب:B001→م ل ك:B002 ; م ل ك:B002→ع ب د:B001 ; د ي ن:B004→ع ب د:B001 ; س م و:B005→ء ل ه:B002 ; ح م د:B001→ن ع م:B013] | P0933[ع و ن:B002→ن ع م:B013 ; ق و م:B021→ن ع م:B013 ; ء ل ه:B002→ن ع م:B013 ; ء ل ه:B002→ر ب ب:B001 ; ر ب ب:B001→م ل ك:B003 ; ع ب د:B010→ق و م:B021 ; س م و:B005→ء ل ه:B002 ; ح م د:B001→ن ع م:B013] | P6005[س م و:B004→ن ع م:B009 ; س م و:B004→ء ل ه:B002]
63	PF0063	0.4305	gift / kinship_society/hospitality_welfare / present / offering	6	2,5,6,7	ر ب ب ع ب د ن ع م ه د ي	ر ب ب:B016@2:رُبَى حاجة وعقدة ونعمة | ه د ي:B004@6:بعثة لطف وهدية إلى ذي مودة	ع ب د:B007@5:القوة والصلابة | ن ع م:B002@7:اللين والنعومة ورفاه العيش | ن ع م:B003@7:مدح الشيء بنعم | ن ع م:B009@7:النعامى ريح لينة | ن ع م:B010@7:زاد وأنعم في الفعل | ن ع م:B013@7:نعم الله بك عينا وقرة العين	P3438	P3438[ر ب ب:B016→ن ع م:B002 ; ر ب ب:B016→ه د ي:B004] | P3367[ر ب ب:B016→ن ع م:B003 ; ر ب ب:B016→ه د ي:B004] | P3959[ر ب ب:B016→ه د ي:B004 ; ر ب ب:B016→ع ب د:B007] | P4500[ر ب ب:B016→ه د ي:B004 ; ر ب ب:B016→ن ع م:B013]
